,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,2.25,0.02,300,500000.0,17.15,2.43,0.81,,0.2999999999999999,500000.0,100.0,300.0,0.2902879193571466,0.0698787889089559,0.0600184956437372,9.200004174389075e-06,6.0797249208298265e-06,2195388868388684.0,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0473603873581117,104.7360387358112,2299363335597258.5,1544856571353214.5,1252643023280301.5,1082970640528287.4,965771013182914.8,0.0280604611130387,0.018852778538551,0.0152867275471912,0.0132161172941435,0.011785862434168,0.0152947203783548,0.0102759528769184,0.0083322302649453,0.0072036171354125,0.0064240380663095
11,11,2.25,0.02,310,500000.0,17.15,2.43,0.81,,0.31,500000.0,100.0,310.0,0.3098129506924124,0.0686347377682086,0.0585462696353438,4.530270023787463e-06,1.5152451966015844e-05,2189017838823663.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0006040932624198,100.06040932624197,2190340209751413.2,1475891037562069.2,1196722495541854.0,1034624632433341.8,922657034397277.4,0.028970374339205,0.0195207646975094,0.0158283624259127,0.0136843869133727,0.0122034556797108,0.0157501427417808,0.0106127324008517,0.0086053070857077,0.0074397052898174,0.0066345766419156
12,12,2.25,0.02,320,500000.0,17.15,2.43,0.81,,0.3199999999999999,500000.0,100.0,320.0,0.3199352098614895,0.0672654428062023,0.0581294027803847,3.5479602951811816e-07,6.028361473946183e-06,2182703762334440.8,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0002025209282184,100.02025209282183,2183145805526415.2,1475298718369122.5,1196242215030149.2,1034209406639778.0,922286744547910.4,0.0298667636956594,0.0201829846135334,0.0163653217612108,0.0141486142985718,0.0126174441438231,0.016205629026598,0.0109512354478498,0.0088797814207649,0.0076770016631027,0.0068461926823472
13,13,2.25,0.02,330,500000.0,17.15,2.43,0.81,,0.33,500000.0,100.0,330.0,0.3298342537081112,0.0668753238432859,0.0578483404472397,2.847891206930001e-05,6.611541651866237e-06,2175316289377868.5,1473688058828444.8,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000502884838187,100.05028848381868,2176410222958058.8,1474429154209447.2,1196601450266471.5,1034519982922685.6,922563710109292.4,0.0307372602695523,0.0208232401152551,0.0168995025973433,0.0146104395364991,0.0130292904222493,0.0166500799040013,0.0112797500082545,0.0091542989230686,0.0079143353565659,0.0070578420041485
14,14,2.25,0.02,340,500000.0,17.15,2.43,0.81,,0.3399999999999999,500000.0,100.0,340.0,0.3398838948059904,0.0660873354441281,0.0569324214995199,-4.818123375218679e-06,4.120577400695572e-06,2167867685099320.8,1471602059405940.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000341675863213,100.0341675863213,2168608393161959.5,1472104870309894.2,1196408644332402.8,1034353292842562.4,922415059313468.8,0.0315874154223797,0.0214423167550261,0.0174265934700877,0.0150661351572496,0.0134356704337524,0.0170905482640313,0.0116014857339288,0.0094287561294798,0.0081516169213061,0.0072694448386232
15,15,2.25,0.02,350,500000.0,17.15,2.43,0.81,,0.35,500000.0,100.0,350.0,0.3272987170494513,0.0654286376558486,0.0552214164637632,-4.463094075410531e-06,1.6993419425123252e-05,2160058616818780.5,1469266876687668.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0950428234774896,109.50428234774895,2365356686638117.0,1608910149090016.8,1309671216879077.2,1132274279475724.0,1009738987528592.8,0.0324477778550182,0.0220709034714579,0.0179659672253504,0.0155324499255956,0.0138515203833575,0.0175248352370963,0.0119203524074711,0.0097033028550102,0.008388975879666,0.0074811166911412
16,16,2.25,0.02,360,500000.0,17.15,2.43,0.81,,0.3599999999999999,500000.0,100.0,360.0,0.3597157388475978,0.0649873966846776,0.0547098159247529,7.3855382169303695e-06,1.3079541145926145e-05,2152263003563856.0,1467016651665166.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0007909651893996,100.07909651893996,2153965368678108.0,1468177010768903.5,1196945994366521.8,1034817858005839.2,922829349001145.4,0.03328171857748,0.022685348058462,0.0184944569287092,0.0159893549032486,0.0142589788745508,0.0179542273498549,0.0122378865623788,0.0099770594369134,0.0086256517205421,0.0076921793534932
17,17,2.25,0.02,370,500000.0,17.15,2.43,0.81,,0.37,500000.0,100.0,370.0,0.369829507833208,0.0645478300039443,0.0542567831710288,4.70679109028992e-06,-2.081551404762205e-05,2144593945955700.0,1464886586231369.8,1196000000000000.0,1034000000000000.0,922100000000000.0,1.00046123299344,100.04612329934402,2145583103441106.8,1465562240256587.5,1196551634660154.5,1034476914915217.2,922525302943251.2,0.03413009321415,0.023312905377971,0.0190337157115926,0.0164555702723969,0.0146747401819896,0.0183799757111756,0.0125546283133617,0.0102501692649188,0.0088617684113093,0.0079027433772422
18,18,2.25,0.02,380,500000.0,17.15,2.43,0.81,,0.3799999999999999,500000.0,100.0,380.0,0.3798951238845746,0.0635660803848416,0.0530966269824667,-1.0411568998700842e-05,7.4563128862649295e-06,2136924888347544.0,1462825281803542.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000276091210213,100.0276091210213,2137514874526102.0,1463229155005926.0,1196330205087415.0,1034285478311360.4,922354583704937.6,0.0349532008924007,0.0239271048899152,0.0195627036285949,0.0169129059799056,0.0150825827892369,0.0188021863773726,0.0128709781686672,0.0105232593948245,0.0090978680721142,0.0081132922140197
19,19,2.25,0.02,390,500000.0,17.15,2.43,0.81,,0.39,500000.0,100.0,390.0,0.3895093298327595,0.0631434778460876,0.0526637052662379,-1.0860696486391448e-05,-3.7301973189603855e-06,2128304288036004.5,1460763751584284.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0012680741036362,100.12680741036364,2131003135588320.8,1462616108269198.5,1197516616627949.0,1035311188623160.0,923269291130963.0,0.0357655424592381,0.0245477154154565,0.0200984365918475,0.0173760731069986,0.0154956257369085,0.0192097360666829,0.013184621335141,0.0107949058153492,0.0093327195761464,0.0083227279701786
20,20,2.25,0.02,400,500000.0,17.15,2.43,0.81,,0.3999999999999999,500000.0,100.0,400.0,0.3998506183885126,0.0624737599213031,0.0518206838837573,3.881267087042312e-06,-6.942675292418783e-06,2119553194149268.5,1458228897338403.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0003736830646663,100.0373683064666,2120345235282580.8,1458773812781745.0,1196446924945340.5,1034386388288864.8,922444573153928.6,0.0365643779497093,0.0251558831770061,0.0206321767005261,0.0178375173146689,0.0159071322203638,0.0196706622071912,0.0135331956468409,0.0110995619570866,0.0095961095849728,0.0085576137797906
21,21,2.25,0.02,410,500000.0,17.15,2.43,0.81,,0.41,500000.0,100.0,410.0,0.4094382131567385,0.0620655814544089,0.0511385035182564,-1.875575042717221e-05,1.3282701745068036e-05,2110570466700011.5,1455767611529721.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.001377185710319,100.13771857103193,2113477114187372.0,1457772473881865.0,1197647114109541.5,1035424010024469.8,923369902943485.0,0.0373598586688667,0.0257689914075701,0.021170764811197,0.0183031528551654,0.0163223764484989,0.0201869945452458,0.0139239950983703,0.0114393932147946,0.0098899101873726,0.0088196191332459
22,22,2.25,0.02,420,500000.0,17.15,2.43,0.81,,0.42,500000.0,100.0,420.0,0.419774729185815,0.0615974765621456,0.0504528263222258,1.2207833741187448e-05,-1.140104417128066e-05,2101336501096532.8,1453375553163497.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0005367475976503,100.05367475976504,2102464388415352.5,1454155649000141.5,1196641950126790.0,1034554997015970.6,922594934959793.4,0.0381234310958121,0.0263678200652077,0.0216983922217114,0.0187593123388374,0.0167291701234449,0.0206954824012816,0.0143138941179827,0.0117790734320832,0.010183580208005,0.0090815080365583
23,23,2.25,0.02,430,500000.0,17.15,2.43,0.81,,0.43,500000.0,100.0,430.0,0.4298339894652997,0.0609213506473402,0.0502027272671963,-1.1875233652784296e-05,2.0277977859525184e-05,2092102535493055.5,1451099103669880.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000386280507669,100.03862805076696,2092910673922562.0,1451659634968324.5,1196461991487172.5,1034399414044930.4,922456189256122.0,0.0388884427096926,0.0269733358675237,0.0222314999823041,0.0192202098509217,0.0171401890749854,0.0211978050960698,0.0147029676857718,0.0121182276990667,0.0104767955190926,0.0093429914392219
24,24,2.25,0.02,440,500000.0,17.15,2.43,0.81,,0.44,500000.0,100.0,440.0,0.4398929898021947,0.060604334830051,0.0493510119693975,1.6542941350569243e-05,8.723941005246256e-06,2082243412174160.0,1448779877886912.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0002432884660983,100.0243288466098,2082749997979950.5,1449132349321118.0,1196290973005453.5,1034251560273945.4,922324336294589.0,0.039631721822359,0.0275748938700174,0.0227636879638626,0.0196803121694264,0.0175504988891954,0.0216869858111011,0.0150893351235702,0.0124565816265421,0.0107693188978633,0.0096038577908313
25,25,2.25,0.02,450,500000.0,17.15,2.43,0.81,,0.45,500000.0,100.0,450.0,0.4498504166079954,0.0602226760279411,0.04916098947466,-1.4871995992947048e-05,1.6288100258784856e-05,2072299524113928.5,1445594319086806.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0003326056576292,100.0332605657629,2072988782659951.2,1446075131935971.5,1196397796366524.5,1034343914249988.6,922406695676900.0,0.0403538183497861,0.0281500091473769,0.0232896674369408,0.0201350469312683,0.0179560220264239,0.0221696775496411,0.0154651195682973,0.012794933377552,0.011061840394974,0.0098647224644154
26,26,2.25,0.02,460,500000.0,17.15,2.43,0.81,,0.4600000000000001,500000.0,100.0,460.0,0.4595874507511098,0.0595489154510722,0.0483998075738777,2.0392003545872008e-05,8.34481796217551e-06,2062298954201225.2,1442536417224498.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000899034590901,100.08990345909012,2064153032297832.5,1443833307362217.5,1197075245370718.0,1034929601766991.8,922928999796270.0,0.0410849397630672,0.0287380845958168,0.0238266076101756,0.0205992577499344,0.018369995716842,0.0226558042325852,0.0158472769432555,0.0131389010341941,0.0113592171148466,0.0101299169261123
27,27,2.25,0.02,470,500000.0,17.15,2.43,0.81,,0.4699999999999998,500000.0,100.0,470.0,0.4698601020899275,0.0595724655654543,0.0479293888215947,-2.303054367090669e-06,1.0002686835285012e-05,2051480346195456.0,1440038665201318.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0002977673551203,100.02977673551206,2052091210072224.5,1440467461705927.2,1196356129756724.2,1034307891445194.8,922374571278156.6,0.041781050101489,0.0293282495883708,0.0243580865953955,0.0210587471067215,0.0187797589043597,0.0231294228039853,0.0162357212942826,0.0134843064545405,0.0116578368511664,0.0103962198843911
28,28,2.25,0.02,480,500000.0,17.15,2.43,0.81,,0.4800000000000001,500000.0,100.0,480.0,0.4797712816216745,0.0591502559909731,0.0472773295912896,-1.149448213990084e-06,-4.616203448192687e-06,2040661738189686.5,1437482229212639.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0004769391682395,100.04769391682396,2041635009701756.8,1438167820791398.8,1196570419245214.5,1034493155099959.8,922539785607033.8,0.0424685261364555,0.0299156643551146,0.0248901404425115,0.0215187334594957,0.0191899653027088,0.023594329232909,0.0166203091613736,0.0138282681712809,0.0119552084357059,0.0106614097665034
29,29,2.25,0.02,490,500000.0,17.15,2.43,0.81,,0.4900000000000001,500000.0,100.0,490.0,0.4897777736601029,0.059012190672654,0.0475374496845951,1.5440189448079573e-05,4.984405301887785e-06,2029837576821772.8,1434665195549086.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000454181398814,100.04541813988143,2030759491291780.5,1435316793794431.5,1196543200952981.5,1034469623566374.0,922518800667846.6,0.0431360793019867,0.0304880707469725,0.0254161965638425,0.0219735344874691,0.0195955475347151,0.0240507211862547,0.0169987653237757,0.0141709183371209,0.0122514461208888,0.0109255884604174
30,30,2.25,0.02,500,500000.0,17.15,2.43,0.81,,0.5,500000.0,100.0,500.0,0.46787872589996,0.0579797116802071,0.0462158757172744,-3.591862424518695e-07,-1.0933247258800511e-05,2018635978323392.5,1431833671310174.2,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0944593516024912,109.44593516024908,2209315023957280.8,1567083751504747.5,1308973384516579.2,1131670969556975.8,1009200968112656.8,0.0438026121604012,0.0310695220218428,0.0259521403097904,0.0224368838464242,0.0200087529930249,0.024493728988179,0.0173735860639666,0.0145120270244035,0.0125463511231047,0.0111885786949852
31,31,2.25,0.02,510,500000.0,17.15,2.43,0.81,,0.5099999999999999,500000.0,100.0,510.0,0.5098053795886415,0.0576120169892679,0.0461683330267746,1.4705201950591638e-05,9.461946172748008e-06,2007434379825012.5,1428747795803209.5,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000381794057041,100.03817940570414,2008200806341129.2,1429293283220657.8,1196456625692221.5,1034394775054980.4,922452052299997.6,0.0444487816183666,0.0316354543897545,0.0264819330334475,0.0228949153483151,0.0204172160954365,0.0249271022004243,0.0177413232943246,0.0148512023761923,0.0128395846630291,0.0114500783537516
32,32,2.25,0.02,520,500000.0,17.15,2.43,0.81,,0.5199999999999999,500000.0,100.0,520.0,0.5197344138215726,0.0574150028778016,0.0456316998687861,-2.004675630541453e-05,-1.58762933618213e-05,1996232781326632.5,1425661920296244.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0005112970152314,100.05112970152314,1997253449189432.0,1426390856980820.5,1196611511230217.0,1034528681113749.2,922571466977744.8,0.0450857307518309,0.0321991553704966,0.0270121473224954,0.02335331131393,0.0208260042191245,0.0253455761043799,0.0181012069524133,0.0151852576034209,0.0131283916069709,0.0117076304649785
33,33,2.25,0.02,530,500000.0,17.15,2.43,0.81,,0.5300000000000001,500000.0,100.0,530.0,0.5297625394270312,0.0570271345566026,0.0450713826361855,-1.101413931396794e-05,-3.4921775595977044e-06,1984441385484864.0,1422726483357452.8,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0004484197099277,100.04484197099276,1985331248115311.2,1423364461954426.5,1196536309973073.5,1034463665980065.0,922513487814524.2,0.0456914397324901,0.0327580455868498,0.027537705230183,0.0238076816120478,0.0212312023350766,0.0257679837205011,0.0184741122262591,0.0155300674311372,0.0134264964245784,0.0119734742293074
34,34,2.25,0.02,540,500000.0,17.15,2.43,0.81,,0.54,500000.0,100.0,540.0,0.5396659938451762,0.05688564204791,0.044707703503723,7.980494646990778e-06,1.8812641450136647e-06,1972410721280286.5,1419832127351664.2,1195381699674103.8,1034000000000000.0,922100000000000.0,1.0006192536391854,100.06192536391856,1973632143797407.5,1420711363563559.0,1196121944141842.5,1034640308262917.6,922671013780692.8,0.0462969090516617,0.0333266485318837,0.0280582929481897,0.0242703020435547,0.0216437577508334,0.0261951814791389,0.0188564987224096,0.015875618714686,0.0137323415235993,0.0122462206179022
35,35,2.25,0.02,550,500000.0,17.15,2.43,0.81,,0.5499999999999999,500000.0,100.0,550.0,0.5492154350553278,0.0565402548343103,0.0442260900381945,-7.650773808056364e-06,1.2531890714322316e-05,1960380057075708.5,1416720461764933.8,1193376184507395.5,1034000000000000.0,922100000000000.0,1.0014332373790154,100.14332373790154,1963189747050586.5,1418750958486351.0,1195086575862258.2,1035481967449902.0,923421588187190.2,0.0466645274922854,0.0337233541518117,0.0284069079205254,0.0246131464421235,0.0219494993561723,0.0266107956045818,0.0192309947761316,0.0161992515740409,0.014035830733854,0.012516866073198
36,36,2.25,0.02,560,500000.0,17.15,2.43,0.81,,0.5600000000000002,500000.0,100.0,560.0,0.5598021196741456,0.0561143844627348,0.0438757508711387,5.364281556877803e-06,2.112881155567272e-05,1948188333376485.2,1413233981560393.8,1191403478756772.2,1034000000000000.0,922100000000000.0,1.0003535562814525,100.03535562814524,1948877127599202.8,1413733639311736.2,1191824706940431.0,1034365577195021.8,922426014247127.2,0.0472506984836062,0.03427609723633,0.0288958955264295,0.0250782849866328,0.0223643003734758,0.02700891753478,0.0195925206056231,0.016517149680607,0.0143349697010867,0.0127836320709593
37,37,2.25,0.02,570,500000.0,17.15,2.43,0.81,,0.5700000000000001,500000.0,100.0,570.0,0.5698599294453516,0.0556872734174761,0.0440515013589465,-8.333878935235472e-06,8.614163465691808e-06,1934983766149703.5,1409747501355853.8,1189502518771979.8,1034000000000000.0,922100000000000.0,1.0002458388586004,100.02458388586,1935459460350183.5,1410094072072501.5,1189794944713496.8,1034254197379792.6,922326688011515.2,0.0477843869317344,0.0348136874630618,0.0293747418493203,0.0255346101356339,0.0227712417853657,0.0273745888988347,0.0199439700610855,0.0168281217729824,0.0146281976193103,0.0130451267164081
38,38,2.25,0.02,580,500000.0,17.15,2.43,0.81,,0.58,500000.0,100.0,580.0,0.5797337317883944,0.0555495648785678,0.04313761698136,7.078611621440608e-06,-1.0693749455265438e-05,1921779198922921.2,1406436496138646.2,1187528352835283.8,1034000000000000.0,922100000000000.0,1.0004595212094112,100.04595212094112,1922662297224631.5,1407082783538312.0,1188074047300188.5,1034475144930531.2,922523724507198.0,0.0483105464002146,0.0353556306800188,0.0298526197095759,0.0259931552000451,0.0231801628723032,0.0276638385311854,0.0202455267261461,0.0170943637138188,0.0148843368984727,0.0132735464739668
39,39,2.25,0.02,590,500000.0,17.15,2.43,0.81,,0.59,500000.0,100.0,590.0,0.5898545964747768,0.0558321670581698,0.0428534147770112,-2.4073584312326945e-05,-1.8423183483129456e-06,1908574631696139.5,1403173380225517.8,1185278127812781.5,1034000000000000.0,922100000000000.0,1.0002465317848934,100.02465317848936,1909045156006693.2,1403519307063459.5,1185570336545226.5,1034254913865580.0,922327326958850.6,0.0488274711659491,0.0358976833423073,0.0303232227067674,0.0264530421536218,0.0235902806284862,0.0279173006144365,0.0205246430605221,0.0173374230466739,0.0151246319404727,0.0134878366656767
40,40,2.25,0.02,600,500000.0,17.15,2.43,0.81,,0.5999999999999999,500000.0,100.0,600.0,0.5997260598219214,0.0549087906250857,0.0425158901937858,9.443387452999284e-06,-1.0647257114975196e-05,1895172320249669.2,1399906792299349.5,1183027902790279.2,1034000000000000.0,922100000000000.0,1.0004569033739728,100.04569033739728,1896038230877051.5,1400546414435998.0,1183568432230567.8,1034472438088687.8,922521310601140.4,0.0493355193032326,0.0364426642560463,0.0307968279774599,0.0269173026718869,0.0240042986399872,0.0281573446881009,0.0207989836390147,0.017576725914886,0.0153625578510246,0.0137000141145357
41,41,2.25,0.02,610,500000.0,17.15,2.43,0.81,,0.6100000000000001,500000.0,100.0,610.0,0.609789265497875,0.0546948427747543,0.0427439201763618,-4.435044916154029e-07,1.5133102205224395e-05,1881248421558036.0,1396517421366594.2,1181317761785121.5,1034000000000000.0,922100000000000.0,1.000345643730449,100.0345643730449,1881898663280364.8,1397000118857752.2,1181726076863150.5,1034357395617284.4,922418718083847.0,0.0498021371676354,0.0369698926409152,0.0312729294742809,0.0273729982926375,0.0244106786514903,0.0283788111973347,0.0210665979998158,0.0178202906865395,0.0155979882517278,0.0139099661188764
42,42,2.25,0.02,620,500000.0,17.15,2.43,0.81,,0.62,500000.0,100.0,620.0,0.6197281044642636,0.0546110911018251,0.0418798203258343,7.443064891032919e-06,-8.636333472867641e-06,1867324522866402.5,1393128050433839.8,1179614401907763.2,1034000000000000.0,922100000000000.0,1.0004388373398592,100.04388373398592,1868143974592670.5,1393739407041574.8,1180132060753955.5,1034453757809414.4,922504651911084.0,0.0502606108575133,0.0374972137730294,0.0317503142545332,0.0278309800949296,0.0248190974328187,0.0285896516843283,0.0213294717794591,0.0180604733989095,0.0158310456910925,0.0141178019649481
43,43,2.25,0.02,630,500000.0,17.15,2.43,0.81,,0.63,500000.0,100.0,630.0,0.6093129643155487,0.0542360277666938,0.0412982283309637,1.73037569067301e-05,4.294848811121845e-06,1853400624174768.5,1389707159587263.8,1177455797101449.5,1034000000000000.0,922100000000000.0,1.0478438570490738,104.78438570490736,1942074458692450.5,1456196110270630.8,1233789823939574.5,1083470548188742.2,966216820584950.8,0.0507091554117837,0.0380224736159007,0.0322152632447225,0.0282903037863875,0.0252287128833926,0.02878997375094,0.0215871474974954,0.0182901208995419,0.0160617367179999,0.0143235274929089
