,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,2.25,0.02,300,500000.0,17.15,2.43,0.81,,0.2999999999999999,503.8,0.1007599999999999,300.0,0.0107447471296381,0.0162423400972752,0.0060165715425805,0.0003811483217312,-3.705162774734757e-06,2212073823788.438,1486210000000.0,1205089600000.0,1041858400000.0,929107960000.0,28.448665223979287,2.8637488059837937,62870422505182.08,42240294888260.96,34250435719566.176,29611162653872.43,26406627739976.566,2.827372061749781e-05,1.8996059655444063e-05,1.5402906676549895e-05,1.3316559785579087e-05,1.1875434988667774e-05,1.5410960253230396e-05,1.035405011878305e-05,8.395555214959001e-06,7.258364625641813e-06,6.472860755613457e-06
11,11,2.25,0.02,310,500000.0,17.15,2.43,0.81,,0.31,537.7,0.1075399999999999,310.0,0.0103512067410064,0.0159974571458933,0.0055811334176119,2.984966578771833e-05,3.135992916172892e-05,2354069783870.968,1586215000000.0,1286178400000.0,1111963600000.0,991626340000.0,30.397345967748333,3.2657142056522863,71487066526727.05,48169284533371.22,39057941899601.34,33767484886444.64,30113150690319.727,3.115474056438116e-05,2.099263035570172e-05,1.7021820952826615e-05,1.4716189686641072e-05,1.3123596237961052e-05,1.693770350451108e-05,1.141293242387613e-05,9.254147239970069e-06,8.000659068669775e-06,7.134823720716054e-06
12,12,2.25,0.02,320,500000.0,17.15,2.43,0.81,,0.3199999999999999,575.2,0.1150399999999999,320.0,0.0117145313565515,0.0157616123246132,0.0059667056577748,0.0002542024526766,-4.927767862478714e-05,2510982408189.542,1696840000000.0,1375878400000.0,1189513600000.0,1060783840000.0,27.896953289885253,3.222248858899681,70332147074981.95,47528170668770.28,38538096352440.18,33318053201022.7,29712356727913.96,3.4358724955486605e-05,2.3218505499408903e-05,1.8826666154096975e-05,1.6276565889077156e-05,1.4515107743054208e-05,1.8642955632198423e-05,1.2598301259206463e-05,1.0215300546448083e-05,8.831622713233548e-06,7.87586006177239e-06
13,13,2.25,0.02,330,500000.0,17.15,2.43,0.81,,0.33,578.1,0.1156199999999999,330.0,0.0117943731172658,0.016807003234275,0.0059838800028604,0.0002209461496212,-3.144623197523128e-05,2515100693778.6924,1703878133617.448,1382815200000.0,1195510800000.0,1066132020000.0,28.690794732111076,3.310910348507774,72022772137787.19,48792490444474.32,39598487768152.98,34234813003570.387,30529904323590.188,3.553842032365643e-05,2.4075830221258043e-05,1.953920490304839e-05,1.6892590192100358e-05,1.506446558620478e-05,1.9250822385006333e-05,1.3041646959543876e-05,1.0584200414852009e-05,9.150554539261684e-06,8.160276925196519e-06
14,14,2.25,0.02,340,500000.0,17.15,2.43,0.81,,0.3399999999999999,634.8,0.12696,340.0,0.0126994108841187,0.0175747547565989,0.0057653803591944,0.0002965536466257,4.1264989752939895e-05,2752324813002.0986,1868345974621.782,1518441600000.0,1312766400000.0,1170698160000.0,26.98238011744256,3.428535376481776,74326110498946.78,50454397207767.04,41005283102722.05,35451055792821.56,31614524706538.457,4.010338262025327e-05,2.72231653521812e-05,2.212480306962343e-05,1.912796519564433e-05,1.7057927182692113e-05,2.169816007601421e-05,1.472924628779608e-05,1.1970748781987608e-05,1.0349292843290287e-05,9.229287167116029e-06
15,15,2.25,0.02,350,500000.0,17.15,2.43,0.81,,0.35,656.7,0.1313399999999999,350.0,0.0137469707732349,0.0162020202960783,0.0060016323990534,1.4863793646545062e-05,5.112434185974064e-06,2837020987329.7866,1929735115841.5845,1570826400000.0,1358055600000.0,1211086140000.0,25.84563272817696,3.393735135080488,73306668217312.55,49863026222249.12,40589072215562.64,35091221296732.24,31293631680577.176,4.261691143478116e-05,2.8987924619412805e-05,2.3596501353775257e-05,2.0400319732277276e-05,1.819258687150181e-05,2.3017118600402302e-05,1.565619085197258e-05,1.274431796977048e-05,1.1018080920353407e-05,9.82569866214495e-06
16,16,2.25,0.02,360,500000.0,17.15,2.43,0.81,,0.3599999999999999,684.2,0.13684,360.0,0.0138724809678989,0.0176696513775442,0.0060240078765501,0.0003527504417414,-2.43203694701293e-05,2945156694076.781,2007465586138.6135,1636606400000.0,1414925600000.0,1261801640000.0,26.302283400193797,3.596091033648899,77397336891702.34,52755254272667.36,43009248762440.84,37183581287929.62,33159555421276.5,4.55427037014237e-05,3.104263028319955e-05,2.5307814861245737e-05,2.187983324960543e-05,1.9511986691935364e-05,2.4568564705541445e-05,1.674632397195924e-05,1.3652608133472366e-05,1.180334181438999e-05,1.0525978227320126e-05
17,17,2.25,0.02,370,500000.0,17.15,2.43,0.81,,0.37,700.4,0.1400799999999999,370.0,0.0145929261591277,0.0162663065284299,0.006095379972717,0.000284914664587,3.982554421308244e-05,3004147199494.7446,2052013129992.903,1675356800000.0,1448427200000.0,1291677680000.0,25.49066248015417,3.57116075988397,76586897456817.2,52313454944298.55,42711082688212.29,36925802257200.26,32929673366890.094,4.780943457438144e-05,3.265671785346182e-05,2.6662428968798996e-05,2.3050962837573716e-05,2.0556376046931063e-05,2.5746669976215017e-05,1.7586523341357227e-05,1.4358437106298372e-05,1.24135651905623e-05,1.107016292284091e-05
18,18,2.25,0.02,380,500000.0,17.15,2.43,0.81,,0.3799999999999999,720.8,0.14416,380.0,0.0135969806101513,0.01700379635336,0.0057916947279646,2.8516697075194956e-05,-3.923280725551912e-06,3080590919041.82,2108808926247.987,1724153600000.0,1490614400000.0,1329299360000.0,28.530913288650986,4.105094984467769,87722796413398.52,60050367274843.75,49096936014234.52,42446682139396.734,37853080851777.3,5.038853440648503e-05,3.44933144093018e-05,2.8201593550982496e-05,2.438164526063203e-05,2.1743051348964013e-05,2.710523188162054e-05,1.855480212795076e-05,1.517033074357914e-05,1.3115486612759892e-05,1.1696122055731044e-05
19,19,2.25,0.02,390,500000.0,17.15,2.43,0.81,,0.39,725.1,0.1450199999999999,390.0,0.014697759639813,0.0155702999211033,0.0059054474772358,0.0002356533336961,-2.202604723491633e-05,3086466878509.813,2118399592547.5288,1734439200000.0,1499506800000.0,1337229420000.0,26.69797739665441,3.8721996542892696,82412191283553.88,56563688938829.61,46311507865299.67,40038544425351.055,35705553012201.35,5.186718967438714e-05,3.559909689549508e-05,2.9146752745497267e-05,2.5198781219769378e-05,2.247175644366474e-05,2.785795924390362e-05,1.912033786022157e-05,1.565477241341962e-05,1.3534309929327665e-05,1.2069620102353036e-05
20,20,2.25,0.02,400,500000.0,17.15,2.43,0.81,,0.3999999999999999,749.8,0.1499599999999999,400.0,0.016343652976576,0.0161465743060572,0.0056314793644793,0.0002103601033544,1.725113471575851e-05,3178481969946.243,2186760054448.6687,1793521600000.0,1550586400000.0,1382781160000.0,24.72715459522156,3.715367426633118,78749188965583.73,54178561457462.31,44435794422532.086,38416899191386.43,34259403040983.977,5.483194117338414e-05,3.772376241223844e-05,3.094001218010906e-05,2.674914096507756e-05,2.385433547765766e-05,2.949812504590396e-05,2.029438019200264e-05,1.664490311084713e-05,1.4390325933625358e-05,1.2832997624174033e-05
21,21,2.25,0.02,410,500000.0,17.15,2.43,0.81,,0.41,779.1,0.15582,410.0,0.0160657607099892,0.0168152601326245,0.0060065593119766,0.0002916373238169,-7.387141816662043e-05,3288690901211.957,2268377092285.612,1863607200000.0,1611178800000.0,1436816220000.0,25.99350821783192,4.044072848705827,85353007196619.02,58872302718126.77,48367111270521.68,41815713255618.25,37290395737916.42,5.821413177782808e-05,4.015324241127588e-05,3.298828572880742e-05,2.8519972778918784e-05,2.5433526982051267e-05,3.145537490040227e-05,2.1696369162280714e-05,1.782486250729309e-05,1.5410458053964092e-05,1.374273053342388e-05
22,22,2.25,0.02,420,500000.0,17.15,2.43,0.81,,0.42,770.1,0.15402,420.0,0.0161663190395472,0.0163274096290867,0.0057831157459392,0.0001934024369817,-1.5479238053582467e-05,3236478478988.881,2238489026982.4185,1842079200000.0,1592566800000.0,1420218420000.0,26.31169656801164,4.043514234805008,84967840542991.81,58767447377342.04,48360430248267.89,41809937187883.77,37285244759136.98,5.871770857377006e-05,4.061171646443298e-05,3.3419863699880055e-05,2.8893092864277577e-05,2.576626782412993e-05,3.1875181994454e-05,2.2046259720517044e-05,1.8142128900094547e-05,1.5684750236369368e-05,1.3987338677907342e-05
23,23,2.25,0.02,430,500000.0,17.15,2.43,0.81,,0.43,791.7,0.1583399999999999,430.0,0.0163815671364261,0.0156111812673806,0.005760929313649,0.00016783745846,6.649603853933074e-05,3312635154699.704,2297670320750.888,1893746400000.0,1637235600000.0,1460053140000.0,26.806835170680017,4.248886355591594,88891059175550.2,61655551821941.45,50816680812875.46,43933484916817.08,39178981084910.086,6.157596018652734e-05,4.270958001263731e-05,3.5201357071980454e-05,3.0433280277949654e-05,2.7139775381332084e-05,3.356460458911714e-05,2.3280679033651265e-05,1.918800173870224e-05,1.6588958024931532e-05,1.4793692644863993e-05
24,24,2.25,0.02,440,500000.0,17.15,2.43,0.81,,0.44,796.8,0.1593599999999999,440.0,0.0175603481012842,0.0155221588722995,0.0060551813855594,0.000172801110243,-3.412547592681602e-05,3318263101640.741,2308775613400.584,1905945600000.0,1647782400000.0,1469458560000.0,25.403393107040323,4.048272471895866,84294886852911.72,58650556974862.45,48417338763874.56,41859137359403.27,37329120463351.79,6.31571118961113e-05,4.394335087125974e-05,3.6276213139211626e-05,3.136254547319801e-05,2.7968475029821943e-05,3.456038058857079e-05,2.404636445292156e-05,1.9850808480057493e-05,1.716198659563499e-05,1.5304707775469073e-05
25,25,2.25,0.02,450,500000.0,17.15,2.43,0.81,,0.45,804.2,0.1608399999999999,450.0,0.0185477649740675,0.0158771530077922,0.0058889753390051,0.0001525366857463,3.211854138279254e-05,3333086554584.843,2325093902819.22,1923646400000.0,1663085600000.0,1483105640000.0,24.592382894927827,3.9559581076190953,81979301038336.89,57187105669195.59,47313258967124.39,40904606832781.45,36477889710355.69,6.490508143379615e-05,4.5276474712641e-05,3.745910110557577e-05,3.238520948425196e-05,2.8880465827300515e-05,3.565770937084277e-05,2.487409831364939e-05,2.0579370844454904e-05,1.7791864091276233e-05,1.5866419611765775e-05
26,26,2.25,0.02,460,500000.0,17.15,2.43,0.81,,0.4600000000000001,801.2,0.16024,460.0,0.0192495153535616,0.0161436310573328,0.0057262968825204,0.000343720720148,-2.6048426867939608e-05,3304627844212.0444,2311520354960.536,1916470400000.0,1656881600000.0,1477573040000.0,24.195407590214423,3.8790828546681615,79998285144420.6,55957182832899.89,46393830941831.23,40109716717268.8,35769023002895.12,6.583450747633902e-05,4.6049906756336885e-05,3.817975603454567e-05,3.300825061849517e-05,2.9436081136667688e-05,3.630366070229452e-05,2.5393676573872657e-05,2.1053775017192627e-05,1.820200950483041e-05,1.623217888240244e-05
27,27,2.25,0.02,470,500000.0,17.15,2.43,0.81,,0.4699999999999998,820.4,0.16408,470.0,0.0194067926147624,0.0162009620939364,0.0058684885353777,0.0002579349081152,-4.512359995476738e-05,3366068952037.505,2362815441862.324,1962396800000.0,1696587200000.0,1512981680000.0,24.46940014272769,4.016902591675875,82405967194046.5,57844950463606.45,48042154996443.46,41534772797928.55,37039858797843.24,6.855434700652321e-05,4.812179192459884e-05,3.996674848572496e-05,3.4553192252708707e-05,3.0813828410273394e-05,3.79507569367794e-05,2.6639571499659212e-05,2.212505003061028e-05,1.9128178705393837e-05,1.7058117586309144e-05
28,28,2.25,0.02,480,500000.0,17.15,2.43,0.81,,0.4800000000000001,822.0,0.1644,480.0,0.0183378089216773,0.0156558884372597,0.0057129001689435,0.0001190043729396,-6.040897893093769e-07,3354847897583.844,2363220784825.579,1966224000000.0,1699896000000.0,1515932400000.0,26.59187108390321,4.382666154270648,89435391322790.47,63000047133357.54,52416687205076.94,45316768035158.49,40412564608529.64,6.981825696833316e-05,4.918135219980852e-05,4.091939088748897e-05,3.537679780741103e-05,3.15483029576535e-05,3.878907725890246e-05,2.7323788261298525e-05,2.273367287358581e-05,1.9654362668300775e-05,1.752735765613167e-05
29,29,2.25,0.02,490,500000.0,17.15,2.43,0.81,,0.4900000000000001,816.6,0.16332,490.0,0.0205986982022636,0.0158968740254842,0.0062069713358611,0.0002291589478685,-2.4002383193434684e-05,3315130730465.321,2343095197370.769,1953307200000.0,1688728800000.0,1505973720000.0,24.398920017476637,3.9890308583920495,80970847314658.0,57229237365063.73,47708809066368.92,41246579075773.8,36782853545233.1,7.044984471600483e-05,4.979311714395575e-05,4.150973222806776e-05,3.588717652493484e-05,3.2003448233696726e-05,3.927963784139141e-05,2.776238352679048e-05,2.314394382818591e-05,2.0009061804635643e-05,1.7843671073553706e-05
30,30,2.25,0.02,500,500000.0,17.15,2.43,0.81,,0.5,807.9,0.16158,500.0,0.0220386021115757,0.0145810850671264,0.0062657638308803,5.671679102115525e-05,3.934182002153658e-05,3261712013774.9385,2313556846102.9795,1932496800000.0,1670737200000.0,1489929180000.0,23.2350053196512,3.752465844253725,75748625606402.34,53729069462438.45,44879491497274.55,38800496829583.52,34601487549863.6,7.07762607287763e-05,5.020213368289371e-05,4.1933468312559454e-05,3.6253516919052233e-05,3.233014308612965e-05,3.95769672990999e-05,2.807224036215734e-05,2.344853326603118e-05,2.0272394144712573e-05,1.807850545535732e-05
31,31,2.25,0.02,510,500000.0,17.15,2.43,0.81,,0.5099999999999999,788.3,0.15766,510.0,0.0223556312614163,0.015548002150242,0.0059341718586761,0.0001178159556849,-2.610571595212444e-05,3164921043232.1147,2252563774863.34,1885613600000.0,1630204400000.0,1453782860000.0,23.068212641219173,3.645050905099423,73172005031088.61,52078584462512.93,43594808824989.086,37689826358728.02,33611014395921.773,7.007794909951689e-05,4.987645739088717e-05,4.17514156205336e-05,3.6096123538153626e-05,3.218978289606524e-05,3.9300069329189e-05,2.7970970305832194e-05,2.3414405666304903e-05,2.0242889179731835e-05,1.805219353252488e-05
32,32,2.25,0.02,520,500000.0,17.15,2.43,0.81,,0.5199999999999999,772.4,0.15448,520.0,0.0221636478434447,0.0148813155102372,0.0059843234023868,0.0001009823499459,3.081041565085322e-05,3083780400593.382,2202362534473.6377,1847580800000.0,1597323200000.0,1424460080000.0,23.929557650187213,3.697434735033789,73809404248902.02,52712919045183.06,44221319431004.125,38231475160249.38,34094045691746.57,6.964843686542855e-05,4.9741255216343166e-05,4.172836518379101e-05,3.607619531775912e-05,3.217201131770376e-05,3.915384596604625e-05,2.796274450008809e-05,2.345818594576476e-05,2.02807393544488e-05,1.8085947542299063e-05
33,33,2.25,0.02,530,500000.0,17.15,2.43,0.81,,0.5300000000000001,744.7,0.14894,530.0,0.0221452257595614,0.0161072967525955,0.0059985624908184,0.0001134058371796,5.166230744209173e-06,2955626999541.156,2119008824312.5903,1781322400000.0,1540039600000.0,1373375740000.0,24.390942430652157,3.632910790415788,72092985222756.17,51686383931995.984,43449613053372.82,37564297572899.25,33499070398423.98,6.805283033757079e-05,4.878983309705418e-05,4.10146581698346e-05,3.5459160992984095e-05,3.1621752757863286e-05,3.837883495331443e-05,2.751534274979049e-05,2.3130482431935845e-05,1.999742377476728e-05,1.783329251713047e-05
34,34,2.25,0.02,540,500000.0,17.15,2.43,0.81,,0.54,704.1,0.1408199999999999,540.0,0.021858550341983,0.0152968201107458,0.005634097286489,0.0002253824583864,5.231389649010116e-06,2777548777706.8994,1999407601736.6135,1683336509481.0728,1456078800000.0,1298501220000.0,25.6151051726708,3.609521436544044,71194587801304.9,51249144999697.64,43147558698261.31,37322451653865.41,33283397166372.625,6.519530732655006e-05,4.6930586462598685e-05,3.9511688129641005e-05,3.41774393377338e-05,3.047873966472373e-05,3.688805455892356e-05,2.65537215008973e-05,2.2356046274020945e-05,1.9337883333532545e-05,1.724512787412994e-05
35,35,2.25,0.02,550,500000.0,17.15,2.43,0.81,,0.5499999999999999,639.9,0.1279799999999999,550.0,0.0216776276018435,0.0153723610755053,0.0061284866985444,0.0001617104632878,-2.700307296957779e-05,2508894397045.4927,1813118846966.7625,1527282840932.5642,1323313200000.0,1180103580000.0,25.940704065591188,3.322770589607967,65138931981051.55,47074370840483.41,39653152882197.44,34357447896546.383,30639267606775.062,5.972126228462694e-05,4.31591486434887e-05,3.635516075668845e-05,3.1499904816629856e-05,2.8090969276029397e-05,3.4056496214744046e-05,2.461182711449332e-05,2.073180216445765e-05,1.7963056173186407e-05,1.6019085200478898e-05
36,36,2.25,0.02,560,500000.0,17.15,2.43,0.81,,0.5600000000000002,523.0,0.1045999999999999,560.0,0.0242397986673267,0.015161384194942,0.0060384644798335,0.000196640409635,8.314322477952765e-05,2037804996711.8037,1478242744712.1716,1246208038779.5835,1081564000000.0,964516600000.0,23.763634334310144,2.4820883843077093,48355756327175.7,35077716499399.887,29571687356459.81,25664793893741.72,22887336991701.395,4.942423061385211e-05,3.585279770920137e-05,3.022510672064529e-05,2.623188609601798e-05,2.3393058190655885e-05,2.8251327741380013e-05,2.0493776553481937e-05,1.727693856591499e-05,1.499437830733676e-05,1.3371679146223623e-05
37,37,2.25,0.02,570,500000.0,17.15,2.43,0.81,,0.5700000000000001,189.2,0.0378399999999999,570.0,0.02201396054337,0.0143075379563462,0.0053442482550231,0.0001357149288462,6.590421948235628e-05,732197857111.0479,533448454513.055,450107753103.3172,391265600000.0,348922640000.0,28.1223197355887,1.0642502812829109,20593070174026.883,15003241748558.48,12659283901898.104,11004347908465.3,9813451843709.725,1.808161201496837e-05,1.3173499336022604e-05,1.1115402315782811e-05,9.66229647532392e-06,8.616637891582387e-06,1.0358544439319125e-05,7.546798271114755e-06,6.367761278896591e-06,5.535309979147038e-06,4.936275949488861e-06
38,38,2.25,0.02,580,500000.0,17.15,2.43,0.81,,0.58,268.3,0.05366,580.0,0.0231759945351313,0.0144428193471448,0.0056549489157875,-3.137378798877454e-05,-4.9514568470598754e-05,1031226718142.0396,754693823827.9976,637227714131.4131,554844400000.0,494798860000.0,26.38185760871096,1.4167448488011134,27226707806071.79,19925616610703.14,16824246766846.59,14649141736603.512,13063804250795.066,2.5923439198355174e-05,1.897183142289813e-05,1.6018915736158436e-05,1.3947927080344222e-05,1.2438475397277962e-05,1.484441575583411e-05,1.086374964125002e-05,9.172835568835208e-06,7.98693517972045e-06,7.122585037930587e-06
39,39,2.25,0.02,590,500000.0,17.15,2.43,0.81,,0.59,381.0,0.0761999999999999,590.0,0.0243385966053892,0.0146488331673347,0.0058800847223339,7.30682095250477e-05,-7.201399015473016e-05,1454333869352.4585,1069218115731.8444,903181933393.3396,787908000000.0,702640200000.0,24.8485032306806,1.888995236492277,36052883877640.09,26505878312187.69,22389847373568.28,19532210745330.15,17418425075695.293,3.720653302845324e-05,2.7354034706838185e-05,2.3106295702556817e-05,2.0157218121059904e-05,1.7975793838906512e-05,2.127298306820065e-05,1.5639778012117906e-05,1.321111636156558e-05,1.1524969538640215e-05,1.0277731539245784e-05
40,40,2.25,0.02,600,500000.0,17.15,2.43,0.81,,0.5999999999999999,426.8,0.08536,600.0,0.0289018950831291,0.0135146054664522,0.0052839712149575,8.848024726704014e-05,1.07490177151284e-05,1617719092565.1182,1194960437906.7244,1009832617821.7822,882622400000.0,787104560000.0,21.68343488167232,1.845407296605293,34973648281131.24,25833982090765.293,21831683238968.38,19081511446898.73,17016500681997.406,4.21127992772394e-05,3.110745820896116e-05,2.628817236155979e-05,2.297660956072268e-05,2.049006931909321e-05,2.4035109425763013e-05,1.7754012434263024e-05,1.5003493240946749e-05,1.3113479381634762e-05,1.1694332048167713e-05
