,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,ExitSlit.openingHeight,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
57,57,2,25,3000,0.0012,100000.0,435,17.15,2.43,0.81,,84.0,0.0839999999999999,435.0,0.0005294147934776,0.0110474643719413,0.0038183401572833,-0.0003718372536793,-6.269298586878701e-05,1864800000000.0,1293783676515.744,1058400000000.0,3.323124633761206,0.2799576006002529,6215058733325.615,4311959211584.78,3527465767563.1865,3.507285520597284e-05,2.433327303425992e-05,1.9906215116903503e-05,1.91548566621368e-05,1.328948995896152e-05,1.0871675402834402e-05
58,58,2,25,3000,0.0012,100000.0,440,17.15,2.43,0.81,,86.8,0.0867999999999999,440.0,0.0004901183067964,0.0101535433734757,0.0036903798881277,-0.0004056854713676,3.915855987566534e-05,1925422511014.4712,1336720000000.0,1093680000000.0,3.688736147671295,0.3245461704815676,7199176296183.761,4998011025416.142,4089281748067.752,3.664692076867095e-05,2.544203760456068e-05,2.0816212585549647e-05,2.005366444317175e-05,1.3922208856046285e-05,1.139089815494696e-05
59,59,2,25,3000,0.0012,100000.0,445,17.15,2.43,0.81,,91.8,0.0917999999999999,445.0,0.000411275604154,0.0089966701866275,0.0037377170610981,-0.00018115386738,-6.982972132803331e-06,2028780000000.0,1413720000000.0,1156680000000.0,10.20695989849146,1.0171103482614086,22478138696577.133,15663499363225.691,12815590388093.754,3.90688509899876e-05,2.722444820116783e-05,2.227454852822822e-05,2.141328210757409e-05,1.4921472599848013e-05,1.220847758169383e-05
60,60,2,25,3000,0.0012,100000.0,450,17.15,2.43,0.81,,94.0,0.094,450.0,0.0005705387598898,0.010977248631035,0.0038827582340823,-0.0003232373660598,-2.541168043453137e-05,2077400000000.0,1447600000000.0,1184400000000.0,3.1696168330547403,0.2979381164937885,6584432374512.725,4588246994004.342,3754020267821.7344,4.045313974372998e-05,2.818906570377564e-05,2.306378103036189e-05,2.2224242975356915e-05,1.5486576552963643e-05,1.2670835361515708e-05
61,61,2,25,3000,0.0012,100000.0,455,17.15,2.43,0.81,,89.2,0.0891999999999999,455.0,0.0005476398400449,0.0099543004003933,0.0041790556436189,-0.0001585971957043,7.412186353831542e-05,1963904609652.127,1372272670643.8574,1123920000000.0,3.357363179176456,0.3010161981308201,6627433846290.086,4630900247937.68,3792804096448.335,3.868371897891425e-05,2.7030136847142576e-05,2.2138247051868065e-05,2.1288719624590613e-05,1.4875431316900882e-05,1.2183289169379827e-05
62,62,2,25,3000,0.0012,100000.0,460,17.15,2.43,0.81,,93.0,0.093,460.0,0.000458491290283,0.0105389793983643,0.0035639433303338,-0.0002401159886357,4.4077932131640766e-05,2039340778934.543,1427990057540.4087,1171800000000.0,4.563939439429606,0.4530188411493365,9933976305177.549,6955982806878.822,5708037398481.64,4.062756899925048e-05,2.844829328783248e-05,2.3344497322411357e-05,2.240359253295758e-05,1.568747495304061e-05,1.2873047016612578e-05
63,63,2,25,3000,0.0012,100000.0,465,17.15,2.43,0.81,,97.0,0.097,465.0,0.0005215222963931,0.0100290271319836,0.0036514090233963,-0.000240184437738,6.630683033982641e-05,2124300000000.0,1486548361281.5264,1222200000000.0,3.573223685940055,0.3466153917822442,7590877080031.15,5311964357204.634,4367353936456.2783,4.279752943128536e-05,2.994897012803048e-05,2.462323611115048e-05,2.3639699070403306e-05,1.6542652127428543e-05,1.3600922752834778e-05
64,64,2,25,3000,0.0012,100000.0,470,17.15,2.43,0.81,,93.6,0.0935999999999999,470.0,0.0004744340095286,0.008990149501641,0.0034412151654557,-0.0004628687307868,-1.9225886538330943e-05,2045295685622.511,1432080000000.0,1179360000000.0,4.350919370255246,0.4164347652912805,9099703299075.629,6371451908956.592,5247078042670.135,4.1655091491289256e-05,2.916616107987793e-05,2.401919147754653e-05,2.3059693825320853e-05,1.6145991293828224e-05,1.329669871256442e-05
65,65,2,25,3000,0.0012,100000.0,475,17.15,2.43,0.81,,104.4,0.1044,475.0,0.0004625352555308,0.0092051042222024,0.0031931915041781,-0.0002406166449071,1.6790070007399993e-05,2272054729831.7124,1597320000000.0,1315440000000.0,4.563319489685865,0.473299093417119,10300396971488.762,7241476129281.92,5963568577055.7,4.677424772136145e-05,3.2883645094156245e-05,2.708064890106985e-05,2.5938889013817523e-05,1.823578704137108e-05,1.501770697524677e-05
66,66,2,25,3000,0.0012,100000.0,480,17.15,2.43,0.81,,102.6,0.1026,480.0,0.0005899806737663,0.0093454290706288,0.0034881102767301,-0.0001387981889425,-7.222428525336996e-05,2226420000000.0,1569780000000.0,1292760000000.0,3.8182225697874217,0.4053372457243296,8795818232217.953,6201659859582.243,5107249296126.553,4.63343699699135e-05,3.266893366542287e-05,2.6903827724465903e-05,2.57420842992502e-05,1.8149948837720184e-05,1.494701668988721e-05
67,67,2,25,3000,0.0012,100000.0,485,17.15,2.43,0.81,,94.6,0.0945999999999999,485.0,0.0006236857606415,0.0100486421395377,0.0037870274916387,-0.000458229749313,-0.0001249265854109,2051498514148.9907,1447380000000.0,1191960000000.0,3.1476688587233417,0.3005508870389572,6517755794784.164,4598428571696.047,3786941176690.8623,4.314356405328145e-05,3.043878964998529e-05,2.506723853528201e-05,2.400990257518816e-05,1.6939545678243664e-05,1.395021408796537e-05
68,68,2,25,3000,0.0012,100000.0,490,17.15,2.43,0.81,,94.6,0.0946,490.0,0.0005902349920496,0.0101622544459403,0.003869685051165,0.0001903332129104,0.0001150264404802,2043128949352.7249,1445278557384.5522,1191960000000.0,3.4181746267749205,0.3272758949132636,7068359992839.419,5000051091617.125,4123676275907.122,4.34185342659081e-05,3.07136153043417e-05,2.5330342521938e-05,2.420820526211133e-05,1.712451873836826e-05,1.4123050017654406e-05
69,69,2,25,3000,0.0012,100000.0,495,17.15,2.43,0.81,,99.2,0.0991999999999999,495.0,0.0005041034626781,0.0100933797366529,0.0030922565453293,-6.245914037590049e-05,-3.3669632842248805e-05,2133701219624.879,1512630869314.0315,1249920000000.0,4.601375735327574,0.4652331137313947,10006738530025.775,7094011786866.865,5861937233015.573,4.581950975613168e-05,3.248252578031759e-05,2.6841022120450748e-05,2.558201502314429e-05,1.813569082088561e-05,1.4985918329910332e-05
70,70,2,25,3000,0.0012,100000.0,500,17.15,2.43,0.81,,112.8,0.1127999999999999,500.0,0.0004552035790993,0.0065469426249787,0.0033896426844393,-0.0004555772158745,-0.0001037503754714,2425200000000.0,1716681101157.255,1421280000000.0,4.627466807625794,0.5308175381415745,11412577070043.848,8078408119596.287,6688300980583.837,5.262469120343133e-05,3.72504588665541e-05,3.084051670526673e-05,2.942689627055466e-05,2.082986833802412e-05,1.7245529907394825e-05
71,71,2,25,3000,0.0012,100000.0,505,17.15,2.43,0.81,,106.6,0.1066,505.0,0.0005459077823302,0.0097925858398867,0.003626912745862,-0.0002910406699584,2.8683128260784737e-05,2284666060013.884,1620320000000.0,1343160000000.0,3.779484117276785,0.405317592458466,8686823142742.932,6160827405368.684,5107001664976.672,5.008576971057397e-05,3.55215914473488e-05,2.944552975240756e-05,2.8041899125405292e-05,1.9887742364676528e-05,1.6485891697034488e-05
72,72,2,25,3000,0.0012,100000.0,510,17.15,2.43,0.81,,104.6,0.1045999999999999,510.0,0.0004393823743839,0.0080265834382351,0.0033103033448662,0.0001148443265637,0.0001046440948084,2232547501449.191,1589920000000.0,1317960000000.0,5.2660435217079975,0.5474674118354974,11684961782200.72,8321504659899.564,6898089389127.269,4.9433255374053846e-05,3.520414295028354e-05,2.9182381656156097e-05,2.772242036662591e-05,1.9742661941434606e-05,1.6365627661978686e-05
73,73,2,25,3000,0.0012,100000.0,515,17.15,2.43,0.81,,116.6,0.1166,515.0,0.0004946869380318,0.0089207848236004,0.0022278645868465,-0.000338747093404,-6.882246343089635e-05,2483580000000.0,1772320000000.0,1469160000000.0,4.250361958433953,0.4908899998897416,10455956997651.496,7461527998324.072,6185213998610.744,5.553896889954073e-05,3.963344259497741e-05,3.2854037940573386e-05,3.1182576990297115e-05,2.225235541091625e-05,1.8446031459049e-05
74,74,2,25,3000,0.0012,100000.0,520,17.15,2.43,0.81,,114.8,0.1147999999999999,520.0,0.0004498787099464,0.0080934307663122,0.0035018844957002,-0.0002547289002011,0.0001132545222313,2441419574302.282,1744960000000.0,1446480000000.0,5.294537683748631,0.5985531403408911,12729262657564.05,9098007733181.545,7541769568295.229,5.514045586712161e-05,3.941063260189106e-05,3.266934018314653e-05,3.099798089783829e-05,2.215524005657651e-05,1.8365527941635797e-05
75,75,2,25,3000,0.0012,100000.0,525,17.15,2.43,0.81,,101.0,0.1009999999999999,525.0,0.0005563417732624,0.0094565011751829,0.0037136543909898,-9.58845358600274e-05,4.099266945126466e-05,2139003029446.7168,1532306276207.8818,1272600000000.0,3.953811493693333,0.4032690699179594,8540532299373.021,6118135909265.391,5081190280966.289,4.877837508078392e-05,3.4943106321285e-05,2.9020697620920287e-05,2.7463166212864487e-05,1.967364298843354e-05,1.6339212633808917e-05
76,76,2,25,3000,0.0012,100000.0,530,17.15,2.43,0.81,,118.8,0.1187999999999999,530.0,0.0004986975850215,0.0093012163586555,0.0034932417784508,-0.0001074413362713,0.0001022313010128,2506680000000.0,1798852766732.4946,1496880000000.0,4.382121373079359,0.5215153222051767,11003973298529.232,7896711113149.584,6571093059785.229,5.771589878461135e-05,4.1418292009012215e-05,3.446541823156887e-05,3.25492553748187e-05,2.335811435287916e-05,1.9436996100602635e-05
77,77,2,25,3000,0.0012,100000.0,535,17.15,2.43,0.81,,113.4,0.1133999999999999,535.0,0.0006036087916526,0.0069446440841807,0.0033415838115564,-2.798947238306001e-05,-5.6854181452435645e-05,2392740000000.0,1713742456613.7793,1428840000000.0,3.7539401918370583,0.4301582020593472,9076338063452.225,6500708764812.628,5419993345947.774,5.562654574871542e-05,3.984117503963755e-05,3.321774769828504e-05,3.141963093351262e-05,2.250355471212761e-05,1.8762433638021752e-05
78,78,2,25,3000,0.0012,100000.0,540,17.15,2.43,0.81,,109.4,0.1093999999999999,540.0,0.0005032440038862,0.0079391733163177,0.0025703829137104,-0.0005583863667112,1.0582272692032174e-05,2298803521972.9385,1650066675721.1794,1378440000000.0,4.917703113182165,0.5460573764376316,11474210421884.191,8236115903943.981,6880322943114.158,5.395808106099677e-05,3.873077041756028e-05,3.235508234904991e-05,3.052993719476336e-05,2.19141964484656e-05,1.8306778384710085e-05
79,79,2,25,3000,0.0012,100000.0,545,17.15,2.43,0.81,,113.8,0.1138,545.0,0.0004602270312716,0.0081817414876976,0.0029009994566855,-0.0002571433471784,8.46958923645008e-05,2381191719236.271,1713075259932.4832,1433880000000.0,5.096317924029576,0.5738115754417772,12006637713918.09,8637806799228.385,7230025850566.393,5.6143293733996e-05,4.039056860893099e-05,3.3807754902289907e-05,3.1969750260446846e-05,2.299965508655349e-05,1.925119474132566e-05
80,80,2,25,3000,0.0012,100000.0,550,17.15,2.43,0.81,,110.0,0.1099999999999999,550.0,0.0005093970269058,0.0085518764139441,0.0035210930308596,-0.0004135448581467,6.604163796324009e-06,2291947188785.1147,1652628389182.8318,1386000000000.0,6.066968466055566,0.6902834957768732,14382666523732.422,10370746379138.434,8697572046788.602,5.455709071100741e-05,3.933886320828623e-05,3.299208991178277e-05,3.111158877439119e-05,2.2433280789682877e-05,1.881398587729372e-05
81,81,2,25,3000,0.0012,100000.0,555,17.15,2.43,0.81,,110.8,0.1107999999999999,555.0,0.0005955066202835,0.0075672421700486,0.0030874358087621,-0.0002764618018165,4.0422234287626585e-05,2304640000000.0,1662000000000.0,1396080000000.0,4.079657718839107,0.4475007419176388,9308015431886.889,6712511128764.582,5638509348162.25,5.5380490701833206e-05,3.993785387151433e-05,3.3547797252072034e-05,3.161373910407346e-05,2.279836954620682e-05,1.9150630418813728e-05
82,82,2,25,3000,0.0012,100000.0,560,17.15,2.43,0.81,,113.0,0.1129999999999999,560.0,0.0006845516019893,0.0090281388114183,0.0028712375828385,-0.0001771283065648,1.884318551081684e-05,2345759937566.2334,1695000000000.0,1423800000000.0,3.4375384571050227,0.391358933766221,8124195646349.01,5870384006493.314,4931122565454.385,5.689326520745855e-05,4.110995459607614e-05,3.453236186070395e-05,3.252069403388311e-05,2.3498813968415928e-05,1.973900373346938e-05
83,83,2,25,3000,0.0012,100000.0,565,17.15,2.43,0.81,,125.4,0.1253999999999999,565.0,0.0006405174412747,0.0087898340535713,0.0028834309940102,-0.0001240351745679,-4.775097841665744e-05,2592076262797.2905,1881000000000.0,1580040000000.0,3.638976539300239,0.4567923763471709,9442110651963.863,6851885645207.564,5755583941974.354,6.343803897154604e-05,4.60352779808662e-05,3.866963350392761e-05,3.629934402345511e-05,2.6341457266552155e-05,2.212682410390381e-05
84,84,2,25,3000,0.0012,100000.0,570,17.15,2.43,0.81,,132.0,0.132,570.0,0.0004682811365227,0.0062614629608557,0.0037011940648104,-0.0004055188519732,7.026313393318918e-05,2716822965381.493,1980000000000.0,1663200000000.0,5.5424527970984325,0.7354122916550366,15136250022668.455,11031184374825.55,9266194874853.465,6.709189093670562e-05,4.8896061961852425e-05,4.107269204795603e-05,3.843541898866658e-05,2.8011442249743232e-05,2.352961148978432e-05
85,85,2,25,3000,0.0012,100000.0,575,17.15,2.43,0.81,,124.0,0.124,575.0,0.0003930581280883,0.0085371383625279,0.0037589780235726,-0.0003082610074434,-0.0001837415995377,2542000000000.0,1857078513863.0527,1562400000000.0,6.143267545872389,0.777556438027457,15939906979562.87,11645027051424.832,9797211119145.96,6.334403051402982e-05,4.627649018453594e-05,3.893340412081832e-05,3.627428036508309e-05,2.6500466826058302e-05,2.229541134634375e-05
86,86,2,25,3000,0.0012,100000.0,580,17.15,2.43,0.81,,133.0,0.1329999999999999,580.0,0.0004756878689704,0.0084527979090088,0.0033324165087763,-6.77932846690945e-05,-3.2070391745349426e-05,2726500000000.0,1987944172361.47,1675800000000.0,5.23123304826907,0.6868823671948399,14081088527494.217,10266795480923.557,8654717826654.981,6.853997838773993e-05,4.99738311423762e-05,4.212701110661088e-05,3.924772200549886e-05,2.8616277366328437e-05,2.412299011069685e-05
87,87,2,25,3000,0.0012,100000.0,585,17.15,2.43,0.81,,138.0,0.1379999999999999,585.0,0.0004809380511005,0.0064011004973392,0.0035287325042064,-0.0001985324228698,-4.690028115006988e-05,2817487133977.0576,2058609162712.6167,1738473605224.9644,5.111006834263496,0.7038583912047669,14370376531603.05,10499777778161.557,8866950977721.7,7.145103729342325e-05,5.220600949113676e-05,4.408742134173394e-05,4.0882235176252325e-05,2.987078198550893e-05,2.5225558590640563e-05
88,88,2,25,3000,0.0012,100000.0,590,17.15,2.43,0.81,,129.2,0.1292,590.0,0.0003909049824641,0.007671170584507,0.0026033988938206,-0.0002489033891101,8.382417478062186e-06,2626390571968.713,1925080000000.0,1625328280901.091,7.955607432462406,1.026519587684151,20867193243303.902,15295141856493.848,12913555083297.04,6.719150919938448e-05,4.92497315174995e-05,4.1581119466296326e-05,3.841701231426927e-05,2.8158729647935432e-05,2.377417024281457e-05
89,89,2,25,3000,0.0012,100000.0,595,17.15,2.43,0.81,,137.2,0.1372,595.0,0.0006586449784208,0.0074684295509872,0.0036913828726102,-0.0001278998731831,4.66987376148e-05,2776876850197.8613,2044280000000.0,1723540108508.0315,5.755282035359237,0.7550066517102212,15281053155098.494,11249599110482.297,9484579055487.76,7.166994960059452e-05,5.27619525363769e-05,4.448379938151461e-05,4.093521056251722e-05,3.013566562837672e-05,2.5407492323504693e-05
90,90,2,25,3000,0.0012,100000.0,600,17.15,2.43,0.81,,139.0,0.1389999999999999,600.0,0.0005581794399176,0.0084907251726212,0.0029878173406345,0.000117591934448,3.68496469181769e-05,2801010475646.33,2071100000000.0,1743692606099.182,4.417279488467934,0.6130344606727182,12353352131485.48,9134213464023.5,7690242132079.269,7.291648622833482e-05,5.391530518737428e-05,4.53921679353027e-05,4.161574997431645e-05,3.077117366079056e-05,2.590674906731419e-05
91,91,2,25,3000,0.0012,100000.0,605,17.15,2.43,0.81,,146.6,0.1465999999999999,605.0,0.0005116681092885,0.00825030517381,0.0034158805382629,-3.651315870838e-05,-4.496240989246169e-05,2941189216647.1523,2184265797906.0825,1836437171285.1316,4.953870056606449,0.7197360377680457,14439835423708.89,10723702665874.37,9016030104165.88,7.721224823292015e-05,5.73414563197872e-05,4.821024160256878e-05,4.403073444928299e-05,3.269929957919869e-05,2.7492171181636893e-05
92,92,2,25,3000,0.0012,100000.0,610,17.15,2.43,0.81,,138.6,0.1386,610.0,0.0005472022267894,0.0083284650738474,0.0036291667053619,-0.0004131741985149,5.956430055851658e-05,2772000000000.0,2060982399343.6487,1733769852005.129,4.463773641362901,0.6191677456632937,12383354913265.88,9207026162000.965,7745269630339.091,7.338293159302825e-05,5.45602202112086e-05,4.58979489349737e-05,4.181588339824952e-05,3.1090115330735415e-05,2.6154082962065946e-05
93,93,2,25,3000,0.0012,100000.0,615,17.15,2.43,0.81,,143.2,0.1431999999999999,615.0,0.0006274164149317,0.0071786693404219,0.0030733672349275,-0.000124239945751,-9.90559968329367e-05,2861957335378.34,2125161306367.1875,1790000000000.0,4.063991385712518,0.5773257607875865,11538279999922.582,8567809832365.766,7216572009844.83,7.640512424546001e-05,5.673502244336007e-05,4.77872855436168e-05,4.349304071155705e-05,3.22959836171824e-05,2.720255187291089e-05
94,94,2,25,3000,0.0012,100000.0,620,17.15,2.43,0.81,,161.4,0.1614,620.0,0.0005080367563095,0.0091967726211874,0.0033266494650228,-0.000139757742166,2.3951186136582105e-05,3211418300331.116,2390498781439.212,2017500000000.0,4.927651829672199,0.7988796810169058,15895519376582.254,11832223692611.275,9985996012711.322,8.643802591200026e-05,6.434228627000813e-05,5.430271019489425e-05,4.91683847637839e-05,3.659970544822548e-05,3.0888911684505944e-05
95,95,2,25,3000,0.0012,100000.0,625,17.15,2.43,0.81,,158.8,0.1588,625.0,0.0006122592219753,0.008431639894671,0.0034827047488339,4.510790519738467e-05,3.2009466486056534e-05,3145636020921.212,2347306961851.552,1985000000000.0,4.271707891279985,0.6961059598454243,13789017516799.129,10289511119216.129,8701324498067.805,8.53628421279666e-05,6.369865816572488e-05,5.386676668790979e-05,4.850959194519928e-05,3.6198372008786265e-05,3.061115124915858e-05
96,96,2,25,3000,0.0012,100000.0,630,17.15,2.43,0.81,,151.0,0.151,630.0,0.000599040350471,0.0090355189359454,0.0031166373235318,-0.0001656846189037,-0.0001177128862013,2977767879736.0,2227557892460.14,1887500000000.0,5.256880990162454,0.8177807781244099,16126896250095.234,12063933951080.951,10222259726555.123,8.147191288498896e-05,6.0946121353445415e-05,5.164211643791731e-05,4.625543877334311e-05,3.460198103752202e-05,2.9319659627877214e-05
97,97,2,25,3000,0.0012,100000.0,635,17.15,2.43,0.81,,156.6,0.1565999999999999,635.0,0.0005599921172005,0.0081020462093227,0.0025912751416569,-1.7134300403545147e-05,8.128880517348901e-05,3074346832814.001,2305551026095.6104,1957500000000.0,4.865477784839238,0.7724734786971239,15165079135793.85,11372777914698.59,9655918483714.05,8.480691528445077e-05,6.359941840885276e-05,5.399831108754931e-05,4.811297343152032e-05,3.608145771959608e-05,3.063452193713467e-05
98,98,2,25,3000,0.0012,100000.0,640,17.15,2.43,0.81,,156.4,0.1564,640.0,0.0007325191527115,0.0086211129428133,0.003404815951766,-0.0002849806523109,-1.4636032359650536e-05,3056583307871.922,2299080000000.0,1955000000000.0,3.663636020818745,0.5764914848796961,11266587275022.877,8474424827731.534,7206143560996.201,8.499962017891261e-05,6.393443498093035e-05,5.4366016140246895e-05,4.819558545628727e-05,3.625142698563869e-05,3.0826043355134945e-05
99,99,2,25,3000,0.0012,100000.0,645,17.15,2.43,0.81,,153.4,0.1533999999999999,645.0,0.0006934650149559,0.0083790549008875,0.0036557974520707,-3.896695375179332e-05,-1.765502205248726e-05,2984381476888.657,2254980000000.0,1915245019913.684,3.805442069164768,0.5822772802801597,11328145565066.582,8559476020118.347,7269906527154.237,8.363090189784915e-05,6.319098701759157e-05,5.36706415085156e-05,4.7459084523917854e-05,3.585978778132492e-05,3.0457157031700556e-05
100,100,2,25,3000,0.0012,100000.0,650,17.15,2.43,0.81,,159.8,0.1598,650.0,0.0006355904693463,0.0074964984232418,0.0030447952208988,-0.0004981227754812,-7.041602690846481e-05,3100120000000.0,2349060000000.0,1992323342288.336,4.450174747056904,0.7116496609348222,13806003422135.549,10461250015741.885,8872567152766.12,8.75734979765769e-05,6.635723815750929e-05,5.627999051152036e-05,4.972436126718431e-05,3.767773766121698e-05,3.1955861590193066e-05
101,101,2,25,3000,0.0012,100000.0,655,17.15,2.43,0.81,,162.0,0.1619999999999999,655.0,0.0005018714439528,0.0091798326300704,0.0030883150879732,-7.833433669879548e-05,5.454373221165253e-06,3139228381848.2017,2381400000000.0,2016885548410.435,5.48452043279711,0.887357888322251,17195179431346.275,13044160958337.09,11047526550772.523,8.937686038094943e-05,6.780075528811431e-05,5.742267721168646e-05,5.0767413247215626e-05,3.8511858075053975e-05,3.2616952210468665e-05
102,102,2,25,3000,0.0012,100000.0,660,17.15,2.43,0.81,,164.2,0.1642,660.0,0.0006420651582629,0.0079086233904814,0.0032149988726434,-0.0005065672445439,-5.90339018062021e-05,3167332597529.607,2409650310026.1323,2041369898277.618,4.129470204719217,0.6836698078100898,13187635007452.49,10032918175061.443,8499530852769.561,9.08720871869538e-05,6.913386779575075e-05,5.8567749885758114e-05,5.164839400520192e-05,3.9293179606100166e-05,3.328778193323785e-05
103,103,2,25,3000,0.0012,100000.0,665,17.15,2.43,0.81,,174.2,0.1741999999999999,665.0,0.0005661378098465,0.0085296014085643,0.0027831544432862,-0.0001098097032392,-1.2823758965331496e-05,3344815528842.0444,2551263916272.7905,2162609660259.722,5.163088770847073,0.8976493883499458,17235772753205.863,13146615924004.348,11143887708219.424,9.67018384710263e-05,7.375949704878926e-05,6.252312817822742e-05,5.4979864734545935e-05,4.193598834054861e-05,3.554754681369957e-05
104,104,2,25,3000,0.0012,100000.0,670,17.15,2.43,0.81,,167.6,0.1676,670.0,0.0006691493266998,0.0091037758765983,0.0029310126614642,-0.0002687418926665,5.6474295993380497e-05,3203260769617.874,2449660255475.514,2078240000000.0,4.19144953051954,0.6996379664597504,13371854718948.355,10225986394141.771,8675510784100.904,9.332285783971505e-05,7.136768194012588e-05,6.05468333756578e-05,5.307867315143463e-05,4.059136154811264e-05,3.443685345148991e-05
105,105,2,25,3000,0.0012,100000.0,675,17.15,2.43,0.81,,182.8,0.1828,675.0,0.000710161855045,0.0092998427238351,0.0035857571755592,-0.0002678819781296,3.619612970739401e-05,3477598389320.364,2666434199068.487,2266720000000.0,3.877824196878003,0.7140086745907228,13583344730401.885,10414973459301.23,8853707564924.963,0.0001020751748952,7.826571867889666e-05,6.653322624867518e-05,5.807205221611648e-05,4.452650614132754e-05,3.785172048720698e-05
106,106,2,25,3000,0.0012,100000.0,680,17.15,2.43,0.81,,181.8,0.1818,680.0,0.0006415290537915,0.0099673393853119,0.0039778434307255,-0.0003274012283078,-2.7851936411182717e-05,3442490026233.79,2646486121549.012,2254320000000.0,4.319558433434916,0.7875512695660272,14912746923150.75,11464485725603.934,9765635742618.734,0.0001018081482217,7.82671407255764e-05,6.66692257495044e-05,5.7935748374408064e-05,4.45393168450719e-05,3.793931580922632e-05
107,107,2,25,3000,0.0012,100000.0,685,17.15,2.43,0.81,,179.2,0.1792,685.0,0.0007500102883795,0.0089357499744637,0.0022512075232805,-0.0002695416621269,-0.0001248994120046,3377403165585.7607,2603352804488.006,2222080000000.0,3.673657417410385,0.6605341468801003,12449163608539.844,9596001248551.344,8190623421313.242,0.0001006325328982,7.756905939240942e-05,6.62087194626637e-05,5.726824205764225e-05,4.414321632904717e-05,3.767824244618285e-05
108,108,2,25,3000,0.0012,100000.0,690,17.15,2.43,0.81,,177.8,0.1777999999999999,690.0,0.0006158470672516,0.008926655761299,0.0027543655864991,-0.0003593025387763,3.536539443905471e-05,3335286665869.228,2578100000000.0,2204720000000.0,4.684482649048182,0.8345518100236987,15655059189814.8,12101001245343.629,10348442444293.863,0.0001001288312146,7.739728713460094e-05,6.61880248599346e-05,5.698305631644709e-05,4.404659395331037e-05,3.766743207041715e-05
109,109,2,25,3000,0.0012,100000.0,695,17.15,2.43,0.81,,183.6,0.1836,695.0,0.0006215703333281,0.007903060701169,0.0027523894553553,-0.000577447895941,-3.1406862767165074e-05,3427843170314.9385,2662200000000.0,2276640000000.0,4.632368878159946,0.8524380820794437,15915163713357.225,12360352190151.936,10570232217785.104,0.000103668449469,8.051306097271918e-05,6.885254869391159e-05,5.8993792638259054e-05,4.581693705291183e-05,3.918138065214529e-05
110,110,2,25,3000,0.0012,100000.0,700,17.15,2.43,0.81,,181.0,0.181,700.0,0.0008035917797542,0.008362735997117,0.0025366653382758,1.1391052637965428e-05,1.3134896979175268e-05,3363287214222.671,2624500000000.0,2242709386570.808,3.618356548701017,0.6547653769151255,12166652046929.996,9494097965269.318,8112974899497.928,0.0001024478505002,7.994392584162867e-05,6.831434287839255e-05,5.831032755751513e-05,4.550175020067927e-05,3.88825308746289e-05
111,111,2,25,3000,0.0012,100000.0,705,17.15,2.43,0.81,,176.8,0.1767999999999999,705.0,0.0005823788087354,0.0082627280626771,0.0034178227201426,-0.0002181033053747,-1.812996152316647e-05,3269602021435.6406,2563600000000.0,2187540217038.0051,5.047912869973483,0.8816018431180993,16303660454526.72,12783226725212.44,10908028773957.424,0.0001003166065404,7.86553381241048e-05,6.711722399407158e-05,5.707685577237074e-05,4.475230517315421e-05,3.818749702427555e-05
112,112,2,25,3000,0.0012,100000.0,710,17.15,2.43,0.81,,197.6,0.1976,710.0,0.0008477614471075,0.0079719333759512,0.0027511138390001,-0.000365217981882,-9.411635475406744e-05,3636778778747.818,2861284279153.22,2441401443425.0054,3.4810672771978046,0.6909076844729934,12715983830795.428,10004470121096.809,8536351306405.844,0.0001123900862467,8.842440150328589e-05,7.544844915864237e-05,6.392728999561987e-05,5.029564925483738e-05,4.291494962013956e-05
113,113,2,25,3000,0.0012,100000.0,715,17.15,2.43,0.81,,187.6,0.1876,715.0,0.0007383130127436,0.0087872970938663,0.0030319556534105,-0.000418848944019,-8.5980881171829e-05,3436133864402.8154,2710949938074.281,2314529238250.711,3.958598753929927,0.7403671894796509,13560771705030.725,10698818691215.828,9134336391749.23,0.0001069372195786,8.436849675676569e-05,7.203133845751005e-05,6.079006068867034e-05,4.796053290203348e-05,4.094729088309711e-05
114,114,2,25,3000,0.0012,100000.0,720,17.15,2.43,0.81,,182.4,0.1823999999999999,720.0,0.0007056443502278,0.0092589987665444,0.0031326090311638,-7.898694674955188e-05,-8.45781377380999e-05,3324751733487.5366,2630427184309.3906,2247146354781.7773,4.839633288174335,0.8861184542968676,16151994884861.88,12778892931473.129,10916874202182.396,0.0001042059326202,8.244408602599648e-05,7.043111799168607e-05,5.920152517165339e-05,4.683817429000748e-05,4.001336104198508e-05
