,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
77,77,0.1,656,2,100000.0,0.01715,0.00243,5.72,1.24074079328274,7235050000000.0,100000.0,100.0,7235050000000.0,656.0,0.655554979818703,0.039049936185110753,0.0048365135545122605,1.000678844940542,100.0678844940542,7239961477087.068
78,78,0.1,658,2,100000.0,0.01715,0.00243,5.72,1.24155651007879,7239670000000.0,100000.0,100.0,7239670000000.0,658.0,0.6575323899128307,0.0388649594688892,0.005412877535457291,1.0007111590156512,100.07111590156512,7244818556590.839
79,79,0.1,660,2,100000.0,0.01715,0.00243,5.72,1.24231942993718,7244270000000.0,100000.0,100.0,7244270000000.0,660.0,0.6592028481906027,0.034058464251868065,0.005449460310775542,1.001209266330668,100.1209266330668,7253030251801.268
80,80,0.1,662,2,100000.0,0.01715,0.00243,5.72,1.24314995045508,7248860000000.0,100000.0,100.0,7248860000000.0,662.0,0.6615514587720099,0.034383945474389443,0.005348969213224029,1.000678014116729,100.0678014116729,7253774829410.19
81,81,0.1,664,2,100000.0,0.01715,0.00243,5.72,1.24399008048548,7253430000000.0,100000.0,100.0,7253430000000.0,664.0,0.6635478728045427,0.03729123387451037,0.004782175669454819,1.0006813784113968,100.06813784113967,7258372330610.577
82,82,0.1,666,2,100000.0,0.01715,0.00243,5.72,1.24478593786844,7257980000000.0,100000.0,100.0,7257980000000.0,666.0,0.66531954463494,0.03782408547263474,0.004687743381568602,1.001022749700572,100.1022749700572,7265403096871.757
83,83,0.1,668,2,100000.0,0.01715,0.00243,5.72,1.24561914540455,7262510000000.0,100000.0,100.0,7262510000000.0,668.0,0.6675250173231008,0.034662344485142445,0.0053126541625533215,1.0007115578661068,100.07115578661067,7267677696118.178
84,84,0.1,670,2,100000.0,0.01715,0.00243,5.72,1.24636834168605,7267020000000.0,100000.0,100.0,7267020000000.0,670.0,0.6696526996282728,0.03484983758238957,0.0053835906232840335,1.000518627598933,100.05186275989333,7270788877133.998
85,85,0.1,672,2,100000.0,0.01715,0.00243,5.72,1.24722718437682,7271520000000.0,100000.0,100.0,7271520000000.0,672.0,0.6716723321931113,0.036684628015637086,0.004933342022997429,1.0004878387737348,100.04878387737348,7275067329399.987
86,86,0.1,674,2,100000.0,0.01715,0.00243,5.72,1.24809630082086,7276010000000.0,100000.0,100.0,7276010000000.0,674.0,0.6729254405474876,0.034139816983011946,0.005575671443446001,1.0015968477156076,100.15968477156073,7287628679947.236
87,87,0.1,676,2,100000.0,0.01715,0.00243,5.72,1.24884567323607,7280470000000.0,100000.0,100.0,7280470000000.0,676.0,0.6755331008462235,0.03273424459929568,0.005433841998744074,1.0006911565890575,100.06911565890579,7285501944811.9375
88,88,0.1,678,2,100000.0,0.01715,0.00243,5.72,1.24968323318255,7284920000000.0,100000.0,100.0,7284920000000.0,678.0,0.6770433355309251,0.035329925831812055,0.004977923404129714,1.0014130033025503,100.14130033025502,7295213616018.814
89,89,0.1,680,2,100000.0,0.01715,0.00243,5.72,1.25043238280315,7289350000000.0,100000.0,100.0,7289350000000.0,680.0,0.6795449353546701,0.03938355611157045,0.004837477036854208,1.0006696608592816,100.06696608592816,7294231392384.604
90,90,0.1,682,2,100000.0,0.01715,0.00243,5.72,1.2512710931248,7293770000000.0,100000.0,100.0,7293770000000.0,682.0,0.6815229270569033,0.03829117001449581,0.0049785535062296365,1.0007000101158103,100.07000101158104,7298875712782.3955
91,91,0.1,684,2,100000.0,0.01715,0.00243,5.72,1.25210187482514,7298170000000.0,100000.0,100.0,7298170000000.0,684.0,0.6836907992873194,0.03435545715625568,0.004852136536108074,1.0004522522652095,100.04522522652096,7301470613914.386
92,92,0.1,686,2,100000.0,0.01715,0.00243,5.72,1.2528606408531,7302550000000.0,100000.0,100.0,7302550000000.0,686.0,0.6854913545084855,0.03391040826436016,0.005312596216914582,1.0007420159104403,100.07420159104404,7307968608286.785
93,93,0.1,688,2,100000.0,0.01715,0.00243,5.72,1.2537017293449,7306920000000.0,100000.0,100.0,7306920000000.0,688.0,0.6871841554416278,0.03857138038370171,0.0047830714118976365,1.0011872284189205,100.11872284189204,7315594983078.777
94,94,0.1,690,2,100000.0,0.01715,0.00243,5.72,1.25445082841514,7311270000000.0,100000.0,100.0,7311270000000.0,690.0,0.6895318776175827,0.03436113734884659,0.00486824302768846,1.0006788988263091,100.0678898826309,7316233612621.827
95,95,0.1,692,2,100000.0,0.01715,0.00243,5.72,1.25529326238378,7315600000000.0,100000.0,100.0,7315600000000.0,692.0,0.6913786593202076,0.03862516738766227,0.004769998756576409,1.0008986980888352,100.0898698088835,7322174515738.682
96,96,0.1,694,2,100000.0,0.01715,0.00243,5.72,1.25608149875268,7319920000000.0,100000.0,100.0,7319920000000.0,694.0,0.4716026153408048,0.039439991773543,0.004773196804641486,1.4715779290122877,147.15779290122876,10771832714135.623
97,97,0.1,696,2,100000.0,0.01715,0.00243,5.72,1.25688263441476,7324230000000.0,100000.0,100.0,7324230000000.0,696.0,0.6939623560796235,0.03379814051899546,0.005547703354955946,1.0029362456083175,100.29362456083176,7345735738171.808
98,98,0.1,698,2,100000.0,0.01715,0.00243,5.72,1.25768349177669,7328510000000.0,100000.0,100.0,7328510000000.0,698.0,0.6974919065830818,0.03443179010439702,0.005659256121334374,1.0007284577958864,100.07284577958865,7333848510241.731
99,99,0.1,700,2,100000.0,0.01715,0.00243,5.72,1.25848494585637,7332790000000.0,100000.0,100.0,7332790000000.0,700.0,0.6995290222192807,0.03485930457428266,0.004702087224535705,1.0006732783998369,100.06732783998368,7337727009117.539
100,100,0.1,702,2,100000.0,0.01715,0.00243,5.72,1.25928548443795,7337040000000.0,100000.0,100.0,7337040000000.0,702.0,0.7010494732938923,0.03890663362444928,0.005080675192852328,1.0013558625208598,100.13558625208599,7346988017550.051
101,101,0.1,704,2,100000.0,0.01715,0.00243,5.72,1.2600864681475,7341280000000.0,100000.0,100.0,7341280000000.0,704.0,0.7013570821191024,0.035257719679391814,0.00473295418085336,1.0037682914285435,100.37682914285433,7368944082498.538
102,102,0.1,706,2,100000.0,0.01715,0.00243,5.72,1.26088685337121,7345510000000.0,100000.0,100.0,7345510000000.0,706.0,0.7024335884430002,0.03889258691589813,0.005481204244218241,1.0050772224103135,100.50772224103136,7382804787987.183
103,103,0.1,708,2,100000.0,0.01715,0.00243,5.72,1.26168753417693,7349720000000.0,100000.0,100.0,7349720000000.0,708.0,0.7053278237292488,0.03727474379043379,0.0049144923783371024,1.0037885592781843,100.37885592781844,7377564849898.058
104,104,0.1,710,2,100000.0,0.01715,0.00243,5.72,1.26248794694978,7353910000000.0,100000.0,100.0,7353910000000.0,710.0,0.7089243679280344,0.03432614380794756,0.005438859929300672,1.0015172733801059,100.15172733801057,7365067891882.694
105,105,0.1,712,2,100000.0,0.01715,0.00243,5.72,1.2634870605769,7358090000000.0,100000.0,100.0,7358090000000.0,712.0,0.7113575604249718,0.033250422987000885,0.004863468052204184,1.0009031176594851,100.09031176594856,7364735221019.085
106,106,0.1,714,2,100000.0,0.01715,0.00243,5.72,1.2642888534796,7362260000000.0,100000.0,100.0,7362260000000.0,714.0,0.7135074244856696,0.0341723768378754,0.0053562510585006325,1.0006903579380209,100.06903579380209,7367342594632.771
107,107,0.1,716,2,100000.0,0.01715,0.00243,5.72,1.26509115522965,7366410000000.0,100000.0,100.0,7366410000000.0,716.0,0.7148781313699145,0.03935067106194971,0.004803517473822176,1.0015693145178963,100.15693145178965,7377970214157.776
108,108,0.1,718,2,100000.0,0.01715,0.00243,5.72,1.26589288992069,7370540000000.0,100000.0,100.0,7370540000000.0,718.0,0.717515603073025,0.03388507910122237,0.004770628430023703,1.0006751029871688,100.06751029871688,7375515873571.05
