,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
141,141,0.02,782,100000.0,0.01715,0.00243,0.81,1.29164824012589,7999420000000.0,542.0,0.0061701368484533,782.0,0.0712724642210105,0.0339451704963238,0.0014466759056813,0.0135230531988753,7.984302834605546e-05,493575161.0825496,10.97197927063497,0.0676986135982115,5415496435.89805,1.6820544172391625e-08,9.454745599424826e-09
142,142,0.02,784,100000.0,0.01715,0.00243,0.81,1.29245061579877,8002330000000.0,585.0,0.0067686971573909,784.0,0.080215179692459,0.0341525783162347,0.001426767775676,0.012967895222117,-2.363307752862786e-07,541653483.2350398,9.773711197878212,0.0661552912022379,5293964714.464047,1.850689505537654e-08,1.0399889314996822e-08
143,143,0.02,786,100000.0,0.01715,0.00243,0.81,1.29326685540874,8005220000000.0,561.0,0.006595580876562,786.0,0.0565372556649208,0.0338077912742451,0.0020245578759886,0.0128520471776097,-3.601026903770617e-07,527990759.4467169,13.902337330598137,0.0916939902372071,7340305645.266953,1.8085430904422726e-08,1.0161234662554829e-08
144,144,0.02,788,100000.0,0.01715,0.00243,0.81,1.29414859932067,8008100000000.0,606.0,0.0072316082605744,788.0,0.0590292658271209,0.032209771682588,0.0019965370992093,0.0126398150631143,9.61398368436794e-06,579114421.1150655,13.3493105319625,0.096536984315914,7730778241.002708,1.988852256722935e-08,1.1171201608548653e-08
145,145,0.02,790,100000.0,0.01715,0.00243,0.81,1.29519742122294,8010960000000.0,655.0,0.0079308798068445,790.0,0.0499194771866768,0.0313954513617968,0.0019046724073939,0.0123973626631522,9.99276557156078e-06,635339608.9743935,15.825486253506773,0.1255100293614327,10054558248.132631,2.1878059807750184e-08,1.228454770574597e-08
146,146,0.02,792,100000.0,0.01715,0.00243,0.81,1.29600119569745,8013810000000.0,601.0,0.0073818190404147,792.0,0.0460276064034133,0.0349937700559344,0.0017543154352933,0.0122598858893255,-3.3903129834707493e-06,591564952.4426636,17.20706467024249,0.1270194376124444,10179096393.329834,2.0423742458709186e-08,1.1463952733056309e-08
147,147,0.02,794,100000.0,0.01715,0.00243,0.81,1.29690183422233,8016650000000.0,586.0,0.0072971302296401,794.0,0.0678624747228013,0.0271648342596536,0.0015621717882976,0.0135152156886083,-4.056743995691752e-05,584985390.5544492,11.70013329521596,0.0853773963593399,6844407045.241025,2.0246096620104085e-08,1.1362081293049753e-08
148,148,0.02,796,100000.0,0.01715,0.00243,0.81,1.29770587029687,8019470000000.0,618.0,0.007800594087831,796.0,0.0492010860575646,0.0375933918458995,0.0018419757294779,0.0135466714900129,-2.0230684452468445e-05,625566302.6953832,16.178504658793294,0.1262019477913297,10120727342.541351,2.1706715893738042e-08,1.2177814678860644e-08
149,149,0.02,798,100000.0,0.01715,0.00243,0.81,1.29851063884867,8022280000000.0,620.0,0.0079278533635436,798.0,0.0688680973637474,0.030934014072523,0.0015485509515228,0.0134276983776179,4.308289662390528e-05,635994594.8128904,11.58736817985728,0.0918629557993003,7369503530.49611,2.2123205907273323e-08,1.2408943623366051e-08
150,150,0.02,800,100000.0,0.01715,0.00243,0.81,1.29941365924252,8025070000000.0,572.0,0.0074025616186824,800.0,0.0607664094060282,0.031539962414822,0.002085348540031,0.012706077801267,-9.459379735740188e-06,594060751.6924015,13.165168187815237,0.0974559687306205,7820909709.81041,2.0717080575244333e-08,1.1617157054010375e-08
151,151,0.02,802,100000.0,0.01715,0.00243,0.81,1.30021834112426,8027850000000.0,627.0,0.0082113313940291,802.0,0.0426221692110857,0.030610232758521,0.0015622867786143,0.0127450420934904,5.838856102780276e-05,659193367.3155686,18.816498898216683,0.1545085081286414,12403711269.80514,2.3045118340023672e-08,1.2919007031749262e-08
152,152,0.02,804,100000.0,0.01715,0.00243,0.81,1.30109146940227,8030620000000.0,638.0,0.0084604485569032,804.0,0.0767908471398186,0.0296744669672469,0.0017438705933371,0.0125624665869192,4.960360953513324e-05,679426473.9003873,10.469997792003769,0.0885808777101389,7113593681.56596,2.381344257163292e-08,1.3344679480917053e-08
153,153,0.02,806,100000.0,0.01715,0.00243,0.81,1.30192977717907,8033370000000.0,625.0,0.0083951609383202,806.0,0.0859539276649457,0.0369283953514038,0.0022628821276334,0.0140066368669586,2.221170115213867e-05,674414340.2707361,9.377116577404625,0.0787224028047024,6324061890.192121,2.3697441980741563e-08,1.3275287472968438e-08
154,154,0.02,808,100000.0,0.01715,0.00243,0.81,1.30273523472302,8036110000000.0,605.0,0.0082301924278003,808.0,0.0496621725922068,0.0310891963970858,0.0023202152206152,0.0140182658920668,1.2159158991237236e-05,661387316.7097079,16.26992855577958,0.13390464280063,10760724390.56571,2.3296511466280884e-08,1.3047477170614084e-08
155,155,0.02,810,100000.0,0.01715,0.00243,0.81,1.30364324447937,8038830000000.0,622.0,0.0085876787986274,810.0,0.0682981235554507,0.0265488431016084,0.0017770316093416,0.0133990670999749,-1.046688517715778e-05,690348899.5677062,11.859769461197088,0.101847890758532,8187378796.664098,2.4377731333294212e-08,1.3648815517141493e-08
156,156,0.02,812,100000.0,0.01715,0.00243,0.81,1.30444932808101,8041550000000.0,660.0,0.0092500612810428,812.0,0.0382621370613378,0.0412353360495252,0.0020908042330131,0.0140657846258369,-3.459980203069848e-05,743848302.9457005,21.222024235036496,0.1963050246818639,15785966712.304428,2.6336607610414757e-08,1.4737630604130322e-08
157,157,0.02,814,100000.0,0.01715,0.00243,0.81,1.30525570824403,8044240000000.0,596.0,0.008475427466996,814.0,0.0691668696606484,0.03536805312468,0.0022799554625627,0.0126756097896889,3.216626364139288e-05,681783726.4710807,11.768640159569262,0.0997442560576057,8023667343.488345,2.4199501556215108e-08,1.3536575964103604e-08
158,158,0.02,816,100000.0,0.01715,0.00243,0.81,1.30616741790999,8046930000000.0,671.0,0.0096573781336481,816.0,0.0887754895717307,0.034580898661358,0.0018947250597374,0.0129349371104543,1.1615724673442103e-05,777122458.2499733,9.191726274183717,0.088767976330781,7143096917.754518,2.7650248968924346e-08,1.5462243415952242e-08
159,159,0.02,818,100000.0,0.01715,0.00243,0.81,1.30697409968417,8049600000000.0,616.0,0.0089717417393948,818.0,0.0744162743344531,0.031355731501687,0.0017629918436398,0.0128810819138722,-8.306634209606137e-06,722189323.0543276,10.992219206293736,0.0986193518616832,7938463347.458052,2.5759637799941436e-08,1.4399815185436305e-08
160,160,0.02,820,100000.0,0.01715,0.00243,0.81,1.30778091275259,8052260000000.0,647.0,0.0095446281824125,820.0,0.0679540603880468,0.0348423761772372,0.0017254813531394,0.0128863569999699,-8.317125357780681e-06,768558277.2811327,12.06697576741475,0.1151747969861561,9274174107.797457,2.7479579584057953e-08,1.5357037071516863e-08
161,161,0.02,822,100000.0,0.01715,0.00243,0.81,1.30869521201282,8054910000000.0,650.0,0.0097305056381567,822.0,0.0563622266308811,0.03039161736899,0.0017029435935799,0.0126760547534536,8.932723198037453e-06,783783471.698453,14.584235739714751,0.1419119880935017,11430882920.142282,2.8093335358640817e-08,1.5693377841525438e-08
162,162,0.02,824,100000.0,0.01715,0.00243,0.81,1.30950266291593,8057540000000.0,650.0,0.0098721267035652,824.0,0.062740978470174,0.0390558528819628,0.0021310787653999,0.0152632570778407,-4.716646855261742e-05,795450557.9904486,13.133362279195495,0.1296542164640419,10446940353.276766,2.8579842425360472e-08,1.5959711972804177e-08
163,163,0.02,826,100000.0,0.01715,0.00243,0.81,1.31031008129603,8060160000000.0,648.0,0.0099707968474371,826.0,0.0885344163123136,0.0373792215099445,0.0021838864779157,0.0125920622200606,5.7517151741392304e-05,803662179.1783936,9.329705152019145,0.093024594717271,7497931173.563591,2.8947090578738904e-08,1.615767064421804e-08
164,164,0.02,828,100000.0,0.01715,0.00243,0.81,1.3112278617373,8062770000000.0,652.0,0.0101536145582473,828.0,0.0644779200446237,0.0292010170951404,0.0016458787430749,0.0129286316373563,4.546966663707516e-06,818662588.5179979,12.84160530344279,0.1303887105603027,10512941838.442924,2.9559874077085164e-08,1.6493216832311462e-08
165,165,0.02,830,100000.0,0.01715,0.00243,0.81,1.3120355962641,8065360000000.0,663.0,0.0104482334126764,830.0,0.0821623259316766,0.0348295651178375,0.0018876192434342,0.0122236227020923,2.761641430828941e-05,842687638.3726388,10.101953548518084,0.1055475685989317,8512791378.750803,3.0505337484745864e-08,1.7012341817879046e-08
166,166,0.02,832,100000.0,0.01715,0.00243,0.81,1.31284381804785,8067940000000.0,657.0,0.0104938143142746,832.0,0.0742001483927197,0.0317904008807508,0.0019788961811517,0.0119276339589339,-1.5644374435238172e-06,846634642.5870918,11.212915580659851,0.1176662540250818,9493242774.991188,3.0717556078431295e-08,1.7125955838184586e-08
167,167,0.02,834,100000.0,0.01715,0.00243,0.81,1.31376464441493,8070510000000.0,649.0,0.0105079696211077,834.0,0.0624163866891649,0.0299738445695155,0.00195959438725,0.0141067554140724,4.77018824151542e-05,848046739.068466,13.361875690647386,0.1404061838383413,11331495107.29172,3.0847285829047976e-08,1.718864304902559e-08
168,168,0.02,836,100000.0,0.01715,0.00243,0.81,1.31457355675456,8073070000000.0,660.0,0.0108308645783163,836.0,0.0421001540297538,0.0336560273571707,0.0017774037122286,0.013071902999901,3.607249627318967e-06,874383279.0126845,19.857409533684017,0.2150729135354998,17362986860.760372,3.1883878556892595e-08,1.7757768339809526e-08
169,169,0.02,838,100000.0,0.01715,0.00243,0.81,1.315382107129,8075610000000.0,624.0,0.0103817888508122,838.0,0.0664654682786931,0.035931960703945,0.0015538747995308,0.0135335916371774,-5.290705692034575e-05,838392778.6150782,12.60805079242386,0.1308941211472604,10570498736.780275,3.064239213550118e-08,1.706084487348286e-08
170,170,0.02,840,100000.0,0.01715,0.00243,0.81,1.31630553599908,8078140000000.0,604.0,0.0101861962870689,840.0,0.0582615727514621,0.0333841791855735,0.0019454073371827,0.014620196711041,-3.428781376213859e-05,822855196.7442281,14.417736431238358,0.1468618933038183,11863709347.733065,3.0148501248511364e-08,1.6778171015435946e-08
171,171,0.02,842,100000.0,0.01715,0.00243,0.81,1.31711516242917,8080660000000.0,672.0,0.0114890706472418,842.0,0.0586607765616236,0.0424939020163758,0.0018594044524094,0.0127663570969809,1.1161542303741142e-05,928392736.1634111,14.353713833219928,0.164910832280156,13325883659.729654,3.409376346548855e-08,1.8966546708314363e-08
172,172,0.02,844,100000.0,0.01715,0.00243,0.81,1.31795480027411,8083160000000.0,710.0,0.0123111598640219,844.0,0.0648145281970755,0.0351971628439764,0.0016479560576391,0.0131438613233148,3.728566756940965e-05,995130749.664676,13.021771869321135,0.1603131151960363,12958365602.279932,3.663410768887905e-08,2.0369183359656467e-08
173,173,0.02,846,100000.0,0.01715,0.00243,0.81,1.31885197962638,8085660000000.0,687.0,0.0120791721691031,846.0,0.049825950103127,0.0397239955524193,0.002089434255364,0.0129087325840862,-5.22941138119036e-07,976680792.4083076,16.979104226793364,0.2050935232325844,16583164970.607786,3.6041427776092256e-08,2.0030171819643852e-08
174,174,0.02,848,100000.0,0.01715,0.00243,0.81,1.31966185534058,8088140000000.0,641.0,0.0114298837580868,848.0,0.0499457415594406,0.040905646622021,0.0020789344128769,0.0136108241158749,1.6097267363055894e-05,924465000.1913272,16.97842445668349,0.1940614179353514,15695959168.596336,3.4193956177993585e-08,1.899602270878801e-08
175,175,0.02,850,100000.0,0.01715,0.00243,0.81,1.32059219216227,8090600000000.0,666.0,0.0120443333496823,850.0,0.0671106661072826,0.0345236341851496,0.0023705604859204,0.0140130549862762,-4.574263253378406e-05,974458833.9894016,12.66564689793416,0.1525492733280894,12342151507.882402,3.6129454133674986e-08,2.0062151733290825e-08
176,176,0.02,852,100000.0,0.01715,0.00243,0.81,1.32140264665985,8093060000000.0,675.0,0.0123780401791019,852.0,0.0568901748493999,0.025478455208155,0.0017964252293649,0.0137489829584366,-4.783999063496376e-06,1001762218.518826,14.976223965832764,0.1853763019803071,15002615345.04744,3.72346283815205e-08,2.066255968233212e-08
177,177,0.02,854,100000.0,0.01715,0.00243,0.81,1.32221884773407,8095500000000.0,660.0,0.0122746609179152,854.0,0.074369027363673,0.0254739549488501,0.0019009549429238,0.0142246260057645,-3.201579483854533e-05,993695174.6098274,11.483275098164762,0.1409533080571121,11410875053.763515,3.701604622373589e-08,2.0534286134274825e-08
178,178,0.02,856,100000.0,0.01715,0.00243,0.81,1.32314625583204,8097930000000.0,691.0,0.0130319672971017,856.0,0.0727066069764532,0.0402736821340462,0.0018172122375519,0.0123922132518035,5.926315979715998e-05,1055319589.3421944,11.773345444069808,0.1534298528046,12424642079.219543,3.940946554773935e-08,2.1848362166001293e-08
179,179,0.02,858,100000.0,0.01715,0.00243,0.81,1.32395837186324,8100350000000.0,715.0,0.0136677105725969,858.0,0.0775013953116285,0.0343662900225431,0.0023689194802408,0.0130722658971133,4.098214556246046e-05,1107132393.3673546,11.070768423588143,0.1513120586298478,12256806341.22288,4.144398660986972e-08,2.296383459237025e-08
180,180,0.02,860,100000.0,0.01715,0.00243,0.81,1.32489377407417,8102760000000.0,754.0,0.0145520948075431,860.0,0.0700474210771062,0.0299420806725713,0.0020577976411042,0.0133008593897278,8.921152151405185e-06,1179121317.2276862,12.27739703726331,0.1786618456761055,14476540566.705206,4.42384317641693e-08,2.4502749620291893e-08
181,181,0.02,862,100000.0,0.01715,0.00243,0.81,1.3257059739536,8105150000000.0,686.0,0.013366052710748,862.0,0.0813125528208047,0.0328870310332144,0.0013903968517441,0.0126588882690403,1.8643412853407351e-06,1083338621.2851968,10.601069208830047,0.1416944498355107,11484547700.842896,4.074235897179985e-08,2.255285609957121e-08
182,182,0.02,864,100000.0,0.01715,0.00243,0.81,1.32634611282785,8107530000000.0,693.0,0.0136407742936957,864.0,0.0701039975461981,0.0322716991958991,0.0015689645282408,0.0132350376007636,1.6029175927673198e-05,1105929868.093667,12.324546819610813,0.1681163614383962,13630084438.526407,4.168541318058172e-08,2.3064673359607047e-08
183,183,0.02,866,100000.0,0.01715,0.00243,0.81,1.32745767815731,8109910000000.0,721.0,0.014359669384166,866.0,0.0671294921937715,0.0418155841762601,0.001842319023177,0.0129325959120859,4.11344713488888e-05,1164556263.3534229,12.900440204437452,0.1852460562459256,15023288440.093946,4.40000374870504e-08,2.43312268186201e-08
184,184,0.02,868,100000.0,0.01715,0.00243,0.81,1.32809735468001,8112260000000.0,661.0,0.0133184826548873,868.0,0.0692275893301257,0.0369272210447507,0.0021522009967334,0.012960093704734,-3.552959541758826e-05,1080429941.0193636,12.538353688162776,0.1669918461166386,13546812735.78163,4.091729952903545e-08,2.2614415662944944e-08
185,185,0.02,870,100000.0,0.01715,0.00243,0.81,1.32890918261099,8114610000000.0,692.0,0.0141164391108286,870.0,0.0703358445371122,0.0365530286175717,0.0017359602953534,0.0128831657809885,4.5544405495282544e-05,1145493979.7312143,12.36922661163114,0.1746094343111326,14168874617.5546,4.347812369948673e-08,2.4019735492804832e-08
186,186,0.02,872,100000.0,0.01715,0.00243,0.81,1.32985216725563,8116950000000.0,763.0,0.0157663694580035,872.0,0.0777067604528838,0.0399573285495502,0.0017966398243114,0.013285787447287,-3.1271894681850184e-05,1279748325.7214203,11.22167485708946,0.1769250717344618,14360919610.150396,4.8687304814424186e-08,2.688159491555252e-08
187,187,0.02,874,100000.0,0.01715,0.00243,0.81,1.33066499138617,8119270000000.0,677.0,0.0141681431662153,874.0,0.0941540532244289,0.033065486775798,0.0022190670215941,0.0130010563618627,-2.6599903845516823e-05,1150349797.6515706,9.28265932340377,0.131518046257188,10678305274.345991,4.387284192832073e-08,2.420565006183337e-08
188,188,0.02,876,100000.0,0.01715,0.00243,0.81,1.33157712394971,8121580000000.0,737.0,0.015616252387568,876.0,0.0797976728017602,0.031945378257044,0.00161155020948,0.0121556379143713,-5.486282902536282e-05,1268286430.6582513,10.977763752286734,0.1714315294068059,13922948805.997274,4.84832597550169e-08,2.6733871936959648e-08
189,189,0.02,878,100000.0,0.01715,0.00243,0.81,1.33242460601584,8123880000000.0,654.0,0.0140278751633976,878.0,0.0766980587824264,0.0368857369827027,0.0015156938494462,0.0133291038236152,1.6595383869488435e-05,1139607744.8242304,11.447486597942078,0.1605839129305993,13045644385.786377,4.366046696992636e-08,2.406350697309556e-08
190,190,0.02,880,100000.0,0.01715,0.00243,0.81,1.33329262758449,8126170000000.0,720.0,0.0156305843666674,880.0,0.0681957921900675,0.0338615008021144,0.0019334874303634,0.0120872646860038,-1.301688852926434e-05,1270167857.6288192,12.904021959996657,0.2016974039150569,16390273927.724186,4.877689492627641e-08,2.6867359575865282e-08
191,191,0.02,882,100000.0,0.01715,0.00243,0.81,1.33418690330805,8128440000000.0,688.0,0.0151080520845429,882.0,0.06038462601839,0.0369033162405127,0.0019393724970653,0.0133266496069117,-4.673509955519522e-06,1228048948.860824,14.60636685455978,0.2206737512046311,17937333462.41772,4.7263157410715633e-08,2.6020125147169385e-08
192,192,0.02,884,100000.0,0.01715,0.00243,0.81,1.3350018813911,8130710000000.0,733.0,0.0162796449407076,884.0,0.0529404086120166,0.0271422084293048,0.0016497854876209,0.0117268042877352,1.3469447694994903e-06,1323650719.158609,16.698019965779896,0.2718378362557436,22102346136.22937,5.106178875491345e-08,2.809300302097745e-08
193,193,0.02,886,100000.0,0.01715,0.00243,0.81,1.33595387436252,8132960000000.0,745.0,0.016734709714009,886.0,0.0766107446031583,0.03432299456961,0.0015803602680787,0.0140387008585099,1.5231777900912614e-05,1361027247.156471,11.564957429789482,0.1935362054423992,15740222174.148155,5.2618566215923776e-08,2.893502626755564e-08
194,194,0.02,888,100000.0,0.01715,0.00243,0.81,1.33684287774441,8135200000000.0,731.0,0.0166099398329389,888.0,0.06792729341646,0.0320432088006957,0.0021749571330125,0.0129777117859076,3.095731785624333e-05,1351251825.2892523,13.072801157492028,0.2171384406739177,17664646425.704556,5.2362409048952566e-08,2.8775765594884027e-08
195,195,0.02,890,100000.0,0.01715,0.00243,0.81,1.33772361511608,8137440000000.0,704.0,0.0161791408942378,890.0,0.0797256546175049,0.0340102760302092,0.0017938316199118,0.012134832289977,7.818322563008598e-06,1316567882.7840717,11.163282437377289,0.1806123193964985,14697219123.498426,5.11332765601048e-08,2.808462460022423e-08
196,196,0.02,892,100000.0,0.01715,0.00243,0.81,1.33854070982281,8139650000000.0,709.0,0.0164617730022831,892.0,0.0704408038513975,0.0324188201979881,0.002196420545959,0.0148833084036062,1.7313628432362682e-06,1339930706.180339,12.663115001949304,0.2084573246638956,16967696627.004782,5.2155679551676053e-08,2.8629554282740004e-08
197,197,0.02,894,100000.0,0.01715,0.00243,0.81,1.33949736724061,8141860000000.0,751.0,0.017600753266795,894.0,0.0747785389601176,0.0385062624096036,0.0021331103405836,0.0144795777693503,-3.647246312806613e-06,1433028689.9278777,11.955301780859951,0.2104223168749912,17132290448.71816,5.5906559136622114e-08,3.06686857356844e-08
198,198,0.02,896,100000.0,0.01715,0.00243,0.81,1.34037504045888,8144060000000.0,668.0,0.0158012376049184,896.0,0.0754549382872937,0.0301195170467675,0.0021458315487459,0.0137206532089354,-3.592367737298285e-05,1286862271.2871215,11.874636973242108,0.1876339602863482,15281022306.096369,5.0323890991769086e-08,2.758554301291068e-08
199,199,0.02,898,100000.0,0.01715,0.00243,0.81,1.34127561580435,8146240000000.0,758.0,0.0181024039240968,898.0,0.0666376384644991,0.031888063056035,0.0016596805791419,0.0131137821993291,1.900483500097721e-05,1474665269.4263444,13.475867703181072,0.2439456003906745,19872394077.265285,5.7801060671025075e-08,3.1663088163741215e-08
200,200,0.02,900,100000.0,0.01715,0.00243,0.81,1.3422067252821,8148420000000.0,755.0,0.0182040372340668,900.0,0.0947961687674023,0.0360505797603694,0.0017639760775355,0.0120657830298227,3.182227750209043e-05,1483341410.7881503,9.494054577335236,0.1728301230280735,14082924310.844149,5.826634361119484e-08,3.1901599031088853e-08
201,201,0.02,902,100000.0,0.01715,0.00243,0.81,1.34305723027778,8150580000000.0,799.0,0.0194500080822659,902.0,0.0880264796733172,0.0279479843490209,0.0017716857171537,0.0137853915005635,-8.426769782044737e-05,1585288468.751553,10.246916647666602,0.199302611615421,16244318801.804186,6.241383339984825e-08,3.4147757466045926e-08
202,202,0.02,904,100000.0,0.01715,0.00243,0.81,1.34388853234001,8152730000000.0,725.0,0.0178464037894034,904.0,0.0626985158249908,0.027952832933117,0.0017350799822634,0.0136338414973276,-5.7941355230544185e-05,1454969115.659829,14.418204132986457,0.2573130928753214,20978041716.7742,5.7405874899447714e-08,3.138999838753013e-08
203,203,0.02,906,100000.0,0.01715,0.00243,0.81,1.34484269675661,8154870000000.0,728.0,0.0181188425258465,906.0,0.0891796620924196,0.0368693857504548,0.0020738597116133,0.0128081702949152,-1.2639509570321118e-05,1477568053.487501,10.159267020557714,0.1840741593235112,15011008396.425222,5.8428638662017285e-08,3.192785336482468e-08
204,204,0.02,908,100000.0,0.01715,0.00243,0.81,1.34571264364512,8157000000000.0,781.0,0.0196379132857895,908.0,0.0676622849483692,0.0268998116127958,0.0019958586205733,0.0114778978122111,2.3130685077003373e-05,1601864586.7218564,13.419588189977086,0.263532709205776,21496363089.91515,6.348129590602635e-08,3.4668401533023826e-08
205,205,0.02,910,100000.0,0.01715,0.00243,0.81,1.34663252605795,8159120000000.0,734.0,0.0186148890884612,910.0,0.0768635063994906,0.0324547909158967,0.0019764166355443,0.0144615085765706,1.3368715409201175e-05,1518811138.594462,11.839168451024891,0.2203848076154383,17981460915.112747,6.032471005896322e-08,3.2922944197329466e-08
206,206,0.02,912,100000.0,0.01715,0.00243,0.81,1.34753244663371,8161230000000.0,782.0,0.0200013652102667,912.0,0.0971440766170417,0.0426674909721193,0.0019452501217349,0.0130074262096461,-1.4267302490562989e-06,1632357417.9498522,9.388117441223487,0.1877751655787858,15324763145.765545,6.497946251075946e-08,3.543815849523822e-08
207,207,0.02,914,100000.0,0.01715,0.00243,0.81,1.34842556558974,8163330000000.0,741.0,0.0191345412964161,914.0,0.0551377005622271,0.0269351610791701,0.0021569067009168,0.0122396266227617,-3.158494341673804e-05,1562015750.0127263,16.57667967071788,0.3171871617168129,25893034728.577103,6.2324870516053e-08,3.3962785468525745e-08
208,208,0.02,916,100000.0,0.01715,0.00243,0.81,1.34924811240484,8165420000000.0,802.0,0.0209261223286463,916.0,0.0702283941998302,0.0296645626824645,0.0018865126658692,0.0133607511830399,6.626306624777569e-06,1708705777.8477583,13.043157407153323,0.2729427074538808,22286918422.980675,6.831699903824049e-08,3.720901693024708e-08
209,209,0.02,918,100000.0,0.01715,0.00243,0.81,1.35022318030645,8167490000000.0,817.0,0.021537958960519,918.0,0.054195448336145,0.0377297537518941,0.0022388523093972,0.0130386638669487,-1.5311577815778575e-05,1759110644.304495,16.938691867740296,0.3648248502922677,29797033165.135944,7.04961855027886e-08,3.8365255353993616e-08
210,210,0.02,920,100000.0,0.01715,0.00243,0.81,1.35104631264484,8169560000000.0,738.0,0.0196880191613639,920.0,0.0847274325578837,0.033533225405418,0.0021296497960056,0.0123832718840013,-4.893676175647757e-06,1608424538.1991258,10.858348615384733,0.2137793756004644,17464834357.3053,6.46002556785473e-08,3.5132630826843284e-08
211,211,0.02,922,100000.0,0.01715,0.00243,0.81,1.35202507217289,8171610000000.0,743.0,0.0200645957319536,922.0,0.0676165521447274,0.0325615072157569,0.0013827315762659,0.0134222715964461,1.9173861119180645e-05,1639600511.2918966,13.635714492311566,0.273595098804573,22357124453.42437,6.59931329786696e-08,3.5866218593375665e-08
212,212,0.02,924,100000.0,0.01715,0.00243,0.81,1.35284861707109,8173650000000.0,827.0,0.0225989285773953,924.0,0.1010698614594503,0.0426045497646019,0.0019638865075816,0.0128373021584438,-1.6466776613583285e-05,1847157325.6662755,9.142191219592334,0.206603726412458,16887065483.91188,7.451120335372483e-08,4.0465968010866734e-08
213,213,0.02,926,100000.0,0.01715,0.00243,0.81,1.35383093621598,8175690000000.0,736.0,0.020241841761635,926.0,0.0584143530154506,0.0336573778386159,0.0020345421883325,0.0135926847007301,2.1155763180598057e-05,1654910232.7218213,15.852268358686995,0.3208791076795164,26234081118.64346,6.689831953420245e-08,3.630779961750392e-08
214,214,0.02,928,100000.0,0.01715,0.00243,0.81,1.35465559010075,8177710000000.0,779.0,0.0215616371066333,928.0,0.0904907451247254,0.041541434515748,0.0018857723512482,0.0133269629066623,4.720498670100472e-07,1763248153.832863,10.255192381507268,0.2211187365887703,18082449033.89353,7.143435594178611e-08,3.874175680967672e-08
215,215,0.02,930,100000.0,0.01715,0.00243,0.81,1.35564133790432,8179720000000.0,777.0,0.0216643658267395,930.0,0.0750412097993376,0.039029904153871,0.0021429705910339,0.0141656583612061,-5.238040329926661e-05,1772084464.402978,12.393190388146026,0.2684906103292275,21961780151.22189,7.194970613353163e-08,3.899344634152357e-08
216,216,0.02,932,100000.0,0.01715,0.00243,0.81,1.35646694133815,8181720000000.0,803.0,0.022607694701783,932.0,0.081823287249108,0.0267076424908022,0.0020350453280675,0.0131913267136552,-2.4448017969231023e-05,1849698278.9547267,11.390400353417236,0.2575106937211389,21068803930.321167,7.525970718339458e-08,4.075914903391069e-08
217,217,0.02,934,100000.0,0.01715,0.00243,0.81,1.3574559834824,8183710000000.0,797.0,0.0226555337541108,934.0,0.0780376655432064,0.0358861741647342,0.0019769348817236,0.0131706169484444,2.9541047358267434e-05,1854063181.388548,11.968579448124062,0.2711545556757325,22190502488.290485,7.560196152031804e-08,4.091350027536336e-08
218,218,0.02,936,100000.0,0.01715,0.00243,0.81,1.35828237364387,8185690000000.0,757.0,0.0217303241905148,936.0,0.0823439764034219,0.0350961363744592,0.0020564454040045,0.0126670802007013,-1.5836357923621912e-05,1778776974.230553,11.366951668866731,0.2470075448223876,20219271895.7717,7.269538095987342e-08,3.93081293885892e-08
219,219,0.02,938,100000.0,0.01715,0.00243,0.81,1.35927457241784,8187660000000.0,806.0,0.0233680112582487,938.0,0.0866291234797245,0.0348357706852188,0.001939422843504,0.0136487179857648,3.174321687395601e-05,1913293310.5871303,10.827767410339067,0.2530233907465024,20716694954.79508,7.83483962109904e-08,4.234109498546573e-08
220,220,0.02,940,100000.0,0.01715,0.00243,0.81,1.36010248136541,8189620000000.0,816.0,0.02389190490395,940.0,0.0856479880206961,0.0417558087574561,0.0017034652750467,0.0139713925716353,-8.043103709223381e-06,1956656222.394873,10.975155654244396,0.2622173751972566,21474606602.62957,8.030671312598998e-08,4.3362628507236274e-08
221,221,0.02,942,100000.0,0.01715,0.00243,0.81,1.36109770020853,8191570000000.0,824.0,0.0244235489774267,942.0,0.0667202043796351,0.0298741450872842,0.0020632926589965,0.0113524079211725,3.1686737760194326e-06,2000672110.9701967,14.118661787066184,0.3448278276521345,28246812881.603954,8.2293997939796e-08,4.439905672537794e-08
222,222,0.02,944,100000.0,0.01715,0.00243,0.81,1.36192697936982,8193510000000.0,803.0,0.024107763148883,944.0,0.0787313004304905,0.0367104228110473,0.0018036810295457,0.012436756290013,3.095958205319621e-05,1975271984.380048,11.990148706275065,0.2890556651307658,23683804828.05581,8.141573866603738e-08,4.3895732864022144e-08
223,223,0.02,946,100000.0,0.01715,0.00243,0.81,1.36276562632542,8195440000000.0,820.0,0.0249269348692515,946.0,0.0775337532687672,0.0328305000770845,0.0020368016539918,0.0119587389663406,-9.732068993897336e-06,2042871991.048592,12.201137699612378,0.3041369647690078,24925362465.46517,8.438353122196223e-08,4.5460577914000735e-08
