,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
266,266,2.25,0.02,1430,1,100000.0,68.59,11.21,8.75,,971.9,0.9719,1430.0,0.143559347380301,0.0490704882233105,0.0071740384979578,-0.0001444913290119,-5.856152241019955e-05,3059521762000.0,436753926130.95245,1677098611534.6536,2214770630652.632,10.035443466644791,9.755087624333166,30708820739648.324,4383756373782.258,16833258473266.832,22229942967194.207,0.0001910499196033,2.727282528601245e-05,0.0001047253720761,0.0001382999644524,0.000124656601395,1.7795022984849506e-05,6.833140254627085e-05,9.023821406202153e-05
267,267,2.25,0.02,1435,1,100000.0,68.59,11.21,8.75,,947.9,0.9479,1435.0,0.15115043420883,0.0468530189642292,0.0073639115043312,0.0004718852529311,-2.7918382108301396e-05,2983970242000.0,411664168071.42847,1616986758732.673,2143194790749.9995,9.635172295066257,9.14309446562161,28782278515887.52,3970761026256.569,15596859040776.588,20672468013561.96,0.0001869836632927,2.5795992570213672e-05,0.0001013247730784,0.0001342983946299,0.0001219512493383,1.6824215904556196e-05,6.608429019016956e-05,8.758977506840413e-05
268,268,2.25,0.02,1440,1,100000.0,68.59,11.21,8.75,,957.2,0.9572,1440.0,0.1426432860743943,0.0475180153750743,0.0071561007417449,0.0008147794800127,2.0675274747881494e-05,3013246456000.0,401537332171.42847,1614131427529.412,2147241492416.6665,10.172076641447134,9.726942223165016,30620219579679.008,4080370278390.413,16402594166499.64,21819989485916.773,0.0001894482854135,2.524538242066784e-05,0.0001014833787554,0.0001350009781965,0.0001235266138929,1.6460833097810005e-05,6.617055475964547e-05,8.80251498315808e-05
269,269,2.25,0.02,1445,1,100000.0,68.59,11.21,8.75,,947.4,0.9474,1445.0,0.1448313165307808,0.048519960587774,0.0065057419717612,3.467460745213849e-05,4.313056989775054e-06,2982396252000.0,383683691285.7141,1579173782882.353,2108517650000.0005,10.021905699962511,9.501416317452144,29910268539013.008,3847940136291.277,15837436720256.516,21146193799182.875,0.0001881183206212,2.4201321875339808e-05,9.960833333457113e-05,0.0001329973503863,0.0001226301642458,1.5776305395121927e-05,6.493246503972423e-05,8.669802530812802e-05
270,270,2.25,0.02,1450,1,100000.0,68.59,11.21,8.75,,951.2,0.9512,1450.0,0.133743213616799,0.0475985657732937,0.0068216799094075,0.0006807039191152,-1.1091650824748463e-05,2994358576000.0,371732538323.8092,1567130909019.608,2100247246515.464,11.145133331505676,10.60983036905203,33399533805168.41,4146361621396.919,17480017988642.078,23426479203740.195,0.0001895194418867,2.35277577505176e-05,9.91871105957268e-05,0.0001329291986518,0.0001234939817709,1.5331073465740472e-05,6.463195071636109e-05,8.661884961089884e-05
271,271,2.25,0.02,1455,1,100000.0,68.59,11.21,8.75,,971.6,0.9716,1455.0,0.1556714814098313,0.0451438606193101,0.0066921457989045,0.0005123622817089,6.899217045774427e-06,3058577368000.0,366212451845.7829,1582084484699.0293,2128248853999.9995,9.476833126990496,9.216520828901642,29013423238965.797,3473862381885.3413,15007528413246.938,20188400465188.4,0.0001942301291659,2.325574385280235e-05,0.0001004677785919,0.0001351510849895,0.0001265158401601,1.5148113141463053e-05,6.54417801819213e-05,8.803347420627123e-05
272,272,2.25,0.02,1460,1,100000.0,68.59,11.21,8.75,,942.2,0.9422,1460.0,0.1441362329455614,0.0476865017991459,0.0068275635239013,0.0003184285725595,2.199595707513456e-05,2966026756000.0,342337332799.9998,1516266451747.5725,2047400888428.571,10.298796570604408,9.719164032443429,30595733990851.258,3531344398123.9365,15640885545983.465,21119746417753.86,0.0001889584807966,2.1809493860779543e-05,9.6597714307752e-05,0.0001304350207484,0.0001230517366898,1.420257023967075e-05,6.290544068584638e-05,8.494064812866681e-05
273,273,2.25,0.02,1465,1,100000.0,68.59,11.21,8.75,,958.3,0.9582999999999998,1465.0,0.1471226788009971,0.0512825414667271,0.0069214891954207,-3.661498290619999e-05,-1.0251113068305553e-06,3016709234000.0,335449185712.0479,1524051571000.0,2065751941555.556,10.14271024984838,9.71180395603322,30572564617513.457,3399579180680.7773,15445361657556.553,20935174661570.02,0.0001928313546526,2.1442278947186448e-05,9.741904379917542e-05,0.0001320451241295,0.0001255181392232,1.395724755969335e-05,6.341218275737963e-05,8.595105450623411e-05
274,274,2.25,0.02,1470,1,100000.0,68.59,11.21,8.75,,934.6,0.9346,1470.0,0.1503224071584781,0.0473399434892853,0.0067213101210687,0.0002419820754971,-9.800645854436522e-06,2942102108000.0,315019406346.98773,1468775303000.0002,1998480102666.6667,9.881677141828945,9.230439493636732,29057238917178.56,3111242852136.993,14506143338422.275,19737694914296.59,0.0001886695904355,2.0201400288976985e-05,9.418885704388664e-05,0.0001281574903326,0.0001227707208251,1.3145417178415624e-05,6.129039579873313e-05,8.339440092582547e-05
275,275,2.25,0.02,1475,1,100000.0,68.59,11.21,8.75,,937.7,0.9377000000000002,1475.0,0.1464630852053459,0.0466873908189668,0.0067827638407301,0.000228481007075,2.010844753002194e-05,2951860846000.0,304165375526.50586,1456142789076.923,1988969014555.556,10.26043213199178,9.61867695443819,30279402679032.33,3120047443654.515,14936725058830.7,20402314624503.74,0.0001899043761836,1.956810937558328e-05,9.367917473776062e-05,0.0001279579016976,0.0001235287209863,1.2728635178742429e-05,6.093629262776319e-05,8.323386882638229e-05
276,276,2.25,0.02,1480,1,100000.0,68.59,11.21,8.75,,928.8,0.9288,1480.0,0.1590664868799194,0.0458230457209356,0.0067262447142464,0.0001442171783955,3.3999347301324677e-06,2923843824000.0,289787289744.57825,1425115867885.714,1954137614400.0,9.372341830703776,8.704412453293338,27401316314718.363,2715792521165.839,13355723845618.385,18313544128157.08,0.0001887187695617,1.8704248259203423e-05,9.198374785367293e-05,0.0001261293243902,0.0001227057056164,1.2161577706345794e-05,5.980820409036869e-05,8.200979576214638e-05
277,277,2.25,0.02,1485,1,100000.0,68.59,11.21,8.75,,937.5,0.9375000000000002,1485.0,0.1643162208397825,0.0491821841899386,0.0071678804349385,0.0002643606885927,1.4321770819946912e-05,2951231250000.0,281153166415.66254,1421218750000.0,1956444000000.0,9.13574226828464,8.563315478917772,26957145861323.56,2568110146041.587,12981700822190.04,17870557001424.85,0.000191094911174,1.820492357639652e-05,9.202520839064763e-05,0.0001266815307668,0.0001242124219523,1.1833269839524004e-05,5.981673684897231e-05,8.234347872750114e-05
278,278,2.25,0.02,1490,1,100000.0,68.59,11.21,8.75,,941.7,0.9417000000000002,1490.0,0.1517917489752335,0.0468191502346715,0.006859798351137,0.0006372769416231,4.352870613764606e-06,2964452766000.0,271288507569.51227,1410349112571.4285,1949204112600.0,9.869137186474612,9.29947021431307,29274546245253.26,2679026649281.22,13927471131083.012,19248768808261.914,0.0001925831623325,1.7624028047083725e-05,9.162213519041032e-05,0.0001266283937263,0.0001251299128782,1.1451120998248794e-05,5.953100808625336e-05,8.227614337090034e-05
279,279,2.25,0.02,1495,1,100000.0,68.59,11.21,8.75,,914.8,0.9148,1495.0,0.1454990737754997,0.0471006535856778,0.0065824865203829,0.0002928139782911,-3.61924639959067e-05,2879772104000.0,252997980487.80505,1353482501584.9055,1878017012752.4756,10.41730327450198,9.52141144848395,29973212811598.508,2633250839374.624,14087301908519.035,19546756324517.977,0.0001876683598843,1.6487317168698192e-05,8.820345222869882e-05,0.0001223862027584,0.0001219247903298,1.0711516262701186e-05,5.7304211674160085e-05,7.951213576859871e-05
280,280,2.25,0.02,1500,1,100000.0,68.59,11.21,8.75,,932.6,0.9326,1500.0,0.1600689959904457,0.0473873450887263,0.0069924604501445,0.0006281783993067,-5.039951429558881e-05,2935806148000.0,247445324980.4877,1363020437551.402,1898843221821.7825,9.523148354435667,8.894745572561671,28000481167512.688,2360029175231.907,12999914220696.336,18110366009315.93,0.0001919104516481,1.6175231497352124e-05,8.909916206642675e-05,0.0001241253141175,0.0001246759166789,1.050834801913102e-05,5.788387037058718e-05,8.063884581470569e-05
281,281,2.25,0.02,1505,1,100000.0,68.59,11.21,8.75,,919.9,0.9199,1505.0,0.148891062196526,0.0449052874516068,0.0065689429350285,0.0002101097755497,1.992742733192154e-05,2895826802000.0,234009255104.87796,1328032900830.189,1857554343237.623,10.161543918211557,9.344278890246905,29415603060919.457,2377049399498.765,13490063920840.195,18868905138603.957,0.0001899001048837,1.5345662957989148e-05,8.708862939684599e-05,0.0001218131430942,0.0001233473954082,9.96759616240908e-06,5.6567402173624775e-05,7.912230452091934e-05
282,282,2.25,0.02,1510,1,100000.0,68.59,11.21,8.75,,922.0,0.922,1510.0,0.159591208378265,0.0501000159939433,0.0070449900829706,0.0006283403319275,-7.882052411955042e-07,2902437560000.0,224700305170.73175,1314673537358.4905,1846394126666.6667,9.553767014620677,8.805414968787247,27719270213442.875,2145964675316.0784,12555581393627.912,17633694665110.11,0.0001909238262031,1.4780900923921548e-05,8.647989724906005e-05,0.000121456749389,0.0001240013483433,9.599910502242187e-06,5.61670278494645e-05,7.888381973668284e-05
283,283,2.25,0.02,1515,1,100000.0,68.59,11.21,8.75,,909.2,0.9092,1515.0,0.1569955576376059,0.0498377007693936,0.0067693626708165,0.0003008378212809,-1.148765911335472e-05,2862143416000.0,212144893165.43195,1280410640186.9158,1805667845669.903,9.88315135386572,9.00713521475387,28354281513340.89,2101647313968.9397,12684592792095.38,17888137306293.6,0.0001888480472009,1.3997603535168438e-05,8.448320502144464e-05,0.0001191403773277,0.0001226416517656,9.090320200597409e-06,5.486506195779383e-05,7.737211416285425e-05
284,284,2.25,0.02,1520,1,100000.0,68.59,11.21,8.75,,901.7,0.9017,1520.0,0.1547150580453944,0.0485365685406059,0.0067262698004203,0.0008112874586442,-2.347002093801606e-06,2838533566000.0,201282884200.00003,1254098517532.7102,1775845010980.5828,9.958185397554294,9.001144235361936,28335422030034.664,2009289423082.904,12518932728918.158,17727223115763.7,0.0001878737937655,1.332229413373543e-05,8.30049181263288e-05,0.000117537711496,0.000121990921851,8.650482379536197e-06,5.389706716115892e-05,7.632003107134924e-05
285,285,2.25,0.02,1525,1,100000.0,68.59,11.21,8.75,,904.4,0.9044,1525.0,0.158524562409093,0.0461806374781757,0.0070924758025349,0.0001930621992242,-4.042344033020022e-05,2847033112000.0,192986733851.85165,1242152115814.815,1766257550834.9512,9.669343712184428,8.749700203969605,27543881248092.227,1867067740542.8728,12017313822541.084,17087819607257.207,0.0001890075154027,1.281191388933663e-05,8.246341926017321e-05,0.0001172574880978,0.0001230963145901,8.344109382443809e-06,5.37065575292308e-05,7.636714663012954e-05
