,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
48,48,0.1,510,2.25,1,100000.0,0.01715,0.00243,5.72,684385000000.0,378.42,0.37842,25898497170.0,0.00939645960104485,0.010227771926448968,0.002857703501211236
49,49,0.1,520,2.25,1,100000.0,0.01715,0.00243,5.72,687453000000.0,380.26,0.38025999999999993,26141087778.0,0.009722248067769217,0.010712241701229763,0.002816940832011305
50,50,0.1,530,2.25,1,100000.0,0.01715,0.00243,5.72,690456000000.0,384.88,0.38488000000000006,26574270528.0,0.010120894525631457,0.01075641570685594,0.0028533523935552084
51,51,0.1,540,2.25,1,100000.0,0.01715,0.00243,5.72,693397000000.0,388.29,0.38829,26923912113.0,0.010165285496485694,0.010450042908743792,0.002840286964024269
52,52,0.1,550,2.25,1,100000.0,0.01715,0.00243,5.72,696277000000.0,389.19,0.38919,27098404563.0,0.010600246530377718,0.010591141965547482,0.0028641891959353895
53,53,0.1,560,2.25,1,100000.0,0.01715,0.00243,5.72,699099000000.0,390.97,0.39097,27332673603.0,0.010792404178373544,0.010691514899876815,0.002839480186105581
54,54,0.1,570,2.25,1,100000.0,0.01715,0.00243,5.72,701863000000.0,391.57,0.39157,27482849491.0,0.01129159140496995,0.010368718278765768,0.0028741511112848873
55,55,0.1,580,2.25,1,100000.0,0.01715,0.00243,5.72,704572000000.0,395.56,0.39556,27870050032.0,0.01159296847660471,0.01081163583415022,0.002855359200965234
56,56,0.1,590,2.25,1,100000.0,0.01715,0.00243,5.72,707227000000.0,401.84,0.4018400000000001,28419209768.0,0.011838311400093744,0.011102613869488869,0.0028609464227817767
57,57,0.1,600,2.25,1,100000.0,0.01715,0.00243,5.72,709830000000.0,402.05,0.40205,28538715150.0,0.011981877943213703,0.010592656249430852,0.002828028728962719
58,58,0.1,610,2.25,1,100000.0,0.01715,0.00243,5.72,712382000000.0,409.44,0.4094399999999999,29167768608.0,0.012128390855746147,0.01070321783595596,0.0028483162232799315
59,59,0.1,620,2.25,1,100000.0,0.01715,0.00243,5.72,714884000000.0,405.63,0.40562999999999994,28997839692.0,0.012639087421554224,0.01072305656056344,0.0028350362404610217
60,60,0.1,630,2.25,1,100000.0,0.01715,0.00243,5.72,717339000000.0,408.92,0.40892,29333426388.0,0.01347335714397559,0.01063850093707488,0.002854244192393556
61,61,0.1,640,2.25,1,100000.0,0.01715,0.00243,5.72,719747000000.0,413.94,0.41394,29793207318.0,0.013555747090275645,0.01078224568883648,0.0028684050911740285
62,62,0.1,650,2.25,1,100000.0,0.01715,0.00243,5.72,722109000000.0,417.12,0.41712,30120610608.0,0.013683987718219442,0.010453721912356715,0.002828108330633424
63,63,0.1,660,2.25,1,100000.0,0.01715,0.00243,5.72,724427000000.0,418.68,0.41868,30330309636.0,0.01407066944161329,0.010761232538275897,0.002839721458898413
64,64,0.1,670,2.25,1,100000.0,0.01715,0.00243,5.72,726702000000.0,423.37,0.4233700000000001,30766382574.0,0.01448361352204074,0.010767031065797588,0.002869163516921903
65,65,0.1,680,2.25,1,100000.0,0.01715,0.00243,5.72,728935000000.0,424.59,0.4245900000000001,30949851165.0,0.015064369106333969,0.010819903160134451,0.0028486574474220127
66,66,0.1,690,2.25,1,100000.0,0.01715,0.00243,5.72,731127000000.0,425.78,0.42577999999999994,31129925406.0,0.014708825177292512,0.010110392953677232,0.0028517806886650355
67,67,0.1,700,2.25,1,100000.0,0.01715,0.00243,5.72,733279000000.0,430.67,0.43067000000000005,31580126693.0,0.015156133981165568,0.010913012286230508,0.0028579618807807296
68,68,0.1,710,2.25,1,100000.0,0.01715,0.00243,5.72,735391000000.0,432.93,0.43293,31837282563.0,0.015269408750375532,0.010852604238021988,0.0028178213678055194
