,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
32,32,2.5,0.012,1200,1,100000.0,1700,,240.8125,0.2408125,,0.008373967480210354,0.001660881366521964,0.00036505086005321475
33,33,2.5,0.012,1200,1,100000.0,1750,,244.0,0.244,,0.009147517737531528,0.001734158930607748,0.00035946636080586334
34,34,2.5,0.012,1200,1,100000.0,1800,,243.0,0.243,,0.009293456933335165,0.00154121882898312,0.0003654821214641572
35,35,2.5,0.012,1200,1,100000.0,1850,,238.5625,0.2385625,,0.009564300922434654,0.0015106759213748832,0.000371373876294864
36,36,2.5,0.012,1200,1,100000.0,1900,,224.625,0.22462500000000005,,0.008728813649000243,0.0016043207103766607,0.00037245896777295026
37,37,2.5,0.012,1200,1,100000.0,1950,,199.875,0.199875,,0.008814455901045902,0.001615541323671863,0.0003808820025298115
38,38,2.5,0.012,1200,1,100000.0,2000,,176.6875,0.17668750000000003,,0.010344635092735643,0.0015438545060864868,0.0003654851325366684
39,39,2.5,0.012,2400,1,100000.0,100,,43.25,0.04325,,0.00019358637149569088,0.004217999871261304,0.0002909060297999201
40,40,2.5,0.012,2400,1,100000.0,150,,43.5625,0.04356249999999999,,0.00031468368111120526,0.002933156933706874,0.00027901679275709574
41,41,2.5,0.012,2400,1,100000.0,200,,18.1875,0.0181875,,0.0006228392505244492,0.00378486913262778,0.00026751281704509713
42,42,2.5,0.012,2400,1,100000.0,250,,22.1875,0.0221875,,0.0006613345186672198,0.0033943587940291143,0.0002832202517578039
43,43,2.5,0.012,2400,1,100000.0,300,,23.5625,0.0235625,,0.0007812241366258155,0.0025269116902512075,0.0002803004668674303
44,44,2.5,0.012,2400,1,100000.0,350,,29.8125,0.0298125,,0.0009036365886956332,0.0021426462092249553,0.000273165503251019
45,45,2.5,0.012,2400,1,100000.0,400,,35.6875,0.0356875,,0.0008224387372948173,0.0023436354773062216,0.00032265848628421556
46,46,2.5,0.012,2400,1,100000.0,450,,38.625,0.03862500000000001,,0.0010625769344052571,0.002221134999818743,0.00030964921308680737
47,47,2.5,0.012,2400,1,100000.0,500,,44.3125,0.0443125,,0.0008205113295325361,0.002236139539864331,0.00035803483650606875
