,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
42,42,2.5,0.012,2400,1,100000.0,250,,100000.0,100.0,,0.24981978478002276,0.07303178362040441,0.06457016116687692
43,43,2.5,0.012,2400,1,100000.0,300,,100000.0,100.0,,0.29981631466354486,0.07121860606303171,0.05919101239434148
44,44,2.5,0.012,2400,1,100000.0,350,,100000.0,100.0,,0.3497635306061966,0.0648919619468803,0.05741812119916719
45,45,2.5,0.012,2400,1,100000.0,400,,100000.0,100.0,,0.39819295905240887,0.06212017433443144,0.051904619460397206
46,46,2.5,0.012,2400,1,100000.0,450,,100000.0,100.0,,0.4470670140805879,0.060910194122906686,0.049671557663799805
47,47,2.5,0.012,2400,1,100000.0,500,,100000.0,100.0,,0.4994434266118759,0.05942549666924688,0.046493602826383984
48,48,2.5,0.012,2400,1,100000.0,550,,100000.0,100.0,,0.5458298723871735,0.05460605357046187,0.0453910715228079
49,49,2.5,0.012,2400,1,100000.0,600,,100000.0,100.0,,0.5992488586797435,0.05523745894275657,0.04253080597577032
50,50,2.5,0.012,2400,1,100000.0,650,,100000.0,100.0,,0.6494920292986706,0.05304353991400894,0.03949947601767116
51,51,2.5,0.012,2400,1,100000.0,700,,100000.0,100.0,,0.6991639450374691,0.05420428555071581,0.039400231562175536
52,52,2.5,0.012,2400,1,100000.0,750,,100000.0,100.0,,0.7486444722170803,0.05422475079787487,0.03845417171618869
53,53,2.5,0.012,2400,1,100000.0,800,,100000.0,100.0,,0.7355349500201216,0.05589773282396113,0.037818675696919365
54,54,2.5,0.012,2400,1,100000.0,850,,100000.0,100.0,,0.8490575971377153,0.05253711780281265,0.03674769009496412
55,55,2.5,0.012,2400,1,100000.0,900,,100000.0,100.0,,0.8994339560623531,0.0489758641551518,0.03407900916523541
56,56,2.5,0.012,2400,1,100000.0,950,,100000.0,100.0,,0.9493011134529754,0.047121222326304925,0.035630162904037185
57,57,2.5,0.012,2400,1,100000.0,1000,,100000.0,100.0,,0.998362455043008,0.05014354861955096,0.03358159886027259
58,58,2.5,0.012,2400,1,100000.0,1050,,100000.0,100.0,,1.0485724426382035,0.05005083290664206,0.033594516844211345
59,59,2.5,0.012,2400,1,100000.0,1100,,100000.0,100.0,,1.0988182863488305,0.05032708627561681,0.03214288579856374
60,60,2.5,0.012,2400,1,100000.0,1150,,100000.0,100.0,,1.148076249039832,0.04653528893341072,0.03180656830851519
61,61,2.5,0.012,2400,1,100000.0,1200,,100000.0,100.0,,1.1950133865327075,0.04567453892198048,0.031218775104754865
62,62,2.5,0.012,2400,1,100000.0,1250,,100000.0,100.0,,1.2487927330726052,0.04685054281038532,0.02869734708579088
63,63,2.5,0.012,2400,1,100000.0,1300,,100000.0,100.0,,1.2985590050723204,0.045023331472499935,0.02849790315816447
64,64,2.5,0.012,2400,1,100000.0,1350,,100000.0,100.0,,1.3479462350744595,0.046869938074396045,0.027740141207478777
65,65,2.5,0.012,2400,1,100000.0,1400,,100000.0,100.0,,1.3990219528718624,0.04501926622570922,0.02787782651816611
66,66,2.5,0.012,2400,1,100000.0,1450,,100000.0,100.0,,1.4416603873210647,0.04475362840168966,0.02878951463116824
67,67,2.5,0.012,2400,1,100000.0,1500,,100000.0,100.0,,1.497237041551216,0.044241847408712995,0.02774175447886165
68,68,2.5,0.012,2400,1,100000.0,1550,,100000.0,100.0,,1.54720502598434,0.04350606640277048,0.026450247150831007
69,69,2.5,0.012,2400,1,100000.0,1600,,100000.0,100.0,,1.597399557392464,0.04527984216202905,0.026479572108544465
70,70,2.5,0.012,2400,1,100000.0,1650,,100000.0,100.0,,1.635326289587283,0.043484658602195136,0.02478536520156541
71,71,2.5,0.012,2400,1,100000.0,1700,,100000.0,100.0,,1.6962385974068184,0.04535435517825444,0.025894517254952686
72,72,2.5,0.012,2400,1,100000.0,1750,,100000.0,100.0,,1.7445215346543819,0.044220133446041934,0.024738827667784655
73,73,2.5,0.012,2400,1,100000.0,1800,,100000.0,100.0,,1.7864078133128487,0.04410758787644842,0.02497657701649416
74,74,2.5,0.012,2400,1,100000.0,1850,,100000.0,100.0,,1.846595569226679,0.04445091465837547,0.024554037759614015
75,75,2.5,0.012,2400,1,100000.0,1900,,100000.0,100.0,,1.896187191814988,0.040780345246303216,0.02519957253170965
76,76,2.5,0.012,2400,1,100000.0,1950,,100000.0,100.0,,1.9477038340207289,0.04188038950328255,0.024412921821585068
77,77,2.5,0.012,2400,1,100000.0,2000,,100000.0,100.0,,1.9962698633381135,0.04412319100089133,0.025130855231869448
78,78,2.5,0.01,1200,1,100000.0,100,,100000.0,100.0,,0.09991149929860654,0.1085625559277144,0.10373309008229442
79,79,2.5,0.01,1200,1,100000.0,150,,100000.0,100.0,,0.14972066289462305,0.09530529438406905,0.08440598861536111
80,80,2.5,0.01,1200,1,100000.0,200,,100000.0,100.0,,0.19959136749146464,0.08175864651412341,0.07580447458687971
81,81,2.5,0.01,1200,1,100000.0,250,,100000.0,100.0,,0.2498080937188689,0.07048198134980063,0.06727516763367156
82,82,2.5,0.01,1200,1,100000.0,300,,100000.0,100.0,,0.2951592519398645,0.06867876717231873,0.058134389371048895
83,83,2.5,0.01,1200,1,100000.0,350,,100000.0,100.0,,0.3492572465089978,0.06630920502661657,0.05883557333676407
84,84,2.5,0.01,1200,1,100000.0,400,,100000.0,100.0,,0.3979520131519223,0.06283326079272566,0.05128753038648826
85,85,2.5,0.01,1200,1,100000.0,450,,100000.0,100.0,,0.44944808586471646,0.05986058298634073,0.046554846017678286
86,86,2.5,0.01,1200,1,100000.0,500,,100000.0,100.0,,0.49919782524891326,0.058260256109499926,0.04683289623918568
87,87,2.5,0.01,1200,1,100000.0,550,,100000.0,100.0,,0.5493678363160086,0.05715464635261624,0.04503193747603941
88,88,2.5,0.01,1200,1,100000.0,600,,100000.0,100.0,,0.5991995072487839,0.05652836144587959,0.042019283685031945
89,89,2.5,0.01,1200,1,100000.0,650,,100000.0,100.0,,0.6491021205351615,0.055323280563170485,0.04145986560284396
90,90,2.5,0.01,1200,1,100000.0,700,,100000.0,100.0,,0.6972288933545485,0.05560233075137192,0.03928053027963549
91,91,2.5,0.01,1200,1,100000.0,750,,100000.0,100.0,,0.7488453005481118,0.04995652103741069,0.03685703708741101
92,92,2.5,0.01,1200,1,100000.0,800,,100000.0,100.0,,0.7987298063165725,0.05317364657019068,0.03700072568414666
93,93,2.5,0.01,1200,1,100000.0,850,,100000.0,100.0,,0.8483932894482676,0.05076761214217963,0.0375361731686249
94,94,2.5,0.01,1200,1,100000.0,900,,100000.0,100.0,,0.8932767666153721,0.05045499769865629,0.03417306420107566
95,95,2.5,0.01,1200,1,100000.0,950,,100000.0,100.0,,0.9441704111831939,0.049600285331420794,0.0342693398082276
