,Simulation Number,Dipole.bendingRadius,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
58,58,13.895833333333334,5801.0,1000,1043780000000.0,1000.0,100.0,5801.0,0.0,0.1089799666883514,0.1001182494044855,1043780000000.0,,,,0.0002123948299206,3.58173533907035e-05
59,59,13.895833333333334,5901.0,1000,1003830000000.0,1000.0,100.0,5901.0,0.0,0.134367958370477,0.0783970888738434,1003830000000.0,,,,0.0002037048302702,3.349115878848904e-05
60,60,13.895833333333334,6001.0,1000,965315000000.0,1000.0,100.0,6001.0,0.0,0.13761865676414,0.0770972974651061,965315000000.0,,,,0.0001951518532022,3.1318756100500726e-05
61,61,13.895833333333334,6101.0,1000,928202000000.0,1000.0,100.0,6101.0,0.0,0.1448005609150782,0.0948866987696826,928202000000.0,,,,0.0001867910051832,2.92993009312972e-05
62,62,13.895833333333334,6201.0,1000,892442000000.0,1000.0,100.0,6201.0,0.0,0.1383549265488897,0.0775149148056298,892442000000.0,,,,0.0001786122817876,2.741652010291464e-05
63,63,13.895833333333334,6301.0,1000,857990000000.0,1000.0,100.0,6301.0,0.0,0.1063822025089107,0.0868967925154916,857990000000.0,,,,0.0001706578146393,2.5664529875221964e-05
64,64,13.895833333333334,6401.0,1000,824803000000.0,1000.0,100.0,6401.0,0.0,0.1353889711764315,0.09055362458833,824803000000.0,,,,0.0001629292606227,2.4034944957757605e-05
65,65,13.895833333333334,6501.0,1000,792840000000.0,1000.0,100.0,6501.0,0.0,0.1345016924542099,0.0958892712275501,792840000000.0,,,,0.0001554294039127,2.251821648988453e-05
66,66,13.895833333333334,6601.0,1000,762060000000.0,1000.0,100.0,6601.0,0.0,0.1568421457766335,0.082806490461596,762060000000.0,,,,0.0001481712692453,2.110761668760874e-05
67,67,13.895833333333334,6701.0,1000,732421000000.0,1000.0,100.0,6701.0,0.0,0.1095253172722133,0.0774632196388576,732421000000.0,,,,0.0001411617080843,1.9794584374293944e-05
