,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
188,188,0.02,2380,1000000.0,17.15,2.43,0.81,1.5390957332195696,,16100.0,0.4898438803658377,2380.0,0.2358183205615659,0.0003656676200807,0.0004343537342643,8.634607288844501e-07,5.410486800136772e-07,5095387187138.42,8366345674075.117,5682189012243.717,10.11849908620394,4.956254404138431,51555273423410.87,84650925030870.69,57492551088005.8,0.0005208897976352,0.0008552724150415,0.0005808772083471,0.0002869298968447,0.0004711231184333,0.0003199737031271
189,189,0.02,2390,1000000.0,17.15,2.43,0.81,1.537236340438018,,16202.1,0.4997217249913551,2390.0,0.2406792520457201,0.0003701522762176,0.0004401057607839,5.652787114408015e-07,1.4123552782857418e-07,5084802203450.053,8516181875283.448,5796772009899.719,9.963762296872678,4.979936207192319,50672182802959.52,84867317842730.75,57767260003430.9,0.0005221086095681,0.0008744434296218,0.0005952138260203,0.0002866906216353,0.000480158200476,0.0003268328057813
190,190,0.02,2400,1000000.0,17.15,2.43,0.81,1.54053971883028,,16226.8,0.5072741500388044,2400.0,0.2375698044642831,0.0003875722151793,0.0004232620056414,4.976672246246388e-07,-1.1080702867206837e-07,5040182297311.557,8625730318410.717,5884380140450.131,10.113901788922067,5.13049020747496,50975603464650.26,87239266829466.42,59513686406709.54,0.0005198086968004,0.0008895967191816,0.0006068732819282,0.0002844651682353,0.0004868315631139,0.000332111238815
191,191,0.02,2410,1000000.0,17.15,2.43,0.81,1.543898622938011,,16248.0,0.5078826755704176,2410.0,0.2461752676647392,0.0003791548138328,0.0004442443265788,5.683293405085084e-07,-6.915695194268336e-07,4940726215234.526,8599786664190.12,5891439036616.844,9.828935399368628,4.991790483999315,48560565838466.266,84524114130324.3,57904769614392.05,0.00051167463231,0.0008906165789507,0.0006101329584996,0.0002789652821276,0.0004855646333155,0.0003326448140193
192,192,0.02,2420,1000000.0,17.15,2.43,0.81,1.5420481701571545,,16434.3,0.5110193066148938,2420.0,0.2486323422201167,0.0003509856397063,0.0004195968894977,-8.398744185563098e-07,-1.4380700637742436e-07,4861228719652.186,8614297849700.644,5927823956732.768,9.749498004370723,4.982094821426776,47393713146344.766,83983615005692.92,57792299928550.6,0.0005056437215212,0.0008960215357501,0.0006165862868965,0.0002747993917304,0.000486955859475,0.0003350927330389
193,193,0.02,2430,1000000.0,17.15,2.43,0.81,1.5454612163854078,,16525.4,0.5240127884609577,2430.0,0.2440667611618209,0.0003762875119012,0.000438595755662,2.855531805259498e-07,-5.48348959598747e-08,4872025097405.58,8798581645660.916,6078548346147.107,9.98009303194564,5.228578957640371,48612874468594.32,87791901004360.83,60651515908628.3,0.0005089556319461,0.0009191429830857,0.0006349949667698,0.0002759103577644,0.00049827736129,0.000344237645608
194,194,0.02,2440,1000000.0,17.15,2.43,0.81,1.5489316250097802,,16459.9,0.5250682914406302,2440.0,0.2444414482943102,0.0003789153025453,0.0004296278758309,2.52420022560768e-07,4.195160616653133e-07,4768802566614.338,8796473655102.754,6090792180711.311,10.00629693412636,5.253221686385727,47711083433159.39,88007268620088.6,60937371562074.44,0.0005003344493879,0.0009229106764858,0.0006390352943959,0.0002704276646429,0.000498827492733,0.0003453946105436
195,195,0.02,2450,1000000.0,17.15,2.43,0.81,1.5524604200208103,,16514.4,0.5194638028705364,2450.0,0.2471944840717242,0.0003711621264517,0.0004318105282595,-3.792605483747211e-07,4.823616581004921e-07,4601342530043.449,8682962573609.857,6025780113298.221,9.926231988773004,5.156688321610961,45677271750771.89,86195287242137.58,59817584530687.15,0.000484743378773,0.0009147349036092,0.0006348053840357,0.0002612039424634,0.0004929048515039,0.0003420648455825
196,196,0.02,2460,1000000.0,17.15,2.43,0.81,1.5506153812140655,,16558.7,0.532516478730999,2460.0,0.2463435024263617,0.000357712847668,0.0004377671559912,4.972841992477928e-08,-8.209494953826513e-07,4601845639764.035,8881029078175.555,6177191153279.589,10.011235164438006,5.331061617179761,46069415010018.49,88908635001388.48,61840314759285.23,0.0004868658289086,0.0009395946587921,0.0006535341527281,0.0002615353720987,0.0005047329759412,0.0003510665314016
197,197,0.02,2470,1000000.0,17.15,2.43,0.81,1.5542008110611496,,16602.9,0.539022529873923,2470.0,0.2482653706735618,0.0003797367054673,0.0004383260216825,5.535766780952161e-07,1.806177028370003e-07,4541080662855.317,8969175657518.41,6252661346537.506,9.965251708796334,5.370784529294373,45247024787713.04,89368267914869.62,62301100539814.734,0.0004824798689797,0.0009529552583139,0.0006643315658161,0.0002584506136943,0.0005104707722941,0.0003558633466817
