Energy[eV],ThetaB[deg],Reflectivity_1,Reflectivity_2
23200,9.392226356353799,0.9906853977230915,0.98145755726176
23250,9.371846228993306,0.9907236875722902,0.9815334251168369
23300,9.3515547586453,0.990761445388595,0.9816082416684979
23350,9.331351365424176,0.9907986941032874,0.9816820522367796
23400,9.311235474513575,0.9908354556176919,0.9817549001091191
23450,9.291206516110856,0.9908717508616359,0.981826826655604
23500,9.271263925372287,0.9909075998479439,0.9818978714364128
23550,9.251407142359007,0.9909430217232819,0.9819680723020686
23600,9.231635611983629,0.990978034815682,0.9820374654871511
23650,9.21194276729907,0.9910158382113301,0.9821123915857052
23700,9.192340096080647,0.9910559026299017,0.9821918021375693
23750,9.172821040823669,0.9910954107777503,0.9822701132647177
23800,9.153385065326873,0.9911343866744284,0.9823473724484955
23850,9.134031637983934,0.9911728532452974,0.9824236250104238
23900,9.114760231734126,0.9912108323845065,0.9824989142363861
23950,9.095570324013634,0.9912483450136386,0.9825732814922774
24000,9.07646139670749,0.9912854111363897,0.9826467663318411
24050,9.057432936102124,0.9913220498895403,0.9827194065972003
24100,9.038484432838523,0.9913582795906015,0.9827912385128372
24150,9.019615381865984,0.9913941177823156,0.9828622967733758
24200,9.000825282396487,0.9914295812742023,0.9829326146255402
24250,8.982113637859602,0.9914646861816615,0.9830022239453006
