,Energy[eV],alpha_norm_deg,alpha_deg,beta_norm_deg,beta_deg,cff,Efficiency
51,1010,81.88,8.120000000000001,-79.76333822292288,10.236661777077117,1.2581839125345742,0.02042388467812878
52,1020,81.94,8.06,-79.82968829439065,10.17031170560935,1.259358879746124,0.02290378172637156
53,1030,82.02,7.98,-79.91160674442858,10.088393255571418,1.2617628504126932,0.02523887191218268
54,1040,82.1,7.9,-79.99319300085384,10.006806999146164,1.2642566117790308,0.026690572118281852
55,1050,82.16,7.84,-80.05865444397072,9.941345556029276,1.265621692098661,0.028515369485723644
56,1060,82.24,7.76,-80.1396160918106,9.860383908189405,1.268278918030988,0.030407143570546163
57,1070,82.3,7.7,-80.20450953889036,9.795490461109637,1.2697722552271808,0.03217430447482904
58,1080,82.38,7.62,-80.28485746518176,9.715142534818241,1.2726006895998,0.033726775649100614
59,1090,82.44,7.5600000000000005,-80.34919619796788,9.650803802032115,1.2742277512898723,0.03516996151826895
60,1100,82.52,7.48,-80.42893930281183,9.571060697188173,1.2772359716415136,0.03676788979012759
61,1110,82.58,7.42,-80.49273476864309,9.50726523135691,1.2790028881297952,0.0386164959274748
62,1120,82.64,7.36,-80.55627354097201,9.443726459027985,1.2808327649365188,0.04033950248493658
63,1130,82.7,7.3,-80.61955860163555,9.380441398364454,1.2827267662042796,0.04204901440785409
64,1140,82.78,7.22,-80.69815223821368,9.30184776178632,1.2860935644012992,0.0441269729328411
65,1150,82.84,7.16,-80.76091346332144,9.239086536678556,1.2881404145939348,0.04589118990814584
66,1160,82.9,7.1000000000000005,-80.82342807210718,9.176571927892823,1.2902559216101106,0.0475774620945087
67,1170,82.96,7.04,-80.88569831664547,9.114301683354526,1.2924415389592534,0.049287880496201114
68,1180,83.02,6.98,-80.94772628061219,9.052273719387813,1.2946987935982415,0.051024482879837935
69,1190,83.08,6.92,-81.00951388348545,8.990486116514546,1.2970292885372767,0.052754645056096124
70,1200,83.12,6.88,-81.05566242094636,8.944337579053638,1.2978919623625707,0.054440144709266496
71,1210,83.18,6.82,-81.11700365238673,8.882996347613272,1.300348967189501,0.05677643930463771
72,1220,83.24,6.76,-81.17811014253192,8.82188985746808,1.302883708455963,0.05910137824902586
73,1230,83.3,6.7,-81.23898320294548,8.761016797054523,1.3054980940680712,0.06074426373463736
74,1240,83.34,6.66,-81.28432617185138,8.715673828148624,1.3065588553520544,0.061992437118546045
75,1250,83.4,6.6000000000000005,-81.34476801629802,8.65523198370198,1.3093104754810685,0.06439090675152033
76,1260,83.46,6.54,-81.40498035122093,8.595019648779072,1.3121471116557526,0.06615780117666033
77,1270,83.5,6.5,-81.44974572394179,8.550254276058212,1.313362205718772,0.06804672716313552
78,1280,83.56,6.44,-81.50953580419895,8.490464195801053,1.3163451361427545,0.07025953058617451
79,1290,83.6,6.4,-81.55393082277871,8.44606917722129,1.3176623432038905,0.07216652137361794
80,1300,83.66,6.34,-81.61330391102095,8.38669608897905,1.3207977543815381,0.07442985748471163
81,1310,83.7,6.3,-81.65733600351336,8.342663996486635,1.32222080129718,0.07657151888811843
82,1320,83.76,6.24,-81.71629645991882,8.283703540081177,1.3255154137881726,0.07772750502564084
83,1330,83.8,6.2,-81.75997223453373,8.240027765466266,1.327048404262545,0.08044662014730641
84,1340,83.84,6.16,-81.80348106364174,8.19651893635826,1.3286279767482978,0.0823848067881418
85,1350,83.88,6.12,-81.84682484589567,8.153175154104332,1.3302547444368487,0.08380361461331207
86,1360,83.94,6.0600000000000005,-81.9050103906492,8.094989609350804,1.333852740883571,0.08628394012340994
87,1370,83.98,6.0200000000000005,-81.94800994488291,8.051990055117088,1.335597568878755,0.08884475285076326
88,1380,84.02,5.98,-81.99084914670115,8.009150853298848,1.337392152067211,0.09112791508715493
89,1390,84.06,5.94,-82.03352956611346,7.966470433886542,1.3392372404146506,0.09327432220648313
90,1400,84.1,5.9,-82.07605269707288,7.923947302927118,1.3411336168348729,0.09515515344712491
91,1410,84.14,5.86,-82.11841995938009,7.881580040619909,1.3430820979998586,0.09689740097285449
92,1420,84.18,5.82,-82.16063270049355,7.839367299506449,1.3450835351988926,0.09874156337365304
93,1430,84.22,5.78,-82.2026921972494,7.797307802750595,1.347138815248563,0.10073325796485258
94,1440,84.26,5.74,-82.24459965749543,7.755400342504572,1.3492488614553537,0.10289918887913951
95,1450,84.3,5.7,-82.2863562216424,7.713643778357607,1.3514146346328102,0.1052473052309612
96,1460,84.34,5.66,-82.32796296413662,7.672037035863383,1.35363713417542,0.10776535130635616
97,1470,84.38,5.62,-82.3694208948563,7.6305791051436955,1.3559173991914872,0.1104176144264264
98,1480,84.42,5.58,-82.41073096043613,7.589269039563874,1.3582565096972805,0.11313957156058746
99,1490,84.46,5.54,-82.45189404552089,7.548105954479112,1.3606555878753215,0.11583001409513959
100,1500,84.5,5.5,-82.49291097395327,7.507089026046728,1.3631157993992877,0.11793344283613728
101,1510,84.54,5.46,-82.53378250989687,7.4662174901031335,1.3656383548286377,0.11963087755636063
102,1520,84.58,5.42,-82.57450935889732,7.425490641102684,1.3682245110761406,0.12066566003131819
103,1530,84.6,5.4,-82.60049027101053,7.399509728989472,1.3684987697331177,0.12400369507173897
104,1540,84.64,5.36,-82.64095836781706,7.359041632182937,1.3711828845959593,0.12686873247367048
105,1550,84.68,5.32,-82.68128415055064,7.318715849449362,1.373933798538699,0.12882716210757897
106,1560,84.7,5.3,-82.70692818197615,7.293071818023847,1.374297508718704,0.13007756200583823
107,1570,84.74,5.26,-82.74700103202622,7.252998967973781,1.3771509864358744,0.1338954424166575
108,1580,84.78,5.22,-82.78693348656657,7.213066513433432,1.3800747890827474,0.13630635995504758
109,1590,84.8,5.2,-82.81225198870465,7.187748011295355,1.3805309200889648,0.1375949781092474
110,1600,84.84,5.16,-82.85193648916355,7.148063510836451,1.383562410751065,0.141371156729532
111,1610,84.88,5.12,-82.89148208327018,7.108517916729824,1.3866681074941196,0.1426237350518742
112,1620,84.9,5.1000000000000005,-82.91648526451577,7.083514735484229,1.3872201041311054,0.1452033839368648
