,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
250,250,2.25,0.02,1350,1,100000.0,,1068.4,1.0684,1350.0,0.088436810280109,0.0166781668930264,0.0071496456203075,5822780000000.0,11651266249829.691,10994225715493.996,15.389621589183468,16.435271752651538,89572231051950.9,179232241743212.44,169124941355422.78,0.0003436112401439,0.0006875592149029,0.0006487862382786,0.0002236056281777,0.0004474303870074,0.0004221988032246
251,251,2.25,0.02,1355,1,100000.0,,1049.2,1.0492,1355.0,0.0845431926598393,0.0184302605506806,0.0077759847736241,5718140000000.0,11410941777362.02,10778085617558.348,16.32740765687057,17.149709994827425,93465919471809.48,186517672750304.3,176173315517104.56,0.0003386984499274,0.0006758960592439,0.0006384105481594,0.000221017824392,0.0004410562745749,0.0004165950876167
252,252,2.25,0.02,1360,1,100000.0,,1052.6,1.0526000000000002,1360.0,0.0957216143935965,0.0176989716284333,0.0074451734960347,5736670000000.0,11416877467999.342,10794387440561.44,14.316086078070702,15.053247595096671,82040199393276.86,163272927312060.16,154370688561821.44,0.0003410373838836,0.0006787181455107,0.0006417119432277,0.0002231880731267,0.0004441794426395,0.0004199611505355
253,253,2.25,0.02,1365,1,100000.0,,1094.0,1.094,1365.0,0.0909221318801428,0.0167762561935117,0.0071379162438737,5962300000000.0,11833653604445.824,11199585626172.04,15.187832916563858,16.59856802377627,90462195729580.69,179544519491041.38,169924208276164.12,0.0003557147962897,0.0007060036699376,0.0006681747512777,0.0002327718642088,0.000461993125121,0.0004372387207237
254,254,2.25,0.02,1370,1,100000.0,,1085.2,1.0852,1370.0,0.0907874197234832,0.0174015557945105,0.006847593458496,5914340000000.0,11706461472092.805,11090295454368.832,15.164426623032048,16.486630943559405,89852138642398.75,177847502714146.0,168486553825298.0,0.0003541459742444,0.0007009736002648,0.0006640780692938,0.0002317041064977,0.0004586200988854,0.0004344807703059
255,255,2.25,0.02,1375,1,100000.0,,1072.2,1.0722,1375.0,0.0943163149558131,0.0173704302083542,0.0071838641651941,5843490000000.0,11534605144202.951,10938468759171.516,14.772246371919952,15.816316637132967,86198925672374.67,170150128003186.56,161356356482413.38,0.000351154806424,0.0006931528994813,0.0006573290755528,0.0002297095752124,0.0004534292431266,0.000429994919499
256,256,2.25,0.02,1380,1,100000.0,,1069.4,1.0694,1380.0,0.0880711061824967,0.0173608489075158,0.0065179013140334,5828230000000.0,11472945211784.908,10890980859596.848,15.89469008035224,17.009358405741704,92701003311292.28,182483109291834.38,173226666196891.38,0.0003514727152786,0.000691878530159,0.0006567830395797,0.0002298941298053,0.0004525495314646,0.0004295939877876
257,257,2.25,0.02,1385,1,100000.0,,1096.8,1.0968,1385.0,0.0950412757099456,0.0170387638883903,0.0066178375111479,5977560000000.0,11734557330684.668,11150620429398.523,14.637578692296907,16.060469400926802,87529558235051.08,171829411873525.2,163278809452684.44,0.000361770910106,0.0007101930361575,0.0006748522977588,0.0002365748344684,0.0004644204254023,0.0004413098626038
258,258,2.25,0.02,1390,1,100000.0,,1111.8,1.1118,1390.0,0.0896432045943583,0.0159632480567341,0.0073372528128373,6059310000000.0,11862253049982.129,11283445111426.469,16.030042600898906,17.78666308642751,96937313821029.94,189773249186885.44,180513434656539.03,0.0003680154480404,0.0007204603116457,0.0006853061005496,0.0002406168593938,0.0004710533169983,0.0004480686952564
259,259,2.25,0.02,1395,1,100000.0,,1096.8,1.0968,1395.0,0.0915986493331274,0.0156319586514979,0.0071153143842302,5977560000000.0,11669866388006.46,11111805543281.004,15.66751709215591,17.154852806497786,93493947795412.92,182526294819243.97,173797764869996.12,0.0003643696143533,0.0007113512395281,0.0006773339457195,0.0002381521728303,0.0004649395467287,0.0004427058254874
