,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2.25,0.02,600,1,100000.0,,100000.0,100.0,600.0,0.5990890370990201,0.0533438155194511,0.0458352800105273,2015115450105272.8,1490000000000000.0,1254455112301570.0,1.0015205801551488,100.15205801551488,2018179594669036.8,1492265664431171.8,1256362611850860.5,0.0524579037613919,0.0387879893434347,0.0326562359246782,0.0299393884707312,0.0221375350077629,0.0186379489692907
11,11,2.25,0.02,650,1,100000.0,,100000.0,100.0,650.0,0.6495585344607662,0.0513686170557693,0.0430640216932203,1940000000000000.0,1470000000000000.0,1246760539604716.0,1.0006796393485928,100.06796393485928,1941318500336270.5,1470999069842431.5,1247607887125704.2,0.0548019386586839,0.0415251803238481,0.0352190178420027,0.0311166215689513,0.023578058611525,0.0199974102566915
12,12,2.25,0.02,700,1,100000.0,,100000.0,100.0,700.0,0.6998779575694698,0.0525129903122388,0.044372582268151,1858169731614735.2,1450000000000000.0,1239065959431385.8,1.000174376731272,100.01743767312718,1858493753178682.5,1450252846260344.0,1239282023703221.5,0.0566010223758306,0.0441679148296291,0.03774273087204,0.0322156505842625,0.0251390885086625,0.021482061256701
13,13,2.25,0.02,750,1,100000.0,,100000.0,100.0,750.0,0.7497084081758203,0.0481782848572748,0.0370111700884305,1769696844815709.5,1424425588577701.5,1221371393613033.2,1.0003889403146606,100.03889403146609,1770385151263386.5,1424979605114333.5,1221846434187182.8,0.0578160596847168,0.0465360353028275,0.0399022474370126,0.0326866337678576,0.0263094086875952,0.022558959493271
14,14,2.25,0.02,800,1,100000.0,,100000.0,100.0,800.0,0.7994112411777223,0.0479427531565071,0.0343014810862539,1671223944698468.0,1404934624431989.2,1210000000000000.0,1.0007364905469809,100.0736490546981,1672454785335626.8,1405969345502009.8,1210891153561847.0,0.0582817178595956,0.048995231101177,0.0421971446937558,0.0326816255453241,0.0274742038354597,0.0236621591231312
15,15,2.25,0.02,850,1,100000.0,,100000.0,100.0,850.0,0.8491740006807049,0.0540785252076425,0.035087827733364,1572751072339403.0,1380000000000000.0,1195982240742849.0,1.0009727091486935,100.09727091486938,1574280901696085.5,1381342338625197.5,1197145583610094.8,0.0583119940522727,0.051165472532433,0.0443427510782652,0.0323797881977147,0.0284114304537593,0.024622874099128
16,16,2.25,0.02,900,1,100000.0,,100000.0,100.0,900.0,0.8996154459995296,0.0553165306020845,0.0336514160335428,1458556370433035.5,1355952732470644.0,1178287657033624.2,1.000427464870885,100.04274648708852,1459179852043601.2,1356532354630356.0,1178791333614803.8,0.0572927756468371,0.0532624568127537,0.0462836896470599,0.0313685576060819,0.029161904374667,0.0253409364186733
17,17,2.25,0.02,950,1,100000.0,,100000.0,100.0,950.0,0.645140742657214,0.0519294836360044,0.0323133359413612,1345805299120859.5,1326461732375978.0,1160593088799096.2,1.472546898971421,147.2546898971421,1981761419839727.2,1953277110614504.8,1709027753878772.0,0.055825322972908,0.0550229328636653,0.0481425389427865,0.0300313812890561,0.0295997333911133,0.0258984071425022
18,18,2.25,0.02,1000,1,100000.0,,100000.0,100.0,1000.0,0.9981926255649114,0.0534191589186881,0.0304473318360349,1217332440589098.0,1306970803881931.5,1152898500615682.5,1.0018106469521009,100.18106469521008,1219536599862344.0,1309337266584465.0,1154985992771903.8,0.0531713880637327,0.0570866671125147,0.0503570031738141,0.028017050534045,0.0300800880991567,0.0265340957616665
19,19,2.25,0.02,1050,1,100000.0,,100000.0,100.0,1050.0,1.0482008605979445,0.052427853372291,0.0333086589144225,1088859539696610.8,1277479873896669.5,1135203923247880.2,1.001716407102575,100.1716407102575,1090728465944252.6,1279672549425622.2,1137152395324614.0,0.0499580134712821,0.058612111500813,0.0520843422155917,0.0257491519820799,0.0302096112747278,0.0268450955193978
20,20,2.25,0.02,1100,1,100000.0,,100000.0,100.0,1100.0,1.0992889526169165,0.0510345976017037,0.0353138419342295,951618639374169.2,1247988911400319.0,1117509363985108.2,1.0006468248238016,100.06468248238018,952234169932908.8,1248796141608042.0,1118232196782564.8,0.0457521049686618,0.060001052219473,0.0537278313065974,0.0230305165156297,0.030203096120763,0.0270453065952509
21,21,2.25,0.02,1150,1,100000.0,,100000.0,100.0,1150.0,1.1492096787137598,0.0502411647655786,0.0296962090986825,808061960651084.6,1218497887871392.0,1099814759568579.2,1.0006877085190622,100.06877085190622,808617671745354.5,1219335859249340.2,1100571111548124.8,0.0406279864081222,0.061264009491149,0.0552968228664068,0.0259010821415181,0.0390569231319761,0.035252732853663
22,22,2.25,0.02,1200,1,100000.0,,100000.0,100.0,1200.0,1.199179141644663,0.0439541734086918,0.028899947916552,657193620307996.4,1189006985821919.2,1082120232916638.8,1.0006845168722758,100.06845168722758,657643480429449.1,1189820881164968.0,1082860962473901.2,0.0344804793721278,0.0623827279831701,0.0567747817633376,0.0219582021733885,0.039727189938352,0.0361558817919777
23,23,2.25,0.02,1250,1,100000.0,,100000.0,100.0,1250.0,1.2479360123807055,0.0503107395495368,0.0293605765452661,545000000000000.0,1159516018013076.2,1064425619830323.6,1.0016539210334647,100.16539210334648,545901386963238.3,1161433765943907.2,1066186095751519.8,0.0297909800938402,0.0633818690112229,0.0581840044986032,0.0189188157168495,0.0402507703954579,0.0369498571483729
24,24,2.25,0.02,1300,1,100000.0,,100000.0,100.0,1300.0,1.2877203292507602,0.0498041350030413,0.0319918482594051,545000000000000.0,1130025055516725.8,1046731063506915.8,1.0095359764618956,100.95359764618958,550197107171733.1,1140800947847485.8,1056712666290452.8,0.0309803490096698,0.0642359093753757,0.0595010892967104,0.019593110415266,0.0406251480454245,0.0376306739493209
25,25,2.25,0.02,1350,1,100000.0,,100000.0,100.0,1350.0,1.343572523582225,0.0492125328192301,0.0311473754826506,545000000000000.0,1090534093020375.4,1029036476553163.4,1.0047838700963,100.47838700963,547607209202483.5,1095751066456971.2,1033959253381348.0,0.0321612916645512,0.0643541009830553,0.0607250316621806,0.0209290179874349,0.0418785461444668,0.0395169228027666
26,26,2.25,0.02,1400,1,100000.0,,100000.0,100.0,1400.0,1.3975718301783218,0.0440867840176838,0.0266080021690791,545000000000000.0,1061043117858074.0,1011341912857608.0,1.0017374204096317,100.17374204096316,545946894123249.3,1062886595826539.6,1013099038938122.8,0.033337781062351,0.0649042626804896,0.0618640280183968,0.0217850989922892,0.0424127144176612,0.0404260251131269
27,27,2.25,0.02,1450,1,100000.0,,100000.0,100.0,1450.0,1.4490025120644532,0.0491786438724066,0.025722789688771,545000000000000.0,1031552163044978.4,987012070496398.6,1.000688396277606,100.0688396277606,545375175971295.25,1032262279714174.8,987691525931680.4,0.034494230803284,0.0652891713719272,0.0624701324134495,0.022477007464841,0.0425434966406144,0.0407065645439187
28,28,2.25,0.02,1500,1,100000.0,,100000.0,100.0,1500.0,1.498959978848461,0.0434946059111615,0.0261072185181384,545000000000000.0,994442839743192.8,967548023158699.4,1.0006938284985687,100.06938284985684,545378136531719.9,995132812525604.0,968219335550900.6,0.0356260566521192,0.0650056457724501,0.0632475608930234,0.0231447075061046,0.0422313553346721,0.0410892036589319
29,29,2.25,0.02,1550,1,100000.0,,100000.0,100.0,1550.0,1.538360696150903,0.0479765893291035,0.0265213443671212,545000000000000.0,961827240839731.4,947084004754892.6,1.0075660434371596,100.75660434371596,549123493673252.06,969104467522968.2,954249683473507.4,0.0367283250985606,0.0648189056701159,0.0638253380225402,0.023971638692424,0.0423056423888829,0.0416571661896483
30,30,2.25,0.02,1600,1,100000.0,,100000.0,100.0,1600.0,1.598177187761621,0.0407667109812949,0.0254632553046031,545000000000000.0,928387197614298.2,926676300553487.2,1.0011405570373155,100.11405570373158,545621603585337.0,929446076165891.0,927733227729397.2,0.0377859736554203,0.0643669985157493,0.064248378495076,0.0246066325033297,0.0419164818210848,0.0418392351876419
31,31,2.25,0.02,1650,1,100000.0,,100000.0,100.0,1650.0,1.6498201608142151,0.040857776492318,0.0262251907634176,545000000000000.0,894947136870478.8,906442828219771.2,1.0001090053267965,100.01090053267964,545059407903104.0,895044690875598.8,906541635316483.6,0.0387881311362937,0.0636941778073078,0.0645123363092504,0.0252051094687965,0.0413894322084522,0.041921083876119
32,32,2.25,0.02,1700,1,100000.0,,100000.0,100.0,1700.0,1.6868039423368373,0.0439568522723115,0.0249868221191145,545000000000000.0,861507032168373.4,885691907903118.5,1.0078231128893862,100.78231128893862,549263596524715.4,868246698936026.5,892620775683860.4,0.0397319596812759,0.0628061700316505,0.0645693122474112,0.0257652759721073,0.0407283787811546,0.0418717365750203
33,33,2.25,0.02,1750,1,100000.0,,100000.0,100.0,1750.0,1.7455851540944425,0.041974165124115,0.0243196003534924,545000000000000.0,827527607875797.2,864975882960802.9,1.002529149549194,100.2529149549194,546378386504310.8,829620548952201.9,867163536325256.9,0.0406010433623019,0.0616485950291141,0.0644383914338292,0.0262991540840897,0.0399326166391996,0.0417396954587297
34,34,2.25,0.02,1800,1,100000.0,,100000.0,100.0,1800.0,1.7967940135204117,0.0465345018860042,0.027257411448777,545000000000000.0,794138499050980.4,843742357732438.9,1.0017842815901346,100.17842815901344,545972433466623.3,795555465754854.0,845247831688157.5,0.0413791408888388,0.0602949886926266,0.0640611631091589,0.0268464971478675,0.0391189668803375,0.0415624344961448
35,35,2.25,0.02,1850,1,100000.0,,100000.0,100.0,1850.0,1.839867243369099,0.042248881975884,0.0260194306805868,545000000000000.0,760186895398526.0,822508884635107.4,1.0055073303073467,100.55073303073466,548001495017504.0,764373495726802.1,827038712743520.2,0.0427757172371082,0.0596652104310505,0.0645567109617626,0.0273643831214476,0.038168890733191,0.0412980701650452
36,36,2.25,0.02,1900,1,100000.0,,100000.0,100.0,1900.0,1.869726796876876,0.0464992206437658,0.0233921342416838,545000000000000.0,727360185439135.1,801275359200487.0,1.016191244182675,101.6191244182675,553824228079557.9,739137051810336.0,814249004198862.8,0.0440048161916063,0.0587290848905355,0.0646972016522583,0.0278523061198415,0.0371718505398817,0.0409492964967669
37,37,2.25,0.02,1950,1,100000.0,,100000.0,100.0,1950.0,1.94712365558712,0.0462883444122758,0.0263468373404009,545000000000000.0,694306724012442.8,780041939045623.8,1.0014772273987975,100.14772273987974,545805088932344.56,695332372928323.1,781194238370193.0,0.0452241354442785,0.0576136171130496,0.0647279308323247,0.028310805896959,0.0360667576082014,0.0405203961978132
38,38,2.25,0.02,2000,1,100000.0,,100000.0,100.0,2000.0,1.9997761432859988,0.0413139023647904,0.02541717835102,545000000000000.0,661866734849275.8,758907711662868.2,1.00011194088636,100.011194088636,545061007783066.3,661940824798227.0,758992664464777.2,0.0464500909231898,0.0564105871794195,0.0646813435028443,0.0287397235713193,0.0349025082580181,0.0400198125675841
39,39,2.25,0.02,2050,1,100000.0,,100000.0,100.0,2050.0,2.046025885390464,0.0395630462311736,0.0221145531934759,545000000000000.0,629426615980795.2,738574890089998.4,1.0019423579329634,100.19423579329631,546058585073465.0,630649187761563.8,740009466886852.1,0.0476757844458019,0.0550612984733044,0.0646094261596561,0.0291350368865604,0.0336483810531805,0.0394833149839622
40,40,2.25,0.02,2100,1,100000.0,,100000.0,100.0,2100.0,2.098768725892569,0.0401612501757991,0.0253255685788199,545000000000000.0,597169630902765.9,717341447808921.8,1.000586664977537,100.05866649775368,545319732412757.7,597519969410865.2,717762286913287.0,0.048899120361724,0.0535799443263865,0.0643621390768107,0.0294934167446844,0.032316647323825,0.0388199087494749
