,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
17,17,0.1,840,100000.0,1.31630553599908,7596830000000.0,3345.0,0.0564119645368302,840.0,0.1024480132768985,0.1065484639168221,0.0286270205253563,4285521045.523285,8.199280524158443,0.4625375221563493,35138189244.43019,1.5701673526847877e-07,8.738257384353558e-08
18,18,0.1,860,100000.0,1.32489377407417,7629560000000.0,3498.0,0.0675109119851274,860.0,0.1048691315676251,0.1032741880182943,0.0297013092547735,5150785536.452486,8.200697260903956,0.5536365509975625,42240032840.28962,1.932478627576399e-07,1.0703598222128105e-07
19,19,0.1,880,100000.0,1.33329262758449,7661180000000.0,3723.0,0.0808231466626428,880.0,0.1074543438500086,0.117273336405126,0.0300594528986068,6192006747.489062,8.18952467131862,0.661903153607317,50709592023.53305,2.377849988023629e-07,1.3097707581070665e-07
20,20,0.1,900,100000.0,1.3422067252821,7691750000000.0,3790.0,0.0913818557842561,900.0,0.1119894215408976,0.1130693589585258,0.0292062898122227,7028863892.285523,8.036473334861608,0.7343878473003436,56487277244.724174,2.760970574714979e-07,1.511668156130348e-07
21,21,0.1,920,100000.0,1.35104631264484,7721310000000.0,3965.0,0.105776417310038,920.0,0.1149647287988955,0.1125100497299378,0.0294997000756593,8167325087.401702,8.002454401552406,0.8464709562831583,65358646594.587135,3.280298679394087e-07,1.7839793557226616e-07
22,22,0.1,940,100000.0,1.36010248136541,7749880000000.0,4043.0,0.1183761905964093,940.0,0.1224302181813072,0.1012117517433837,0.0289124809533426,9174012719.793003,7.677843051851391,0.9088738124752772,70436629818.259,3.765274652084077e-07,2.0331078139119442e-07
23,23,0.1,960,100000.0,1.36926953155921,7777520000000.0,4113.0,0.1324944524138294,960.0,0.1237424838714105,0.125798673869493,0.0286651117083956,10304782535.37607,7.758046953361654,1.0278981828864304,79944986753.62871,4.320470783857049e-07,2.314791964295983e-07
24,24,0.1,980,100000.0,1.37836355581004,7804250000000.0,4275.0,0.1505859133499264,980.0,0.1110966915246081,0.1117166710085985,0.0301338709991429,11752101142.611635,8.821144775341292,1.3283401427867003,103666985593.43106,5.030491256056025e-07,2.673368488693477e-07
25,25,0.1,1000,100000.0,1.38719560853008,7830100000000.0,4406.0,0.1698921874544884,1000.0,0.1375825538408435,0.1137612012469893,0.0294127154666712,13302728169.8739,7.268363408610711,1.2348381587030357,96689062664.60638,5.810446663890948e-07,3.061638669513001e-07
26,26,0.1,1020,100000.0,1.39664356222928,7855110000000.0,4385.0,0.1835446338537295,1020.0,0.1214144870580185,0.0948391058440725,0.0290057384644496,14417632888.307695,8.400974420067254,1.5419537739457922,121122165092.59332,6.425254900680179e-07,3.35547399506783e-07
27,27,0.1,1040,100000.0,1.40604835471862,7879300000000.0,4484.0,0.2020208106715711,1040.0,0.1197691195000061,0.1015996822531261,0.0287976195542427,15917825735.245106,8.683373513486895,1.7542221565586715,138220426381.72742,7.232914175853818e-07,3.744798027418185e-07
28,28,0.1,1060,100000.0,1.4155721082738,7902700000000.0,4518.0,0.2202426911699384,1060.0,0.1416485623628887,0.1118350975260714,0.0290272410304853,17405119155.08672,7.483309271324559,1.6481441727734716,130247889541.76912,8.061704355620291e-07,4.1364629277750043e-07
29,29,0.1,1080,100000.0,1.42522230999383,7925330000000.0,4697.0,0.2467223730587967,1080.0,0.1407123254602993,0.1023200114005253,0.0285017702010344,19553562248.74073,7.675233825232403,1.8936519031424843,150078162375.32227,9.229057170424716e-07,4.691016061401707e-07
30,30,0.1,1100,100000.0,1.43421228863291,7947230000000.0,4728.0,0.2658305817083981,1100.0,0.1368385685473185,0.1192504770296726,0.0282484985557687,21126167738.70433,8.038669299727596,2.1369241361080284,169826276022.0181,1.0157079779379049e-06,5.112831284370081e-07
31,31,0.1,1120,100000.0,1.44409865044327,7968420000000.0,4876.0,0.2919659116689306,1120.0,0.1476617686601002,0.1027710190232392,0.0294667998512014,23265070098.60941,7.58490169908574,2.2145327394927894,176463269720.29132,1.1389631718743709e-06,7.127167430064028e-07
