,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
27,27,2,25,3000,1000000.0,285,17.15,2.43,0.81,,2278.0,0.2277999999999999,285.0,0.0002269746082674,0.0116592388959135,0.0008763671017499,2.969454724306628e-05,-6.671087673528926e-07,5353300000000.0,3553680000000.0,2870280000000.0,3.796725368962944,0.8651948362031884,20332078650774.93,13497039444769.74,10901454936160.174,6.484093909362106e-05,4.304334680257397e-05,3.476578010977129e-05,3.5449383329194605e-05,2.3532356592997268e-05,1.9006903402036258e-05
28,28,2,25,3000,1000000.0,290,17.15,2.43,0.81,,2343.25,0.234325,290.0,0.0002237521584049,0.0117434691364145,0.0008866737851394,4.668876031630986e-05,-4.510003714624453e-06,5491751583062.889,3655470000000.0,2952495000000.0,3.9029393001372914,0.9145378995266064,21433542974485.227,14266791232615.06,11523177534035.24,6.776909554691095e-05,4.510908622722197e-05,3.64342619527562e-05,3.700566419184848e-05,2.463204921733388e-05,1.989511667553891e-05
29,29,2,25,3000,1000000.0,295,17.15,2.43,0.81,,2403.5,0.2403499999999999,295.0,0.0002206112497731,0.0117001128339619,0.0008325691914329,-7.782954243388664e-05,1.0448762898823256e-05,5624190000000.0,3749460000000.0,3028410000000.0,4.030663294018748,0.969100527005364,22676952331925.52,15117968221283.678,12210666640267.588,7.065052375342658e-05,4.7100349168951056e-05,3.8042589713383546e-05,3.852950243541526e-05,2.56863349569435e-05,2.074665515753129e-05
30,30,2,25,3000,1000000.0,300,17.15,2.43,0.81,,2496.5,0.2496499999999999,300.0,0.0002091704523507,0.0116388046363178,0.0008791157338346,-1.3764160432965462e-05,-2.355029946900693e-06,5831705961732.149,3894540000000.0,3145590000000.0,4.302766264889317,1.0741868884983292,25092497823633.945,16757315460573.934,13534754795078.947,7.453821084642997e-05,4.977823737595165e-05,4.020549941903787e-05,4.062802417274852e-05,2.7132277638829865e-05,2.191453193905489e-05
31,31,2,25,3000,1000000.0,305,17.15,2.43,0.81,,2527.25,0.252725,305.0,0.0002506622972191,0.0116560273013231,0.0008899004609206,-2.813792596537169e-05,-3.133201411812558e-06,5888492500000.0,3942510000000.0,3184335000000.0,3.6895520361316656,0.931150268830062,21695801263740.45,14525944193748.969,11732493387258.783,7.660475598129876e-05,5.1289021172028353e-05,4.142574786971521e-05,4.168504865090629e-05,2.790930295940508e-05,2.2542129313365637e-05
32,32,2,25,3000,1000000.0,310,17.15,2.43,0.81,,2566.0,0.2566,310.0,0.0002313791595298,0.0120420265004564,0.0009066987894456,5.661883594911887e-05,-2.2337631387390367e-06,5978780000000.0,4002960000000.001,3233160000000.0,4.036231039384216,1.0354330638272018,24125590387173.805,16152755795704.352,13046456604222.744,7.912566614113619e-05,5.297684084985942e-05,4.278898684027106e-05,4.3017757439705295e-05,2.8801588672077363e-05,2.326282161975479e-05
33,33,2,25,3000,1000000.0,315,17.15,2.43,0.81,,2645.25,0.264525,315.0,0.000227747298723,0.0113184018825767,0.0008337499451333,5.988064483661565e-05,6.434861582158132e-06,6161874091716.847,4126590000000.0,3333015000000.0,4.1634798779953375,1.101607622383605,25660967649951.168,17185078909184.242,13880256042033.426,8.294807802312952e-05,5.555009794010495e-05,4.486738679777708e-05,4.503108898036224e-05,3.0157195474875032e-05,2.4357734806629837e-05
34,34,2,25,3000,1000000.0,320,17.15,2.43,0.81,,2647.5,0.26475,320.0,0.0002550474711852,0.0119340105909963,0.0007862174798291,2.704805119883713e-05,3.394028330662429e-06,6143692111187.571,4130100000000.0,3335850000000.0,3.764030524685002,0.9965329316665644,23125180399692.152,15545913733998.406,12556314938998.717,8.406647006805812e-05,5.6513725255833626e-05,4.564570116817332e-05,4.56142500533646e-05,3.06642017106201e-05,2.476723984319316e-05
35,35,2,25,3000,1000000.0,325,17.15,2.43,0.81,,2723.75,0.272375,325.0,0.0002349246069428,0.0119384433835664,0.0009063754223263,3.40027600254286e-05,1.0503330297355645e-05,6319100000000.0,4249050000000.0,3431925000000.0,4.163246071321135,1.1333498077642707,26293715540131.09,17680257001122.625,14280207577829.812,8.785387853517977e-05,5.907415970468984e-05,4.771374437686487e-05,4.763074882131026e-05,3.202757248329483e-05,2.5868423928815057e-05
36,36,2,25,3000,1000000.0,330,17.15,2.43,0.81,,2807.25,0.280725,330.0,0.0002709869383607,0.012342776683581,0.0008763870108427,-4.687777318146642e-05,-3.64389607423509e-06,6492801521643.291,4379310000000.0,3537135000000.0,3.6630419552901503,1.029258731716204,23805406214094.27,16056436214772.783,12968660019624.172,9.174340817645962e-05,6.187973304312018e-05,4.9979784380981686e-05,4.969652673685441e-05,3.351965954580594e-05,2.707357117161249e-05
