,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,M1.grazingIncAngle,PG.cFactor,M3.grazingIncAngle,KB_ver.grazingIncAngle,KB_hor.grazingIncAngle,KB2_ver.grazingIncAngle,KB2_hor.grazingIncAngle,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
948,948,0.02,2080,100000.0,17.15,2.43,0.81,0.2,1.30616741790999,0.2,0.2,0.2,0.2,0.2,,562.5,0.1383577302523851,2080.0,0.2190266171948678,0.0003404407807583,0.0003964084728136,2.147129891017432e-06,8.760592327737727e-07,2255394428309.6235,2421260279416.741,1604949670927.6687,9.69801778734686,1.341420958055155,21866746074082.82,23474866765965.22,15560483113439.805,0.0002003211162672,0.0002150530992974,0.0001425494829628,0.0001214752448366,0.0001304087575829,8.64423764550334e-05
949,949,0.02,2080,100000.0,17.15,2.43,0.81,0.3,1.30616741790999,0.3,0.3,0.3,0.3,0.3,,1136.9,0.2796424951536653,2080.0,0.2417317305296364,0.0003663368580814,0.0004362975449704,-8.238309535508524e-07,-2.161309490558441e-06,4558502978747.042,4893743665189.143,3243852943782.5186,8.631780162326482,2.413288595688785,39339454634670.17,42232550424553.73,27994147709989.902,0.0004048801370386,0.0004346557663846,0.000288114679432,0.0002455203659641,0.0002635763848819,0.0001747134894074
950,950,0.02,2080,100000.0,17.15,2.43,0.81,0.4,1.30616741790999,0.4,0.4,0.4,0.4,0.4,,1766.8,0.4345785561065141,2080.0,0.2320359942242703,0.0003499758856189,0.0004353548428082,-1.0934731674533877e-06,1.1824245774785152e-06,7084143779444.344,7605124731863.997,5041111250835.563,9.022801586269,3.917827735892291,63865219749483.77,68561985378115.1,45446801736350.58,0.000629204174615,0.0006754770059357,0.0004477447582202,0.0003815510445821,0.0004096110095958,0.0002715135835035
951,951,0.02,2080,100000.0,17.15,2.43,0.81,0.5,1.30616741790999,0.5,0.5,0.5,0.5,0.5,,2430.9,0.597926767058708,2080.0,0.240565982548469,0.0003752702061395,0.0004046881152878,-5.251409685843465e-07,5.13861095205361e-07,9746912561382.87,10463718423527.389,6935950497881.012,8.668933629754527,5.182636093260333,84483089939199.12,90696131632055.84,60118578681819.86,0.0008657077360605,0.0009293734739241,0.0006160418455725,0.0005249674180862,0.0005635744867707,0.000373569374088
952,952,0.02,2080,100000.0,17.15,2.43,0.81,0.6,1.30616741790999,0.6,0.6,0.6,0.6,0.6,,2910.4,0.7158690455582968,2080.0,0.2394564093570352,0.0003704746135226,0.0004368048411024,4.549352104849035e-07,-1.7273844654179816e-06,11669511011826.363,12527708297270.191,8304080928476.242,8.757690339371505,6.2708068417117175,102221558463002.16,109739119729955.06,72741359363855.92,0.0010364703587275,0.0011126942936808,0.0007375573603827,0.0006285183156848,0.0006747407076793,0.0004472566976616
953,953,0.02,2080,100000.0,17.15,2.43,0.81,0.7,1.30616741790999,0.7,0.7,0.7,0.7,0.7,,3275.2,0.8055986455513103,2080.0,0.2425859051385032,0.0003675561765443,0.0004445971700638,2.4642158983752574e-07,1.1936468627059826e-07,13132209478399.428,14097976297147.928,9344944288395.2,8.629111153298311,6.950542696984438,113302055793421.05,121634497197227.69,80626295285019.48,0.0011663852799974,0.0012521633970119,0.0008300054517336,0.0007072990611362,0.0007593151339304,0.0005033174602053
954,954,0.02,2090,100000.0,17.15,2.43,0.81,0.2,1.30697409968417,0.2,0.2,0.2,0.2,0.2,,563.5,0.1391750458856328,2090.0,0.2314348765231898,0.0003837587739837,0.0004227305144319,-5.561510353403237e-08,-5.4998226836103606e-06,2239030858036.7607,2435563302998.575,1614430532273.341,9.188796043217186,1.2796833550768327,20587386929173.805,22394458713844.57,14844326918891.262,0.0001998838008148,0.0002174287363575,0.000144124190957,0.000120882982029,0.0001314935673754,8.716145037459392e-05
955,955,0.02,2090,100000.0,17.15,2.43,0.81,0.3,1.30697409968417,0.3,0.3,0.3,0.3,0.3,,1148.5,0.2836602310552784,2090.0,0.2206655036034135,0.0003490746194003,0.0004131552725523,-1.358671718584796e-06,4.4617169603695e-06,4563490577560.285,4964054043467.371,3290458680241.229,9.561933928535955,2.71162945801526,43624358040785.98,47453515515267.055,31454901712977.02,0.0004073940465588,0.0004431533339959,0.0002937473528201,0.0002463781807636,0.0002680041918912,0.0001776484929107
956,956,0.02,2090,100000.0,17.15,2.43,0.81,0.4,1.30697409968417,0.4,0.4,0.4,0.4,0.4,,1808.1,0.4465703646243349,2090.0,0.2265537588502866,0.0003664296625238,0.000420247895375,-6.197686037024516e-07,3.778704241586879e-07,7184368579265.781,7814981380925.862,5180216229642.287,9.313618120255494,4.157899296219462,66891767626898.64,72763237683840.6,48231631836145.766,0.0006413662826147,0.0006976626410083,0.0004624506648969,0.0003878766988584,0.0004219228379264,0.000279674566854
957,957,0.02,2090,100000.0,17.15,2.43,0.81,0.5,1.30697409968417,0.5,0.5,0.5,0.5,0.5,,2415.8,0.5966620689450077,2090.0,0.2402741377166421,0.000359798747263,0.0004060108718729,1.9735924333909887e-06,-4.1473160424042956e-07,9599025282777.652,10441586206537.637,6921279999762.09,8.749512392593243,5.220011844383057,83978902428352.55,91350207276703.48,60552137394843.45,0.0008569286353302,0.000932146124743,0.0006178797169725,0.0005182415403474,0.0005637305413764,0.000373672815998
958,958,0.02,2090,100000.0,17.15,2.43,0.81,0.6,1.30697409968417,0.6,0.6,0.6,0.6,0.6,,2970.0,0.733540170861277,2090.0,0.2355657926636013,0.0003721552200006,0.0004395014381437,-2.707847132074827e-07,-1.2027919870707784e-07,11801103191427.12,12836952990072.348,8509065981990.8125,8.918664578596205,6.544895246234214,105293462097929.7,114535666809098.72,75920784856316.88,0.0010535135553153,0.0011459864187792,0.000759625283305,0.0006371294704991,0.0006930539398493,0.0004593957544144
959,959,0.02,2090,100000.0,17.15,2.43,0.81,0.7,1.30697409968417,0.7,0.7,0.7,0.7,0.7,,3314.2,0.8185517960499812,2090.0,0.2434304677222371,0.0003662873514531,0.0004192557011381,3.131536159368316e-06,1.2284332085279378e-06,13168759662298.908,14324656430874.672,9495200834179.783,8.61175163471715,7.049856829368577,113417221350648.23,123372494513950.1,81778339220675.5,0.0011756076178539,0.0012787973700734,0.0008476599710201,0.0007109678421307,0.0007733735243934,0.0005126361647408
960,960,0.02,2100,100000.0,17.15,2.43,0.81,0.2,1.30778091275259,0.2,0.2,0.2,0.2,0.2,,564.3,0.1409756600380238,2100.0,0.2355723923796176,0.0003370178235457,0.0004276493953958,9.561328300335725e-07,9.75679747612169e-07,2248441274667.407,2467074050665.417,1635317656441.077,9.240073329680976,1.3028937534079088,20780041681511.145,22800640684638.4,15113567539531.74,0.0002017372486535,0.0002213536714582,0.0001467258622237,0.0001216774597058,0.000133509069938,8.849744064469235e-05
961,961,0.02,2100,100000.0,17.15,2.43,0.81,0.3,1.30778091275259,0.3,0.3,0.3,0.3,0.3,,1126.6,0.2814516721581386,2100.0,0.236675141142814,0.0003483234426237,0.0004393496837354,-5.035435337157572e-07,-3.635845836239189e-06,4488913592132.377,4925404262767.427,3264839397034.4087,9.102887026327286,2.571727508631695,41016855505733.86,45005231401054.66,29832039100127.656,0.0004027594973119,0.0004419228181196,0.0002929316965821,0.0002429236684469,0.0002665449551519,0.000176681227415
962,962,0.02,2100,100000.0,17.15,2.43,0.81,0.4,1.30778091275259,0.4,0.4,0.4,0.4,0.4,,1799.3,0.4495082493468302,2100.0,0.2377088612215175,0.0003707883392643,0.0004153963426285,8.236545978329849e-07,-2.845133103105326e-06,7169272347171.833,7866394363569.529,5214295692423.2295,8.88630818167602,3.9934408379455832,63691967858546.88,69885214664047.71,46323913720168.766,0.0006432497457069,0.0007057977335723,0.0004678430691108,0.0003879749304426,0.0004257006371426,0.0002821787080488
963,963,0.02,2100,100000.0,17.15,2.43,0.81,0.5,1.30778091275259,0.5,0.5,0.5,0.5,0.5,,2397.6,0.5989779239893072,2100.0,0.2311164894379089,0.0003844033871566,0.0004330884775836,-1.759997907613014e-06,3.0542534932125344e-06,9553185894280.66,10482113669812.877,6948143918275.963,9.129408195449832,5.465087132782901,87163468329841.77,95639024823700.78,63395010740281.664,0.0008571419942795,0.0009404883265787,0.0006234094050464,0.0005169836565494,0.0005672538473924,0.0003760082645572
964,964,0.02,2100,100000.0,17.15,2.43,0.81,0.6,1.30778091275259,0.6,0.6,0.6,0.6,0.6,,2895.8,0.7234402203404386,2100.0,0.2421370333601316,0.0003733699024904,0.0004493757746794,1.0704393254528636e-06,2.1190468227633658e-06,11538253133407.545,12660203855957.676,8391906555949.086,8.686177393349409,6.284294551101916,100229126411282.16,109975154644283.52,72897816792782.22,0.0010352484930908,0.0011359134534979,0.0007529483463186,0.0006244082718701,0.0006851241621952,0.000454139444655
965,965,0.02,2100,100000.0,17.15,2.43,0.81,0.7,1.30778091275259,0.7,0.7,0.7,0.7,0.7,,3181.2,0.7947399782260525,2100.0,0.2354071878458398,0.0003808801207716,0.000438811078759,-5.453364794892539e-07,-4.695804617553926e-07,12675423326195.207,13907949618955.922,9218983747422.21,8.945705505235903,7.108037829328029,113367127581086.05,124390662013240.5,82453238820205.12,0.0011372789924098,0.0012478651420221,0.0008271563227118,0.0006859477845408,0.0007526476223411,0.0004988978525232
966,966,0.02,2110,100000.0,17.15,2.43,0.81,0.2,1.30869521201282,0.2,0.2,0.2,0.2,0.2,,553.2,0.1398127558003884,2110.0,0.2212618066671893,0.0003294637990087,0.0004315118448191,-1.1634959452984031e-06,2.200527571725632e-06,2198211083820.315,2446723226506.8,1621827967284.5066,9.707207496478356,1.3577660691450972,21347525877331.99,23760906210039.2,15750086402083.129,0.0001981844924681,0.0002205896441995,0.0001462194212979,0.000119234061641,0.0001327137098684,8.797023054141095e-05
967,967,0.02,2110,100000.0,17.15,2.43,0.81,0.3,1.30869521201282,0.3,0.3,0.3,0.3,0.3,,1133.2,0.2863987976735362,2110.0,0.2415038229804395,0.0003672689792871,0.0004415139173434,2.7952228289988845e-06,3.939283438652155e-07,4502915401636.264,5011978959286.884,3322226053013.0205,8.778721674636314,2.5138574684225694,39524214501003.445,43992505697394.96,29160746633701.805,0.0004059701136387,0.0004518658438303,0.000299522502196,0.0002442444661091,0.0002718567896293,0.00018020221484
968,968,0.02,2110,100000.0,17.15,2.43,0.81,0.4,1.30869521201282,0.4,0.4,0.4,0.4,0.4,,1759.7,0.4447369963520312,2110.0,0.2339445856364364,0.0003532658800767,0.000439486854355,-1.6343883987517195e-06,9.528572284948524e-07,6992393427690.902,7782897436160.545,5158949157683.561,9.066176147378595,4.032966889419085,63408467033282.94,70576920564834.02,46782415917261.39,0.0006304144096101,0.0007016840146384,0.0004651162611317,0.0003792772564528,0.0004221553059573,0.0002798286599488
969,969,0.02,2110,100000.0,17.15,2.43,0.81,0.5,1.30869521201282,0.5,0.5,0.5,0.5,0.5,,2383.8,0.6024686320986372,2110.0,0.2376051348883265,0.0003616692726942,0.000398846668841,-3.141431773217235e-07,8.237532663729242e-07,9472334746223.545,10543201061726.152,6988636132344.193,8.90539678413453,5.367261747986557,84386965957766.05,93927080589764.77,62260236276644.06,0.0008539989030111,0.0009505451804825,0.0006300756624912,0.0005137927623642,0.0005718780578172,0.0003790734554674
970,970,0.02,2110,100000.0,17.15,2.43,0.81,0.6,1.30869521201282,0.6,0.6,0.6,0.6,0.6,,2862.4,0.7234273900994794,2110.0,0.2392513762838007,0.0003768757796116,0.0004290329491439,1.4639025066347282e-06,-1.1095524640473088e-06,11374113171235.12,12659979326740.893,8391757725153.963,8.839255186449419,6.395869141756419,100559282717709.06,111927709980737.34,74192082044374.47,0.0010254578655839,0.0011413879203847,0.0007565771357978,0.0006169478995684,0.0006866950888061,0.00045518074458
971,971,0.02,2110,100000.0,17.15,2.43,0.81,0.7,1.30869521201282,0.7,0.7,0.7,0.7,0.7,,3123.1,0.7893152885759098,2110.0,0.2410711548031031,0.0003693348130809,0.0004221649196827,7.812142896954998e-07,9.961513184405434e-07,12410038025812.045,13813017550078.424,9156057347480.557,8.791181668648266,6.936824180921394,109064467785648.28,121394423166124.4,80467160498688.17,0.0011188539197894,0.0012453425845981,0.000825484227505,0.0006731379210251,0.0007492375041401,0.0004966374313157
972,972,0.02,2120,100000.0,17.15,2.43,0.81,0.2,1.30950266291593,0.2,0.2,0.2,0.2,0.2,,559.0,0.1429123166173248,2120.0,0.2225703168426662,0.0003513448542798,0.0003760653535643,3.201221776467197e-06,-5.700935445824585e-06,2221995765936.6387,2500965540803.1865,1657782872760.9692,9.615595223646736,1.3723615232916444,21337429595055.062,24016326657603.773,15919393670183.074,0.0002013386561594,0.000226616561924,0.0001502144067611,0.0001207967471763,0.0001359626812798,9.012383444839324e-05
973,973,0.02,2120,100000.0,17.15,2.43,0.81,0.3,1.30950266291593,0.3,0.3,0.3,0.3,0.3,,1140.2,0.2915002207639963,2120.0,0.2294617586835556,0.0003723102880321,0.0004037712084374,8.843575960570403e-07,-6.997774304670423e-06,4532235370878.274,5101253863369.935,3381402560862.3564,9.315352838331412,2.713548009924153,42190150796186.29,47487090173672.67,31477156915120.176,0.0004106732303274,0.0004622329229085,0.0003063943946136,0.0002463907891422,0.0002773249538377,0.0001838268265438
974,974,0.02,2120,100000.0,17.15,2.43,0.81,0.4,1.30950266291593,0.4,0.4,0.4,0.4,0.4,,1781.4,0.4554275506656577,2120.0,0.2347538870163134,0.0003759859240656,0.000412752586705,-9.74352289082215e-07,2.0005894130309425e-07,7080971837995.578,7969982136649.01,5282959587721.63,9.078463536991965,4.135088482072115,64292212990575.4,72364048436262.03,47967026392036.55,0.0006416183937075,0.0007221730651371,0.0004786975746051,0.0003849504927013,0.0004332807163363,0.0002872032176857
975,975,0.02,2120,100000.0,17.15,2.43,0.81,0.5,1.30950266291593,0.5,0.5,0.5,0.5,0.5,,2374.5,0.6070577742537354,2120.0,0.2375431782121268,0.0003808242801342,0.0004371596396689,-3.1214996832169654e-07,2.4293689630077e-06,9438513320602.05,10623511049440.37,7041870181343.33,8.971239441014609,5.443797983714915,84639983150077.72,95266464715011.05,63148056611093.04,0.0008552390680693,0.0009626136427349,0.0006380753288986,0.0005131160575498,0.0005775373643991,0.0003828247672588
976,976,0.02,2120,100000.0,17.15,2.43,0.81,0.6,1.30950266291593,0.6,0.6,0.6,0.6,0.6,,2877.4,0.7356277277901445,2120.0,0.2503859392438698,0.0003686669418116,0.0004258146457501,-1.6012940238988623e-06,8.516910763924987e-07,11437514520404.443,12873485236327.53,8533281642365.675,8.495010434587082,6.252249441493482,97209758510723.6,109414365226135.94,72526093521324.4,0.0010363718233154,0.0011664874691959,0.0007732145510098,0.0006217899111366,0.0006998551325845,0.0004639039735988
977,977,0.02,2120,100000.0,17.15,2.43,0.81,0.7,1.30950266291593,0.7,0.7,0.7,0.7,0.7,,3162.2,0.8084388687071646,2120.0,0.2443234039738399,0.0003685023730573,0.0004281606389291,-7.552019619677212e-07,-8.843002473318383e-07,12569579626198.28,14147680202375.38,9377890877003.107,8.713119723290863,7.047674985492916,109577007413540.22,123334312246126.05,81753029831717.84,0.0011389500867756,0.0012819443508345,0.000849745969696,0.0006833335848322,0.0007691255648359,0.0005098203744055
978,978,0.02,2130,100000.0,17.15,2.43,0.81,0.2,1.31031008129603,0.2,0.2,0.2,0.2,0.2,,564.4,0.1459073456781553,2130.0,0.2397742694858607,0.0003483686165551,0.0004057133418667,9.41009224085616e-07,-1.5247971230740604e-06,2242497014446.0933,2553378549367.719,1692525209866.6023,9.071036103378114,1.3245920685942505,20358082352712.523,23180361200399.38,15365267995693.309,0.0002042083507062,0.0002325181344438,0.0001541263062599,0.000122183616991,0.0001391221592266,9.22181169731442e-05
979,979,0.02,2130,100000.0,17.15,2.43,0.81,0.3,1.31031008129603,0.3,0.3,0.3,0.3,0.3,,1175.6,0.3039133160510975,2130.0,0.2261310438518193,0.0003781812942088,0.0004327987390003,1.824498255906762e-07,2.038421274661493e-06,4670941690614.506,5318483030894.207,3525394466192.7314,9.576769987672456,2.91043104002594,44731352542084.84,50932543200453.94,33761000064300.89,0.0004253496404858,0.000484316652821,0.0003210327527271,0.0002544986891118,0.0002897803160646,0.0001920829523628
980,980,0.02,2130,100000.0,17.15,2.43,0.81,0.4,1.31031008129603,0.4,0.4,0.4,0.4,0.4,,1814.3,0.4690285210203354,2130.0,0.2393673624486381,0.0003582080040357,0.000423928792128,-1.0022152180856234e-08,5.959689134882282e-07,7208650484247.958,8207999117855.87,5440730843835.891,8.930948106788017,4.188912562783975,64380747056693.06,73305969848719.6,48591385728294.12,0.0006564408410458,0.0007474444566292,0.0004954488969656,0.0003927670735416,0.0004472171039777,0.0002964410517794
981,981,0.02,2130,100000.0,17.15,2.43,0.81,0.5,1.31031008129603,0.5,0.5,0.5,0.5,0.5,,2464.9,0.6372200856876067,2130.0,0.2435156615449613,0.0003616653085974,0.0004369231379476,5.546158822758558e-07,-2.4660728623223013e-07,9793640841439.006,11151351499533.115,7391752993976.237,8.774911822365304,5.593450183903821,85967538368667.61,97885378218316.86,64884022133284.33,0.0008918376393616,0.0010154747512238,0.0006731146922398,0.0005336116185707,0.0006075871904286,0.0004027435090841
982,982,0.02,2130,100000.0,17.15,2.43,0.81,0.6,1.31031008129603,0.6,0.6,0.6,0.6,0.6,,2962.8,0.7659360095238108,2130.0,0.2399123865815454,0.0003474944025866,0.0004317294708439,-1.7871860734380038e-07,1.0967895127593192e-06,11771917353651.465,13403880166666.688,8884857710476.203,8.93436548431929,6.837363269414626,105085639431526.12,119653857214755.95,79313413925209.66,0.0010719852967263,0.0012205966136257,0.000809081183889,0.000641399043978,0.0007303173872376,0.0004840960966832
983,983,0.02,2130,100000.0,17.15,2.43,0.81,0.7,1.31031008129603,0.7,0.7,0.7,0.7,0.7,,3288.2,0.8500576436196147,2130.0,0.2385032686825525,0.0003740758374635,0.000423932632606,-1.3360128903191162e-06,-1.3264306175099654e-06,13064809856310.496,14876008763343.256,9860668665987.53,8.958282002651272,7.612082534780034,116992549474615.88,133211444358650.6,88300157403448.4,0.001189719877378,0.0013546529583246,0.000897941389518,0.0007118429649009,0.0008105270800306,0.0005372636644774
984,984,0.02,2140,100000.0,17.15,2.43,0.81,0.2,1.3112278617373,0.2,0.2,0.2,0.2,0.2,,555.8,0.1451873109387362,2140.0,0.2418383859367622,0.0003204615837261,0.0004201199321713,2.954367506611986e-07,-1.7910281143991471e-06,2198529489662.442,2540777941427.884,1684172806889.3403,9.025946871169266,1.3137317124480796,19893459646350.164,22990304967841.39,15239287864397.725,0.0002011595424831,0.0002324743564514,0.0001540972877049,0.0001200490067306,0.0001387372194121,9.19629568675378e-05
985,985,0.02,2140,100000.0,17.15,2.43,0.81,0.3,1.3112278617373,0.3,0.3,0.3,0.3,0.3,,1155.3,0.3017900329750304,2140.0,0.2467661314181896,0.0003489599558922,0.0004217277882621,-6.233487780367252e-07,-1.126741564357005e-07,4569919250462.43,5281325577063.034,3500764382510.354,8.745902518589238,2.6379110386276183,39945124488021.48,46163443175983.33,30599768048080.383,0.0004181353354278,0.0004832271032896,0.0003203105370377,0.0002495369152139,0.0002883827088645,0.0001911565384473
986,986,0.02,2140,100000.0,17.15,2.43,0.81,0.4,1.3112278617373,0.4,0.4,0.4,0.4,0.4,,1840.4,0.4807533772069991,2140.0,0.2526253422126501,0.0003578939176649,0.0004190449380489,3.92195425130178e-06,-1.971831002566469e-06,7279909450836.197,8413184101122.487,5576739175601.19,8.50146507368623,4.086907659795496,61886861554858.2,71520884046421.2,47408128853627.766,0.0006660921590247,0.000769783745256,0.0005102566539983,0.0003975138394873,0.0004593954275031,0.0003045135405163
987,987,0.02,2140,100000.0,17.15,2.43,0.81,0.5,1.3112278617373,0.5,0.5,0.5,0.5,0.5,,2484.8,0.6490849770071461,2140.0,0.245671690887957,0.0003939342671894,0.0004170142514774,1.9342312603586277e-07,-1.1875043741630916e-06,9828906217907.943,11358987097625.057,7529385733282.895,8.74923275998282,5.6739399182283154,85918832383785.7,99293948568995.52,65817703051448.46,0.0008993185159448,0.0010393168062445,0.0006889185687106,0.0005366998415334,0.0006202487275917,0.0004111362994322
988,988,0.02,2140,100000.0,17.15,2.43,0.81,0.6,1.3112278617373,0.6,0.6,0.6,0.6,0.6,,2983.0,0.7792258879637463,2140.0,0.242619693327424,0.0003640573535321,0.0004268255141988,5.9058961483846584e-08,-1.2538231878366738e-06,11799592421128.22,13636453039365.56,9039020300379.455,8.885492810380097,6.9272274944445655,104897003943844.86,121226481152779.88,80355838935556.95,0.0010796310097647,0.0012476988220489,0.0008270460763296,0.0006443076413772,0.0007446079983927,0.0004935687303631
989,989,0.02,2140,100000.0,17.15,2.43,0.81,0.7,1.3112278617373,0.7,0.7,0.7,0.7,0.7,,3305.2,0.8633916878638196,2140.0,0.2401564171599602,0.0003852689342602,0.0004203223015732,-1.145159152142928e-07,-6.373611030547755e-07,13074090804664.092,15109354537616.844,10015343579220.309,8.970148759954617,7.754512635139247,117424343739705.31,135703971114936.84,89952346567615.27,0.0011962441882247,0.0013824653525431,0.0009163770336857,0.0007139006424003,0.000825034648437,0.0005468801098211
990,990,0.02,2150,100000.0,17.15,2.43,0.81,0.2,1.3120355962641,0.2,0.2,0.2,0.2,0.2,,570.1,0.150307953205327,2150.0,0.2174222467848721,0.0003487210930683,0.0004336595861605,-5.308796907915984e-07,3.0830443651806015e-07,2255829623567.373,2630389181093.224,1743572257181.7937,10.051398025574048,1.5088218074533883,22644476605228.586,26404381630434.305,17502332966459.309,0.0002074212421404,0.0002418616129316,0.0001603196977147,0.0001262701929217,0.0001472361856968,9.759655737620315e-05
991,991,0.02,2150,100000.0,17.15,2.43,0.81,0.3,1.3120355962641,0.3,0.3,0.3,0.3,0.3,,1173.3,0.309342784591844,2150.0,0.2433586114565059,0.0003525737287035,0.0004436340579147,8.769294610640434e-07,3.796819325762512e-06,4642632691337.658,5413498730357.269,3588376301265.3896,8.894314644787347,2.7563754836743293,41367827431283.45,48236570964300.76,31973955610622.22,0.0004268853594165,0.0004977657085647,0.0003299475553914,0.0002598716319156,0.0003030209027856,0.0002008595698465
992,992,0.02,2150,100000.0,17.15,2.43,0.81,0.4,1.3120355962641,0.4,0.4,0.4,0.4,0.4,,1851.4,0.4881251439472767,2150.0,0.2475530001212973,0.0003900892357302,0.0004105788484238,1.784730848277172e-07,1.1943893396295737e-06,7325807691760.453,8542190019077.342,5662251669788.411,8.784707790362074,4.28428247176462,64298735425761.58,74974943255880.84,49697676672469.59,0.0006736005748094,0.0007854456940568,0.0005206382886319,0.0004100625068854,0.0004781495776165,0.0003169448628772
993,993,0.02,2150,100000.0,17.15,2.43,0.81,0.5,1.3120355962641,0.5,0.5,0.5,0.5,0.5,,2465.5,0.6500337811396839,2150.0,0.2430342893543184,0.0003841397307811,0.0004396756275814,-5.431048483065746e-07,-7.327582627795522e-07,9755740987380.035,11375591169944.469,7540391861220.334,8.89721970446985,5.784712306166202,86817264860486.28,101232465357908.52,67102662751527.95,0.0008970304727193,0.0010459740513649,0.0006933313711905,0.0005460781628638,0.0006367493699975,0.0004220738681126
994,994,0.02,2150,100000.0,17.15,2.43,0.81,0.6,1.3120355962641,0.6,0.6,0.6,0.6,0.6,,3036.1,0.8004735602994097,2150.0,0.2488122396761809,0.0003712917209781,0.0004423024495762,5.289489893003179e-07,-7.490096454164466e-07,12013549061766.184,14008287305239.668,9285493299473.152,8.66968285826437,6.941502848222072,104178437821623.4,121476299843886.23,80521433039376.03,0.0011046336314026,0.0012880477863919,0.0008537916755512,0.000672459099684,0.0007841146875885,0.0005197560214872
995,995,0.02,2150,100000.0,17.15,2.43,0.81,0.7,1.3120355962641,0.7,0.7,0.7,0.7,0.7,,3311.6,0.8731096611730592,2150.0,0.241418320814364,0.0003761611554704,0.000421376619831,6.146762317158193e-07,2.845340074207413e-07,13103675462911.266,15279419070528.535,10128072069607.488,8.91649101714648,7.781497270594538,116785118048521.84,136176202235404.4,90265368338896.64,0.0012048696465047,0.0014049270608397,0.0009312659374708,0.000733478987686,0.0008552663612589,0.0005669194166059
996,996,0.02,2160,100000.0,17.15,2.43,0.81,0.2,1.31284381804785,0.2,0.2,0.2,0.2,0.2,,590.7,0.1569229387689152,2160.0,0.2329187406965047,0.0003614604619172,0.000414793907364,2.143693140850189e-06,2.438254074777074e-07,2320811689840.3794,2746151428456.017,1820306089719.4167,9.34736215048781,1.466286221444598,21685639015413.305,25660008875280.46,17008920168757.332,0.0002144530711366,0.000253756308716,0.0001682041817774,0.0001301217047741,0.0001539693664086,0.0001020596943051
997,997,0.02,2160,100000.0,17.15,2.43,0.81,0.3,1.31284381804785,0.3,0.3,0.3,0.3,0.3,,1191.7,0.3165821332840973,2160.0,0.2598413561280722,0.000364860299352,0.0004243595160377,-2.4791059146851457e-06,2.9275105906200805e-07,4682091232068.359,5540187332471.703,3672352746095.53,8.336994840440152,2.6384016934271406,39020639943644.16,46172029634974.95,30605459643754.824,0.0004326455474413,0.0005119373507649,0.0003393413296499,0.0002625123338062,0.0003106234873019,0.0002058989972972
998,998,0.02,2160,100000.0,17.15,2.43,0.81,0.4,1.31284381804785,0.4,0.4,0.4,0.4,0.4,,1866.7,0.4958998642287694,2160.0,0.2519082318445725,0.0003802996318789,0.0004273436455867,-4.9117053305668015e-08,4.504704227917088e-07,7334110684653.862,8678247624003.466,5752438425053.727,8.608767145835637,4.2678278600556565,63119037060792.4,74686987550973.98,49506803176645.62,0.000677703653108,0.0008019077390895,0.0005315502727679,0.0004112039720702,0.0004865661355597,0.0003225238384281
999,999,0.02,2160,100000.0,17.15,2.43,0.81,0.5,1.31284381804785,0.5,0.5,0.5,0.5,0.5,,2532.1,0.6726672985555618,2160.0,0.2402652450519326,0.0003662153261643,0.0004333675927012,2.193081505728894e-06,1.4645468271894868e-06,9948412527247.035,11771677724722.33,7802940663244.516,9.03354909716204,6.075928029630696,89859933215761.44,106328740518537.16,70480765143716.1,0.0009192764879385,0.0010877541041134,0.0007210255775837,0.0005577808848122,0.0006600064883756,0.0004374900151518
1000,1000,0.02,2160,100000.0,17.15,2.43,0.81,0.6,1.31284381804785,0.6,0.6,0.6,0.6,0.6,,3074.5,0.8167590574657693,2160.0,0.2506966199685393,0.000379410134923,0.0004327892553233,1.4645489534839308e-07,-1.6538144513700617e-06,12079457491813.52,14293283505650.965,9474405066602.924,8.663546047175615,7.07132905478184,104581415959924.05,123748258458682.23,82027417035469.36,0.0011161942901808,0.0013207614205982,0.0008754761416536,0.0006772628768039,0.0008013861808423,0.0005312045541583
1001,1001,0.02,2160,100000.0,17.15,2.43,0.81,0.7,1.31284381804785,0.7,0.7,0.7,0.7,0.7,,3372.0,0.8957916870302729,2160.0,0.2381293692800226,0.0003696719591594,0.0004318367218285,4.6028280924779373e-07,5.937769345362247e-07,13248310509804.91,15676354523029.775,10391183569551.166,9.113602458640695,8.165876244120843,120769220827895.88,142902834272114.8,94724164431801.8,0.0012242013811969,0.0014485631843413,0.0009601904536205,0.0007427973395943,0.0008789312739634,0.0005826058730271
