,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
17,17,0.02,670,100000.0,17.15,2.43,0.81,1.1739866608376612,,0.067,182.0,0.0071340974262066,670.0,0.0362017253061139,0.0001782137923678,0.0001160449938681,-1.449958361864446e-05,9.107850462714448e-07,166050409223.40674,103587094628.52016,75050704923.69368,57550763937.20883,45251579974.42861,36077130684.3269,1.850740522266893,0.0132033631964805,307316221088.7592,191712833612.89752,138899380826.97534,106511530906.00856,83748932755.2761,66769407684.60212,4.83766382092992e-06,3.01787597117826e-06,2.1865051802200616e-06,1.6766670426649463e-06,1.318346231761963e-06,1.0510605224689023e-06,2.751488571092071e-06,1.716458925431118e-06,1.2436052269652452e-06,9.536276963810488e-07,7.498277523422576e-07,5.978052882854796e-07
18,18,0.02,680,100000.0,17.15,2.43,0.81,1.1763985939537458,,0.068,172.0,0.0065443256871919,680.0,0.0586402347707917,0.0001398938851409,5.205481232411681e-05,-3.4253617605900923e-06,-2.4620015020254928e-06,151845340154.8528,95023608978.02728,68846306229.25943,52793075318.57755,41510657833.85861,33094655000.12975,1.159613365563644,0.0075888875354692,176081885942.1252,110190647015.0139,79835096873.13678,61219555748.63066,48136313637.48162,38377004266.86813,4.490671804266549e-06,2.810226781685268e-06,2.036059624196213e-06,1.5613016148660509e-06,1.2276355699882684e-06,9.787408288555373e-07,2.555497140731731e-06,1.5992098328319898e-06,1.1586561598755186e-06,8.884866199349628e-07,6.986079868907239e-07,5.569699810352184e-07
19,19,0.02,690,100000.0,17.15,2.43,0.81,1.178948889451767,,0.069,160.0,0.0059023273907749,690.0,0.0425433518637419,0.0001479990211761,9.136007157086002e-05,-1.656193292973414e-05,6.435994087480959e-06,136508339045.28348,85701793714.05173,62092484150.95208,47614075061.38122,37438462639.68527,29848069615.14873,1.6218750281123495,0.0095728374028413,221399466226.63928,138997599089.25644,100706249477.89104,77224079328.72119,60720507646.2227,48409838746.16872,4.09812463184332e-06,2.572858436847601e-06,1.8640820079639645e-06,1.4294248629510742e-06,1.123942222102227e-06,8.960706002161376e-07,2.3322320240364707e-06,1.4642070163272191e-06,1.0608442019120074e-06,8.134819559718785e-07,6.396325829589223e-07,5.099514381244316e-07
20,20,0.02,700,100000.0,17.15,2.43,0.81,1.1816434119664396,,0.07,181.0,0.0064821812080443,700.0,0.0240868723651601,0.0001250451069002,0.000103217949449,-2.806309090528229e-06,1.1960946625404991e-06,149434628841.21436,94121271140.80424,68192546308.62676,52291755805.29392,41116475402.62543,32780390369.08037,2.9061473378025497,0.0188381736609118,434279048782.4072,273530281556.44016,198177586912.79272,151967546922.57596,119490535531.16393,95264644203.23126,4.551873075348961e-06,2.8669933016575648e-06,2.077187984396528e-06,1.5928398735861967e-06,1.2524337818466896e-06,9.985113723472664e-07,2.5907933522058136e-06,1.631808941901039e-06,1.182274798126648e-06,9.06597984457003e-07,7.128487684902404e-07,5.683235412667737e-07
21,21,0.02,710,100000.0,17.15,2.43,0.81,1.1844885304175683,,0.071,165.0,0.0057116669967306,710.0,0.0458643329708365,0.0001933692744029,0.000134261908323,-1.103706897666848e-05,-8.076500269253881e-06,131243149826.97417,82933404792.52835,60086736805.60594,46076017662.62577,36229103760.262215,28883900002.466656,1.5480438807459873,0.0088419111431476,203170154979.47614,128384549798.50343,93016905225.91298,71327697191.77185,56084242380.98537,44713544650.89752,4.0559049163373335e-06,2.562952844929941e-06,1.8569052292467616e-06,1.4239215289290518e-06,1.1196150065696018e-06,8.926206981274595e-07,2.3069918214316954e-06,1.4578032212125716e-06,1.0562045376829377e-06,8.099241450083894e-07,6.368351124071172e-07,5.077211356523398e-07
22,22,0.02,720,100000.0,17.15,2.43,0.81,1.1868845751170944,,0.072,164.0,0.0053722414367289,720.0,0.0546258220680329,0.0001664243009972,8.726697080524799e-05,1.4427201835759857e-07,-6.696201701553878e-07,123040571030.12357,78004945661.30452,56515979914.38867,43337871670.09253,34076127433.1718,27167424945.53836,1.318057967353401,0.0070809256282266,162174604953.96643,102815040121.85156,74491337608.94478,57121827042.90471,44914311259.84189,35808240901.94237,3.856395449075508e-06,2.44486769636325e-06,1.7713504246378366e-06,1.358315957752227e-06,1.0680300136385738e-06,8.514942107788536e-07,2.190897259968831e-06,1.3889794259125196e-06,1.0063404656060404e-06,7.71687123198092e-07,6.067697313059995e-07,4.837513055674664e-07
23,23,0.02,730,100000.0,17.15,2.43,0.81,1.1894102416047256,,0.073,201.0,0.0060303071140996,730.0,0.0456900736526222,0.0001679807535022,0.000126208711466,-3.522757129628856e-06,-1.470648270394535e-07,137640778121.0478,87560059296.72743,63438830840.32869,48646487489.44216,38250238024.7343,30495263076.002106,1.5977212152252769,0.0096347496105209,219911591284.1132,139896564344.76465,101357565902.68073,77723525108.07275,61113216779.53458,48722928780.404594,4.375367551941617e-06,2.783386199372271e-06,2.016613141693959e-06,1.546389564072735e-06,1.2159103762133822e-06,9.693928381698052e-07,2.481816131732552e-06,1.5788051377257257e-06,1.143872592897702e-06,8.771502097819166e-07,6.896942829610383e-07,5.498634697988288e-07
24,24,0.02,740,100000.0,17.15,2.43,0.81,1.1920706597760105,,0.074,222.0,0.0060736224897567,740.0,0.0461307830689747,0.000137660392477,6.78294747720632e-05,-7.815427405567168e-06,2.7169948044838017e-06,138129056520.99518,88188998551.26852,63894508592.24139,48995912624.86799,38524987452.52729,30714308930.700066,1.6041349198290251,0.0097429099256777,221577643008.36548,141467052120.84116,102495412418.1301,78596054370.44254,61799277658.57407,49269895494.15247,4.45103826218182e-06,2.841781568207045e-06,2.0589216320618537e-06,1.578832776220815e-06,1.2414201437422376e-06,9.897306742715585e-07,2.521187510992423e-06,1.609661336683292e-06,1.1662284615639278e-06,8.942932508969777e-07,7.031736817205318e-07,5.606100123696563e-07
25,25,0.02,750,100000.0,17.15,2.43,0.81,1.1948713752184863,,0.075,208.0,0.0051542526178891,750.0,0.0677786264316182,0.000125777067137,0.0001157314786777,5.664664483903958e-07,-1.788305599994263e-07,116795689266.191,74839748011.75073,54222737540.19406,41579355868.511925,32693424355.271,26065055488.665527,1.1065435218824828,0.005703404844471,129239513341.30309,82813438341.7202,59999818963.83585,46009366880.34826,36176696928.48011,28842118298.49029,3.81571937663422e-06,2.4450172641219493e-06,1.771458789157225e-06,1.3583990543851075e-06,1.0680953516753116e-06,8.515463019741527e-07,2.1572383608482066e-06,1.3823042300748364e-06,1.0015041666933388e-06,7.679785278246353e-07,6.038537005072098e-07,4.814264801300583e-07
26,26,0.02,760,100000.0,17.15,2.43,0.81,1.1971449744787888,,0.076,194.0,0.0042983449693344,760.0,0.0366754962660706,0.0001786670297203,0.0001205288535647,1.1732458577279872e-06,-4.413206895638549e-06,97038159841.69437,62411968954.73636,45218589077.39852,34674748867.621086,27264402140.48848,21736730509.92436,2.072228265123962,0.0089071519387082,201085217619.576,129331846150.04388,93703238395.21088,71853994689.5595,56498064747.22647,45043467354.047646,3.212864524839341e-06,2.066415947161117e-06,1.497155355656677e-06,1.148056297916579e-06,9.027049829781656e-07,7.19687702809488e-07,1.8130992522821927e-06,1.1661298444848592e-06,8.448819534421983e-07,6.478766842602864e-07,5.094188432208996e-07,4.061376462506841e-07
