Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor
87,0.02,1370,10000.0,17.15,2.43,0.81,1.335597568878755
88,0.02,1380,10000.0,17.15,2.43,0.81,1.337392152067211
89,0.02,1390,10000.0,17.15,2.43,0.81,1.3392372404146506
90,0.02,1400,10000.0,17.15,2.43,0.81,1.3411336168348729
91,0.02,1410,10000.0,17.15,2.43,0.81,1.3430820979998586
92,0.02,1420,10000.0,17.15,2.43,0.81,1.3450835351988926
93,0.02,1430,10000.0,17.15,2.43,0.81,1.347138815248563
94,0.02,1440,10000.0,17.15,2.43,0.81,1.3492488614553535
95,0.02,1450,10000.0,17.15,2.43,0.81,1.3514146346328102
96,0.02,1460,10000.0,17.15,2.43,0.81,1.35363713417542
97,0.02,1470,10000.0,17.15,2.43,0.81,1.3559173991914872
98,0.02,1480,10000.0,17.15,2.43,0.81,1.3582565096972803
99,0.02,1490,10000.0,17.15,2.43,0.81,1.3606555878753217
100,0.02,1500,10000.0,17.15,2.43,0.81,1.3631157993992875
101,0.02,1510,10000.0,17.15,2.43,0.81,1.3656383548286375
102,0.02,1520,10000.0,17.15,2.43,0.81,1.3682245110761406
103,0.02,1530,10000.0,17.15,2.43,0.81,1.3684987697331177
104,0.02,1540,10000.0,17.15,2.43,0.81,1.3711828845959593
105,0.02,1550,10000.0,17.15,2.43,0.81,1.373933798538699
106,0.02,1560,10000.0,17.15,2.43,0.81,1.374297508718704
107,0.02,1570,10000.0,17.15,2.43,0.81,1.3771509864358744
108,0.02,1580,10000.0,17.15,2.43,0.81,1.3800747890827474
109,0.02,1590,10000.0,17.15,2.43,0.81,1.3805309200889648
110,0.02,1600,10000.0,17.15,2.43,0.81,1.383562410751065
111,0.02,1610,10000.0,17.15,2.43,0.81,1.3866681074941196
112,0.02,1620,10000.0,17.15,2.43,0.81,1.3872201041311054
113,0.02,1630,10000.0,17.15,2.43,0.81,1.3904391744385447
114,0.02,1640,10000.0,17.15,2.43,0.81,1.3910524939608124
115,0.02,1650,10000.0,17.15,2.43,0.81,1.3943885337529478
116,0.02,1660,10000.0,17.15,2.43,0.81,1.3950645484815554
117,0.02,1670,10000.0,17.15,2.43,0.81,1.3985213861890289
118,0.02,1680,10000.0,17.15,2.43,0.81,1.3992615952852372
119,0.02,1690,10000.0,17.15,2.43,0.81,1.4028433039827128
120,0.02,1700,10000.0,17.15,2.43,0.81,1.4036493387576896
121,0.02,1710,10000.0,17.15,2.43,0.81,1.4073602493996773
122,0.02,1720,10000.0,17.15,2.43,0.81,1.4082338792269282
123,0.02,1730,10000.0,17.15,2.43,0.81,1.4091330660521937
124,0.02,1740,10000.0,17.15,2.43,0.81,1.413021733938582
125,0.02,1750,10000.0,17.15,2.43,0.81,1.4139909691678851
126,0.02,1760,10000.0,17.15,2.43,0.81,1.414986427833524
127,0.02,1770,10000.0,17.15,2.43,0.81,1.4190612641001488
128,0.02,1780,10000.0,17.15,2.43,0.81,1.4201295058910657
129,0.02,1790,10000.0,17.15,2.43,0.81,1.4212247405366416
130,0.02,1800,10000.0,17.15,2.43,0.81,1.4254949010421352
131,0.02,1810,10000.0,17.15,2.43,0.81,1.426665953198782
132,0.02,1820,10000.0,17.15,2.43,0.81,1.427864876314501
133,0.02,1830,10000.0,17.15,2.43,0.81,1.4290918631416372
134,0.02,1840,10000.0,17.15,2.43,0.81,1.4336184159480845
135,0.02,1850,10000.0,17.15,2.43,0.81,1.4349253760946743
136,0.02,1860,10000.0,17.15,2.43,0.81,1.436261424819158
137,0.02,1870,10000.0,17.15,2.43,0.81,1.4376267948979
138,0.02,1880,10000.0,17.15,2.43,0.81,1.439021727851663
139,0.02,1890,10000.0,17.15,2.43,0.81,1.4438766302861077
140,0.02,1900,10000.0,17.15,2.43,0.81,1.445357187644887
141,0.02,1910,10000.0,17.15,2.43,0.81,1.4468685260190206
142,0.02,1920,10000.0,17.15,2.43,0.81,1.4484109306310495
143,0.02,1930,10000.0,17.15,2.43,0.81,1.4499846962108915
144,0.02,1940,10000.0,17.15,2.43,0.81,1.4515901271332927
145,0.02,1950,10000.0,17.15,2.43,0.81,1.453227537561713
146,0.02,1960,10000.0,17.15,2.43,0.81,1.454897251599106
147,0.02,1970,10000.0,17.15,2.43,0.81,1.4565996034457886
148,0.02,1980,10000.0,17.15,2.43,0.81,1.4620569760582816
149,0.02,1990,10000.0,17.15,2.43,0.81,1.4638561884094925
