,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
94,94,0.02,5200,100000.0,17.15,2.43,0.81,1.9832172272155888,,0.0051999999999999,14.099,0.0082153364188497,52.0,0.0036856978613668,1.5710939092430003e-06,1.1128417580420266e-06,4.125814373054946e-09,-1.3172252731915716e-09,0.0,3796000255.347111,21065130715.94169,29365732851.84664,33652189488.04018,36077826423.74565,0.0142759011562052,0.0117451973846008,0.0,5427017227.04249,30116127396.009315,41983226383.40459,48111433033.23942,51579286708.45487,0.0,7.679994156989782e-07,4.261856426030299e-06,5.941218165099001e-06,6.8084457653551e-06,7.299195929740599e-06,0.0,1.5450113781155053e-07,8.573726145506885e-07,1.1952157094531e-06,1.3696789294012998e-06,1.4684048622977002e-06
95,95,0.02,5250,100000.0,17.15,2.43,0.81,1.994807501906064,,0.00525,14.065,0.0084350367165954,52.5,0.003945820606802,1.5592838569085e-06,1.0854054194736766e-06,4.105398142106253e-09,1.217935942501532e-09,0.0,3471365448.209483,20877515537.786053,29428024095.720715,33897445001.45617,36452585189.3364,0.0133743456992764,0.0112834261518969,0.0,4643595161.127856,27927549425.15191,39365440582.73299,45344120039.147415,48762093971.72884,0.0,7.038463527557029e-07,4.2330787078177e-06,5.9667608431321e-06,6.872970705033701e-06,7.391045257785599e-06,0.0,1.393196669767477e-07,8.378975234447006e-07,1.1810633533016002e-06,1.3604389452570002e-06,1.4629868577041e-06
96,96,0.02,5300,100000.0,17.15,2.43,0.81,2.006821429293145,,0.0053,14.369,0.0087574206860327,53.0,0.0038594547122002,1.5839190084424003e-06,1.0622856669959645e-06,7.2504261618244755e-09,2.049524590016869e-09,0.0,3161602334.30818,20895791551.616768,29820849349.73609,34533638699.72796,37240151833.02571,0.0138201322411971,0.0121095498115228,0.0,4371787347.454238,28894195873.11538,41235550234.385445,47752281522.16769,51494782513.981705,0.0,6.422316258537698e-07,4.2446635479954e-06,6.057653853045601e-06,7.0149856255164e-06,7.5647727733593e-06,0.0,1.251138645461452e-07,8.269076744420916e-07,1.1800983525682e-06,1.3665972306752996e-06,1.4737018826033998e-06
97,97,0.02,5350,100000.0,17.15,2.43,0.81,2.019274188832056,,0.00535,14.162,0.0085774097916118,53.5,0.003979781838916,1.5169020097529e-06,1.099049915166521e-06,-8.547070908924139e-09,-1.0138479058439835e-08,0.0,2673467573.896931,19702644636.949787,28510200573.25177,33177990552.907063,35881482938.39587,0.0135800712248066,0.0116415015406003,0.0,3628505298.965992,26740982822.02405,38694845175.86129,45030100871.87543,48699356688.64281,0.0,5.438437369815895e-07,4.0079632879775005e-06,5.799619255995e-06,6.7491532510083005e-06,7.2991047133638995e-06,0.0,1.0430622251211648e-07,7.687052035507772e-07,1.1123349143609e-06,1.2944502858027e-06,1.3999279362795e-06
98,98,0.02,5400,100000.0,17.15,2.43,0.81,2.0122099516866663,,0.0054,14.169999999999998,0.0084421448489205,54.0,0.0040617989613083,1.6554181946894e-06,1.0982070941769537e-06,1.785327738501787e-08,-5.16535479026137e-09,0.0,2306161210.335088,18706250200.71969,27373925629.594517,32019160118.65638,34731801276.148315,0.0133478755712752,0.0112573725354778,0.0,3075203794.3213067,24944280277.10101,36502391760.10025,42696686704.55455,46313920548.73116,0.0,4.696987657712568e-07,3.8099255993507e-06,5.575281998896001e-06,6.521382772966999e-06,7.073869822850601e-06,0.0,8.870840248855017e-08,7.195514192244401e-07,1.0529607390663806e-06,1.2316435340343e-06,1.3359875246137e-06
99,99,0.02,5450,100000.0,17.15,2.43,0.81,2.0251087197311715,,0.00545,14.29,0.0087605326048976,54.5,0.0041288408359978,1.5694459102106004e-06,1.1192518800424916e-06,-1.538999185802954e-09,-9.939255246817078e-09,0.0,2055727349.925689,18704296579.039253,27693739178.648277,32574333825.430603,35455401128.08658,0.013282359506793,0.0116393320543148,0.0,2731260109.179311,24850717250.240234,36794181434.31932,43278588750.451256,47106403852.434296,0.0,4.190690486541331e-07,3.8129530034249e-06,5.645490357313199e-06,6.640421010723098e-06,7.2277392334806e-06,0.0,7.795616090547659e-08,7.092940383324898e-07,1.0501867319914e-06,1.2352659554654998e-06,1.3445202037169e-06
100,100,0.02,5500,100000.0,17.15,2.43,0.81,2.03847707556838,,0.0055,14.206,0.0087558309443479,55.0,0.0042897746651406,1.4851671754094e-06,1.1030308232901244e-06,-3.876269234041483e-09,-8.703318156639107e-09,0.0,1722463320.499572,17987195204.311256,26984216169.55387,31925336869.68012,34850436562.43916,0.0128552477779828,0.011257734290974,0.0,2214642392.1821327,23126881450.438854,34694723735.288635,41047727156.118805,44808648915.00086,0.0,3.513174400889431e-07,3.6687082379932e-06,5.5037605937197e-06,6.511562533464698e-06,7.108172356057202e-06,0.0,6.439283721441579e-08,6.724361087696222e-07,1.0087821426932907e-06,1.1935017690057002e-06,1.3028541517881e-06
101,101,0.02,5550,100000.0,17.15,2.43,0.81,2.0314962751920165,,0.0055499999999999,14.323,0.0085485079070331,55.5,0.0042776524346199,1.6867679606411003e-06,1.0166153249868972e-06,-3.772831599840174e-09,1.544765653372183e-09,0.0,1440771735.0416763,16870968326.41686,25693251162.14797,30552838166.686047,33453175919.92268,0.0130240653150737,0.0111349326329211,0.0,1876689637.955051,21975425163.05578,33466965688.34679,39796862613.964806,43574722545.33803,0.0,2.9395937402904494e-07,3.4421686432884e-06,5.242171153626099e-06,6.2336683624829e-06,6.8254216913958e-06,0.0,5.3099173535457016e-08,6.217740486487919e-07,9.469164122028766e-07,1.1260149101733e-06,1.2329059144349e-06
102,102,0.02,5600,100000.0,17.15,2.43,0.81,2.0453378287435715,,0.0056,14.449000000000002,0.0089384028369476,56.0,0.0041538087831731,1.6317871488991998e-06,1.1422173367828425e-06,5.3889406604896826e-11,-6.572251792936869e-10,0.0,1254590617.5528202,16964843538.489826,26183348994.75402,31301661370.25667,34386841058.64946,0.0136522631764821,0.0122028466514956,0.0,1712786634.8917236,23160668403.875767,35745915510.1901,42733515215.87079,46945450537.70983,0.0,2.559827553134851e-07,3.4614537456967003e-06,5.3423688374816e-06,6.38669332557e-06,7.0161837635046e-06,0.0,4.558434647969728e-08,6.164013145107195e-07,9.513468663616696e-07,1.1373158362004e-06,1.2494128803679e-06
103,103,0.02,5650,100000.0,17.15,2.43,0.81,2.059683697982185,,0.0056499999999999,14.213,0.0088474461732629,56.5,0.004189376102312,1.6355671949729002e-06,1.1116346177678216e-06,2.752060576367624e-09,2.180337922557534e-09,0.0,1003905911.1475184,16151319630.819574,25242082565.853645,30353165775.31181,33464257514.28,0.0135867368435765,0.0120210512578432,0.0,1364009927.7942815,21944845705.943157,34296492166.95165,41240936025.75384,45467985564.07238,0.0,2.0477246807073737e-07,3.2944776464374e-06,5.148772896801e-06,6.191309962967999e-06,6.825897255172499e-06,0.0,3.5958254111410057e-08,5.785136326727678e-07,9.04129768661939e-07,1.0872003401059e-06,1.1986345154319002e-06
