Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
188,1000000.0,1090,17.15,2.43,0.81
189,1000000.0,1095,17.15,2.43,0.81
190,1000000.0,1100,17.15,2.43,0.81
191,1000000.0,1105,17.15,2.43,0.81
192,1000000.0,1110,17.15,2.43,0.81
193,1000000.0,1115,17.15,2.43,0.81
194,1000000.0,1120,17.15,2.43,0.81
195,1000000.0,1125,17.15,2.43,0.81
196,1000000.0,1130,17.15,2.43,0.81
197,1000000.0,1135,17.15,2.43,0.81
198,1000000.0,1140,17.15,2.43,0.81
199,1000000.0,1145,17.15,2.43,0.81
200,1000000.0,1150,17.15,2.43,0.81
201,1000000.0,1155,17.15,2.43,0.81
202,1000000.0,1160,17.15,2.43,0.81
203,1000000.0,1165,17.15,2.43,0.81
204,1000000.0,1170,17.15,2.43,0.81
205,1000000.0,1175,17.15,2.43,0.81
206,1000000.0,1180,17.15,2.43,0.81
207,1000000.0,1185,17.15,2.43,0.81
208,1000000.0,1190,17.15,2.43,0.81
209,1000000.0,1195,17.15,2.43,0.81
210,1000000.0,1200,17.15,2.43,0.81
211,1000000.0,1205,17.15,2.43,0.81
212,1000000.0,1210,17.15,2.43,0.81
213,1000000.0,1215,17.15,2.43,0.81
214,1000000.0,1220,17.15,2.43,0.81
215,1000000.0,1225,17.15,2.43,0.81
216,1000000.0,1230,17.15,2.43,0.81
217,1000000.0,1235,17.15,2.43,0.81
218,1000000.0,1240,17.15,2.43,0.81
219,1000000.0,1245,17.15,2.43,0.81
220,1000000.0,1250,17.15,2.43,0.81
221,1000000.0,1255,17.15,2.43,0.81
222,1000000.0,1260,17.15,2.43,0.81
223,1000000.0,1265,17.15,2.43,0.81
224,1000000.0,1270,17.15,2.43,0.81
225,1000000.0,1275,17.15,2.43,0.81
226,1000000.0,1280,17.15,2.43,0.81
227,1000000.0,1285,17.15,2.43,0.81
228,1000000.0,1290,17.15,2.43,0.81
229,1000000.0,1295,17.15,2.43,0.81
230,1000000.0,1300,17.15,2.43,0.81
231,1000000.0,1305,17.15,2.43,0.81
232,1000000.0,1310,17.15,2.43,0.81
233,1000000.0,1315,17.15,2.43,0.81
234,1000000.0,1320,17.15,2.43,0.81
235,1000000.0,1325,17.15,2.43,0.81
236,1000000.0,1330,17.15,2.43,0.81
237,1000000.0,1335,17.15,2.43,0.81
238,1000000.0,1340,17.15,2.43,0.81
239,1000000.0,1345,17.15,2.43,0.81
240,1000000.0,1350,17.15,2.43,0.81
241,1000000.0,1355,17.15,2.43,0.81
242,1000000.0,1360,17.15,2.43,0.81
243,1000000.0,1365,17.15,2.43,0.81
244,1000000.0,1370,17.15,2.43,0.81
245,1000000.0,1375,17.15,2.43,0.81
246,1000000.0,1380,17.15,2.43,0.81
247,1000000.0,1385,17.15,2.43,0.81
248,1000000.0,1390,17.15,2.43,0.81
249,1000000.0,1395,17.15,2.43,0.81
250,1000000.0,1400,17.15,2.43,0.81
251,1000000.0,1405,17.15,2.43,0.81
252,1000000.0,1410,17.15,2.43,0.81
253,1000000.0,1415,17.15,2.43,0.81
254,1000000.0,1420,17.15,2.43,0.81
255,1000000.0,1425,17.15,2.43,0.81
256,1000000.0,1430,17.15,2.43,0.81
257,1000000.0,1435,17.15,2.43,0.81
258,1000000.0,1440,17.15,2.43,0.81
259,1000000.0,1445,17.15,2.43,0.81
260,1000000.0,1450,17.15,2.43,0.81
261,1000000.0,1455,17.15,2.43,0.81
262,1000000.0,1460,17.15,2.43,0.81
263,1000000.0,1465,17.15,2.43,0.81
264,1000000.0,1470,17.15,2.43,0.81
265,1000000.0,1475,17.15,2.43,0.81
266,1000000.0,1480,17.15,2.43,0.81
267,1000000.0,1485,17.15,2.43,0.81
268,1000000.0,1490,17.15,2.43,0.81
269,1000000.0,1495,17.15,2.43,0.81
270,1000000.0,1500,17.15,2.43,0.81
271,1000000.0,1505,17.15,2.43,0.81
272,1000000.0,1510,17.15,2.43,0.81
273,1000000.0,1515,17.15,2.43,0.81
274,1000000.0,1520,17.15,2.43,0.81
275,1000000.0,1525,17.15,2.43,0.81
276,1000000.0,1530,17.15,2.43,0.81
277,1000000.0,1535,17.15,2.43,0.81
278,1000000.0,1540,17.15,2.43,0.81
279,1000000.0,1545,17.15,2.43,0.81
280,1000000.0,1550,17.15,2.43,0.81
281,1000000.0,1555,17.15,2.43,0.81
282,1000000.0,1560,17.15,2.43,0.81
283,1000000.0,1565,17.15,2.43,0.81
284,1000000.0,1570,17.15,2.43,0.81
285,1000000.0,1575,17.15,2.43,0.81
286,1000000.0,1580,17.15,2.43,0.81
287,1000000.0,1585,17.15,2.43,0.81
288,1000000.0,1590,17.15,2.43,0.81
289,1000000.0,1595,17.15,2.43,0.81
290,1000000.0,1600,17.15,2.43,0.81
291,1000000.0,1605,17.15,2.43,0.81
292,1000000.0,1610,17.15,2.43,0.81
293,1000000.0,1615,17.15,2.43,0.81
294,1000000.0,1620,17.15,2.43,0.81
295,1000000.0,1625,17.15,2.43,0.81
296,1000000.0,1630,17.15,2.43,0.81
297,1000000.0,1635,17.15,2.43,0.81
298,1000000.0,1640,17.15,2.43,0.81
299,1000000.0,1645,17.15,2.43,0.81
300,1000000.0,1650,17.15,2.43,0.81
301,1000000.0,1655,17.15,2.43,0.81
302,1000000.0,1660,17.15,2.43,0.81
303,1000000.0,1665,17.15,2.43,0.81
304,1000000.0,1670,17.15,2.43,0.81
305,1000000.0,1675,17.15,2.43,0.81
306,1000000.0,1680,17.15,2.43,0.81
307,1000000.0,1685,17.15,2.43,0.81
308,1000000.0,1690,17.15,2.43,0.81
309,1000000.0,1695,17.15,2.43,0.81
310,1000000.0,1700,17.15,2.43,0.81
311,1000000.0,1705,17.15,2.43,0.81
312,1000000.0,1710,17.15,2.43,0.81
313,1000000.0,1715,17.15,2.43,0.81
314,1000000.0,1720,17.15,2.43,0.81
315,1000000.0,1725,17.15,2.43,0.81
316,1000000.0,1730,17.15,2.43,0.81
317,1000000.0,1735,17.15,2.43,0.81
318,1000000.0,1740,17.15,2.43,0.81
319,1000000.0,1745,17.15,2.43,0.81
320,1000000.0,1750,17.15,2.43,0.81
321,1000000.0,1755,17.15,2.43,0.81
322,1000000.0,1760,17.15,2.43,0.81
323,1000000.0,1765,17.15,2.43,0.81
324,1000000.0,1770,17.15,2.43,0.81
325,1000000.0,1775,17.15,2.43,0.81
326,1000000.0,1780,17.15,2.43,0.81
327,1000000.0,1785,17.15,2.43,0.81
328,1000000.0,1790,17.15,2.43,0.81
329,1000000.0,1795,17.15,2.43,0.81
330,1000000.0,1800,17.15,2.43,0.81
331,1000000.0,1805,17.15,2.43,0.81
332,1000000.0,1810,17.15,2.43,0.81
333,1000000.0,1815,17.15,2.43,0.81
334,1000000.0,1820,17.15,2.43,0.81
335,1000000.0,1825,17.15,2.43,0.81
336,1000000.0,1830,17.15,2.43,0.81
337,1000000.0,1835,17.15,2.43,0.81
338,1000000.0,1840,17.15,2.43,0.81
339,1000000.0,1845,17.15,2.43,0.81
340,1000000.0,1850,17.15,2.43,0.81
341,1000000.0,1855,17.15,2.43,0.81
342,1000000.0,1860,17.15,2.43,0.81
343,1000000.0,1865,17.15,2.43,0.81
344,1000000.0,1870,17.15,2.43,0.81
345,1000000.0,1875,17.15,2.43,0.81
346,1000000.0,1880,17.15,2.43,0.81
347,1000000.0,1885,17.15,2.43,0.81
348,1000000.0,1890,17.15,2.43,0.81
349,1000000.0,1895,17.15,2.43,0.81
350,1000000.0,1900,17.15,2.43,0.81
351,1000000.0,1905,17.15,2.43,0.81
352,1000000.0,1910,17.15,2.43,0.81
353,1000000.0,1915,17.15,2.43,0.81
354,1000000.0,1920,17.15,2.43,0.81
355,1000000.0,1925,17.15,2.43,0.81
356,1000000.0,1930,17.15,2.43,0.81
357,1000000.0,1935,17.15,2.43,0.81
358,1000000.0,1940,17.15,2.43,0.81
359,1000000.0,1945,17.15,2.43,0.81
360,1000000.0,1950,17.15,2.43,0.81
361,1000000.0,1955,17.15,2.43,0.81
362,1000000.0,1960,17.15,2.43,0.81
363,1000000.0,1965,17.15,2.43,0.81
364,1000000.0,1970,17.15,2.43,0.81
365,1000000.0,1975,17.15,2.43,0.81
366,1000000.0,1980,17.15,2.43,0.81
367,1000000.0,1985,17.15,2.43,0.81
368,1000000.0,1990,17.15,2.43,0.81
369,1000000.0,1995,17.15,2.43,0.81
370,1000000.0,2000,17.15,2.43,0.81
371,1000000.0,2005,17.15,2.43,0.81
372,1000000.0,2010,17.15,2.43,0.81
373,1000000.0,2015,17.15,2.43,0.81
374,1000000.0,2020,17.15,2.43,0.81
375,1000000.0,2025,17.15,2.43,0.81
376,1000000.0,2030,17.15,2.43,0.81
377,1000000.0,2035,17.15,2.43,0.81
378,1000000.0,2040,17.15,2.43,0.81
379,1000000.0,2045,17.15,2.43,0.81
380,1000000.0,2050,17.15,2.43,0.81
381,1000000.0,2055,17.15,2.43,0.81
382,1000000.0,2060,17.15,2.43,0.81
383,1000000.0,2065,17.15,2.43,0.81
384,1000000.0,2070,17.15,2.43,0.81
385,1000000.0,2075,17.15,2.43,0.81
386,1000000.0,2080,17.15,2.43,0.81
387,1000000.0,2085,17.15,2.43,0.81
388,1000000.0,2090,17.15,2.43,0.81
389,1000000.0,2095,17.15,2.43,0.81
390,1000000.0,2100,17.15,2.43,0.81
