,Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
20,20,302.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90111.0,90.111,1000.0,0.0999449004511916,0.1413250790917389,0.0964475642559739,0.0003024898996856,-0.0001453582758264,2757396599999999.5,1576942499999999.8,1045287600000000.0,1.0005512992514838,90.16067812685044,2758916750681623.5,1577811867219882.8,1045863866271465.0,0.1204392487834028,0.0688786553499853,0.0456567086891331,0.0634618098628989,0.0362935187124422,0.0240574181179616
21,21,302.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89800.0,89.8,1000.0,0.0998652575840424,0.1332698761648986,0.191493095872821,-0.0002386960555558,-0.0003816554982064,2747880000000000.0,1571500000000000.0,1041680000000000.0,1.0013492421610608,89.92116194606326,2751587555549536.0,1573620334056107.0,1043085478574334.0,0.1200235769301148,0.0686409345188565,0.0454991337382134,0.063242784184931,0.0361682589292906,0.0239743887759869
22,22,302.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75926.0,75.926,1000.0,0.0999317154376058,0.1220369353378681,0.4017037456387606,-0.0006210922957599,-0.000156692778093,2323335600000000.0,1328705000000000.0,880741600000000.0,1.0006833122207015,75.97788116366898,2324923163608271.0,1329612920364207.2,881343421498560.2,0.1014800679509565,0.0580359865732594,0.0384695682428462,0.0534718444546222,0.0305803032011728,0.0202703724076345
23,23,302.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46663.0,46.663,1000.0,0.0995383826690385,0.1317509088372376,0.4760382493452725,-0.0008742699285629,0.000406063079976,1427887800000000.0,816602500000000.0,541290800000000.0,1.004637581188116,46.87940345098105,1434509745600020.2,820389560392168.5,543801080031380.25,0.062368153343986,0.0356680615529332,0.02364282937223,0.0328630071093701,0.0187942034122214,0.0124578719761011
24,24,303.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90055.0,90.05499999999999,1000.0,0.0978211384197038,0.1440694618315608,0.0885893027684933,0.0001903053901631,0.0001830250881627,2755683000000000.0,1575962500000000.0,1044638000000000.0,1.022273933993159,92.06087912575391,2817062901248070.0,1611065384700693.8,1067906197858745.6,0.1203644011185021,0.0688358503128688,0.0456283350645302,0.0634223711556121,0.0362709638961834,0.0240424674968987
25,25,303.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89728.0,89.728,1000.0,0.0997647743383822,0.1386818513139399,0.1885431546342166,0.000242308826408,0.0004444175997821,2745676800000000.0,1570240000000000.0,1040844800000000.0,1.0023578027733506,89.9395609272472,2752150564373764.5,1573942316226826.0,1043298906756067.6,0.1199273442180996,0.0685858994711353,0.045462653363724,0.0631920772755623,0.036139259879815,0.0239551665489059
26,26,303.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75638.0,75.638,1000.0,0.0998906862928379,0.1468420537657743,0.3915815177323364,-0.0005955486525513,-7.739241552031628e-05,2314522800000000.0,1323665000000000.0,877400800000000.0,1.0010943333279505,75.72077318425951,2317055659438341.0,1325113530724541.2,878360968937410.2,0.1010951371028956,0.0578158463823749,0.0383236467448885,0.0532690168171471,0.0304643070032704,0.0201934834993107
27,27,303.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46136.0,46.136,1000.0,0.0998337273834977,0.1483160537742719,0.4635518691947424,-0.0013248959209472,-0.0001884373313435,1411761599999999.8,807379999999999.9,535177600000000.0,1.0016654954278486,46.21283929705922,1414112882490012.0,808724687698536.1,536068935845886.8,0.0616637833546523,0.035265235578641,0.023375813297842,0.0324918607032959,0.0185819464806431,0.0123171759528834
28,28,303.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90037.0,90.037,1000.0,0.0997675329024332,0.1377414142884176,0.0860082606027243,0.0005453980787163,-6.0376789803727e-05,2755132200000000.5,1575647500000000.2,1044429200000000.0,1.0023300876628285,90.24679410289808,2761551899548681.0,1579318896800716.5,1046862811593617.6,0.1203403429404983,0.0688220915509385,0.0456192149709078,0.0634096944282699,0.0362637141338145,0.0240376619401284
29,29,303.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89745.0,89.74499999999999,1000.0,0.0998360357789351,0.1362999889305984,0.1810498963568006,0.0002472073985232,0.0001438411992243,2746196999999999.5,1570537499999999.8,1041042000000000.0,1.0016423350525243,89.8923913592888,2750707175594236.5,1573116848787553.8,1042751739767750.0,0.1199500658306587,0.0685988938574028,0.0454712667854784,0.0632040497402743,0.0361461068776079,0.0239597051303
