Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
136,317.0,2.25,10,1000,100000.0,17.15,2.43,0.81
137,317.0,5.0,10,1000,100000.0,17.15,2.43,0.81
138,317.0,10.0,10,1000,100000.0,17.15,2.43,0.81
139,317.0,20.0,10,1000,100000.0,17.15,2.43,0.81
140,317.5,2.25,10,1000,100000.0,17.15,2.43,0.81
141,317.5,5.0,10,1000,100000.0,17.15,2.43,0.81
142,317.5,10.0,10,1000,100000.0,17.15,2.43,0.81
143,317.5,20.0,10,1000,100000.0,17.15,2.43,0.81
144,318.0,2.25,10,1000,100000.0,17.15,2.43,0.81
145,318.0,5.0,10,1000,100000.0,17.15,2.43,0.81
146,318.0,10.0,10,1000,100000.0,17.15,2.43,0.81
147,318.0,20.0,10,1000,100000.0,17.15,2.43,0.81
148,318.5,2.25,10,1000,100000.0,17.15,2.43,0.81
149,318.5,5.0,10,1000,100000.0,17.15,2.43,0.81
150,318.5,10.0,10,1000,100000.0,17.15,2.43,0.81
151,318.5,20.0,10,1000,100000.0,17.15,2.43,0.81
152,319.0,2.25,10,1000,100000.0,17.15,2.43,0.81
153,319.0,5.0,10,1000,100000.0,17.15,2.43,0.81
154,319.0,10.0,10,1000,100000.0,17.15,2.43,0.81
155,319.0,20.0,10,1000,100000.0,17.15,2.43,0.81
156,319.5,2.25,10,1000,100000.0,17.15,2.43,0.81
157,319.5,5.0,10,1000,100000.0,17.15,2.43,0.81
158,319.5,10.0,10,1000,100000.0,17.15,2.43,0.81
159,319.5,20.0,10,1000,100000.0,17.15,2.43,0.81
160,320.0,2.25,10,1000,100000.0,17.15,2.43,0.81
161,320.0,5.0,10,1000,100000.0,17.15,2.43,0.81
162,320.0,10.0,10,1000,100000.0,17.15,2.43,0.81
163,320.0,20.0,10,1000,100000.0,17.15,2.43,0.81
164,320.5,2.25,10,1000,100000.0,17.15,2.43,0.81
165,320.5,5.0,10,1000,100000.0,17.15,2.43,0.81
166,320.5,10.0,10,1000,100000.0,17.15,2.43,0.81
167,320.5,20.0,10,1000,100000.0,17.15,2.43,0.81
168,321.0,2.25,10,1000,100000.0,17.15,2.43,0.81
169,321.0,5.0,10,1000,100000.0,17.15,2.43,0.81
170,321.0,10.0,10,1000,100000.0,17.15,2.43,0.81
171,321.0,20.0,10,1000,100000.0,17.15,2.43,0.81
172,321.5,2.25,10,1000,100000.0,17.15,2.43,0.81
173,321.5,5.0,10,1000,100000.0,17.15,2.43,0.81
174,321.5,10.0,10,1000,100000.0,17.15,2.43,0.81
175,321.5,20.0,10,1000,100000.0,17.15,2.43,0.81
176,322.0,2.25,10,1000,100000.0,17.15,2.43,0.81
177,322.0,5.0,10,1000,100000.0,17.15,2.43,0.81
178,322.0,10.0,10,1000,100000.0,17.15,2.43,0.81
179,322.0,20.0,10,1000,100000.0,17.15,2.43,0.81
180,322.5,2.25,10,1000,100000.0,17.15,2.43,0.81
181,322.5,5.0,10,1000,100000.0,17.15,2.43,0.81
182,322.5,10.0,10,1000,100000.0,17.15,2.43,0.81
183,322.5,20.0,10,1000,100000.0,17.15,2.43,0.81
184,323.0,2.25,10,1000,100000.0,17.15,2.43,0.81
185,323.0,5.0,10,1000,100000.0,17.15,2.43,0.81
186,323.0,10.0,10,1000,100000.0,17.15,2.43,0.81
187,323.0,20.0,10,1000,100000.0,17.15,2.43,0.81
188,323.5,2.25,10,1000,100000.0,17.15,2.43,0.81
189,323.5,5.0,10,1000,100000.0,17.15,2.43,0.81
190,323.5,10.0,10,1000,100000.0,17.15,2.43,0.81
191,323.5,20.0,10,1000,100000.0,17.15,2.43,0.81
192,324.0,2.25,10,1000,100000.0,17.15,2.43,0.81
193,324.0,5.0,10,1000,100000.0,17.15,2.43,0.81
194,324.0,10.0,10,1000,100000.0,17.15,2.43,0.81
195,324.0,20.0,10,1000,100000.0,17.15,2.43,0.81
196,324.5,2.25,10,1000,100000.0,17.15,2.43,0.81
197,324.5,5.0,10,1000,100000.0,17.15,2.43,0.81
198,324.5,10.0,10,1000,100000.0,17.15,2.43,0.81
199,324.5,20.0,10,1000,100000.0,17.15,2.43,0.81
200,325.0,2.25,10,1000,100000.0,17.15,2.43,0.81
201,325.0,5.0,10,1000,100000.0,17.15,2.43,0.81
202,325.0,10.0,10,1000,100000.0,17.15,2.43,0.81
203,325.0,20.0,10,1000,100000.0,17.15,2.43,0.81
204,325.5,2.25,10,1000,100000.0,17.15,2.43,0.81
205,325.5,5.0,10,1000,100000.0,17.15,2.43,0.81
206,325.5,10.0,10,1000,100000.0,17.15,2.43,0.81
207,325.5,20.0,10,1000,100000.0,17.15,2.43,0.81
208,326.0,2.25,10,1000,100000.0,17.15,2.43,0.81
209,326.0,5.0,10,1000,100000.0,17.15,2.43,0.81
210,326.0,10.0,10,1000,100000.0,17.15,2.43,0.81
211,326.0,20.0,10,1000,100000.0,17.15,2.43,0.81
212,326.5,2.25,10,1000,100000.0,17.15,2.43,0.81
213,326.5,5.0,10,1000,100000.0,17.15,2.43,0.81
214,326.5,10.0,10,1000,100000.0,17.15,2.43,0.81
215,326.5,20.0,10,1000,100000.0,17.15,2.43,0.81
216,327.0,2.25,10,1000,100000.0,17.15,2.43,0.81
217,327.0,5.0,10,1000,100000.0,17.15,2.43,0.81
218,327.0,10.0,10,1000,100000.0,17.15,2.43,0.81
219,327.0,20.0,10,1000,100000.0,17.15,2.43,0.81
220,327.5,2.25,10,1000,100000.0,17.15,2.43,0.81
221,327.5,5.0,10,1000,100000.0,17.15,2.43,0.81
222,327.5,10.0,10,1000,100000.0,17.15,2.43,0.81
223,327.5,20.0,10,1000,100000.0,17.15,2.43,0.81
224,328.0,2.25,10,1000,100000.0,17.15,2.43,0.81
225,328.0,5.0,10,1000,100000.0,17.15,2.43,0.81
226,328.0,10.0,10,1000,100000.0,17.15,2.43,0.81
227,328.0,20.0,10,1000,100000.0,17.15,2.43,0.81
228,328.5,2.25,10,1000,100000.0,17.15,2.43,0.81
229,328.5,5.0,10,1000,100000.0,17.15,2.43,0.81
