,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
25,25,0.1,300,2.25,1,100000.0,0.01715,0.00243,5.72,1199508000000.0,20000.0,20.0,1199508000000.0,60.0,0.05992700918279752,0.006975509540956828,0.0010109230562438132,0.20024364445776144,20.024364445776143,1200969267381.2026
26,26,0.1,310,2.25,1,100000.0,0.01715,0.00243,5.72,1209908000000.0,20000.0,20.0,1209908000000.0,62.0,0.06191671864228965,0.007122495554608667,0.0010515314536280092,0.2002693700790192,20.02693700790192,1211537565067.83
27,27,0.1,320,2.25,1,100000.0,0.01715,0.00243,5.72,1220000000000.0,20000.0,20.0,1220000000000.0,64.0,0.06379112368244023,0.006995296745673478,0.0010118643234039131,0.20066027124166363,20.066027124166368,1224027654574.148
28,28,0.1,330,2.25,1,100000.0,0.01715,0.00243,5.72,1229800000000.0,20000.0,20.0,1229800000000.0,66.0,0.06592887433542273,0.007155485856819912,0.0010428381826270256,0.2002159700304124,20.02159700304124,1231127999717.0059
29,29,0.1,340,2.25,1,100000.0,0.01715,0.00243,5.72,1239322000000.0,20000.0,20.0,1239322000000.0,68.0,0.06706976335782884,0.007021013851920483,0.000983094985680563,0.20290208843618687,20.29020884361869,1257305110224.56
30,30,0.1,350,2.25,1,100000.0,0.01715,0.00243,5.72,1248578000000.0,20000.0,20.0,1248578000000.0,70.0,0.06985513360795949,0.007173594444382483,0.0009932086546851986,0.20041561678123612,20.04156167812361,1251172649847.4111
31,31,0.1,360,2.25,1,100000.0,0.01715,0.00243,5.72,1257584000000.0,20000.0,20.0,1257584000000.0,72.0,0.07188683409484611,0.007204514875516525,0.0010250564237533999,0.20031496901974233,20.03149690197423,1259564499998.618
32,32,0.1,370,2.25,1,100000.0,0.01715,0.00243,5.72,1266348000000.0,20000.0,20.0,1266348000000.0,74.0,0.07393792497071444,0.007086961699908132,0.0009853805100274702,0.20016797034111403,20.016797034111406,1267411544527.6453
33,33,0.1,380,2.25,1,100000.0,0.01715,0.00243,5.72,1274884000000.0,20000.0,20.0,1274884000000.0,76.0,0.0757006049106917,0.007214208445743454,0.001016598373650569,0.2007934206282617,20.079342062826168,1279941596321.2039
34,34,0.1,390,2.25,1,100000.0,0.01715,0.00243,5.72,1283200000000.0,20000.0,20.0,1283200000000.0,78.0,0.07778958427380758,0.006990439196270253,0.0010243340431550952,0.20054259889915768,20.054259889915773,1286681314536.9958
