,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
35,35,0.1,400,2.25,1,100000.0,0.01715,0.00243,5.72,6456530000000.0,100000.0,100.0,6456530000000.0,400.0,0.39951513312166753,0.03727738125741619,0.004819609618217169,1.0012136383284005,100.12136383284005,6464365892276.468
36,36,0.1,410,2.25,1,100000.0,0.01715,0.00243,5.72,6496060000000.0,100000.0,100.0,6496060000000.0,410.0,0.40612627082509783,0.03334216334712989,0.0047915127005375,1.0095382383588043,100.95382383588041,6558020968673.095
37,37,0.1,420,2.25,1,100000.0,0.01715,0.00243,5.72,6534620000000.0,100000.0,100.0,6534620000000.0,420.0,0.41912037531812973,0.035176808955783914,0.00486683712527152,1.0020987399651051,100.20987399651052,6548334468150.776
38,38,0.1,430,2.25,1,100000.0,0.01715,0.00243,5.72,6572250000000.0,100000.0,100.0,6572250000000.0,430.0,0.429075519175285,0.034945009449653126,0.004638099080622395,1.0021545876737312,100.21545876737312,6586410488838.681
39,39,0.1,440,2.25,1,100000.0,0.01715,0.00243,5.72,6608990000000.0,100000.0,100.0,6608990000000.0,440.0,0.29890505748160046,0.039336163814895006,0.00555242832915416,1.4720393281638764,147.20393281638766,9728693199441.775
40,40,0.1,450,2.25,1,100000.0,0.01715,0.00243,5.72,6644880000000.0,100000.0,100.0,6644880000000.0,450.0,0.44986964294866993,0.03409531029504656,0.00474043640795788,1.0002897662764607,100.0289766276461,6646805462135.13
41,41,0.1,460,2.25,1,100000.0,0.01715,0.00243,5.72,6679940000000.0,100000.0,100.0,6679940000000.0,460.0,0.4598659494168373,0.034107418583079266,0.004912306674014972,1.0002914992582788,100.02914992582788,6681887197555.347
42,42,0.1,470,2.25,1,100000.0,0.01715,0.00243,5.72,6714200000000.0,100000.0,100.0,6714200000000.0,470.0,0.46897984919007746,0.03392361128117184,0.004912110128951201,1.0021752551025047,100.21752551025045,6728805097809.236
43,43,0.1,480,2.25,1,100000.0,0.01715,0.00243,5.72,6747700000000.0,100000.0,100.0,6747700000000.0,480.0,0.47951533672096497,0.03515227375815122,0.0047752575252868025,1.00101073571984,100.10107357198397,6754520141416.764
44,44,0.1,490,2.25,1,100000.0,0.01715,0.00243,5.72,6780450000000.0,100000.0,100.0,6780450000000.0,490.0,0.483362451018138,0.03656175513966338,0.005436254927405015,1.0137320326969563,101.37320326969562,6873559361100.077
45,45,0.1,500,2.25,1,100000.0,0.01715,0.00243,5.72,6812500000000.0,100000.0,100.0,6812500000000.0,500.0,0.4994114039177475,0.03741461482798992,0.005431047089707632,1.0011785795791508,100.11785795791508,6820529073382.965
46,46,0.1,510,2.25,1,100000.0,0.01715,0.00243,5.72,6843850000000.0,100000.0,100.0,6843850000000.0,510.0,0.508990546738346,0.03330301407963402,0.0049714710462627,1.0019832455988087,100.19832455988085,6857423035391.406
47,47,0.1,520,2.25,1,100000.0,0.01715,0.00243,5.72,6874530000000.0,100000.0,100.0,6874530000000.0,520.0,0.5188869301479144,0.0384689356157177,0.005583224781005547,1.0021451105961916,100.21451105961916,6889276627146.837
48,48,0.1,530,2.25,1,100000.0,0.01715,0.00243,5.72,6904560000000.0,100000.0,100.0,6904560000000.0,530.0,0.5288298351688353,0.0379177638980311,0.004971089861836604,1.0022127435960395,100.22127435960398,6919838020923.473
49,49,0.1,540,2.25,1,100000.0,0.01715,0.00243,5.72,6933970000000.0,100000.0,100.0,6933970000000.0,540.0,0.5396955311459806,0.03700160358168424,0.00482233550761438,1.000564149296128,100.0564149296128,6937881794294.873
50,50,0.1,550,2.25,1,100000.0,0.01715,0.00243,5.72,6962770000000.0,100000.0,100.0,6962770000000.0,550.0,0.5491919707020543,0.03509731942012513,0.004851900131222806,1.0014713057383429,100.14713057383427,6973014363455.762
51,51,0.1,560,2.25,1,100000.0,0.01715,0.00243,5.72,6990990000000.0,100000.0,100.0,6990990000000.0,560.0,0.5580700732235755,0.03372163106742934,0.004995754053773279,1.003458215856795,100.3458215856795,7015166352472.696
52,52,0.1,570,2.25,1,100000.0,0.01715,0.00243,5.72,7018630000000.0,100000.0,100.0,7018630000000.0,570.0,0.5696028847057732,0.034858570561127726,0.005545926713176821,1.0006971792188724,100.06971792188725,7023523242980.955
53,53,0.1,580,2.25,1,100000.0,0.01715,0.00243,5.72,7045720000000.0,100000.0,100.0,7045720000000.0,580.0,0.5796356035675672,0.03848380080795544,0.004819107611944057,1.0006286646820692,100.06286646820692,7050149395323.748
54,54,0.1,590,2.25,1,100000.0,0.01715,0.00243,5.72,7072270000000.0,100000.0,100.0,7072270000000.0,590.0,0.5898375345924478,0.03705572343873328,0.005303529964264554,1.0002754409443684,100.02754409443686,7074217992727.63
55,55,0.1,600,2.25,1,100000.0,0.01715,0.00243,5.72,7098300000000.0,100000.0,100.0,7098300000000.0,600.0,0.5984125978447992,0.033253831664608026,0.004867843842118343,1.0026526883974667,100.26526883974665,7117129578051.737
56,56,0.1,610,2.25,1,100000.0,0.01715,0.00243,5.72,7123820000000.0,100000.0,100.0,7123820000000.0,610.0,0.6098846038039483,0.034647401210753055,0.004873495732575168,1.0001892098854963,100.01892098854964,7125167897166.497
57,57,0.1,620,2.25,1,100000.0,0.01715,0.00243,5.72,7148840000000.0,100000.0,100.0,7148840000000.0,620.0,0.6185468557090417,0.03653669043430677,0.005030393384980741,1.0023492873297248,100.23492873297248,7165634679234.229
58,58,0.1,630,2.25,1,100000.0,0.01715,0.00243,5.72,7173390000000.0,100000.0,100.0,7173390000000.0,630.0,0.6297624806952625,0.03353697659437428,0.004793470826210398,1.0003771569631699,100.03771569631697,7176095493988.033
59,59,0.1,640,2.25,1,100000.0,0.01715,0.00243,5.72,7197470000000.0,100000.0,100.0,7197470000000.0,640.0,0.6392336043658133,0.03857040921525801,0.00503102112051112,1.0011989288875809,100.1198928887581,7206099254700.498
60,60,0.1,650,2.25,1,100000.0,0.01715,0.00243,5.72,7221090000000.0,100000.0,100.0,7221090000000.0,650.0,0.6497819215344407,0.039727397882048446,0.004721451842126391,1.0003356179332357,100.03356179332356,7223513527301.507
61,61,0.1,660,2.25,1,100000.0,0.01715,0.00243,5.72,7244270000000.0,100000.0,100.0,7244270000000.0,660.0,0.6568294889482331,0.03466469190327836,0.004959387477956613,1.004826992553035,100.48269925530349,7279238037342.176
62,62,0.1,670,2.25,1,100000.0,0.01715,0.00243,5.72,7267020000000.0,100000.0,100.0,7267020000000.0,670.0,0.6689234581816663,0.03424026435068771,0.004995596956798678,1.0016093647265116,100.16093647265116,7278715285654.8545
63,63,0.1,680,2.25,1,100000.0,0.01715,0.00243,5.72,7289350000000.0,100000.0,100.0,7289350000000.0,680.0,0.6794207436335,0.03652081153850568,0.0049045558573415126,1.0008525738607894,100.08525738607892,7295564709272.1455
64,64,0.1,690,2.25,1,100000.0,0.01715,0.00243,5.72,7311270000000.0,100000.0,100.0,7311270000000.0,690.0,0.689095898796495,0.03752033932101965,0.005398660603672186,1.0013120107159017,100.13120107159016,7320862464586.852
65,65,0.1,700,2.25,1,100000.0,0.01715,0.00243,5.72,7332790000000.0,100000.0,100.0,7332790000000.0,700.0,0.6994944812615813,0.033583658441359084,0.0048173813371630335,1.000722691532186,100.0722691532186,7338089345240.298
66,66,0.1,710,2.25,1,100000.0,0.01715,0.00243,5.72,7353910000000.0,100000.0,100.0,7353910000000.0,710.0,0.7095221611683655,0.0385683641509692,0.0049516684155162,1.000673465689708,100.0673465689708,7358862606070.201
67,67,0.1,720,2.25,1,100000.0,0.01715,0.00243,5.72,7374660000000.0,100000.0,100.0,7374660000000.0,720.0,0.718795625486905,0.03265592261530137,0.0055109139192748525,1.0016755451346535,100.16755451346536,7387016575682.724
68,68,0.1,730,2.25,1,100000.0,0.01715,0.00243,5.72,7395030000000.0,100000.0,100.0,7395030000000.0,730.0,0.496942176472752,0.034802325760635786,0.005272668230770832,1.4689837863661928,146.89837863661927,10863179169691.588
69,69,0.1,740,2.25,1,100000.0,0.01715,0.00243,5.72,7415040000000.0,100000.0,100.0,7415040000000.0,740.0,0.7391317977447898,0.0338634549591054,0.005497899002692855,1.001174624414562,100.11746244145623,7423749887018.953
70,70,0.1,750,2.25,1,100000.0,0.01715,0.00243,5.72,7434690000000.0,100000.0,100.0,7434690000000.0,750.0,0.7496847910791756,0.03699308442652054,0.004929362789553603,1.0004204552694347,100.04204552694345,7437815954587.113
