,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
64,64,0.1,690,2.25,1,100000.0,0.01715,0.00243,5.72,73112700000.0,1.2473,0.0008262500000000003,60409368.375,0.0007677826101641627,0.001079511101549821,0.0002240689690793897
65,65,0.1,700,2.25,1,100000.0,0.01715,0.00243,5.72,73327900000.0,1.2952,0.0008671500000000003,63586288.485,0.0008373523945334846,0.0010777853926029687,0.00022248965169070387
66,66,0.1,710,2.25,1,100000.0,0.01715,0.00243,5.72,73539100000.0,1.3451,0.0008974500000000002,65997665.295,0.0008210937943796038,0.0010820727665886664,0.00023033377583358533
67,67,0.1,720,2.25,1,100000.0,0.01715,0.00243,5.72,73746600000.0,1.3835,0.0009227499999999996,68049675.15,0.0008211124853456182,0.0010583610076629298,0.0002275523572025768
68,68,0.1,730,2.25,1,100000.0,0.01715,0.00243,5.72,73950300000.0,1.4506,0.0009724999999999997,71916666.75,0.0008452116094588766,0.0010394860138376863,0.0002307613819933017
69,69,0.1,740,2.25,1,100000.0,0.01715,0.00243,5.72,74150400000.0,1.526,0.0010155999999999995,75307146.23999998,0.0008206833529159168,0.0009879821313693428,0.0002389488356997732
70,70,0.1,750,2.25,1,100000.0,0.01715,0.00243,5.72,74346900000.0,1.6131,0.0010739000000000002,79841135.90999998,0.0008725325635617293,0.0009726968839524016,0.0002378151413878728
71,71,0.1,760,2.25,1,100000.0,0.01715,0.00243,5.72,74540000000.0,1.6758,0.0011144000000000006,83067376.0,0.0008568546692985729,0.0009684458425018497,0.000237808936614888
72,72,0.1,770,2.25,1,100000.0,0.01715,0.00243,5.72,74729700000.0,1.7413999999999998,0.00116405,86989107.28499998,0.0008711829395433094,0.0009362854413589501,0.00023875617458229048
73,73,0.1,780,2.25,1,100000.0,0.01715,0.00243,5.72,74916000000.0,1.771,0.0011786499999999996,88299743.4,0.0009123196228720922,0.0009262442048319352,0.0002301194854351851
74,74,0.1,790,2.25,1,100000.0,0.01715,0.00243,5.72,75099100000.0,1.8497,0.0012321,92529601.11000001,0.0009420323021667059,0.00094646881654364,0.00024864516562290447
75,75,0.1,800,2.25,1,100000.0,0.01715,0.00243,5.72,75279100000.0,1.9105,0.0012696500000000004,95578109.315,0.0009094091825242228,0.0009619996345164706,0.0002482615994184553
76,76,0.1,810,2.25,1,100000.0,0.01715,0.00243,5.72,75455900000.0,1.9417,0.0012935999999999996,97609752.24,0.0009552036859970472,0.0009432929804726509,0.0002499444412527171
77,77,0.1,820,2.25,1,100000.0,0.01715,0.00243,5.72,75629700000.0,2.0432,0.0013620999999999991,103015214.37,0.0009747059820328218,0.0009167569352327811,0.0002520261158074652
78,78,0.1,830,2.25,1,100000.0,0.01715,0.00243,5.72,75800400000.0,2.091,0.0013858999999999996,105051774.36,0.0009758996145600578,0.0009568512367199692,0.0002477451929101826
79,79,0.1,840,2.25,1,100000.0,0.01715,0.00243,5.72,75968300000.0,2.1604,0.001445650000000001,109823572.895,0.0010306366464279564,0.000924889074311902,0.0002529981325813666
80,80,0.1,850,2.25,1,100000.0,0.01715,0.00243,5.72,76133300000.0,2.2325,0.0014904999999999999,113476683.65,0.0010457634552916146,0.000937821170722644,0.00025144779580844585
81,81,0.1,860,2.25,1,100000.0,0.01715,0.00243,5.72,76295600000.0,2.3041,0.001537,117266337.2,0.0010476535285871816,0.0009200938902400344,0.00024506111437663303
82,82,0.1,870,2.25,1,100000.0,0.01715,0.00243,5.72,76455000000.0,2.3581,0.0015719000000000002,120179614.5,0.00107985217975787,0.0009516889114321923,0.00025616545325504367
83,83,0.1,880,2.25,1,100000.0,0.01715,0.00243,5.72,76611800000.0,2.3936,0.0015977999999999993,122410334.04,0.0011053884342497895,0.0009224371151181488,0.0002489154546371259
84,84,0.1,890,2.25,1,100000.0,0.01715,0.00243,5.72,76765900000.0,2.5076,0.0016773999999999997,128767120.66,0.0010873964630883847,0.0009440588698549576,0.0002553596085052024
85,85,0.1,900,2.25,1,100000.0,0.01715,0.00243,5.72,76917500000.0,2.5158,0.0016735500000000002,128725282.125,0.0011286311232529328,0.0009589746790622467,0.00025423441008770136
86,86,0.1,910,2.25,1,100000.0,0.01715,0.00243,5.72,77066500000.0,2.5644,0.0017123499999999996,131964821.275,0.0011807896739409103,0.000968171279391254,0.0002530375456327509
87,87,0.1,920,2.25,1,100000.0,0.01715,0.00243,5.72,77213100000.0,2.6543,0.0017675999999999998,136481875.56,0.0011628115103518668,0.0009690319944608765,0.0002543939148250314
88,88,0.1,930,2.25,1,100000.0,0.01715,0.00243,5.72,77357100000.0,2.6901,0.0017869500000000011,138233269.845,0.001203683601885507,0.0009465168220023298,0.0002537920929927541
89,89,0.1,940,2.25,1,100000.0,0.01715,0.00243,5.72,77498800000.0,2.7251,0.0018120500000000004,140431700.54,0.0012156939215891953,0.0009476519050021496,0.0002521475903639048
90,90,0.1,950,2.25,1,100000.0,0.01715,0.00243,5.72,77638200000.0,2.7721,0.0018476,143444338.32,0.0012292721830661887,0.0009681521187537052,0.00025699229756133955
91,91,0.1,960,2.25,1,100000.0,0.01715,0.00243,5.72,77775200000.0,2.8302,0.0018808500000000003,146283484.92,0.0012829506536496296,0.000983664643548261,0.0002562619360487663
92,92,0.1,970,2.25,1,100000.0,0.01715,0.00243,5.72,77909900000.0,2.8675,0.0019145000000000004,149158503.55,0.0012902480140051012,0.001013422751405746,0.0002616481397282708
93,93,0.1,980,2.25,1,100000.0,0.01715,0.00243,5.72,78042500000.0,2.9143,0.0019393,151347820.25,0.0013402986978771536,0.0010293333672589892,0.00026228291923677374
94,94,0.1,990,2.25,1,100000.0,0.01715,0.00243,5.72,78172800000.0,2.9508,0.0019598,153203053.44,0.001300778389537004,0.000971602092157889,0.00025845046958176786
95,95,0.1,1000,2.25,1,100000.0,0.01715,0.00243,5.72,78301000000.0,3.0033,0.0019993499999999983,156551104.35,0.0013547286696826404,0.000922949983991311,0.000260306121064264
