,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
40,40,0.02,1300,2,100000.0,1.53429754702107,,2691.25,0.2636190520253182,1300.0,0.0645960019263384,0.0173418865557697,0.0072655146334699,1608076217354.441,1673980980360.7705,880487633764.5629,485059055726.5856,271527623586.0777,153426288278.73517,20.298932519478107,5.351249164704667,32642619904698.46,33980432195874.625,17873172210113.586,9846298463056.59,5511786639645.808,3114427013858.116,9.141057329869792e-05,9.5156908269956e-05,5.0051035216008365e-05,2.75730253884597e-05,1.543490008158342e-05,8.721467813088882e-06,5.781140345465871e-05,6.018072326837425e-05,3.1654112711239355e-05,1.7438193828946235e-05,9.761597632507943e-06,5.515776526329734e-06
41,41,0.02,1320,2,100000.0,1.5451051452317,,2698.05,0.2768346435272134,1320.0,0.064562590612104,0.0169208406188783,0.0072633573860169,1591799200281.477,1757899986397.806,924627709380.893,509375744090.0729,285139682833.0299,161117762532.8382,20.61818251085001,5.708697989310076,32825013438532.938,36250232232118.98,19067051284295.656,10504004300330.54,5879958928989.377,3322462229778.4653,9.186729385864652e-05,0.0001014534462612,5.336291504137032e-05,2.939753403476688e-05,1.6456228291201023e-05,9.298567830562137e-06,5.8724976030453686e-05,6.485279961624015e-05,3.411155129421135e-05,1.8791992329745177e-05,1.051943048893344e-05,5.943988878212875e-06
42,42,0.02,1340,2,100000.0,1.55521345874571,,2674.0,0.2869129799446769,1340.0,0.0657063586027902,0.0169715405616566,0.0070798129572296,1520638793706.7876,1821897422648.6987,958289353015.2212,527919883098.20575,295520369343.01733,166983354327.802,20.58109997571635,5.904634658978476,31294563692585.93,37494430084513.33,19721479760988.12,10864527772520.396,6081773698747.83,3436497371525.4736,8.908686153988096e-05,0.0001067361454298,5.614153161192498e-05,3.092826891195867e-05,1.7313107053976864e-05,9.782745927586928e-06,5.797503521673509e-05,6.946065540118263e-05,3.653521087243306e-05,2.0127182037508032e-05,1.1266846466648516e-05,6.366315187950909e-06
43,43,0.02,1360,2,100000.0,1.56621058572968,,2703.4,0.3028901002989592,1360.0,0.0686784251207995,0.0176374072700827,0.0071950736175499,1514450501494.7954,1923352136898.3904,1011652934998.5238,557317784550.0848,311976803307.9279,176282038373.99426,19.916323779765523,6.028743765211935,30143718826059.688,38282522909095.8,20136004175807.863,11092888527989.96,6209606078168.293,3508728871353.3467,9.003206338367138e-05,0.0001143407204972,6.014141834029248e-05,3.3131799325191064e-05,1.8546605057036305e-05,1.0479732177859348e-05,5.892046941423071e-05,7.482899615607299e-05,3.935887356870611e-05,2.1682732744436897e-05,1.2137616699331524e-05,6.858342639816455e-06
44,44,0.02,1380,2,100000.0,1.57645288509541,,2712.0,0.3168995929265648,1380.0,0.0688431555535998,0.0169734867326215,0.0073469824416871,1486259090825.589,2012312415083.6868,1058444640374.7264,583095250984.8793,326406580714.3617,184435563083.26077,20.158175223874878,6.388768247361206,29963323080124.05,40568678370743.66,21338485946186.426,11755333575144.62,6580431294782.041,3718263119964.223,8.962918729357519e-05,0.0001213529508132,6.382974105768469e-05,3.516368968447301e-05,1.968402194293869e-05,1.1122427932806135e-05,5.86253871845624e-05,7.937552422643309e-05,4.175027573484829e-05,2.3000151901832584e-05,1.2875085032004109e-05,7.27504804721009e-06
45,45,0.02,1400,2,100000.0,1.58764002600254,,2719.0,0.3308457881781078,1400.0,0.0695343139694045,0.0167762695521902,0.0072053079723016,1422636889165.864,2100870754930.985,1105024932514.88,608756250247.7185,340771161823.4511,192552248719.6588,20.28796882743928,6.715124999450052,28875037497635.22,42641043746507.83,22428517498163.17,12355829998988.092,6916578749433.553,3908202749679.9297,8.702304062795561e-05,0.0001285107692993,6.75946408598539e-05,3.723776622219496e-05,2.084505391785913e-05,1.1778467359411664e-05,5.686657882671708e-05,8.397738966271011e-05,4.417078448400815e-05,2.4333605823525453e-05,1.3621529346864792e-05,7.696825320267288e-06
46,46,0.02,1420,2,100000.0,1.59801278952994,,2722.9,0.3444923490368458,1420.0,0.0712208273824103,0.0169062690096477,0.0072817407240166,1336630314262.9617,2187526416383.9712,1150604445783.065,633865922227.7961,354827119507.95123,200494547139.4442,20.034664628258643,6.899306850402685,26769310579562.414,43810598500057.05,23043684880344.965,12694724604740.94,7106286055914.764,4015396586934.362,8.289353477486672e-05,0.0001356633880979,7.135680570826157e-05,3.931033607880278e-05,2.200524247889504e-05,1.243403021623001e-05,5.411984623052287e-05,8.85724287535619e-05,4.658770268297587e-05,2.5665081717567557e-05,1.4366866396247047e-05,8.11797693457843e-06
47,47,0.02,1440,2,100000.0,1.6093916073593,,2733.5,0.3590825455283714,1440.0,0.0732995874778452,0.0165696412726192,0.0072314949108532,1278333862081.0024,2280174164105.158,1199335702064.7605,660711883772.2035,369855021894.2226,208986041497.51212,19.73663084737795,7.08680857021376,25229038509960.992,45001234420857.37,23669940624513.96,13039727769193.32,7299412827320.174,4124522587864.4087,8.037117504119457e-05,0.0001433586970537,7.540441703303086e-05,4.154015788646012e-05,2.3253457947311917e-05,1.3139332548869448e-05,5.240469231889653e-05,9.347466186095308e-05,4.916620009694224e-05,2.708557131089034e-05,1.5162031766422309e-05,8.567283968988138e-06
48,48,0.02,1460,2,100000.0,1.61989146064109,,2707.9,0.3688367697223631,1460.0,0.0683676972418538,0.0165153242919629,0.0071398956252526,1165524192322.6675,2342113487737.007,1231914810872.6929,678659656289.1483,379901872814.03406,214662999978.4153,21.528267921550004,7.941402126272147,25094830719019.98,50427903501828.14,26524283101748.97,14612179912340.754,8179644190060.312,4621896037490.389,7.425276264538122e-05,0.0001492104565816,7.84823503910042e-05,4.323578584414602e-05,2.4202640988842607e-05,1.367566704418097e-05,4.835417473200053e-05,9.7167408084873e-05,5.110852645724108e-05,2.815559541356994e-05,1.5761012649987517e-05,8.905737244944401e-06
49,49,0.02,1480,2,100000.0,1.63146370843972,,2754.9,0.3887960268235323,1480.0,0.0742026282081837,0.0167913150005475,0.0073866436044849,1080852954569.4204,2468854770329.431,1298578729590.5984,715384689355.2998,400459907628.23846,226279287611.2959,20.05935198769972,7.799484166778686,21682565983644.742,49526724459044.65,26050277117040.81,14351050866872.78,8033468691782.045,4539299785065.194,6.976338407312151e-05,0.0001593516146993,8.381643985763519e-05,4.617432614911639e-05,2.584758474651624e-05,1.4605140118905294e-05,4.536043388140138e-05,0.0001036110630024,5.449778746902181e-05,3.0022733216467096e-05,1.6806203920087564e-05,9.496321049991224e-06
50,50,0.02,1500,2,100000.0,1.642094071436,,2754.4,0.4025959291470632,1500.0,0.0721417768060177,0.016603379570513,0.0072704850039475,942074474204.128,2556484150083.852,1344670403351.1914,740776509630.5963,414673807021.4752,234310830763.5908,20.91005150479113,8.414912968136687,19690896345439.844,53434697347667.95,28105809313576.53,15483439861371.5,8667360357180.786,4897479347455.55,6.158238273121412e-05,0.0001671145856167,8.789964030865607e-05,4.842375394249317e-05,2.710677530476519e-05,1.5316643910071212e-05,4.000740945765487e-05,0.0001085671154085,5.710459298656719e-05,3.14588176931987e-05,1.7610099034779708e-05,9.95056081382698e-06
51,51,0.02,1520,2,100000.0,1.65386866368164,,2752.95,0.4171546956620669,1520.0,0.0751032580900186,0.0166116370620487,0.0072764092787534,809280109584.4098,2648932317454.125,1393296683511.3037,767564640018.2031,429669336531.92896,242784032875.3229,20.370911529667147,8.49593959233197,16482122809124.02,53949216411308.01,28376438238388.78,15632528849890.828,8750817780101.93,4944636842737.205,5.356375778952171e-05,0.0001753246711151,9.22180159881456e-05,5.080273934676285e-05,2.8438489960416166e-05,1.606912733685651e-05,3.4780221656169306e-05,0.0001138424781013,5.987935068639458e-05,3.2987426725438935e-05,1.846578778652288e-05,1.0434066496850791e-05
52,52,0.02,1540,2,100000.0,1.66576883018961,,2781.25,0.4363292069824563,1540.0,0.0745730696985105,0.0165258227475966,0.0072319076425031,693763439102.1057,2770690464338.5977,1457339551321.4038,802845740847.7197,449419083191.93,253943598463.78955,20.84646691100061,9.092287784364425,14456737577139.434,57736027430714.1,30368241199777.168,16729809523230.54,9365056417895.355,5291711490500.096,4.6476032684573655e-05,0.0001856118286458,9.762889884683546e-05,5.378358499346887e-05,3.0107115512648324e-05,1.7011981775108094e-05,3.03475603922078e-05,0.000121199376409,6.374896333960631e-05,3.5119189384693305e-05,1.965911144904027e-05,1.110835229450625e-05
53,53,0.02,1560,2,100000.0,1.67662025268967,,2763.15,0.4485739720760223,1560.0,0.0741448533587231,0.0163600508317744,0.0071960314681089,529317287049.7064,2848444722682.741,1498237066733.9146,825376108619.881,462031191238.3029,261070051748.24503,21.16906135587585,9.492840570495124,11201551873184.246,60279537622644.02,31706087505453.72,17466826649711.031,9777625787609.98,5524833212028.162,3.5880415516027546e-05,0.000193085286887,0.0001015598201893,5.594912249956838e-05,3.1319345747041e-05,1.7696950703667827e-05,2.3407964862652684e-05,0.0001259665905743,6.6256442916322e-05,3.650055537905163e-05,2.0432376108925644e-05,1.15452843644609e-05
54,54,0.02,1580,2,100000.0,1.68872777614473,,2782.45,0.4667562300604729,1580.0,0.0760137643023426,0.0168052499346066,0.0073280338281005,351000685005.4759,2963902060884.005,1558965808401.98,858831463311.2704,480758916962.2873,271652125895.1953,20.88851539358484,9.747062746285408,7329791185206.627,61893848438912.35,32555189572593.26,17934595453165.152,10039474628673.97,5672790518338.107,2.4065170607970535e-05,0.000203209884788,0.0001068851992427,5.888286425354493e-05,3.2961603359321345e-05,1.862490597584954e-05,1.5686901016539406e-05,0.0001324625285305,6.967320398303406e-05,3.838284291280918e-05,2.1486047934887756e-05,1.2140660095247248e-05
55,55,0.02,1600,2,100000.0,1.69972180784833,,2784.45,0.4824912878222854,1600.0,0.0735808234393516,0.0168299441364955,0.0071640972930911,166459494298.68845,3063819677671.513,1611520901326.433,887783969593.0055,496966026456.954,280809929512.5702,21.91914934974382,10.575123317983874,3648417544704.435,67152033069197.59,35320911882066.125,19458226905090.324,10892377017523.389,6154721771066.614,1.154097993810062e-05,0.0002124209350925,0.000111730066647,6.155189300320329e-05,3.44556792354888e-05,1.9469131373839304e-05,7.515610280546696e-06,0.0001383307979172,7.275982126674194e-05,4.008325482958239e-05,2.2437908953516223e-05,1.2678507777617906e-05
56,56,0.02,1620,2,100000.0,1.7120423565671,,2805.7,0.5019212932888628,1620.0,0.0786921402728694,0.0166981781658561,0.007322839943717,21482231352.76333,3187200212384.28,1676417119584.8018,923535179651.5076,516978932087.5288,292118192694.1182,20.74474064338322,10.407210090111398,445428591856.7679,66085784072207.375,34760081700972.07,19149266565804.97,10719426392814.736,6056996272444.834,1.505404367354316e-06,0.0002233485451564,0.0001174778174523,6.47183185965407e-05,3.622818921436789e-05,2.0470685556079724e-05,9.79537246489596e-07,0.0001453285400749,7.644052344101051e-05,4.211094704534712e-05,2.357297579168888e-05,1.3319875641517402e-05
57,57,0.02,1640,2,100000.0,1.72316997258232,,2813.0,0.519488755448575,1640.0,0.0765472083466874,0.0167324979283354,0.0072690544441317,22234118733.199013,3298753597098.451,1735092443198.2407,955859310025.378,535073418112.0322,302342455671.0707,21.55991470265343,11.200271293255206,479371611351.3228,71121722712170.55,37408906119472.39,20608499179589.58,11536279432052.863,6518557892674.529,1.5745256553355264e-06,0.0002336036895182,0.0001228718618882,6.768988798638713e-05,3.7891622079336265e-05,2.141060587395505e-05,1.02351949681442e-06,0.0001518539440366,7.987278316262065e-05,4.400177276024609e-05,2.463142714296385e-05,1.391795203612132e-05
58,58,0.02,1660,2,100000.0,1.73570025312257,,2804.15,0.5345376620275301,1660.0,0.0817821920061874,0.0163244247996667,0.0071860027036713,22878211934.77828,3394314153874.815,1785355791171.95,983549298130.655,550573791888.3558,311100919300.0225,20.441417841620652,10.926049170119873,467634904481.1304,69380412230261.15,36493004228200.36,20103930473020.555,11253830645223.465,6358960617009.762,1.636427074358852e-06,0.0002427876617331,0.0001277024866438,7.03510704864553e-05,3.938130576143965e-05,2.225234946908532e-05,1.062906492913943e-06,0.0001576975754673,8.294644126945253e-05,4.569504548975827e-05,2.5579291768723385e-05,1.4453541562521364e-05
59,59,0.02,1680,2,100000.0,1.74696458987926,,2832.0,0.5545469277864208,1680.0,0.0800697276508571,0.0166635769207956,0.0071936515595157,23734608509.25881,3521372991443.772,1852186738806.645,1020366347127.0144,571183335620.0134,322746311971.69684,21.04602179004321,11.671806112208946,499553301602.5431,74115968812526.83,38983832414777.89,21476123246464.46,12021960295575.217,6792991157305.608,1.7143040794684398e-06,0.0002543418435659,0.0001337798043323,7.369905388368995e-05,4.125544864141338e-05,2.331133117408018e-05,1.112514577966777e-06,0.0001650576535067,8.681772641142603e-05,4.782772952006703e-05,2.6773131198733185e-05,1.512811879384729e-05
60,60,0.02,1700,2,100000.0,1.75971452816092,,2819.3,0.5671166720559908,1700.0,0.0792862249931317,0.0161526521343886,0.0074216246542652,24272593563.99641,3601190867555.542,1894169684667.0095,1043494676583.0232,584130172217.6707,330061903136.58673,21.55376413846105,12.219048585366492,522975279453.68585,77590958517077.22,40811622275124.08,22483049397074.348,12585620042927.484,7111486276683.299,1.7695370804489997e-06,0.0002625364593656,0.0001380900431938,7.607355672958314e-05,4.2584654038842735e-05,2.4062396748161615e-05,1.1475047187801165e-06,0.0001702489477628,8.954826543751377e-05,4.933197856437884e-05,2.761518365288598e-05,1.5603919306776347e-05
61,61,0.02,1720,2,100000.0,1.77259284131932,,2843.9,0.5870474296593275,1720.0,0.0783003276444674,0.0164290747083292,0.0073107266764896,25125629989.41921,3727751178336.7295,1960738415062.1536,1080167270573.1628,604658852549.1074,341661604061.7286,22.097433490710607,12.973864629729013,555281406152.4016,82384040398779.22,43332707863294.9,23871910918701.38,13363080568620.88,7550789214502.284,1.848359401301264e-06,0.0002742308924827,0.0001442411308491,7.946217986902628e-05,4.448154633972667e-05,2.513423298031157e-05,1.197667644928176e-06,0.0001776913445161,9.346284892663805e-05,5.148851557635149e-05,2.882237556719676e-05,1.628604133991118e-05
62,62,0.02,1740,2,100000.0,1.7840729127297,,2839.15,0.6013068831122499,1740.0,0.0785300463502608,0.0162294393405475,0.0072684299416844,25735934597.204296,3818298707762.788,2008364989594.9143,1106404664926.5398,619346089605.6174,349960605971.3294,22.248755752599145,13.376095493598864,572496887126.0314,84938206384352.78,44676158948620.2,24612015708221.91,13777378358406.828,7784887577274.539,1.9093876767236347e-06,0.000283285321196,0.0001490036177629,8.2085825354474e-05,4.5950217453863176e-05,2.596410345451297e-05,1.2365495393295582e-06,0.000183460036793,9.649709021870852e-05,5.3160073653420256e-05,2.97580847081646e-05,1.6814762427331842e-05
63,63,0.02,1760,2,100000.0,1.79717806739436,,2851.6,0.6189383279716052,1760.0,0.0810058717686956,0.0165246921675015,0.0072151383726579,26490560437.1847,3930258382619.693,2067254015425.1611,1138846523467.7537,637506477810.7534,360222106879.4741,21.816435146783768,13.49887782400813,577751970867.5479,85717874182451.61,45086251932187.15,24837935196174.957,13903844158728.371,7856346893572.7295,1.981540898042176e-06,0.0002939902967889,0.0001546342663424,8.518773954200008e-05,4.768661506970656e-05,2.694525239861089e-05,1.2837372701017515e-06,0.0001904610202136,0.0001001794972462,5.5188705069794935e-05,3.089367729450477e-05,1.745642736446775e-05
64,64,0.02,1780,2,100000.0,1.80879698312742,,2850.4,0.6342838271647084,1780.0,0.0829297576734234,0.0164914091013097,0.0072709517293587,27147347802.649517,4027702302495.8975,2118507982730.1252,1167082241983.063,653312341979.6494,369153187409.8602,21.551925887948023,13.671937589837016,585158928845.024,86816803695465.03,45664271550055.61,25156365165300.1,14082095717532.12,7957067677285.141,2.046313139166228e-06,0.0003036001970491,0.0001596889225423,8.797234056228648e-05,4.924538629301905e-05,2.782603380828844e-05,1.326545114399406e-06,0.0001968121840288,0.0001035201093946,5.7029042301282864e-05,3.192386607082681e-05,1.80385340322536e-05
65,65,0.02,1800,2,100000.0,1.82212538377739,,2890.8,0.6586967271052397,1800.0,0.0820635524637509,0.0161830645593289,0.0072679511982553,28192219920.104267,4182724217118.273,2200047068531.501,1212001977873.6414,678457628918.3969,383361495175.2495,22.026314259000493,14.50118596230332,620650759186.582,92082530860626.08,48433961114093.086,26682182170638.117,14936221541172.418,8439690230060.533,2.1404951193451785e-06,0.0003175734581271,0.000167038637818,9.202128550455906e-05,5.151191525526949e-05,2.910673269763772e-05,1.3887382599580435e-06,0.0002060394381012,0.0001083734997256,5.970276631595328e-05,3.342057027469124e-05,1.888424456298088e-05
66,66,0.02,1820,2,100000.0,1.83387836960085,,2875.8,0.670212972281105,1820.0,0.0855044309253343,0.0163458748327232,0.0070981244805862,28685115213.63129,4255852373985.018,2238511327418.892,1233191868997.2336,690319361449.5383,390063949867.6032,21.398735810423894,14.34082275841864,613787214060.3179,91064224515958.36,47898348013118.26,26387113875490.29,14771047441171.195,8346358845399.646,2.193250948666693e-06,0.0003254005496269,0.0001711555646856,9.428929312025038e-05,5.278150647492277e-05,2.982411336738355e-05,1.4241160543744191e-06,0.0002112882463849,0.0001111342902245,6.122368084226476e-05,3.427195177583299e-05,1.936531644032505e-05
67,67,0.02,1840,2,100000.0,1.84743958356864,,2865.8,0.6834313175462055,1840.0,0.0871856712837143,0.0160349642149147,0.0074466517598355,29250860390.977592,4339788866418.405,2282660600604.3267,1257513624285.018,703934257072.5917,397757026811.89154,21.24874259925761,14.516212388838335,621293890242.2808,92177948669123.44,48484149378720.05,26709830795462.54,14951698760503.488,8448435610303.914,2.2831599217145504e-06,0.0003387398481982,0.0001781718256664,9.815453869051857e-05,5.494520372350436e-05,3.104670734667916e-05,1.463260016957189e-06,0.0002170958202728,0.0001141889826316,6.290650540189783e-05,3.5213967697801505e-05,1.989760116516551e-05
68,68,0.02,1860,2,100000.0,1.86114008778218,,2894.85,0.705006644830714,1860.0,0.0843427729178983,0.0158261962494287,0.0073104631637385,30174284398.754547,4427441729536.883,2354722193734.584,1297212226488.5134,726156844175.6351,410313867291.47546,22.21228059302522,15.657632134640414,670146655362.6097,98329929805541.78,52296491329698.99,28810043127738.363,16127361098679.629,9112741902360.72,2.3820066558584784e-06,0.0003495093878221,0.0001858855661347,0.0001024040244574,5.732399195173442e-05,3.2390838170785856e-05,1.520574702618149e-06,0.0002231123629074,0.0001186616707182,6.537050123405127e-05,3.659326971253957e-05,2.0676973759901e-05
69,69,0.02,1880,2,100000.0,1.87311874637202,,2895.65,0.7185854868284947,1880.0,0.0868425245471598,0.0162700498833258,0.007405995275879,30755458836.25957,4476787582941.521,2400075526007.173,1322197295764.4302,740143051433.3495,418216753334.1839,21.82428964679434,15.676912393000018,670971850420.4006,97667164208390.1,52360887392620.06,28845518803120.03,16147219764790.02,9123963012726.012,2.455288736532471e-06,0.0003573936642195,0.0001916043079442,0.0001055544690471,5.908755604272068e-05,3.3387337492100426e-05,1.56094517290475e-06,0.0002272123464297,0.0001218120765771,6.710605416226027e-05,3.7564802058221774e-05,2.1225936696975804e-05
70,70,0.02,1900,2,100000.0,1.88705621453883,,2881.85,0.7294763196882914,1900.0,0.0840994300891111,0.0163483299693058,0.0073846971363286,31221586482.658867,4471689839689.227,2436450907758.8936,1342236428226.4563,751360609278.9402,424555218058.58575,22.78153475692221,16.619066826960108,711296060193.8925,101874879649265.44,55507683202046.734,30579082961606.586,17117638831768.91,9672296893290.78,2.520917751155495e-06,0.0003610566779107,0.0001967258245059,0.0001083759033206,6.066694588061123e-05,3.427976941991819e-05,1.5955838243341695e-06,0.0002285263748403,0.0001245151862914,6.859519244801103e-05,3.839839577252792e-05,2.1696957611273058e-05
71,71,0.02,1936,2,100000.0,1.91089411501287,,2908.35,0.7649595844751383,1936.0,0.0871213234024707,0.0159471440868329,0.0071527596658875,32740270215.53592,4574458315161.326,2554965012146.962,1407525635434.2544,787908372009.3923,445206478164.5306,22.351561563520814,17.101082258397547,731926320659.4149,102264471905217.34,57117614743047.81,31465991355451.48,17614114726149.473,9952829874387.371,2.696675268229613e-06,0.000376778460374,0.0002104414812122,0.0001159318339612,6.489662444571264e-05,3.666974313340267e-05,1.6931954282826425e-06,0.0002365726322693,0.0001321325404313,7.279157915981454e-05,4.074746007315705e-05,2.302429297337612e-05
72,72,0.02,1976,2,100000.0,1.93752271021902,,2909.65,0.7951643556192504,1976.0,0.0860033445629255,0.0157094086426066,0.0073624044053368,34033034420.503918,4632627535837.752,2655848947768.2964,1463102414339.4211,819019286287.8279,462785654970.4036,23.10988132939082,18.3779155938668,786574787417.4991,107069736249867.95,61382238083515.1,33815364692714.902,18929253061682.805,10695946875630.48,2.8643034777457685e-06,0.0003898932724613,0.0002235227480296,0.0001231382803516,6.893066780556404e-05,3.89491734590663e-05,1.7820245942762428e-06,0.0002425718524825,0.0001390645360953,7.66104031184179e-05,4.2885171310853504e-05,2.42322035950648e-05
73,73,0.02,2016,2,100000.0,1.96452174308398,,2952.0,0.835860301889236,2016.0,0.0898231803651469,0.0154462193312435,0.007226977893175,35774820920.85931,4735984470504.41,2791773408310.0483,1537982955476.194,860936110945.913,486470695699.53534,22.63277072644275,18.920215463335712,809785221830.7684,107201940815260.14,63193519647541.29,34813196452537.71,19487821927235.78,11011565399661.385,3.07499245102111e-06,0.0004070772716701,0.0002399643641684,0.0001321959371466,7.400098655494727e-05,4.181414968444594e-05,1.8950555578965171e-06,0.0002508734764261,0.0001478851767142,8.146967818994374e-05,4.560530898676199e-05,2.5769213427471338e-05
74,74,0.02,2056,2,100000.0,1.99424960220818,,2947.6,0.8635357517692122,2056.0,0.0904363133176275,0.0148935013298646,0.0070839930483512,36959330175.72228,4754627849241.283,2884209410909.1685,1588905783255.3503,889441824322.2885,502577807529.6815,22.84765614778443,19.71904194976672,843974995450.0154,108573044975415.5,65861600112220.83,36283037187570.75,20310613208259.715,11476482414764.229,3.243174511521018e-06,0.0004172177303839,0.0002530888520672,0.0001394261939531,7.804835857165069e-05,4.4101111348253104e-05,1.9788093399631583e-06,0.0002545636501363,0.000154421102698,8.507030807318248e-05,4.762087897574889e-05,2.690810831445229e-05
75,75,0.02,2096,2,100000.0,2.02210370595017,,2998.85,0.9082578629535916,2096.0,0.0924641033197985,0.0160865937073606,0.0072568861221507,38873436534.41373,4884610786964.416,3033581262264.9966,1671194467834.6086,935505598842.1996,528606076238.9904,22.825778434048612,20.73400919449692,887415593524.4681,111507501448004.42,69251590709619.7,38150576917874.33,21356029470331.82,12067193351197.207,3.480818255202722e-06,0.0004373794527214,0.0002716339479526,0.0001496426539619,8.376735520698142e-05,4.733262206841085e-05,2.101705357680777e-06,0.0002640881171403,0.0001640115863236,9.035368827412684e-05,5.057842332736448e-05,2.8579264443229252e-05
76,76,0.02,2136,2,100000.0,2.0503324759798,,2982.5,0.9322373063699956,2136.0,0.0929279848511896,0.0157175001560457,0.0073842866852321,39899756712.6358,4864414264638.635,3113672603275.7847,1715316643720.7915,960204425561.0952,542562112307.3374,23.07966570580347,21.520066392451447,921058841596.922,112291706435811.64,71877021750787.81,39596922162110.66,22165668384224.992,12524678640406.744,3.643768046299678e-06,0.0004442332164857,0.0002843501232392,0.0001566479720838,8.76888104600156e-05,4.9548434648280665e-05,2.1767983908307567e-06,0.0002653863084895,0.0001698716501255,9.358198689552786e-05,5.238556875130091e-05,2.960038933325936e-05
77,77,0.02,2176,2,100000.0,2.08169409330203,,3003.0,0.967219244668128,2176.0,0.0950786094774912,0.0157165831976285,0.0070622816935931,41396983671.79589,4892194939531.392,3230512277191.5474,1779683410189.355,996235822008.172,562921600396.8503,23.077685801881728,22.313580630637084,955021250991.2672,112862090829762.31,74527359306327.84,41056988360372.22,22982988049556.19,12986503927030.78,3.854759773388767e-06,0.000455546143313,0.0003008153654933,0.0001657186444634,9.276641510725304e-05,5.24175277596323e-05,2.3285905191220397e-06,0.0002751871692924,0.0001817171106043,0.0001001076297939,5.60385101564416e-05,3.166447855441652e-05
78,78,0.02,2216,2,100000.0,2.11081331072047,,3011.7,0.9982309093078282,2216.0,0.0960638514148058,0.0154007992793454,0.0071792275462665,42724282918.375046,4893327917426.974,3334091237088.147,1836744873126.404,1028177836587.0632,580970389217.156,23.17828172398137,23.13202067713212,990050484981.2546,113393165359301.69,77260949061621.28,42562918045923.12,23825981297446.09,13462836034090.896,4.054732350250824e-06,0.0004643994855356,0.0003164207020989,0.0001743155963658,9.757883927005488e-05,5.513678102443876e-05,2.422945518588517e-06,0.0002775065171055,0.0001890803278524,0.0001041640129486,5.830920290061152e-05,3.294753018267563e-05
79,79,0.02,2256,2,100000.0,2.14029939748533,,3016.6,1.02761494243737,2256.0,0.0987150007879563,0.0157784585093852,0.0072509403330723,43981919536.31944,4883226206462.382,3432233907740.8154,1890811494084.7605,1058443390710.491,598071896498.5491,22.90520011728164,23.54173113735959,1007586092678.9904,111870306364732.8,78629381998781.03,43316785292741.64,24247983071480.38,13701287521943.283,4.252771596367278e-06,0.0004721768837835,0.0003318751666323,0.0001828294331148,0.0001023447370153,5.7829744604807376e-05,2.477165202265929e-06,0.0002750347906814,0.0001933114900833,0.0001064949526207,5.961402239097911e-05,3.368481653548529e-05
80,80,0.02,2296,2,100000.0,2.17335195265406,,3050.0,1.0672285955272869,2296.0,0.0979985682122332,0.0158468115998704,0.0073113891550988,45677383888.56786,4887906967514.973,3564543509061.1367,1963700615770.207,1099245453393.1052,621127042596.8807,23.520336856291745,25.09972648275946,1074268293462.1052,114956747291038.34,83833086452416.61,46183496728277.41,25852718277242.246,14608040812966.006,4.498384005207263e-06,0.0004813691295291,0.0003510421162941,0.0001933884712518,0.000108255502929,6.116961427641649e-05,2.574653088947177e-06,0.0002755119426956,0.0002009191896514,0.0001106860206462,6.196010938354187e-05,3.501046957400132e-05
81,81,0.02,2336,2,100000.0,2.20371744188243,,3045.65,1.0934985226748102,2336.0,0.103904400105307,0.0150303714864939,0.0071765007628361,46801736770.48189,4828889476131.963,3652285065733.867,2012037281721.6511,1126303478355.055,636416140196.7399,22.62518730688389,24.73073461884233,1058475441686.4518,109210924076807.72,82600653626933.4,45504551698669.9,25472656657407.605,14393287548166.238,4.6927390880801466e-06,0.0004841854161906,0.0003662090783688,0.0002017439234127,0.0001129327397364,6.381248012295901e-05,2.635963159303247e-06,0.0002719722736327,0.0002057036671044,0.0001133217806802,6.343556201126972e-05,3.584417193258153e-05
82,82,0.02,2376,2,100000.0,2.23797359782716,,3075.35,1.1308903695338466,2376.0,0.1026823430814601,0.0156936350199363,0.0072109905843114,48402107816.048645,4819854754953.255,3777173834243.048,2080838279942.278,1164817080619.862,658178195068.6986,23.21185902934847,26.236781741861904,1122934258551.6897,111821163783815.48,87630851017818.78,48275678405025.92,27023885194117.76,15269806973763.63,4.939330434038152e-06,0.0004918557549034,0.0003854524217216,0.0002123450466969,0.0001188670641835,6.716566150958421e-05,2.724592191121179e-06,0.000271313362583,0.000212620044821,0.0001171320007397,6.556845693586017e-05,3.70493611035637e-05
