Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight
148,1000000.0,1375,5,17.15,2.43,0.81,0.005
149,1000000.0,1375,10,17.15,2.43,0.81,0.0025
150,1000000.0,1400,1.8,17.15,2.43,0.81,0.02
151,1000000.0,1400,5,17.15,2.43,0.81,0.005
152,1000000.0,1400,10,17.15,2.43,0.81,0.0025
153,1000000.0,1425,1.8,17.15,2.43,0.81,0.02
154,1000000.0,1425,5,17.15,2.43,0.81,0.005
155,1000000.0,1425,10,17.15,2.43,0.81,0.0025
156,1000000.0,1450,1.8,17.15,2.43,0.81,0.02
157,1000000.0,1450,5,17.15,2.43,0.81,0.005
158,1000000.0,1450,10,17.15,2.43,0.81,0.0025
159,1000000.0,1475,1.8,17.15,2.43,0.81,0.02
160,1000000.0,1475,5,17.15,2.43,0.81,0.005
161,1000000.0,1475,10,17.15,2.43,0.81,0.0025
162,1000000.0,1500,1.8,17.15,2.43,0.81,0.02
163,1000000.0,1500,5,17.15,2.43,0.81,0.005
164,1000000.0,1500,10,17.15,2.43,0.81,0.0025
165,1000000.0,1525,1.8,17.15,2.43,0.81,0.02
166,1000000.0,1525,5,17.15,2.43,0.81,0.005
167,1000000.0,1525,10,17.15,2.43,0.81,0.0025
168,1000000.0,1550,1.8,17.15,2.43,0.81,0.02
169,1000000.0,1550,5,17.15,2.43,0.81,0.005
170,1000000.0,1550,10,17.15,2.43,0.81,0.0025
171,1000000.0,1575,1.8,17.15,2.43,0.81,0.02
172,1000000.0,1575,5,17.15,2.43,0.81,0.005
173,1000000.0,1575,10,17.15,2.43,0.81,0.0025
174,1000000.0,1600,1.8,17.15,2.43,0.81,0.02
175,1000000.0,1600,5,17.15,2.43,0.81,0.005
176,1000000.0,1600,10,17.15,2.43,0.81,0.0025
177,1000000.0,1625,1.8,17.15,2.43,0.81,0.02
178,1000000.0,1625,5,17.15,2.43,0.81,0.005
179,1000000.0,1625,10,17.15,2.43,0.81,0.0025
180,1000000.0,1650,1.8,17.15,2.43,0.81,0.02
181,1000000.0,1650,5,17.15,2.43,0.81,0.005
182,1000000.0,1650,10,17.15,2.43,0.81,0.0025
183,1000000.0,1675,1.8,17.15,2.43,0.81,0.02
184,1000000.0,1675,5,17.15,2.43,0.81,0.005
185,1000000.0,1675,10,17.15,2.43,0.81,0.0025
186,1000000.0,1700,1.8,17.15,2.43,0.81,0.02
187,1000000.0,1700,5,17.15,2.43,0.81,0.005
188,1000000.0,1700,10,17.15,2.43,0.81,0.0025
189,1000000.0,1725,1.8,17.15,2.43,0.81,0.02
190,1000000.0,1725,5,17.15,2.43,0.81,0.005
191,1000000.0,1725,10,17.15,2.43,0.81,0.0025
192,1000000.0,1750,1.8,17.15,2.43,0.81,0.02
193,1000000.0,1750,5,17.15,2.43,0.81,0.005
194,1000000.0,1750,10,17.15,2.43,0.81,0.0025
195,1000000.0,1775,1.8,17.15,2.43,0.81,0.02
196,1000000.0,1775,5,17.15,2.43,0.81,0.005
197,1000000.0,1775,10,17.15,2.43,0.81,0.0025
198,1000000.0,1800,1.8,17.15,2.43,0.81,0.02
199,1000000.0,1800,5,17.15,2.43,0.81,0.005
200,1000000.0,1800,10,17.15,2.43,0.81,0.0025
201,1000000.0,1825,1.8,17.15,2.43,0.81,0.02
202,1000000.0,1825,5,17.15,2.43,0.81,0.005
203,1000000.0,1825,10,17.15,2.43,0.81,0.0025
204,1000000.0,1850,1.8,17.15,2.43,0.81,0.02
205,1000000.0,1850,5,17.15,2.43,0.81,0.005
206,1000000.0,1850,10,17.15,2.43,0.81,0.0025
207,1000000.0,1875,1.8,17.15,2.43,0.81,0.02
208,1000000.0,1875,5,17.15,2.43,0.81,0.005
209,1000000.0,1875,10,17.15,2.43,0.81,0.0025
210,1000000.0,1900,1.8,17.15,2.43,0.81,0.02
211,1000000.0,1900,5,17.15,2.43,0.81,0.005
212,1000000.0,1900,10,17.15,2.43,0.81,0.0025
213,1000000.0,1925,1.8,17.15,2.43,0.81,0.02
214,1000000.0,1925,5,17.15,2.43,0.81,0.005
215,1000000.0,1925,10,17.15,2.43,0.81,0.0025
216,1000000.0,1950,1.8,17.15,2.43,0.81,0.02
217,1000000.0,1950,5,17.15,2.43,0.81,0.005
218,1000000.0,1950,10,17.15,2.43,0.81,0.0025
219,1000000.0,1975,1.8,17.15,2.43,0.81,0.02
220,1000000.0,1975,5,17.15,2.43,0.81,0.005
221,1000000.0,1975,10,17.15,2.43,0.81,0.0025
222,1000000.0,2000,1.8,17.15,2.43,0.81,0.02
223,1000000.0,2000,5,17.15,2.43,0.81,0.005
224,1000000.0,2000,10,17.15,2.43,0.81,0.0025
225,1000000.0,2025,1.8,17.15,2.43,0.81,0.02
226,1000000.0,2025,5,17.15,2.43,0.81,0.005
227,1000000.0,2025,10,17.15,2.43,0.81,0.0025
228,1000000.0,2050,1.8,17.15,2.43,0.81,0.02
229,1000000.0,2050,5,17.15,2.43,0.81,0.005
230,1000000.0,2050,10,17.15,2.43,0.81,0.0025
231,1000000.0,2075,1.8,17.15,2.43,0.81,0.02
232,1000000.0,2075,5,17.15,2.43,0.81,0.005
233,1000000.0,2075,10,17.15,2.43,0.81,0.0025
234,1000000.0,2100,1.8,17.15,2.43,0.81,0.02
235,1000000.0,2100,5,17.15,2.43,0.81,0.005
236,1000000.0,2100,10,17.15,2.43,0.81,0.0025
