,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
20,20,0.02,540,2,100000.0,1.19462031821519,,0.54,2461.0,1.8865026259432264e-05,540.0,0.0399873956407645,0.009466364047403,0.0061988535792906,-1.185549313950305e-05,3.127729195255723e-05,247544118.69974416,128659479.08932804,76988172.16474307,48332197.27666546,30957508.091728345,13.50425531212902,0.0002547581310773,3342898979.937317,1737450453.947811,1039667932.9268352,652690331.8202773,418058093.0979996,5.8104163732576015e-09,3.019926903543914e-09,1.807085292281923e-09,1.1344652092198695e-09,7.266422358820474e-10,3.28758257267243e-09,1.708700103581273e-09,1.0224640942397616e-09,6.418899802602961e-10,4.1114030351566984e-10
21,21,0.02,542,2,100000.0,1.19557065892945,,0.542,2590.0,4.018433690653222e-05,542.0,0.0380969021646251,0.009433110139659,0.0065251603486615,-0.0003071297459199,-2.7064068305102785e-05,526627664.1541807,274057177.70254976,163992278.915558,102952271.15453556,65942496.86361938,14.22687854403222,0.0005716976805417,7492267815.848919,3898978181.294431,2333098234.2907,1464689457.5478492,938155893.7689388,1.2406915897708315e-08,6.4565623615309364e-09,3.863523606658028e-09,2.425471080680683e-09,1.5535511488669014e-09,7.0244108015274775e-09,3.655505265531052e-09,2.187407183083904e-09,1.3732264648519875e-09,8.795724546534393e-10
22,22,0.02,544,2,100000.0,1.19668353378915,,0.544,2604.0,6.084189290887269e-05,544.0,0.0372198584483385,0.00879321495193,0.0058484208951139,-9.6929502645797e-05,6.103773108112976e-05,796289588.323563,414941709.6385117,248295764.96110943,155876929.63253182,99841546.26346008,14.61585354374941,0.0008892561960805,11638452001.349705,6064727257.26948,3629054536.2048016,2278274374.358417,1459269417.7682135,1.8743094251885653e-08,9.766913553606561e-09,5.84439504578715e-09,3.669037027029326e-09,2.350074067663982e-09,1.0667622496044138e-08,5.5588338478791845e-09,3.326334447682544e-09,2.088230545200362e-09,1.3375434522536275e-09
23,23,0.02,546,2,100000.0,1.19757869607337,,0.546,2676.0,0.0002136895994064,546.0,0.0405027752570958,0.0097126244223758,0.0061564885568664,-0.0001977914963778,3.771401741780672e-05,2793032965.2781835,1457363067.9517243,872067255.177564,547472753.6792254,350664632.6259208,13.480557728061942,0.0028806549806845,37651642124.81258,19646066968.26868,11755952976.173676,7380238060.513835,4727154823.303359,6.598910194576949e-08,3.443213211537847e-08,2.06037435722668e-08,1.2934768692023408e-08,8.284916246530216e-09,3.7581256435403846e-08,1.9609340762193842e-08,1.1733976488345024e-08,7.366441500401851e-09,4.718317916533738e-09
24,24,0.02,548,2,100000.0,1.19860065465315,,0.548,2425.0,0.0003332888567304,548.0,0.0440732786427133,0.0084104189865039,0.0063005210171978,-0.0002283178067432,4.40552416311457e-05,4350496462.618706,2273030002.901576,1360151824.316911,853886050.9433781,546927013.8946462,12.433837846338683,0.0041440596005778,54093367567.27104,28262486475.94095,16911907229.958214,10617080696.680456,6800401804.548255,1.031780244578705e-07,5.3908041817297087e-08,3.225787663583423e-08,2.025108550379988e-08,1.2971128536977206e-08,5.879508511095469e-08,3.071902106545046e-08,1.83818658311002e-08,1.1539902048340775e-08,7.391482927918507e-09
25,25,0.02,550,2,100000.0,1.19963845879841,,0.55,2377.0,0.0005908066625794,550.0,0.0382624070221027,0.0089010930770826,0.0064176400613215,-2.1186510394449632e-05,-4.280706988808686e-05,7701772930.415754,4029301438.792031,2411081989.986844,1513646669.5286193,969513733.2929212,14.37442238493481,0.008492504515751,110708537214.6532,57918880797.42221,34657910928.78006,21757796569.35421,13936199910.347485,1.8333159090938769e-07,9.591275277799594e-08,5.739295367844595e-08,3.603056783243777e-08,2.3078127171362373e-08,1.0454621005985936e-07,5.4694964188162e-08,3.272876082872274e-08,2.054670062317757e-08,1.316047452093458e-08
26,26,0.02,552,2,100000.0,1.20065872263705,,0.552,2468.0,0.0013421002137759,552.0,0.038299102417568,0.0090091058574483,0.0063594236504803,-0.000237665975275,9.894059613509956e-05,17472677756.65561,9153123457.951723,5477110972.4195,3438460747.6938887,2202386450.806273,14.41287041094712,0.0193435164596566,251831440238.9155,131922782254.8584,78940890671.85883,49558089169.64035,31742710510.296574,4.174752001439695e-07,2.186958462102527e-07,1.3086477249032865e-07,8.2155243107136e-08,5.26216838168658e-08,2.381734765388816e-07,1.2476801012023157e-07,7.465956734613857e-08,4.687032872845063e-08,3.0021159033328446e-08
27,27,0.02,554,2,100000.0,1.20181115118366,,0.554,2510.0,0.002106015691357,554.0,0.040958748216326,0.0090934232905874,0.0058610739608009,-0.0002625541195142,4.5636764943116256e-05,27382052726.821217,14363027015.054976,8594650036.428059,5395612201.256723,3455971749.5168943,13.525803988784428,0.0284855554385995,370364277993.544,194271488091.2491,116249551744.92488,72979993033.69211,46744796474.74191,6.567321438332109e-07,3.444833598721368e-07,2.061343976009077e-07,1.2940855835665905e-07,8.288815154694672e-08,3.7482099090451314e-07,1.9660921961843645e-07,1.1764842012651601e-07,7.385818484786426e-08,4.730729169997862e-08
28,28,0.02,556,2,100000.0,1.20295231364558,,0.556,2461.0,0.003758402694714,556.0,0.0356997806668459,0.0109253302492264,0.0065400166963311,-6.698422003617638e-05,-1.81599977798861e-05,48802349376.93738,25632306377.94989,15338041397.128082,9629027703.857424,6167538822.025774,15.574325377196269,0.058534586466008,760063668368.0343,399205879698.1748,238879647367.7788,149965610525.9126,96055256390.7192,1.1750506535817816e-06,6.171682049481825e-07,3.6930549038028345e-07,2.3184529927818825e-07,1.485004434486756e-07,6.708575287752048e-07,3.523524160836109e-07,2.1084313930164458e-07,1.3236464662847668e-07,8.478157108404772e-08
29,29,0.02,558,2,100000.0,1.20410472404016,,0.558,2350.0,0.0062368698824526,558.0,0.0426951558674773,0.0085496250508953,0.0065106806665312,-9.812155439101015e-05,-7.297172800875016e-05,80883599796.26259,42535452598.32704,25452665990.28924,15978860638.843674,10234703477.10479,13.069398358258535,0.0815121370023986,1057099986387.3148,555912774356.359,332651031106.78906,208834095000.14545,133761416820.93623,1.9542110382728474e-06,1.0276898060294177e-06,6.149563194143774e-07,3.860617717078252e-07,2.4727844159740094e-07,1.1165790220078668e-06,5.871918928254298e-07,3.513680519971524e-07,2.2058440314057935e-07,1.4128766805374345e-07
30,30,0.02,560,2,100000.0,1.20514112000624,,0.56,2298.0,0.0086882535851895,560.0,0.045866991462617,0.0074794457447757,0.0058736348374169,-0.0001436913188186,2.532679576578912e-05,112577235949.43326,59253889450.99297,35456762881.1587,22259305685.25572,14257424133.29611,12.20921586837489,0.1060767635407617,1374479775571.6047,723443527347.9949,432899272009.8486,271768668191.43152,174071968970.38998,2.7304100639722425e-06,1.4371237197470417e-06,8.59956290364762e-07,5.3986964369383e-07,3.457947249420668e-07,1.5607265632178165e-06,8.214726401852312e-07,4.915586282398723e-07,3.0859426747134345e-07,1.976593258862118e-07
31,31,0.02,562,2,100000.0,1.20653239223348,,0.562,2260.0,0.0197507570566504,562.0,0.0351000910769698,0.0076037521305182,0.0060314103401449,-5.584658641906109e-05,-2.3198756208810025e-05,255660329789.2056,134700163126.35622,80602839548.19058,50601439579.13851,32410992329.963425,16.011354465366146,0.3162363721933625,4093468162987.3774,2156732058358.732,1290560634921.1123,810197585559.3948,518943886769.3079,6.223534811020136e-06,3.279003648935931e-06,1.962113473798759e-06,1.2317899338084832e-06,7.889802035049653e-07,3.558641223132135e-06,1.874946940963828e-06,1.121944056609e-06,7.043422379397839e-07,4.511419252377773e-07
32,32,0.02,564,2,100000.0,1.20811897847302,,0.5640000000000001,2235.0,0.0339494886541265,564.0,0.039736574470794,0.0079896199932936,0.0059559563125544,-0.000195029010325,4.318820570927348e-05,438886479127.679,231535512621.14304,138547863197.49042,86978589931.87221,55711110881.42166,14.193473078927177,0.4818611532556887,6229323426203.846,3286293065203.797,1966475366436.465,1234528274641.0745,790734152492.5851,1.0721826330516482e-05,5.656322702410727e-06,3.384670520313516e-06,2.1248531911402173e-06,1.3610008144656898e-06,6.133730900892107e-06,3.235863021437596e-06,1.9362986789570126e-06,1.2155837332731849e-06,7.785998853635036e-07
33,33,0.02,566,2,100000.0,1.2098506842126,,0.5660000000000001,2088.0,0.0451855364374571,566.0,0.0378487628610173,0.0078950755899695,0.0059993912340821,-0.0003264247265167,-2.182422435594445e-06,583390460944.0092,308165358503.4577,184402174201.26257,115765344352.7652,74149465293.86717,14.954253645710478,0.675715973003227,8724168927444.666,4608382935882.009,2757596885826.17,1731184322834.2678,1108849911698.2957,1.430412864673872e-05,7.555894769635045e-06,4.5213499347332285e-06,2.8384460996781505e-06,1.818067935039752e-06,8.186355322031973e-06,4.324292719096743e-06,2.587600965782083e-06,1.624463041983263e-06,1.040493306750404e-06
34,34,0.02,568,2,100000.0,1.21147483348648,,0.5680000000000001,2081.0,0.1379998247220034,568.0,0.050607898968451,0.0105185074149694,0.0062078969986071,-0.0001479105932222,-4.097140582382645e-05,1779428447073.2668,941158804604.0634,563177284690.496,353555550937.7728,226457712368.8076,11.223544378992909,1.548847157060648,19971494144969.24,10563137611153.62,6320845247964.504,3968146416389.38,2541658184736.5234,4.378552682721082e-05,2.315863509737412e-05,1.385782842117064e-05,8.699768785846404e-06,5.57233433941216e-06,2.5071348743074872e-05,1.32605054458098e-05,7.93491535547651e-06,4.981439142546144e-06,3.190687600670657e-06
35,35,0.02,570,2,100000.0,1.21322571296527,,0.57,1863.0,0.2092028759978356,570.0,0.0424830375950477,0.0091588972674654,0.0058557628498261,-6.941483465448047e-05,2.213107496267761e-05,2693262227136.084,1426763614305.2393,853756936947.1675,535977768306.455,343301919512.4484,13.417119685115086,2.806900025733252,36135821644884.445,19143058175500.773,11454959005017.398,7191277865928.59,4606122942228.266,6.651005895836498e-05,3.5233900045447216e-05,2.108351115622729e-05,1.32359606915595e-05,8.477834307123005e-06,3.8102100676180434e-05,2.01847002960334e-05,1.2078264209400631e-05,7.582580961647738e-06,4.8567585316408815e-06
36,36,0.02,572,2,100000.0,1.22040172983306,,0.5720000000000001,611.0,0.0842837466562845,572.0,0.0487460668638277,0.0078587253407144,0.0059257372025622,-0.0003236845603997,7.536522328149931e-07,1083214342361.0132,574815152195.8606,343961970104.2972,215934958933.40097,138309628262.96292,11.73428005171952,0.9890090870730214,12710740449303.318,6745041973838.007,4036146084345.001,2533841281081.0806,1622963911886.8284,2.684878041430561e-05,1.424749026723908e-05,8.52551433733177e-06,5.35220968690125e-06,3.428171778378201e-06,1.5377367154211333e-05,8.16010580311695e-06,4.8829020208974005e-06,3.06542391020317e-06,1.963450677846761e-06
37,37,0.02,574,2,100000.0,1.22372713714585,,0.5740000000000001,93.0,0.0082791508985434,574.0,0.0509554820067774,0.0088351978149403,0.0042195316415636,0.0002068173961391,0.0003388345089156,106264186245.51956,56463809128.0664,33787214816.95586,21211184602.068344,13586086624.509815,11.26473496852908,0.0932624406365514,1197037894702.1912,636049845141.2811,380604020237.76654,238938372910.84488,153043665084.58096,2.64290059844474e-06,1.4043135341031062e-06,8.403230986326651e-07,5.275441751278824e-07,3.3790007470134855e-07,1.5137598604979735e-06,8.043410564628475e-07,4.81307309593091e-07,3.021586197445477e-07,1.9353719555066466e-07
38,38,0.02,576,2,100000.0,1.22027554950736,,0.5760000000000001,1047.0,0.0419871259007439,576.0,0.0423044676973631,0.0092620311743718,0.0062463542815924,-0.0002293500256332,-3.61192814001639e-05,538225944486.907,286352198643.0734,171349460800.93585,107571016557.70589,68900873603.12074,13.615583207914986,0.571679206362781,7328260131820.114,3898852187394.167,2333022841166.5093,1464642126701.445,938125577641.3236,1.3435363305160749e-05,7.14801257986336e-06,4.2772784953698494e-06,2.6852211480366462e-06,1.7199250210492336e-06,7.693826544836564e-06,4.093344383821292e-06,2.449404461931773e-06,1.537705030989758e-06,9.849234800367654e-07
39,39,0.02,578,2,100000.0,1.21702969464689,,0.5780000000000001,1235.0,0.0151383099328234,578.0,0.0437659024377126,0.0097039007993929,0.0065181642214333,-0.0004106338946855,-6.710105030346485e-05,193810043337.4783,103243273741.85594,61779442835.85251,38784350047.89368,24841966599.763283,13.206628169557488,0.199926030398318,2559577177883.8984,1363495527316.5295,815898130055.5363,512210489880.491,328078615883.64,4.8560013203267695e-06,2.586808531549208e-06,1.5479128471044452e-06,9.71760037804849e-07,6.224270968141128e-07,2.7801420831090057e-06,1.4809912076015294e-06,8.862060290647861e-07,5.563488964626273e-07,3.563499371956172e-07
