,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
20,20,2,25,3000,1000000.0,250,17.15,2.43,0.81,,0.00125,5422.5,0.54225,250.0,0.0002972907853688,0.0142247894569665,0.0027753436529911,-0.0011531855792546,-2.7037452453078573e-06,12851325000000.0,8459100000000.0,6832350000000.0,4.234381621136498,2.2945851466036755,54381667974507.12,35795528287017.34,28911772847206.32,0.000135519059068,8.920241862710902e-05,7.204810735266498e-05,7.590859421145895e-05,4.996515062020083e-05,4.035646780862375e-05
21,21,2,25,3000,1000000.0,255,17.15,2.43,0.81,,0.001275,5656.0,0.5656,255.0,0.000283032112648,0.0130960943470213,0.0028673324613192,-0.0011604654901546,-1.842599758745144e-05,13379711127596.094,8823360000000.0,7126560000000.0,4.5057131202435245,2.548270037752891,60281324222493.05,39753012588945.09,32108202475686.43,0.0001441095744949,9.503423826493947e-05,7.67584232139896e-05,8.034246039142931e-05,5.298249301191652e-05,4.279355204808642e-05
22,22,2,25,3000,1000000.0,260,17.15,2.43,0.81,,0.0013,5910.5,0.5910500000000001,260.0,0.0002981835191633,0.0147631785478036,0.0030014478612995,-0.0011668134013364,-1.6203026697384687e-05,13948780000000.0,9220380000000.0,7447230000000.0,4.359740319703886,2.57682734917373,60813125440500.03,40198506647110.19,32468024599589.0,0.000153277705046,0.0001013191609626,8.183470693141033e-05,8.51745467646107e-05,5.630181904779351e-05,4.547454615398706e-05
23,23,2,25,3000,1000000.0,265,17.15,2.43,0.81,,0.001325,6084.5,0.6084499999999999,265.0,0.0002980221304937,0.0129224318215943,0.002833831250323,-0.0011915010060758,1.6831254370109088e-05,14359420000000.0,9491820000000.0,7666470000000.0,4.446207344010928,2.705328347697077,63845749005651.016,42203122224074.4,34087137180983.168,0.0001610683597465,0.0001064689157646,8.599412427146351e-05,8.907552495269997e-05,5.888043174839491e-05,4.7557271796780495e-05
24,24,2,25,3000,1000000.0,270,17.15,2.43,0.81,,0.00135,6179.5,0.61795,270.0,0.000310311052658,0.0150675123568625,0.0028570579274363,-0.0011835442200553,3.4286920116780734e-06,14577665976025.836,9640020000000.0,7786170000000.0,4.350711430906912,2.688324243192432,63418549805828.51,41937858193801.94,33872885464224.645,0.0001668034171247,0.0001103049198544,8.909243526707968e-05,9.188975231195724e-05,6.076549233183941e-05,4.907982072956261e-05
25,25,2,25,3000,1000000.0,275,17.15,2.43,0.81,,0.001375,6325.5,0.63255,275.0,0.0003095888779682,0.0134161131776762,0.0027472911361562,-0.0011533156687738,7.201813946284476e-06,14866121878570.648,9867780000000.0,7970130000000.0,4.442555124438313,2.810409882591204,66049949953901.28,43842394168422.78,35411164520649.16,0.0001734899185723,0.0001151585035204,9.301263745887396e-05,9.521478153856916e-05,6.320131939218293e-05,5.104721950907082e-05
26,26,2,25,3000,1000000.0,280,17.15,2.43,0.81,,0.0014,6358.0,0.6358,280.0,0.0003153287120482,0.0143964587966508,0.0029599334492877,-0.0011558237732762,-3.121331290251461e-06,14941300000000.0,9918480000000.0,8011080000000.0,4.440065268183611,2.822980067162556,66340031578320.055,44038489047735.88,35569548846248.2,0.0001776850345787,0.000117952618699,9.52694227954482e-05,9.726015805027929e-05,6.456419002486623e-05,5.214799963546888e-05
27,27,2,25,3000,1000000.0,285,17.15,2.43,0.81,,0.001425,6537.5,0.65375,285.0,0.0003445786412896,0.012920931900965,0.0026590655422734,-0.0011152259528941,-1.2956272489544272e-07,15363125000000.0,10198500000000.0,8237250000000.0,4.1609016011911,2.720303240998492,63927126163464.56,42436730559576.48,34275820836581.0,0.000186083248167,0.0001235276030385,9.977229476190948e-05,0.0001017341279695,6.75341445244599e-05,5.454680903898684e-05
28,28,2,25,3000,1000000.0,290,17.15,2.43,0.81,,0.00145,6706.5,0.67065,290.0,0.0003549108956235,0.0138904904272546,0.0028828469261566,-0.0010778874527366,3.4144709175390606e-06,15717670752933.434,10462140000000.0,8450190000000.0,4.100513367087934,2.7524753892675653,64508315699783.59,42938616072574.016,34681189904771.32,0.0001939585785918,0.0001291044859843,0.0001042767002181,0.0001059120823226,7.049817052215925e-05,5.694083003712864e-05
29,29,2,25,3000,1000000.0,295,17.15,2.43,0.81,,0.001475,6964.5,0.69645,295.0,0.0003331849781317,0.0126829896783035,0.0027676331198094,-0.0009412484306756,-9.860232068892303e-06,16296930000000.0,10864620000000.0,8775270000000.0,4.427987835647309,3.083768085491011,72160173200489.64,48106782133659.76,38855477877186.734,0.0002047204379782,0.0001364802919854,0.0001102340819882,0.0001116449842776,7.442998951846599e-05,6.011652999568407e-05
30,30,2,25,3000,1000000.0,300,17.15,2.43,0.81,,0.0015,6869.0,0.6869000000000001,300.0,0.0003621827981418,0.0133299881036687,0.0027429947793472,-0.0010356728409248,1.0020077245938005e-05,16045659223367.969,10715640000000.0,8654940000000.0,4.1643481800172335,2.8616923097972418,66847779305778.57,44642400032836.98,36057323103445.25,0.0002050883117581,0.0001369624324195,0.000110623503108,0.0001117860597005,7.465316046510007e-05,6.0296783452580826e-05
31,31,2,25,3000,1000000.0,305,17.15,2.43,0.81,,0.0015249999999999,7068.5,0.70685,305.0,0.0003498016374691,0.0133984330201846,0.0027712466170329,-0.0010611768994216,8.68034750529523e-06,16469605000000.0,11026860000000.0,8906310000000.0,4.359797039462892,3.081760708218076,71805024501481.19,48075467048201.99,38830184923547.766,0.0002142568869932,0.0001434509629654,0.0001158642393182,0.0001165894812103,7.805991016660591e-05,6.304838898072015e-05
32,32,2,25,3000,1000000.0,310,17.15,2.43,0.81,,0.00155,7324.0,0.7323999999999999,310.0,0.0003907595425402,0.012080942968858,0.0030356709270116,-0.0010048444219913,8.004122383863682e-06,17064920000000.0,11425440000000.0,9228240000000.0,3.9667313001244704,2.905310711302829,67693739573355.92,45322847096324.13,36606914962415.64,0.0002258442629842,0.0001512090344444,0.0001221303739743,0.0001227833419674,8.220687273355206e-05,6.63978587463305e-05
33,33,2,25,3000,1000000.0,315,17.15,2.43,0.81,,0.001575,7342.0,0.7342,315.0,0.0003822788688978,0.0121764821138273,0.0028839096287136,-0.0010350676245197,-2.019395973265456e-06,17102534573815.363,11453520000000.0,9250920000000.0,4.135196308342105,3.034458315060176,70685001697246.2,47337549714938.734,38234174769758.22,0.0002302257967472,0.0001541815779515,0.0001245312744992,0.0001249856366293,8.370253442076646e-05,6.760589318600369e-05
34,34,2,25,3000,1000000.0,320,17.15,2.43,0.81,,0.0016,7531.5,0.75315,320.0,0.0003903070594617,0.0126987891155052,0.0028167864427356,-0.0009716265557448,2.2158879557252024e-05,17477324697038.41,11749140000000.0,9489690000000.0,4.10812105173737,3.0922551718166207,71757747704886.66,48239180680339.29,38962415164889.42,0.0002391488647091,0.0001607679402319,0.0001298510286488,0.0001297615578004,8.723227013542409e-05,7.045683357091945e-05
35,35,2,25,3000,1000000.0,325,17.15,2.43,0.81,,0.001625,7686.0,0.7686,325.0,0.0004205444984108,0.0132121802494259,0.0029385365005098,-0.0009976862044125,-1.034251502354598e-06,17831520000000.0,11990160000000.0,9684360000000.0,3.8640860370462846,2.969948766341556,68902811379124.11,46331200754928.28,37421354455903.61,0.0002479100175938,0.0001666981152786,0.0001346407854173,0.0001344065848335,9.037684152605932e-05,7.299667969412483e-05
