,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
154,154,0.02,2040,100000.0,17.15,2.43,0.81,1.4733735941006716,,0.00051,1.53125,0.0003654717198179,5.1,0.0003428753801503,3.815681467145001e-07,2.5462231691973386e-07,-1.4099742550388726e-09,-1.075797030151182e-10,1991820873.007904,2324088268.916068,2714802854.228736,0.0037925541984749,0.0005548220072735,3023779939.6407137,3528194518.2601914,4121337677.468765,1.7333946950379846e-07,2.022552494921635e-07,2.3625743305358958e-07,1.0620325852623884e-07,1.2391965091155694e-07,1.4475242893705806e-07
155,155,0.02,2050,100000.0,17.15,2.43,0.81,1.4753842075718304,,0.0005125,1.6311250000000002,0.0003926745134294,5.125,0.000330724202104,3.710783041542501e-07,2.659987856105692e-07,3.9937950956511156e-10,1.651018491015824e-09,2140076098.1907,2471597901.6982684,2900195355.973264,0.0039562697018371,0.0006213388803645,3386296897.9867105,3910872288.451448,4589052952.738783,1.872106545962434e-07,2.162116858680055e-07,2.5370474980192285e-07,1.1440586433180265e-07,1.321286165774761e-07,1.5504091499910532e-07
156,156,0.02,2060,100000.0,17.15,2.43,0.81,1.4774315412966934,,0.000515,1.719625,0.0004173018202474,5.15,0.0003378175234869,4.1551239701126253e-07,2.84030391323768e-07,4.420670902530756e-09,2.808780555660523e-10,2274294920.348571,2599533740.6637955,3064364931.541192,0.0039251686821642,0.0006536500709328,3562392886.5841165,4071838011.561305,4799936778.800456,1.9998246374794723e-07,2.2858124397260945e-07,2.694546091402375e-07,1.218899017262051e-07,1.393209426572088e-07,1.6423337932863085e-07
157,157,0.02,2070,100000.0,17.15,2.43,0.81,1.479516052301691,,0.0005174999999999,1.6765,0.0004097909372121,5.175,0.0003337667205724,3.885430567368044e-07,2.627774094861848e-07,1.4426384933883675e-09,-7.68366145463069e-11,2233360607.8064146,2526158425.743127,2991807860.189367,0.003966931175879,0.0006509401399125,3547623762.523556,4012723976.477613,4752393599.409515,1.9735117251752357e-07,2.2322428610178138e-07,2.643714530879903e-07,1.1999315552032057e-07,1.3572448613521777e-07,1.607427231409903e-07
158,158,0.02,2080,100000.0,17.15,2.43,0.81,1.4816382102571664,,0.00052,1.6880000000000002,0.0004151961754062,5.2,0.0003364830857202,3.8716732079184993e-07,2.65943808548666e-07,-2.51442640548948e-10,1.4577420321053454e-09,2262819155.964165,2532541453.3878684,3013638421.828033,0.0039561834885641,0.0006566749985477,3578878742.0853224,4005472000.3100624,4766375808.594539,2.0098057064610018e-07,2.2493694431799235e-07,2.676673335309715e-07,1.2187513968363606e-07,1.364023468568927e-07,1.623141657821817e-07
159,159,0.02,2090,100000.0,17.15,2.43,0.81,1.4797097862360562,,0.0005225,1.7276249999999995,0.0004266943897926,5.225,0.0003435675788468,3.684534841624626e-07,2.670005717003027e-07,2.9617420099976587e-10,2.843409057482867e-10,2325484424.3700213,2574992286.055932,3078976089.6208944,0.0038340638728957,0.0006558206196361,3574222377.0168166,3957710898.003572,4732323778.433388,2.0760172367007962e-07,2.298759051749686e-07,2.7486778094295e-07,1.2555052149949098e-07,1.390211953189362e-07,1.6623076451741385e-07
160,160,0.02,2100,100000.0,17.15,2.43,0.81,1.4818717690716283,,0.000525,1.715875,0.000428666685571,5.25,0.0003509016847035,4.021468793588e-07,2.692280417224728e-07,7.294279596857433e-10,3.47468886585959e-10,2336233436.3622293,2559867264.0277658,3075003808.549896,0.0037886245619764,0.000649297727634,3538672615.605828,3877408843.572581,4657681720.000859,2.0961423852800133e-07,2.2967937147473565e-07,2.758990483430876e-07,1.2642845202109612e-07,1.3853070097072666e-07,1.6640801617808057e-07
161,161,0.02,2110,100000.0,17.15,2.43,0.81,1.4840722349920876,,0.0005275,1.691375,0.0004274689078848,5.275,0.0003588446963482,3.654576826595815e-07,2.736596776884805e-07,9.456872200506124e-10,8.580265440370254e-10,2329705547.9722657,2527501550.549794,3048258385.2302856,0.0037554270385049,0.0006424258592109,3501220932.6996107,3798480603.661681,4581105142.636867,2.1003966135176445e-07,2.278723893693789e-07,2.74822352336925e-07,1.2636650636372478e-07,1.370952398039604e-07,1.6534182312041518e-07
162,162,0.02,2120,100000.0,17.15,2.43,0.81,1.4863116938282506,,0.00053,1.689125,0.0004318367921399,5.3,0.0003703610231471,3.928854025464743e-07,2.74314886565057e-07,-5.541630933301204e-10,3.063587395532021e-11,2353510517.1627946,2526291113.489395,3061066787.440403,0.0037053799538824,0.000640185048424,3489008513.911289,3745150548.215391,4537939391.02754,2.1325542201611587e-07,2.2891135332261546e-07,2.77368248331375e-07,1.2794642513592624e-07,1.373394826436921e-07,1.664120681421296e-07
163,163,0.02,2130,100000.0,17.15,2.43,0.81,1.488590669123882,,0.0005325,1.707125,0.0004413218949164,5.325,0.0003507905761639,3.8511310740713764e-07,2.5236015388456465e-07,1.7928350155133566e-09,-2.4159656243082993e-09,2405204327.294427,2553147367.099788,3109560201.943303,0.0038360789219143,0.0006773957732106,3691806963.998128,3918888355.142502,4772940027.685402,2.190249554956869e-07,2.324970823090031e-07,2.831656658491e-07,1.310488096163907e-07,1.391095631405339e-07,1.6942600604480364e-07
164,164,0.02,2140,100000.0,17.15,2.43,0.81,1.490909698441799,,0.000535,1.73875,0.0004542001383496,5.35,0.0003596979563311,3.67056036078675e-07,2.559343030231561e-07,-3.862195661964333e-10,9.263356970406274e-10,2475390754.005516,2598182027.065714,3181012005.68507,0.0038256177093146,0.0006959872415618,3793130466.5120926,3981287959.672627,4874379341.354645,2.264916044493244e-07,2.377266760850888e-07,2.9105405349601253e-07,1.3516680248588566e-07,1.4187172522418934e-07,1.7369670658336264e-07
165,165,0.02,2150,100000.0,17.15,2.43,0.81,1.4932693336813323,,0.0005374999999999,1.7298750000000005,0.0004560848457306,5.375,0.0003554627727914,3.9351109307885e-07,2.7568229046144585e-07,-3.307452603355877e-09,1.0567000046375119e-10,2485662409.2322493,2579974683.50216,3174842980.958086,0.0038131786452041,0.0006961212087988,3793860587.953575,3937809186.5178494,4845755245.628171,2.285541332902127e-07,2.3722605109542237e-07,2.9192358670671254e-07,1.3913509631808656e-07,1.4441423129465606e-07,1.7771201845822787e-07
166,166,0.02,2160,100000.0,17.15,2.43,0.81,1.4956701414070592,,0.00054,1.810625,0.0004810032097654,5.4,0.0003533628110056,3.7504097326312505e-07,2.721716915479176e-07,7.819094392140426e-10,1.2151826546117527e-09,2621467493.2218485,2692562047.138626,3327874824.7047358,0.0039154243490118,0.0007522305554897,4099656527.418935,4210839768.402265,5204391732.039425,2.422349720434024e-07,2.4880441733495535e-07,3.075100748761501e-07,1.4697867160929198e-07,1.5096475311530398e-07,1.8658504150129998e-07
167,167,0.02,2170,100000.0,17.15,2.43,0.81,1.4981127031897543,,0.0005425,1.785125,0.0004767048559779,5.425,0.0003687048319378,3.914439875686e-07,2.629570316241169e-07,-1.6941796094534571e-09,1.266793241704402e-09,2598041465.079708,2638897497.871632,3277891900.324161,0.0037407913185932,0.000712996385821,3885830302.7246194,3946937722.4505386,4902666815.190508,2.4124497078672186e-07,2.450387179496092e-07,3.0437348532127495e-07,1.459409878148359e-07,1.4823601268799197e-07,1.841305415303989e-07
168,168,0.02,2180,100000.0,17.15,2.43,0.81,1.5005976159594452,,0.000545,1.793,0.0004797521653061,5.45,0.0003403437995912,3.80708127991625e-07,2.63166528996243e-07,2.4326526008933917e-09,-1.4009659213584123e-09,2614649300.9184484,2624640133.005112,3278472068.389179,0.0041088128386881,0.0007878087088911,4293557463.456773,4309963568.725561,5383631454.138929,2.439242151415072e-07,2.448562735535103e-07,3.058531505024624e-07,1.4720881124445848e-07,1.4777131058779448e-07,1.845830627136885e-07
169,169,0.02,2190,100000.0,17.15,2.43,0.81,1.503125492371472,,0.0005475,1.7786250000000003,0.0004747622537935,5.475,0.0003675462729813,3.973198076927126e-07,2.74067347671932e-07,1.1601413205334814e-09,6.951939003498918e-10,2587454283.174634,2568871936.023118,3224210949.2489004,0.0038197133587585,0.0007249049216588,3950731823.040836,3922358811.49985,4922982749.579509,2.425489079370162e-07,2.408069919395831e-07,3.0223870998761253e-07,1.46004033629464e-07,1.449554749530588e-07,1.8193473288542376e-07
170,170,0.02,2200,100000.0,17.15,2.43,0.81,1.5012226792986705,,0.00055,1.80725,0.0004896055383741,5.5,0.000376484337171,4.22782996918375e-07,2.511090318911168e-07,-8.045339819850635e-10,4.389531813125097e-10,2668350184.139227,2619911648.840949,3304222732.1625304,0.0037011144758751,0.0007264471868045,3959137168.084616,3887266989.047807,4902606527.54421,2.513401126823227e-07,2.4677753802764224e-07,3.112349041612125e-07,1.5090088584043402e-07,1.481615835071906e-07,1.868608326827499e-07
171,171,0.02,2210,100000.0,17.15,2.43,0.81,1.5037943662729942,,0.0005525,1.8115,0.0004981073436879,5.525,0.0003797980340675,4.069184831334875e-07,2.672775207239212e-07,1.164780084877953e-10,-5.577153777572626e-10,2714685023.099059,2633087638.854516,3340446004.2264075,0.0036622156769873,0.0007297564006294,3977172383.4303055,3857627441.598685,4893948831.375931,2.5693411244383933e-07,2.492112454002928e-07,3.1615989404275005e-07,1.5384835666918253e-07,1.4922401779829734e-07,1.8931188109097138e-07
172,172,0.02,2220,100000.0,17.15,2.43,0.81,1.5064101542953967,,0.000555,1.814,0.0005048422338655,5.55,0.0003732868714988,4.027195278144125e-07,2.667845941310572e-07,1.03794025891289e-09,1.1289655192810655e-09,2751390174.567187,2637251993.8259497,3364172793.010104,0.0038224158582931,0.000774323935897,4220065450.639188,4045001005.9096513,5159947689.351463,2.615962121484257e-07,2.5074420140148814e-07,3.198582548556875e-07,1.5610547253745704e-07,1.4962962087385964e-07,1.9087288615221987e-07
173,173,0.02,2230,100000.0,17.15,2.43,0.81,1.5090707056363442,,0.0005574999999999,1.8275,0.0005123882656968,5.575,0.0003760518694639,3.816037436120625e-07,2.588513754692592e-07,3.791403581489812e-10,1.2409826982606295e-10,2792516048.047616,2646450150.848588,3393922153.8017693,0.0037398465078248,0.0007665063267316,4177459480.687566,3958952458.145719,5077131889.010013,2.6677218654741255e-07,2.528183477492876e-07,3.24225185590025e-07,1.584622046717065e-07,1.5017364922591385e-07,1.9258918399111201e-07
174,174,0.02,2240,100000.0,17.15,2.43,0.81,1.5117766998463873,,0.00056,1.81275,0.0005090813412431,5.6,0.0003844176564218,3.8445176794628746e-07,2.769730977144172e-07,-1.9405744018890553e-09,1.3447461526741453e-10,2774493309.775172,2599343517.529493,3352200480.775674,0.0036764128646802,0.0007480018579843,4076610126.01472,3819259562.5361695,4925445080.806087,2.663087225204125e-07,2.494970339651725e-07,3.21759733397975e-07,1.571087453226936e-07,1.4719069505877749e-07,1.8982205138114883e-07
175,175,0.02,2250,100000.0,17.15,2.43,0.81,1.5145288341928238,,0.0005625,1.824875,0.0005096984797074,5.625,0.0003794661294931,3.852826302767875e-07,2.719176821650871e-07,-7.591961868675969e-11,-1.759355683416045e-09,2777856714.4057508,2572431603.752494,3336422697.9468584,0.0037377509150891,0.0007625297810785,4155787306.8778334,3848462935.919627,4991424873.2130165,2.678819605612375e-07,2.480718382086728e-07,3.217471401429875e-07,1.567090924397643e-07,1.4512030800467636e-07,1.8821984959815744e-07
176,176,0.02,2260,100000.0,17.15,2.43,0.81,1.5126402032299888,,0.000565,1.8565,0.0005250349578877,5.65,0.0003760428734231,3.800882809458874e-07,2.605607311048747e-07,-2.512847785009726e-09,-8.04166867611942e-10,2861440520.488301,2618866742.632571,3414797212.1902914,0.0038466212462681,0.0008099184103887,4414055336.618933,4039861265.135951,5267662825.774134,2.771791167768e-07,2.536817262080312e-07,3.307811112863376e-07,1.6098933394592699e-07,1.4734173559463326e-07,1.9212208844275045e-07
177,177,0.02,2270,100000.0,17.15,2.43,0.81,1.5154386620721718,,0.0005674999999999,1.86425,0.0005350628785362,5.675,0.0003938008536183,3.8239904039915003e-07,2.603361331004844e-07,-1.5781289715177728e-10,1.6350913309197067e-09,2916092688.022481,2637326826.2664213,3457295785.226794,0.0036512708005834,0.000781776890276,4260684052.004216,3853381065.269351,5051432375.822902,2.837972282088125e-07,2.56667439361386e-07,3.364676867012625e-07,1.639801997403438e-07,1.4830440113514006e-07,1.944135917735162e-07
178,178,0.02,2280,100000.0,17.15,2.43,0.81,1.518284575583688,,0.00057,1.883625,0.0005457528147845,5.7,0.0003768849464124,4.09309241653375e-07,2.717686113083056e-07,6.647775515012143e-10,-2.020342656712581e-09,2974352840.5757,2657827995.819057,3503192133.579854,0.003836169753276,0.0008365217552675,4559043566.207972,4073879016.3446,5369640528.154791,2.9080754501276255e-07,2.59860371636558e-07,3.4251306374166253e-07,1.6735608974352098e-07,1.495463801480401e-07,1.971119663740732e-07
179,179,0.02,2290,100000.0,17.15,2.43,0.81,1.5211786968242846,,0.0005725,1.876375,0.0005448526672773,5.725,0.000386077813431,3.8858613585815e-07,2.7362882364433935e-07,-8.89243930084639e-10,9.018799717937307e-10,2969447036.6615286,2621307798.8562336,3474275898.333144,0.0037442181473323,0.0008160586629518,4447519713.087337,3926090603.92261,5203632311.25787,2.9166663340656245e-07,2.574715128357623e-07,3.412522069872751e-07,1.672419115683978e-07,1.4763439848475584e-07,1.9567432433699854e-07
180,180,0.02,2300,100000.0,17.15,2.43,0.81,1.524121798434274,,0.000575,1.882,0.0005422316260108,5.75,0.0003932969363164,3.949196531770875e-07,2.701110163401702e-07,-7.925609220378957e-10,1.1733211707434535e-09,2955162361.7590766,2576716006.637733,3434535845.631714,0.0037083973340191,0.0008049136164869,4386779209.853917,3824995998.151437,5098383303.090936,2.915419725959499e-07,2.542062923905564e-07,3.3883463336715e-07,1.6665984433297866e-07,1.453169186619294e-07,1.93694673699178e-07
181,181,0.02,2310,100000.0,17.15,2.43,0.81,1.522244268623915,,0.0005774999999999,1.914125,0.0005605192637023,5.775,0.0003784737085474,3.806499829798375e-07,2.505793363000529e-07,1.8588376415189123e-09,-1.7189753567516847e-09,3054829987.177888,2630559399.883896,3526959601.2869086,0.0039455882573983,0.0008847140053628,4821691329.227748,4152029901.067006,5566892625.593226,3.0275285762230004e-07,2.607049750077679e-07,3.495438706867625e-07,1.725210361539441e-07,1.485604224252497e-07,1.991844807865199e-07
182,182,0.02,2320,100000.0,17.15,2.43,0.81,1.5252360119812969,,0.0005799999999999,1.9225,0.000571162704702,5.8,0.0004005648512437,3.6125184505956257e-07,2.818118917059376e-07,1.3731280138037392e-09,1.0402019116721839e-10,3112836740.626155,2646821591.8383365,3571697203.061638,0.0039129536541443,0.0008947836722076,4876571013.531693,4146511535.376021,5595421957.805281,3.099066202652875e-07,2.635112607308456e-07,3.55589676247925e-07,1.7583469319818767e-07,1.4951091282018705e-07,2.0175432707429386e-07
183,183,0.02,2330,100000.0,17.15,2.43,0.81,1.5282782074662329,,0.0005825,1.953625,0.0005840291547444,5.825,0.0004038140555803,3.8953087151230004e-07,2.542011489500221e-07,-3.227001899450958e-10,-4.755146394629766e-10,3182958893.357189,2671998772.271409,3629420931.978125,0.0036495698553672,0.0008528006726799,4647763666.105755,3901658559.1350913,5299688529.392084,3.1832500411437497e-07,2.672243182128514e-07,3.62975291800325e-07,1.795117585587659e-07,1.506947511883803e-07,2.046912184160196e-07
184,184,0.02,2340,100000.0,17.15,2.43,0.81,1.53137168932571,,0.000585,1.9245,0.0005723046339942,5.85,0.0003725325533266,3.666839911556876e-07,2.6884575673030454e-07,-4.289600549517855e-10,1.766398700185854e-09,3119060255.268444,2584602143.4563203,3533527562.1935577,0.0039755328714608,0.0009105243539901,4962357729.246191,4112046377.4121246,5621766293.27301,3.1328502440396253e-07,2.596029186097007e-07,3.549149993765125e-07,1.7551405409197261e-07,1.454393193099049e-07,1.9883673187741586e-07
185,185,0.02,2350,100000.0,17.15,2.43,0.81,1.5295040682729268,,0.0005874999999999,1.980125,0.0005938878874933,5.875,0.000389368061875,3.7600677357180006e-07,2.802992385350118e-07,-1.8141298859469386e-09,1.4878979432890264e-09,3236688986.838881,2647046258.2236013,3641566272.4849257,0.0038262544033891,0.000910091429834,4959998292.595655,4056412270.25448,5580444264.908999,3.26562338557725e-07,2.6707095425937625e-07,3.6741200739125e-07,1.8191515356861573e-07,1.487748215926891e-07,2.0467091227581179e-07
186,186,0.02,2360,100000.0,17.15,2.43,0.81,1.5326481031475945,,0.0005899999999999,1.95575,0.0005963088324046,5.9,0.0004031787746768,3.985143847898125e-07,2.801760814469064e-07,2.780225561149673e-10,3.556693565188153e-10,3249883136.6054177,2625756227.3162355,3631087291.756002,0.0037399897255827,0.0008924729462803,4863977557.2279415,3929870344.125033,5434511443.351367,3.293625697826875e-07,2.6610982066112497e-07,3.67996075935e-07,1.827347740813968e-07,1.4764129995536808e-07,2.041691617939016e-07
187,187,0.02,2370,100000.0,17.15,2.43,0.81,1.5358450245360062,,0.0005925,1.94325,0.0005962315376695,5.925,0.0003901568633923,4.021220336647875e-07,2.6881029897117664e-07,8.60715955756714e-10,-2.024209566583468e-09,3249461880.2991896,2593120813.3730764,3606448745.5726905,0.003834666571962,0.0009141112488212,4981906306.076048,3975638246.71515,5529220040.105336,3.307276391024874e-07,2.6392576866772805e-07,3.670614775938625e-07,1.828128519195259e-07,1.4588748190545473e-07,2.028967271402599e-07
188,188,0.02,2380,100000.0,17.15,2.43,0.81,1.5390957332195696,,0.0005949999999999,1.951,0.000593593422729,5.95,0.0004024599414341,3.9730813548062493e-07,2.675729127828811e-07,-2.5997968469768566e-09,2.033865447437959e-09,3235084153.8732505,2546635889.6889706,3567383896.768934,0.0037784759602674,0.0008971297508597,4889357142.185595,3848868154.13729,5391579663.763034,3.3071526625045e-07,2.603367721649856e-07,3.6468551021308753e-07,1.8217307703289457e-07,1.434053873224898e-07,2.008854393026885e-07
189,189,0.02,2390,100000.0,17.15,2.43,0.81,1.537236340438018,,0.0005974999999999,1.994875,0.0006152797329618,5.975,0.0003744144198598,4.015544368759e-07,2.7809893150805065e-07,6.46814088368975e-10,1.369639060522949e-10,3353274544.642118,2605155147.299213,3673762716.37546,0.0040512523524298,0.0009950263850373,5422893798.453697,4213039971.591829,5941185186.716985,3.443149684003125e-07,2.674979039975875e-07,3.772227644230001e-07,1.890638662533191e-07,1.4688350082313078e-07,2.071335864714799e-07
190,190,0.02,2400,100000.0,17.15,2.43,0.81,1.54053971883028,,0.0006,1.982875,0.0006198765192509,6.0,0.0003971338657948,3.931151635474305e-07,2.7270533202559465e-07,-3.271757230330181e-09,-8.313143864570845e-10,3378327029.917888,2591713507.417617,3675498535.690929,0.0038663972535605,0.0009579764451876,5220971626.272499,4005314632.308833,5680229710.536599,3.4841671733255e-07,2.672909711002068e-07,3.7906488123418754e-07,1.906709539915616e-07,1.4627491138539782e-07,2.0744315336807723e-07
191,191,0.02,2410,100000.0,17.15,2.43,0.81,1.543898622938011,,0.0006025,2.0173750000000004,0.0006305944193924,6.025,0.0004002003150748,4.05677230758925e-07,2.647571663010593e-07,2.913030804724526e-09,6.44291403675091e-10,3436739585.6889143,2600103058.3514595,3712269926.8341866,0.0039001149590158,0.0009842017342144,5363899451.468599,4058117009.077232,5793934084.260198,3.55917811926075e-07,2.692735274922625e-07,3.84452460448225e-07,1.9404658067568078e-07,1.468080706430198e-07,2.096036862516409e-07
192,192,0.02,2420,100000.0,17.15,2.43,0.81,1.5420481701571545,,0.000605,2.0105,0.0006251585500746,6.05,0.0004129264717728,3.7485399255471253e-07,2.713942191601255e-07,1.7263797033401447e-09,-6.247226970537403e-10,3407114097.907048,2541174004.3692465,3653720775.657345,0.0037111185442418,0.0009279758685465,5057468483.578965,3772080144.3903513,5423527695.193975,3.5439308690585e-07,2.64321790786654e-07,3.8004403350407516e-07,1.92600047365874e-07,1.4364949911923881e-07,2.0654042519021065e-07
193,193,0.02,2430,100000.0,17.15,2.43,0.81,1.5454612163854078,,0.0006074999999999,1.992375,0.0006317728947014,6.075,0.0004000560977783,3.9228816956070003e-07,2.654853590975341e-07,1.1576514471712204e-09,-1.4918431956750643e-09,3443162276.122792,2534523922.9416265,3667549124.5304008,0.0038716721109021,0.0009771615964669,5325530700.744774,3920141974.428495,5672589292.297335,3.596896151192249e-07,2.647687971825196e-07,3.831301655984125e-07,1.9499163416710798e-07,1.4353403120068108e-07,2.0769901033698049e-07
194,194,0.02,2440,100000.0,17.15,2.43,0.81,1.5489316250097802,,0.0006099999999999,1.9942500000000003,0.0006361626985616,6.1,0.000410780212156,3.840406720549124e-07,2.522997995910151e-07,2.6001080376493773e-09,-1.5095547547775338e-10,3467086707.1609483,2518364983.502704,3668268171.376281,0.0037634076090139,0.0009579969517328,5221083386.944263,3792404023.375281,5524042409.68988,3.63760691363375e-07,2.642224625107131e-07,3.848682997659752e-07,1.9661039605546842e-07,1.428106011297701e-07,2.080189273958299e-07
