,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
20,20,2.25,0.02,520,100000.0,17.15,2.43,0.81,,0.52,100000.0,100.0,520.0,0.513178838200588,0.0645815643152392,0.045067306765804,-8.305522055755468e-06,-2.44125992177034e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0132919779454077,101.32919779454076,3272933088763666.0,1773260961404463.2,1175418694416672.8,0.072950866096706,0.0395244630554908,0.0261990726539253,0.0410103528921821,0.0222192314431327,0.0147281762708765
21,21,2.25,0.02,521,100000.0,17.15,2.43,0.81,,0.521,100000.0,100.0,521.0,0.5207205815100906,0.0627673892651304,0.0439813780913492,-6.820824798087412e-05,-3.610592863661879e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005365996656002,100.05365996656,3231733216919888.5,1750939049414800.2,1160622455612096.2,0.073091156223815,0.0396004716382899,0.0262494554859521,0.0411016096688291,0.0222686739691799,0.0147609496024278
22,22,2.25,0.02,522,100000.0,17.15,2.43,0.81,,0.522,100000.0,100.0,522.0,0.5216346353081462,0.0540302650979856,0.0501274368702779,1.8280614337754253e-06,-1.7813708005158316e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0007004226083225,100.07004226083222,3232262365024881.0,1751225739564564.0,1160812490225653.8,0.073236849091442,0.039679407402484,0.0263017786210751,0.0411932734827803,0.0223183370262741,0.0147938691145588
23,23,2.25,0.02,523,100000.0,17.15,2.43,0.81,,0.523,100000.0,100.0,523.0,0.5226252591797902,0.0615506591335389,0.0428910554399357,1.6271246667011727e-05,0.0001484075011744,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0007170354161563,100.07170354161563,3232316024394185.0,1751254811978273.8,1160831761082741.5,0.0733636168421397,0.0397480896203543,0.0263473051197777,0.0412853470634167,0.0223682220931824,0.0148269357874809
24,24,2.25,0.02,524,100000.0,17.15,2.43,0.81,,0.524,100000.0,100.0,524.0,0.5211776139474296,0.0549368489264674,0.0480616300641422,2.4217777894381483e-05,-8.536707572085294e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.005415401538822,100.5415401538822,3247491746970395.0,1759476952692938.5,1166281865785033.5,0.0735174500458154,0.0398314357833365,0.0264025517192402,0.0413778331645766,0.0224183306619223,0.0148601506101885
25,25,2.25,0.02,525,100000.0,17.15,2.43,0.81,,0.525,100000.0,100.0,525.0,0.524539647490883,0.0553388660199958,0.0451682309987261,3.37072711789995e-05,-1.5745269972385246e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0008776314837575,100.08776314837574,3232834749692536.5,1751535855096575.5,1161018052521158.8,0.0736577505230021,0.0399074499737627,0.0264529382683227,0.0414707345648301,0.022468664237911,0.0148935145805581
26,26,2.25,0.02,526,100000.0,17.15,2.43,0.81,,0.526,100000.0,100.0,526.0,0.5232144742442415,0.0599329106404712,0.049519843342566,-6.939740887805132e-05,-4.084863170916779e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0053238698332687,100.53238698332687,3247196099561458.5,1759316772208220.5,1166175689006591.8,0.0738034951410172,0.0399864137760929,0.0265052799887244,0.0415640540677568,0.0225192243401159,0.0149270287054482
27,27,2.25,0.02,527,100000.0,17.15,2.43,0.81,,0.527,100000.0,100.0,527.0,0.5258637886503266,0.0573808065562099,0.0438959957434117,-1.1071889218277078e-05,-4.510866171378014e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0021606571401116,100.21606571401117,3236978922562560.5,1753781149995195.2,1162506362282529.5,0.0739574421955465,0.0400698216229741,0.0265605674758,0.0416577945022286,0.0225700125012074,0.0149606940008003
28,28,2.25,0.02,528,100000.0,17.15,2.43,0.81,,0.528,100000.0,100.0,528.0,0.5229090115828967,0.0632164170666314,0.0424586154293759,-0.0001166031278791,2.008671783050545e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0097358972676571,100.97358972676572,3261446948174533.0,1767037820218400.2,1171293640830482.5,0.0740841167955457,0.0401384533721997,0.0266060605210009,0.0417519587226951,0.022621030267714,0.0149945114917419
29,29,2.25,0.02,529,100000.0,17.15,2.43,0.81,,0.529,100000.0,100.0,529.0,0.5288451276537671,0.0550660610298652,0.0430895529877368,6.750268948588602e-05,0.000109804269762,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0002928500956791,100.02928500956791,3230945905809044.0,1750512487667438.8,1160339706110988.0,0.0742435907915247,0.0402248556920025,0.0266633329158417,0.0418465496094732,0.0226722792001789,0.01502848221269
30,30,2.25,0.02,530,100000.0,17.15,2.43,0.81,,0.53,100000.0,100.0,530.0,0.5294495968776118,0.0576413776074472,0.0474719326853414,-1.297483970866628e-05,7.374652515376192e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0010395760533848,100.10395760533848,3233357830652432.5,1751819258093423.5,1161205908221926.2,0.0743702239912133,0.0402934650107193,0.0267088110928196,0.0419415700690412,0.0227237608733195,0.0150626072074575
31,31,2.25,0.02,531,100000.0,17.15,2.43,0.81,,0.531,100000.0,100.0,531.0,0.5303193283500605,0.0547667677004471,0.0491077321227365,5.110634224918282e-06,-0.0001867339937904,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.001283512807382,100.1283512807382,3234145746367844.0,1752246147412918.8,1161488874856563.2,0.0745242848965967,0.0403769345414997,0.0267641394675084,0.0420351903517395,0.0227744839367009,0.0150962293523275
32,32,2.25,0.02,532,100000.0,17.15,2.43,0.81,,0.532,100000.0,100.0,532.0,0.5314440026154443,0.0527241915120627,0.04368062663565,6.90581965347715e-05,8.344954484438012e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.001046201258871,100.1046201258871,3233379230066153.0,1751830852203024.2,1161213593460290.2,0.0746646319491327,0.0404529739662483,0.0268145427433417,0.0421292295203032,0.0228254339506287,0.0151300019329881
33,33,2.25,0.02,533,100000.0,17.15,2.43,0.81,,0.533,100000.0,100.0,533.0,0.5324603317848187,0.0563145295288037,0.0425605970741612,8.155138890582487e-05,-0.0001171037823155,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.001013536939686,100.1013536939686,3233273724315185.0,1751773689644450.2,1161175702850035.8,0.0748077372973544,0.040530507823644,0.0268659366145297,0.0422236903923718,0.0228766124416875,0.0151639259613471
34,34,2.25,0.02,534,100000.0,17.15,2.43,0.81,,0.534,100000.0,100.0,534.0,0.5330181390826283,0.0620239551364685,0.0473235457854063,-0.0002223437544261,6.752710242185213e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0018420778682346,100.18420778682346,3235949911514398.0,1753223636269410.5,1162136810327152.2,0.0749370356420303,0.0406005611063631,0.0269123719333607,0.0423185758109116,0.0229280209501843,0.0151980024584079
35,35,2.25,0.02,535,100000.0,17.15,2.43,0.81,,0.535,100000.0,100.0,535.0,0.5344475889115756,0.0551520939214487,0.0506085664967787,2.5375710780574253e-05,0.0001137500698643,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0010336113397935,100.10336113397938,3233338564627533.0,1751808819844639.0,1161198989154160.8,0.0750912103982675,0.0406840923210428,0.0269677411956626,0.042413888644502,0.0229796610303029,0.0152322324543722
36,36,2.25,0.02,536,100000.0,17.15,2.43,0.81,,0.536,100000.0,100.0,536.0,0.5357418701526058,0.0533588171434325,0.0444350720451982,-6.828369058181216e-07,-0.0001548695433949,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0004818175725574,100.04818175725576,3231556270759360.0,1750843180751975.2,1160558908384166.5,0.0752315678008812,0.0407601373534186,0.0270181481885517,0.0425096317876234,0.0230315342502603,0.015266616988744
37,37,2.25,0.02,537,100000.0,17.15,2.43,0.81,,0.537,100000.0,100.0,537.0,0.5364602990136973,0.0541959387720998,0.0477261450205106,0.0001686421756005,6.582648849891321e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0010060408706758,100.10060408706758,3233249512012283.0,1751760571523682.5,1161167007409984.0,0.0753747041993358,0.0408376880336958,0.0270695532109069,0.0426058081609512,0.0230836421924658,0.0153011571104345
38,38,2.25,0.02,538,100000.0,17.15,2.43,0.81,,0.538,100000.0,100.0,538.0,0.5371182342727252,0.0561844822110882,0.0441208308011607,3.0493185306915728e-05,6.21933497040894e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0016416603850151,100.16416603850152,3235302563043599.0,1752872905673776.5,1161904326046617.8,0.075528987631388,0.040921278128461,0.0271249615022941,0.0427024207116523,0.0231359864536816,0.0153358538778689
39,39,2.25,0.02,539,100000.0,17.15,2.43,0.81,,0.539,100000.0,100.0,539.0,0.5387089454796978,0.0537775573808804,0.0500915069946138,5.682739949842553e-06,-4.65877238817657e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0005402815801454,100.05402815801452,3231745109503869.0,1750945492765254.5,1160626726632968.5,0.0756554293546407,0.0409897837060747,0.0271703709137409,0.0427994724136861,0.023188568645186,0.0153707083590947
40,40,2.25,0.02,540,100000.0,17.15,2.43,0.81,,0.54,100000.0,100.0,540.0,0.5389710308969597,0.0609853888937818,0.0419595299050779,3.3805962775330426e-05,-1.2935630734007052e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0019091361948116,100.19091361948117,3236166509909241.0,1753340988340920.2,1162214597985981.5,0.0758153535789959,0.0410764299576603,0.0272278050005062,0.04289696626811,0.0232413903929388,0.0154057216318909
41,41,2.25,0.02,541,100000.0,17.15,2.43,0.81,,0.541,100000.0,100.0,541.0,0.5406330696787336,0.0560156364130713,0.0438111098451452,3.543362394605531e-05,-3.644550117216406e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0006787049143784,100.06787049143784,3232192216873442.0,1751187733600162.2,1160787297700679.0,0.0759417539019382,0.0411449131047653,0.0272731995437301,0.042989921059591,0.0232917528960632,0.015439104776819
42,42,2.25,0.02,542,100000.0,17.15,2.43,0.81,,0.542,100000.0,100.0,542.0,0.5409669863915951,0.0531410834069059,0.0437017537261282,-2.988462194398512e-05,-3.102705110711317e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0019095686694215,100.19095686694216,3236167906802232.5,1753341745171488.0,1162215099656529.2,0.0760961511848441,0.0412285648834294,0.0273286487227304,0.0430832795792724,0.0233423341373767,0.0154726329139182
43,43,2.25,0.02,543,100000.0,17.15,2.43,0.81,,0.543,100000.0,100.0,543.0,0.5426058733830814,0.0547512559911228,0.0434074706902157,3.304434325614681e-05,4.28798341898566e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0007263589213682,100.07263589213684,3232346139316019.5,1751271128112394.5,1160842576348787.2,0.0762365499877681,0.041304632346314,0.0273790705838424,0.0431770444631322,0.0233931355450406,0.0155063069898555
44,44,2.25,0.02,544,100000.0,17.15,2.43,0.81,,0.544,100000.0,100.0,544.0,0.5435024831465398,0.0611587731559909,0.0438386089589792,-4.824413250941988e-05,-4.565791305291896e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.00091539021235,100.091539021235,3232956710385890.0,1751601932871612.2,1161061852646326.0,0.076027861372703,0.0411915657592044,0.0273041235889583,0.043271218370146,0.0234441585596766,0.015540127959557
45,45,2.25,0.02,545,100000.0,17.15,2.43,0.81,,0.545,100000.0,100.0,545.0,0.5444050915772323,0.0546848670677427,0.0434043673061001,-5.6776914963682266e-05,5.195609240135856e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.001092767925892,100.10927679258918,3233529640400630.5,1751912343870310.5,1161267610794034.5,0.0761563368862083,0.0412611732355617,0.0273502634018581,0.0433658039825382,0.0234954046345021,0.0155740967862985
