Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
294,5.0,0.02,1230,200000.0,17.15,2.43,0.81
295,5.0,0.02,1240,200000.0,17.15,2.43,0.81
296,5.0,0.02,1250,200000.0,17.15,2.43,0.81
297,5.0,0.02,1260,200000.0,17.15,2.43,0.81
298,5.0,0.02,1270,200000.0,17.15,2.43,0.81
299,5.0,0.02,1280,200000.0,17.15,2.43,0.81
300,5.0,0.02,1290,200000.0,17.15,2.43,0.81
301,5.0,0.02,1300,200000.0,17.15,2.43,0.81
302,5.0,0.02,1310,200000.0,17.15,2.43,0.81
303,5.0,0.02,1320,200000.0,17.15,2.43,0.81
304,5.0,0.02,1330,200000.0,17.15,2.43,0.81
305,5.0,0.02,1340,200000.0,17.15,2.43,0.81
306,5.0,0.02,1350,200000.0,17.15,2.43,0.81
307,5.0,0.02,1360,200000.0,17.15,2.43,0.81
308,5.0,0.02,1370,200000.0,17.15,2.43,0.81
309,5.0,0.02,1380,200000.0,17.15,2.43,0.81
310,5.0,0.02,1390,200000.0,17.15,2.43,0.81
311,5.0,0.02,1400,200000.0,17.15,2.43,0.81
312,5.0,0.02,1410,200000.0,17.15,2.43,0.81
313,5.0,0.02,1420,200000.0,17.15,2.43,0.81
314,5.0,0.02,1430,200000.0,17.15,2.43,0.81
315,5.0,0.02,1440,200000.0,17.15,2.43,0.81
316,5.0,0.02,1450,200000.0,17.15,2.43,0.81
317,5.0,0.02,1460,200000.0,17.15,2.43,0.81
318,5.0,0.02,1470,200000.0,17.15,2.43,0.81
319,5.0,0.02,1480,200000.0,17.15,2.43,0.81
320,5.0,0.02,1490,200000.0,17.15,2.43,0.81
321,5.0,0.02,1500,200000.0,17.15,2.43,0.81
322,5.0,0.02,1510,200000.0,17.15,2.43,0.81
323,5.0,0.02,1520,200000.0,17.15,2.43,0.81
324,5.0,0.02,1530,200000.0,17.15,2.43,0.81
325,5.0,0.02,1540,200000.0,17.15,2.43,0.81
326,5.0,0.02,1550,200000.0,17.15,2.43,0.81
327,5.0,0.02,1560,200000.0,17.15,2.43,0.81
328,5.0,0.02,1570,200000.0,17.15,2.43,0.81
329,5.0,0.02,1580,200000.0,17.15,2.43,0.81
330,5.0,0.02,1590,200000.0,17.15,2.43,0.81
331,5.0,0.02,1600,200000.0,17.15,2.43,0.81
332,5.0,0.02,1610,200000.0,17.15,2.43,0.81
333,5.0,0.02,1620,200000.0,17.15,2.43,0.81
334,5.0,0.02,1630,200000.0,17.15,2.43,0.81
335,5.0,0.02,1640,200000.0,17.15,2.43,0.81
336,5.0,0.02,1650,200000.0,17.15,2.43,0.81
337,5.0,0.02,1660,200000.0,17.15,2.43,0.81
338,5.0,0.02,1670,200000.0,17.15,2.43,0.81
339,5.0,0.02,1680,200000.0,17.15,2.43,0.81
340,5.0,0.02,1690,200000.0,17.15,2.43,0.81
341,5.0,0.02,1700,200000.0,17.15,2.43,0.81
342,5.0,0.02,1710,200000.0,17.15,2.43,0.81
343,5.0,0.02,1720,200000.0,17.15,2.43,0.81
344,5.0,0.02,1730,200000.0,17.15,2.43,0.81
345,5.0,0.02,1740,200000.0,17.15,2.43,0.81
346,5.0,0.02,1750,200000.0,17.15,2.43,0.81
347,5.0,0.02,1760,200000.0,17.15,2.43,0.81
348,5.0,0.02,1770,200000.0,17.15,2.43,0.81
349,5.0,0.02,1780,200000.0,17.15,2.43,0.81
350,5.0,0.02,1790,200000.0,17.15,2.43,0.81
351,5.0,0.02,1800,200000.0,17.15,2.43,0.81
352,5.0,0.02,1810,200000.0,17.15,2.43,0.81
353,5.0,0.02,1820,200000.0,17.15,2.43,0.81
354,5.0,0.02,1830,200000.0,17.15,2.43,0.81
355,5.0,0.02,1840,200000.0,17.15,2.43,0.81
356,5.0,0.02,1850,200000.0,17.15,2.43,0.81
357,5.0,0.02,1860,200000.0,17.15,2.43,0.81
358,5.0,0.02,1870,200000.0,17.15,2.43,0.81
359,5.0,0.02,1880,200000.0,17.15,2.43,0.81
360,5.0,0.02,1890,200000.0,17.15,2.43,0.81
361,5.0,0.02,1900,200000.0,17.15,2.43,0.81
362,5.0,0.02,1910,200000.0,17.15,2.43,0.81
363,5.0,0.02,1920,200000.0,17.15,2.43,0.81
364,5.0,0.02,1930,200000.0,17.15,2.43,0.81
365,5.0,0.02,1940,200000.0,17.15,2.43,0.81
366,5.0,0.02,1950,200000.0,17.15,2.43,0.81
367,5.0,0.02,1960,200000.0,17.15,2.43,0.81
368,5.0,0.02,1970,200000.0,17.15,2.43,0.81
369,5.0,0.02,1980,200000.0,17.15,2.43,0.81
370,5.0,0.02,1990,200000.0,17.15,2.43,0.81
371,5.0,0.02,2000,200000.0,17.15,2.43,0.81
372,5.0,0.02,2010,200000.0,17.15,2.43,0.81
373,5.0,0.02,2020,200000.0,17.15,2.43,0.81
374,5.0,0.02,2030,200000.0,17.15,2.43,0.81
375,5.0,0.02,2040,200000.0,17.15,2.43,0.81
376,5.0,0.02,2050,200000.0,17.15,2.43,0.81
377,5.0,0.02,2060,200000.0,17.15,2.43,0.81
378,5.0,0.02,2070,200000.0,17.15,2.43,0.81
379,5.0,0.02,2080,200000.0,17.15,2.43,0.81
380,5.0,0.02,2090,200000.0,17.15,2.43,0.81
381,5.0,0.02,2100,200000.0,17.15,2.43,0.81
