,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,500000.0,200,17.15,2.43,0.81,,0.0006,670.0,0.134,200.0,0.0001547790344034,0.0113971884279545,0.0008210766664048,-0.0002175822235498,3.627975036203413e-06,3013609860701.576,1976500000000.0,1602640000000.0,1385560000000.0,1235614000000.0,3.876494011689924,0.5194501975664498,11682240578579.367,7661890414105.136,6212624362894.74,5371115042837.092,4789850271760.233,2.5047512304681512e-05,1.6427610194598246e-05,1.3320285961179323e-05,1.1516033180484464e-05,1.0269762278263758e-05,1.4860522112210855e-05,9.746391640737106e-06,7.902836882929883e-06,6.832385733235368e-06,6.092981513168601e-06
11,11,500000.0,205,17.15,2.43,0.81,,0.0006149999999999,741.0,0.1482,205.0,0.0001634174021489,0.0125162978133834,0.0007552959735539,3.761892117611847e-05,-4.550962275869654e-05,3329948820945.6025,2185950000000.0,1772472000000.0,1532388000000.0,1366552200000.0,3.763369089904721,0.5577312991238795,12531826463711.348,8226536662077.224,6670466337521.6,5766941632940.914,5142840309221.294,2.8403669997655875e-05,1.864563264180874e-05,1.5118763823459834e-05,1.3070904509579824e-05,1.165636465017752e-05,1.6692435007259078e-05,1.0957774508304993e-05,8.88508360131035e-06,7.681585655313465e-06,6.8502805926156144e-06
12,12,500000.0,210,17.15,2.43,0.81,,0.00063,661.0,0.1322,210.0,0.0001250862096071,0.0106827766506494,0.0009993567364847,3.663214883883847e-06,-1.565623796380681e-05,2967728688633.558,1949950000000.0,1581112000000.0,1366948000000.0,1219016200000.0,5.036526424284035,0.6658287932903494,14947043960408.72,9820974701032.654,7963312367752.578,6884669722622.212,6139607302930.312,2.5984354957635723e-05,1.7073054266618662e-05,1.3843642646017574e-05,1.1968500414700811e-05,1.0673263280846829e-05,1.5127271788900004e-05,9.939393630469356e-06,8.059332055621254e-06,6.967683399257839e-06,6.2136371977327405e-06
13,13,500000.0,215,17.15,2.43,0.81,,0.0006449999999999,672.0,0.1344,215.0,0.0002130313716861,0.0094930038724348,0.0006758897018661,0.0003202290343812,1.2924915676649108e-06,3013925423986.326,1982400000000.0,1607424000000.0,1389696000000.0,1239302400000.0,3.0277230761590883,0.4069259814357814,9125331556025.965,6002158226177.777,4866834737971.946,4207614648045.981,3752264474819.341,2.70586705367996e-05,1.7797755725887823e-05,1.4431264981804636e-05,1.2476528420724075e-05,1.112631224057028e-05,1.5655169600930432e-05,1.0297138731401236e-05,8.349408761190426e-06,7.218468778487374e-06,6.4372824571017485e-06
14,14,500000.0,220,17.15,2.43,0.81,,0.0006599999999999,759.0,0.1518,220.0,0.0001534145542905,0.0118957454704156,0.0008357839845459,0.0003167418157369,1.2178477820882635e-05,3400517479821.479,2239049999999.9995,1815528000000.0,1569611999999.9998,1399747799999.9998,4.302069011980177,0.6530540760185909,14629260874636.912,9632547621274.213,7810526749182.347,6752579146032.2295,6021811634967.426,3.1296969454120225e-05,2.060729870440975e-05,1.6709375763033267e-05,1.4446065668040464e-05,1.2882705176499142e-05,1.8005970081922528e-05,1.1855921209393448e-05,9.61334357046411e-06,8.311201715601915e-06,7.41175928622488e-06
15,15,500000.0,225,17.15,2.43,0.81,,0.0006749999999999,751.0,0.1502,225.0,0.0001761406786613,0.01216019138186,0.0009970496154997,-7.63787721080493e-06,-2.6686681944486115e-05,3361336588433.2656,2215450000000.0,1796392000000.0,1553068000000.0,1384994200000.0,3.832164183367308,0.5755910603417697,12881193682436.02,8489968140041.103,6884069081687.565,5951611563933.898,5307525167411.458,3.168429776418978e-05,2.0883055187993667e-05,1.6932972206671474e-05,1.4639375636871494e-05,1.305509504328743e-05,1.8138159916215952e-05,1.1954823722402245e-05,9.693538421690223e-06,8.380534053534861e-06,7.473588443679394e-06
16,16,500000.0,230,17.15,2.43,0.81,,0.00069,776.0,0.1552,230.0,0.0001809319002745,0.0110833745110213,0.0007430976159162,8.57219566093448e-06,2.716487904565192e-05,3469795582322.203,2289200000000.0,1856192000000.0,1604768000000.0,1431099200000.0,3.813589527070094,0.5918690946012786,13232376093818.031,8730069145368.858,7078754371431.291,6119926438177.221,5457624921318.39,3.347053756734021e-05,2.2082209969232776e-05,1.790530381234061e-05,1.5480003463177418e-05,1.3804749703477657e-05,1.908767414992795e-05,1.2593106028099592e-05,1.0211088006513295e-05,8.827980768172866e-06,7.872612249837719e-06
17,17,500000.0,235,17.15,2.43,0.81,,0.0007049999999999,775.0,0.155,235.0,0.0002108697471214,0.0112921685708387,0.0009177265655612,-7.156674766185082e-05,-7.882772222201816e-06,3461174430599.1084,2286250000000.0,1853800000000.0,1602700000000.0,1429255000000.0,3.343296085018124,0.5182108931778092,11571730923386.832,7643610674372.686,6197802282406.598,5358300635458.547,4778422645992.579,3.417834694853891e-05,2.2576222978040283e-05,1.8305873004566903e-05,1.5826314955453323e-05,1.4113583191898946e-05,1.9386314492789216e-05,1.280546889440284e-05,1.0383281896749692e-05,8.97685073682206e-06,8.005371435612785e-06
18,18,500000.0,240,17.15,2.43,0.81,,0.0007199999999999,865.0,0.173,240.0,0.0001417994871815,0.0097776879677636,0.0009052534302303,-0.0001189398721852,2.2200589573893487e-05,3858120568575.672,2551749999999.9995,2069080000000.0,1788819999999.9998,1595232999999.9998,5.0775924110243,0.8784234871072039,19589963719816.6,12956746434831.256,10505944905802.158,9082898856688.488,8099942974615.525,3.895617509660646e-05,2.576550370468698e-05,2.0891893173427543e-05,1.8062054800438195e-05,1.610737014650296e-05,2.2009678528259545e-05,1.4557138945302692e-05,1.1803619104123404e-05,1.0204801131825752e-05,9.100432421331263e-06
19,19,500000.0,245,17.15,2.43,0.81,,0.000735,894.0,0.1788,245.0,0.0001462946376022,0.01141778040226,0.0007746558681113,-0.0002004423221391,2.142140778821167e-05,3982398077874.204,2637300000000.0,2138448000000.0,1848792000000.0,1648714800000.0,5.024107595782902,0.8983104381259829,20007996432479.01,13250078962358.246,10743792839986.756,9288529930222.662,8283320549959.687,4.108627587240665e-05,2.720894125585224e-05,2.2062300842033404e-05,1.907392898884828e-05,1.7009738801370405e-05,2.311370013160029e-05,1.5306797604123138e-05,1.2411477921716117e-05,1.0730324557737843e-05,9.569083437804708e-06
20,20,500000.0,250,17.15,2.43,0.81,,0.00075,871.0,0.1742,250.0,0.0002221091186811,0.0126333933287447,0.0009106530317138,-0.0002334491419344,1.5407380645950927e-05,3875260210275.708,2569450000000.0,2083432000000.0,1801227999999.9998,1606298199999.9998,3.376718634756635,0.5882243861746058,13085663366568.9,8676309696075.437,7035163658648.286,6082240153045.424,5424017064916.04,4.086517283942644e-05,2.7095217522127088e-05,2.1970088241670503e-05,1.899420672398604e-05,1.6938644120103988e-05,2.288990082856296e-05,1.5176904902539871e-05,1.2306154754873005e-05,1.063926757235676e-05,9.487880685174244e-06
21,21,500000.0,255,17.15,2.43,0.81,,0.000765,958.0,0.1916,255.0,0.0001767503716791,0.0101489176678876,0.0008556248168773,-0.000249713908793,-6.811812165815802e-06,4257191168420.244,2826100000000.0,2291536000000.0,1981144000000.0,1766743600000.0,4.328137998988239,0.8292712406061464,18425710864996.8,12231750798940.66,9918084037649.514,8574664627867.555,7646710109629.277,4.5853157962391387e-05,3.0439227319359687e-05,2.4681570084036736e-05,2.133841426997825e-05,1.9029160346563776e-05,2.5563572304792992e-05,1.6970159157166577e-05,1.3760210408116085e-05,1.1896369198989991e-05,1.0608938141575118e-05
22,22,500000.0,260,17.15,2.43,0.81,,0.00078,1025.0,0.205,260.0,0.0002073865554734,0.0120427696684571,0.0009261890448533,-8.94310373260345e-05,-2.8535805752837028e-05,4549190625446.237,3023750000000.0005,2451800000000.0,2119700000000.0,1890305000000.0,3.761092411314758,0.7710239443195254,17109926338990.08,11372603178713.0,9221446374061.523,7972387584263.894,7109611790570.345,4.998928213691696e-05,3.3226809845251464e-05,2.6941874288081858e-05,2.329255686778984e-05,2.077182464969924e-05,2.77784329287722e-05,1.8463732009501302e-05,1.4971270158212585e-05,1.2943389083270746e-05,1.1542649007431292e-05
23,23,500000.0,265,17.15,2.43,0.81,,0.0007949999999999,1039.0,0.2077999999999999,265.0,0.0001557365802113,0.0116015930999722,0.000862006238452,4.4928163353347146e-05,2.150886310393724e-05,4605391312580.322,3065050000000.0,2485288000000.0,2148652000000.0,1916123800000.0,5.104773707762616,1.0607719764730716,23509480486418.395,15646386652977.809,12686832838617.938,10968382236731.56,9781378395058.195,5.165827204081548e-05,3.438039809694021e-05,2.78772583891122e-05,2.41012417845669e-05,2.1492993278093944e-05,2.856853889507349e-05,1.901336807170993e-05,1.541694116187463e-05,1.3328693278744456e-05,1.1886255389100834e-05
24,24,500000.0,270,17.15,2.43,0.81,,0.0008099999999999,1036.0,0.2072,270.0,0.0002134554437134,0.011415658095397,0.0007745211450716,2.393521095357976e-05,-1.1549106054417334e-05,4586176279880.052,3056200000000.0,2478112000000.0,2142448000000.0,1910591200000.0,3.794702940850991,0.7862624493443252,17403176616521.889,11597371127828.8,9403698894158.13,8129953726220.324,7250126045404.023,5.2476842059527314e-05,3.497024861559007e-05,2.835553718253948e-05,2.4514736995606862e-05,2.1861739829447863e-05,2.89087843767456e-05,1.9264638212842672e-05,1.562068291698972e-05,1.3504837906494456e-05,1.2043337556652357e-05
25,25,500000.0,275,17.15,2.43,0.81,,0.0008249999999999,1065.0,0.213,275.0,0.0001908425033434,0.0106232049551909,0.0007333395492075,-5.007508287767109e-05,2.7609797132471667e-06,4708843377975.204,3141750000000.0,2547480000000.0,2202420000000.0,1964073000000.0,4.322936377098873,0.92078544832206,20356030332710.152,13581585362750.385,11012593961931.838,9520921535650.102,8490562618977.716,5.495292322286173e-05,3.66647035539467e-05,2.9729481661369663e-05,2.570257862697009e-05,2.29210326420978e-05,3.0159277395642827e-05,2.012233199365923e-05,1.6316141738587417e-05,1.410609578402959e-05,1.257952700430724e-05
26,26,500000.0,280,17.15,2.43,0.81,,0.0008399999999999,1126.0,0.2252,280.0,0.0002222124790023,0.0114605299618242,0.0010205199431311,4.222667307354879e-05,1.2324568433545311e-05,4972579491347.875,3321700000000.0,2693392000000.0,2328568000000.0,2076569200000.0,3.7801657394370047,0.8512933245212135,18797174629820.33,12556576536687.898,10181468161273.713,8802372975549.348,7849775745410.109,5.9134945343848205e-05,3.95023444653705e-05,3.203037558005635e-05,2.7691813001486845e-05,2.4694991072215686e-05,3.236892822218091e-05,2.1622554061267268e-05,1.7532592987983492e-05,1.5157776880915492e-05,1.3517394643996304e-05
27,27,500000.0,285,17.15,2.43,0.81,,0.000855,1132.0,0.2264,285.0,0.0001953587780576,0.0112368438276697,0.0007194876027136,-8.336044763475732e-05,-9.197085405245656e-06,4993072251939.27,3339400000000.0,2707744000000.0,2340976000000.0,2087634400000.0,4.376563001165371,0.99085386346384,21852495279982.867,14615094486091.64,11850612207027.523,10245428948216.104,9136663475000.068,6.04777415384984e-05,4.0447916613908826e-05,3.2797090352701664e-05,2.83546751042588e-05,2.528611790487141e-05,3.306396657190146e-05,2.211340120850923e-05,1.793059514940816e-05,1.5501869050575284e-05,1.3824248986011091e-05
28,28,500000.0,290,17.15,2.43,0.81,,0.0008699999999999,1162.0,0.2324,290.0,0.0001996670937387,0.0106788543882221,0.000455282010757,1.2769303630522632e-05,3.2028523335357064e-05,5117805747355.474,3427900000000.0,2779504000000.0,2403016000000.0,2142960400000.0,4.357252783667584,1.0126255469243466,22299573338934.6,14936226817134.11,12111001541215.184,10470548155197.742,9337420168189.398,6.31545439441796e-05,4.2300835919401385e-05,3.429952526074851e-05,2.965360294282104e-05,2.6444475119511872e-05,3.448586448626695e-05,2.3098589651152603e-05,1.872943269340916e-05,1.6192502846977487e-05,1.4440142045645978e-05
29,29,500000.0,295,17.15,2.43,0.81,,0.0008849999999999,1225.0,0.245,295.0,0.0002052375390348,0.0117018134959848,0.0008548683238647,4.88988475604849e-05,-5.205949569793374e-06,5386989935424.3545,3613750000000.0,2930200000000.0,2533300000000.0,2259145000000.0,4.312076651092182,1.0564587795175846,23229113520211.94,15582766997884.377,12635247003030.312,10923783780211.826,9741606405931.648,6.767083978175849e-05,4.539557344505526e-05,3.680888531544819e-05,3.1823066401482806e-05,2.8379158151651155e-05,3.690452168872142e-05,2.4756629741524e-05,2.007385028533065e-05,1.735481705270225e-05,1.5476670023497817e-05
30,30,500000.0,300,17.15,2.43,0.81,,0.0009,1217.0,0.2434,300.0,0.0002092893445819,0.0118229045489949,0.0009655678071912,0.0001234953901322,1.5703439475381046e-05,5343576505658.057,3590150000000.0,2911064000000.0,2516756000000.0,2244391400000.0,4.300266703962484,1.0466849157444684,22978804127357.53,15438602507230.91,12518351592303.842,10822722028797.805,9651481608079.744,6.829916234913623e-05,4.58876629628333e-05,3.720789484986348e-05,3.2168029493945515e-05,2.8686789164765145e-05,3.722734940091582e-05,2.501166930241956e-05,2.028064846487714e-05,1.7533604107594454e-05,1.5636108653397336e-05
31,31,500000.0,305,17.15,2.43,0.81,,0.000915,1234.0,0.2468,305.0,0.0002411362133329,0.0120050338822942,0.0009106078530818,4.348172933493004e-05,4.461579054313288e-05,5410232262395.988,3640300000000.0,2951728000000.0,2551912000000.0,2275742800000.0,3.794535824183512,0.9364914414084908,20529320136814.99,13813248760775.238,11200437639245.549,9683321504163.797,8635387581227.693,7.03829583315245e-05,4.735750163538832e-05,3.839970980062673e-05,3.319841131592646e-05,2.9605662547790897e-05,3.829941110915564e-05,2.5769937314838084e-05,2.089548815494668e-05,1.806516283630005e-05,1.6110141829160812e-05
32,32,500000.0,310,17.15,2.43,0.81,,0.0009299999999999,1282.0,0.2563999999999999,310.0,0.0002769852959545,0.011394242480153,0.000857256652031,-0.0001193837062358,2.980187905193201e-05,5612641738743.872,3781899999999.999,3066543999999.9995,2651175999999.9995,2364264399999.9995,3.357578953045273,0.8608832435608079,18844887772989.85,12698027842521.916,10296163592987.264,8901532738418.754,7938204388874.21,7.428003980572186e-05,5.005124068441435e-05,4.058392126004038e-05,3.508676804588776e-05,3.128966036277863e-05,4.038336598992598e-05,2.721104587578425e-05,2.206400736775456e-05,1.907540436309216e-05,1.7011054509871636e-05
33,33,500000.0,315,17.15,2.43,0.81,,0.0009449999999999,1349.0,0.2698,315.0,0.0002198324298205,0.0127221604857754,0.0009182858405226,5.15395834320178e-05,-1.4132115644886614e-05,5897512930924.427,3979550000000.0,3226808000000.0,2789732000000.0,2487825800000.0,4.298728812537789,1.1597970336226953,25351808758479.016,17107006245934.754,13871172522127.436,11992301327658.668,10694488447034.871,7.938937983077731e-05,5.3570718742968086e-05,4.34376810959931e-05,3.755398181710441e-05,3.348987101890906e-05,4.309913276421721e-05,2.908262445555264e-05,2.358157210090912e-05,2.0387412669180623e-05,1.818107661726446e-05
34,34,500000.0,320,17.15,2.43,0.81,,0.0009599999999999,1368.0,0.2736,320.0,0.0001905010258269,0.0121046960446683,0.0007532052886421,-9.393635397995132e-05,-1.0192789393330505e-05,5971877493747.032,4035600000000.0,3272256000000.0,2829024000000.0,2522865600000.0,5.039342942289463,1.378764229010397,30094338700331.39,20336772377903.355,16490020178964.348,14256422127967.504,12713584955704.87,8.171546547132419e-05,5.5220645902627576e-05,4.477552033867293e-05,3.8710608720892825e-05,3.4521327177500265e-05,4.4338601016772335e-05,2.9962580185317177e-05,2.4295081967213114e-05,2.1004276550249464e-05,1.8731183178902352e-05
35,35,500000.0,325,17.15,2.43,0.81,,0.0009749999999999,1473.0,0.2946,325.0,0.0002255618917956,0.0121571992211089,0.0008230430620905,5.180289203351424e-05,-8.674639100721287e-06,6419363536172.233,4343946791175.733,3523416000000.0,3046164000000.0,2716506600000.0,4.32253867104107,1.273419892488699,27747947128575.426,18776877989801.87,15230101914164.84,13167161688333.146,11742204828638.293,8.924783345413705e-05,6.039350125100675e-05,4.8985735515011465e-05,4.235054391515205e-05,3.776734675450842e-05,4.838649367538062e-05,3.274286504464687e-05,2.655804505214124e-05,2.296071787952679e-05,2.047589744362829e-05
36,36,500000.0,330,17.15,2.43,0.81,,0.00099,1376.0,0.2752,330.0,0.0001970087753875,0.0126009127433591,0.0007810051435087,-9.59905164845954e-06,1.6259724857553498e-05,5986470428367.896,4055589537895.881,3291392000000.0,2845568000000.0,2537619200000.0,5.025156864472653,1.3829231691028745,30082952967075.484,20379973605840.965,16539761102470.377,14299425568523.72,12751934542297.604,8.458894026180808e-05,5.730555679718226e-05,4.650743114788892e-05,4.020792960444577e-05,3.585660724203041e-05,4.582101989581165e-05,3.104187202271644e-05,2.519263063628501e-05,2.178025090126981e-05,1.9423181195416727e-05
37,37,500000.0,335,17.15,2.43,0.81,,0.0010049999999999,1384.0,0.2768,335.0,0.0002338619995043,0.0110681028541071,0.0007942460954841,-3.0150881937904134e-05,-5.027426981363851e-06,6011051226426.047,4076683213306.93,3310528000000.0,2862112000000.0,2552372800000.0,4.297406171716324,1.1895220283310786,25831928638946.28,17519163600997.54,14226683458839.7,12299657772943.354,10968582623240.877,8.626512259754498e-05,5.850483782956705e-05,4.7509677263622776e-05,4.107441997540631e-05,3.6629325589286426e-05,4.668868309230119e-05,3.166417377663202e-05,2.571333812307036e-05,2.223042777529661e-05,1.982463970174178e-05
38,38,500000.0,340,17.15,2.43,0.81,,0.0010199999999999,1433.0,0.2866,340.0,0.0002375248076305,0.0118146448243528,0.000886120622245,-0.0001526327723538,1.745572941519061e-05,6213108785494.655,4217611502257.426,3427736000000.0,2963444000000.0,2642738600000.0,4.294288290032886,1.2307430239234252,26680880302250.14,18111639686052.07,14719686566124.162,12725882867368.213,11348681423597.9,9.052953260054022e-05,6.145367981990494e-05,4.9944616885271545e-05,4.3179543360677904e-05,3.850663146313452e-05,4.898151132471386e-05,3.324985811344013e-05,2.7022815067089223e-05,2.3362534096463427e-05,2.083422890749413e-05
39,39,500000.0,345,17.15,2.43,0.81,,0.001035,1495.0,0.299,345.0,0.0002412964423683,0.0122538509647276,0.0009112543092261,-0.0001662825849704,-1.088361653748851e-05,6470249821367.563,4396537682376.238,3576040000000.0,3091660000000.0,2757079000000.0,4.289329713448308,1.282509584321044,27753034812225.49,18858199717311.555,15338814628479.688,13261149101879.596,11826020877024.346,9.574136268856849e-05,6.505629928418638e-05,5.291525861925119e-05,4.574780720092453e-05,4.079695649900629e-05,5.1740681410199495e-05,3.515781643863718e-05,2.859653822625078e-05,2.472309408523688e-05,2.2047548410055053e-05
40,40,500000.0,350,17.15,2.43,0.81,,0.00105,1568.0,0.3136,350.0,0.0002415462002431,0.0115815162545268,0.0009684397686353,4.8407425664577255e-05,-2.8865921983135736e-06,6773943822343.696,4607620925292.529,3750656000000.0,3242624000000.0,2891705600000.0,4.34699448363437,1.3632174700677386,29446296428177.17,20029302744924.92,16304080942010.152,14095668640500.416,12570228291494.615,0.0001017562313533,6.921435328649198e-05,5.634127321869896e-05,4.870976296666783e-05,4.343836792220928e-05,5.495788330353405e-05,3.738222514982946e-05,3.0429557753312187e-05,2.6307828358632773e-05,2.346078194341904e-05
41,41,500000.0,355,17.15,2.43,0.81,,0.001065,1627.0,0.3254,355.0,0.000212468501445,0.0133996384317348,0.0010490793749073,-9.342219516666262e-05,4.850540056365727e-06,7016125385035.874,4777333300630.063,3891784000000.001,3364636000000.0005,3000513400000.0005,5.012507702349095,1.6310700063443957,35168382533139.33,23946419966097.02,19507597275878.973,16865263865601.053,15040096528501.674,0.0001069078257615,7.279435415992472e-05,5.93008452587064e-05,5.126845651965085e-05,4.572015837211804e-05,5.771453683625252e-05,3.9298268435500576e-05,3.2013753845647635e-05,2.767744270601977e-05,2.468217593735091e-05
