Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
133,500000.0,815,17.15,2.43,0.81
134,500000.0,820,17.15,2.43,0.81
135,500000.0,825,17.15,2.43,0.81
136,500000.0,830,17.15,2.43,0.81
137,500000.0,835,17.15,2.43,0.81
138,500000.0,840,17.15,2.43,0.81
139,500000.0,845,17.15,2.43,0.81
140,500000.0,850,17.15,2.43,0.81
141,500000.0,855,17.15,2.43,0.81
142,500000.0,860,17.15,2.43,0.81
143,500000.0,865,17.15,2.43,0.81
144,500000.0,870,17.15,2.43,0.81
145,500000.0,875,17.15,2.43,0.81
146,500000.0,880,17.15,2.43,0.81
147,500000.0,885,17.15,2.43,0.81
148,500000.0,890,17.15,2.43,0.81
149,500000.0,895,17.15,2.43,0.81
150,500000.0,900,17.15,2.43,0.81
151,500000.0,905,17.15,2.43,0.81
152,500000.0,910,17.15,2.43,0.81
153,500000.0,915,17.15,2.43,0.81
154,500000.0,920,17.15,2.43,0.81
155,500000.0,925,17.15,2.43,0.81
156,500000.0,930,17.15,2.43,0.81
157,500000.0,935,17.15,2.43,0.81
158,500000.0,940,17.15,2.43,0.81
159,500000.0,945,17.15,2.43,0.81
160,500000.0,950,17.15,2.43,0.81
161,500000.0,955,17.15,2.43,0.81
162,500000.0,960,17.15,2.43,0.81
163,500000.0,965,17.15,2.43,0.81
164,500000.0,970,17.15,2.43,0.81
165,500000.0,975,17.15,2.43,0.81
166,500000.0,980,17.15,2.43,0.81
167,500000.0,985,17.15,2.43,0.81
168,500000.0,990,17.15,2.43,0.81
169,500000.0,995,17.15,2.43,0.81
170,500000.0,1000,17.15,2.43,0.81
171,500000.0,1005,17.15,2.43,0.81
172,500000.0,1010,17.15,2.43,0.81
173,500000.0,1015,17.15,2.43,0.81
174,500000.0,1020,17.15,2.43,0.81
175,500000.0,1025,17.15,2.43,0.81
176,500000.0,1030,17.15,2.43,0.81
177,500000.0,1035,17.15,2.43,0.81
178,500000.0,1040,17.15,2.43,0.81
179,500000.0,1045,17.15,2.43,0.81
180,500000.0,1050,17.15,2.43,0.81
181,500000.0,1055,17.15,2.43,0.81
182,500000.0,1060,17.15,2.43,0.81
183,500000.0,1065,17.15,2.43,0.81
184,500000.0,1070,17.15,2.43,0.81
185,500000.0,1075,17.15,2.43,0.81
186,500000.0,1080,17.15,2.43,0.81
187,500000.0,1085,17.15,2.43,0.81
188,500000.0,1090,17.15,2.43,0.81
189,500000.0,1095,17.15,2.43,0.81
190,500000.0,1100,17.15,2.43,0.81
191,500000.0,1105,17.15,2.43,0.81
192,500000.0,1110,17.15,2.43,0.81
193,500000.0,1115,17.15,2.43,0.81
194,500000.0,1120,17.15,2.43,0.81
195,500000.0,1125,17.15,2.43,0.81
196,500000.0,1130,17.15,2.43,0.81
197,500000.0,1135,17.15,2.43,0.81
198,500000.0,1140,17.15,2.43,0.81
199,500000.0,1145,17.15,2.43,0.81
200,500000.0,1150,17.15,2.43,0.81
201,500000.0,1155,17.15,2.43,0.81
202,500000.0,1160,17.15,2.43,0.81
203,500000.0,1165,17.15,2.43,0.81
204,500000.0,1170,17.15,2.43,0.81
205,500000.0,1175,17.15,2.43,0.81
206,500000.0,1180,17.15,2.43,0.81
207,500000.0,1185,17.15,2.43,0.81
208,500000.0,1190,17.15,2.43,0.81
209,500000.0,1195,17.15,2.43,0.81
210,500000.0,1200,17.15,2.43,0.81
211,500000.0,1205,17.15,2.43,0.81
212,500000.0,1210,17.15,2.43,0.81
213,500000.0,1215,17.15,2.43,0.81
214,500000.0,1220,17.15,2.43,0.81
215,500000.0,1225,17.15,2.43,0.81
216,500000.0,1230,17.15,2.43,0.81
217,500000.0,1235,17.15,2.43,0.81
218,500000.0,1240,17.15,2.43,0.81
219,500000.0,1245,17.15,2.43,0.81
220,500000.0,1250,17.15,2.43,0.81
221,500000.0,1255,17.15,2.43,0.81
222,500000.0,1260,17.15,2.43,0.81
223,500000.0,1265,17.15,2.43,0.81
224,500000.0,1270,17.15,2.43,0.81
225,500000.0,1275,17.15,2.43,0.81
226,500000.0,1280,17.15,2.43,0.81
227,500000.0,1285,17.15,2.43,0.81
228,500000.0,1290,17.15,2.43,0.81
229,500000.0,1295,17.15,2.43,0.81
230,500000.0,1300,17.15,2.43,0.81
231,500000.0,1305,17.15,2.43,0.81
232,500000.0,1310,17.15,2.43,0.81
233,500000.0,1315,17.15,2.43,0.81
234,500000.0,1320,17.15,2.43,0.81
235,500000.0,1325,17.15,2.43,0.81
236,500000.0,1330,17.15,2.43,0.81
237,500000.0,1335,17.15,2.43,0.81
238,500000.0,1340,17.15,2.43,0.81
239,500000.0,1345,17.15,2.43,0.81
240,500000.0,1350,17.15,2.43,0.81
241,500000.0,1355,17.15,2.43,0.81
242,500000.0,1360,17.15,2.43,0.81
243,500000.0,1365,17.15,2.43,0.81
244,500000.0,1370,17.15,2.43,0.81
245,500000.0,1375,17.15,2.43,0.81
246,500000.0,1380,17.15,2.43,0.81
247,500000.0,1385,17.15,2.43,0.81
248,500000.0,1390,17.15,2.43,0.81
249,500000.0,1395,17.15,2.43,0.81
250,500000.0,1400,17.15,2.43,0.81
251,500000.0,1405,17.15,2.43,0.81
252,500000.0,1410,17.15,2.43,0.81
253,500000.0,1415,17.15,2.43,0.81
254,500000.0,1420,17.15,2.43,0.81
255,500000.0,1425,17.15,2.43,0.81
256,500000.0,1430,17.15,2.43,0.81
257,500000.0,1435,17.15,2.43,0.81
258,500000.0,1440,17.15,2.43,0.81
259,500000.0,1445,17.15,2.43,0.81
260,500000.0,1450,17.15,2.43,0.81
261,500000.0,1455,17.15,2.43,0.81
262,500000.0,1460,17.15,2.43,0.81
263,500000.0,1465,17.15,2.43,0.81
264,500000.0,1470,17.15,2.43,0.81
265,500000.0,1475,17.15,2.43,0.81
266,500000.0,1480,17.15,2.43,0.81
267,500000.0,1485,17.15,2.43,0.81
268,500000.0,1490,17.15,2.43,0.81
269,500000.0,1495,17.15,2.43,0.81
270,500000.0,1500,17.15,2.43,0.81
271,500000.0,1505,17.15,2.43,0.81
272,500000.0,1510,17.15,2.43,0.81
273,500000.0,1515,17.15,2.43,0.81
274,500000.0,1520,17.15,2.43,0.81
275,500000.0,1525,17.15,2.43,0.81
276,500000.0,1530,17.15,2.43,0.81
277,500000.0,1535,17.15,2.43,0.81
278,500000.0,1540,17.15,2.43,0.81
279,500000.0,1545,17.15,2.43,0.81
280,500000.0,1550,17.15,2.43,0.81
281,500000.0,1555,17.15,2.43,0.81
282,500000.0,1560,17.15,2.43,0.81
283,500000.0,1565,17.15,2.43,0.81
284,500000.0,1570,17.15,2.43,0.81
285,500000.0,1575,17.15,2.43,0.81
286,500000.0,1580,17.15,2.43,0.81
287,500000.0,1585,17.15,2.43,0.81
288,500000.0,1590,17.15,2.43,0.81
289,500000.0,1595,17.15,2.43,0.81
290,500000.0,1600,17.15,2.43,0.81
291,500000.0,1605,17.15,2.43,0.81
292,500000.0,1610,17.15,2.43,0.81
293,500000.0,1615,17.15,2.43,0.81
294,500000.0,1620,17.15,2.43,0.81
295,500000.0,1625,17.15,2.43,0.81
296,500000.0,1630,17.15,2.43,0.81
297,500000.0,1635,17.15,2.43,0.81
298,500000.0,1640,17.15,2.43,0.81
299,500000.0,1645,17.15,2.43,0.81
300,500000.0,1650,17.15,2.43,0.81
301,500000.0,1655,17.15,2.43,0.81
302,500000.0,1660,17.15,2.43,0.81
303,500000.0,1665,17.15,2.43,0.81
304,500000.0,1670,17.15,2.43,0.81
305,500000.0,1675,17.15,2.43,0.81
306,500000.0,1680,17.15,2.43,0.81
307,500000.0,1685,17.15,2.43,0.81
308,500000.0,1690,17.15,2.43,0.81
309,500000.0,1695,17.15,2.43,0.81
310,500000.0,1700,17.15,2.43,0.81
311,500000.0,1705,17.15,2.43,0.81
312,500000.0,1710,17.15,2.43,0.81
313,500000.0,1715,17.15,2.43,0.81
314,500000.0,1720,17.15,2.43,0.81
315,500000.0,1725,17.15,2.43,0.81
316,500000.0,1730,17.15,2.43,0.81
317,500000.0,1735,17.15,2.43,0.81
318,500000.0,1740,17.15,2.43,0.81
319,500000.0,1745,17.15,2.43,0.81
320,500000.0,1750,17.15,2.43,0.81
321,500000.0,1755,17.15,2.43,0.81
322,500000.0,1760,17.15,2.43,0.81
323,500000.0,1765,17.15,2.43,0.81
324,500000.0,1770,17.15,2.43,0.81
325,500000.0,1775,17.15,2.43,0.81
326,500000.0,1780,17.15,2.43,0.81
327,500000.0,1785,17.15,2.43,0.81
328,500000.0,1790,17.15,2.43,0.81
329,500000.0,1795,17.15,2.43,0.81
330,500000.0,1800,17.15,2.43,0.81
331,500000.0,1805,17.15,2.43,0.81
332,500000.0,1810,17.15,2.43,0.81
333,500000.0,1815,17.15,2.43,0.81
334,500000.0,1820,17.15,2.43,0.81
335,500000.0,1825,17.15,2.43,0.81
336,500000.0,1830,17.15,2.43,0.81
337,500000.0,1835,17.15,2.43,0.81
338,500000.0,1840,17.15,2.43,0.81
339,500000.0,1845,17.15,2.43,0.81
340,500000.0,1850,17.15,2.43,0.81
341,500000.0,1855,17.15,2.43,0.81
342,500000.0,1860,17.15,2.43,0.81
343,500000.0,1865,17.15,2.43,0.81
344,500000.0,1870,17.15,2.43,0.81
345,500000.0,1875,17.15,2.43,0.81
346,500000.0,1880,17.15,2.43,0.81
347,500000.0,1885,17.15,2.43,0.81
348,500000.0,1890,17.15,2.43,0.81
349,500000.0,1895,17.15,2.43,0.81
350,500000.0,1900,17.15,2.43,0.81
351,500000.0,1905,17.15,2.43,0.81
352,500000.0,1910,17.15,2.43,0.81
353,500000.0,1915,17.15,2.43,0.81
354,500000.0,1920,17.15,2.43,0.81
355,500000.0,1925,17.15,2.43,0.81
356,500000.0,1930,17.15,2.43,0.81
357,500000.0,1935,17.15,2.43,0.81
358,500000.0,1940,17.15,2.43,0.81
359,500000.0,1945,17.15,2.43,0.81
360,500000.0,1950,17.15,2.43,0.81
361,500000.0,1955,17.15,2.43,0.81
362,500000.0,1960,17.15,2.43,0.81
363,500000.0,1965,17.15,2.43,0.81
364,500000.0,1970,17.15,2.43,0.81
365,500000.0,1975,17.15,2.43,0.81
366,500000.0,1980,17.15,2.43,0.81
367,500000.0,1985,17.15,2.43,0.81
368,500000.0,1990,17.15,2.43,0.81
369,500000.0,1995,17.15,2.43,0.81
370,500000.0,2000,17.15,2.43,0.81
371,500000.0,2005,17.15,2.43,0.81
372,500000.0,2010,17.15,2.43,0.81
373,500000.0,2015,17.15,2.43,0.81
374,500000.0,2020,17.15,2.43,0.81
375,500000.0,2025,17.15,2.43,0.81
376,500000.0,2030,17.15,2.43,0.81
377,500000.0,2035,17.15,2.43,0.81
378,500000.0,2040,17.15,2.43,0.81
379,500000.0,2045,17.15,2.43,0.81
380,500000.0,2050,17.15,2.43,0.81
381,500000.0,2055,17.15,2.43,0.81
382,500000.0,2060,17.15,2.43,0.81
383,500000.0,2065,17.15,2.43,0.81
384,500000.0,2070,17.15,2.43,0.81
385,500000.0,2075,17.15,2.43,0.81
386,500000.0,2080,17.15,2.43,0.81
387,500000.0,2085,17.15,2.43,0.81
388,500000.0,2090,17.15,2.43,0.81
389,500000.0,2095,17.15,2.43,0.81
390,500000.0,2100,17.15,2.43,0.81
