"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"
5.14247e+2	2.56938e+14	1.54274e+3	7.91332e+12	2.57123e+3	2.67214e+11	3.59973e+3	9.18110e+9
5.13996e+2	2.57661e+14	1.54199e+3	7.98267e+12	2.56998e+3	2.71175e+11	3.59797e+3	9.37333e+9
5.13745e+2	2.58547e+14	1.54123e+3	8.05247e+12	2.56872e+3	2.75185e+11	3.59621e+3	9.56912e+9
5.13493e+2	2.59271e+14	1.54048e+3	8.12270e+12	2.56747e+3	2.79245e+11	3.59445e+3	9.76852e+9
5.13242e+2	2.59995e+14	1.53973e+3	8.19337e+12	2.56621e+3	2.83354e+11	3.59269e+3	9.97159e+9
5.12990e+2	2.60719e+14	1.53897e+3	8.26449e+12	2.56495e+3	2.87515e+11	3.59093e+3	1.01784e+10
5.12738e+2	2.61443e+14	1.53821e+3	8.33605e+12	2.56369e+3	2.91726e+11	3.58917e+3	1.03890e+10
5.12486e+2	2.62167e+14	1.53746e+3	8.40805e+12	2.56243e+3	2.95988e+11	3.58740e+3	1.06034e+10
5.12234e+2	2.62892e+14	1.53670e+3	8.48050e+12	2.56117e+3	3.00303e+11	3.58563e+3	1.08217e+10
5.11981e+2	2.63617e+14	1.53594e+3	8.55569e+12	2.55991e+3	3.04670e+11	3.58387e+3	1.10440e+10
5.11728e+2	2.64342e+14	1.53518e+3	8.62675e+12	2.55864e+3	3.09090e+11	3.58210e+3	1.12704e+10
5.11475e+2	2.65067e+14	1.53443e+3	8.70054e+12	2.55738e+3	3.13564e+11	3.58033e+3	1.15008e+10
5.11222e+2	2.65792e+14	1.53367e+3	8.77479e+12	2.55611e+3	3.18091e+11	3.57856e+3	1.17354e+10
5.10969e+2	2.66517e+14	1.53291e+3	8.84950e+12	2.55485e+3	3.22673e+11	3.57678e+3	1.19742e+10
5.10716e+2	2.67243e+14	1.53215e+3	8.92466e+12	2.55358e+3	3.27310e+11	3.57501e+3	1.22173e+10
5.10462e+2	2.67968e+14	1.53139e+3	9.00027e+12	2.55231e+3	3.32002e+11	3.57323e+3	1.24647e+10
5.10208e+2	2.68694e+14	1.53062e+3	9.07634e+12	2.55104e+3	3.36750e+11	3.57146e+3	1.27165e+10
5.09954e+2	2.69420e+14	1.52986e+3	9.15287e+12	2.54977e+3	3.41555e+11	3.56968e+3	1.29729e+10
5.09700e+2	2.69973e+14	1.52910e+3	9.22986e+12	2.54850e+3	3.46417e+11	3.56790e+3	1.32337e+10
5.09445e+2	2.70699e+14	1.52834e+3	9.30732e+12	2.54723e+3	3.51336e+11	3.56612e+3	1.34992e+10
