,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
462,462,0.02,5120,100000.0,17.15,2.43,0.81,2.139563063838088,,0.512,18114.0,10.770081724147916,5120.0,0.1534352816579485,0.01603594040375,0.0064197919889346,0.0001043091188973,2.023241747467973e-05,34410411108652.59,693916365486.8502,15261205803.117598,20290080960.88024,270071482471.0278,748829031511.4148,3.336911787612159,35.93881265885546,114824506445043.2,2315537699610.0576,50925297537.59819,67706210329.96632,901204713355.4633,2498776422156.6367,0.0069332145232556,0.0001398144011685,3.0749186164172973e-06,4.08816632709845e-06,5.441561039979785e-05,0.0001508785320906,0.0014321321120326,2.8880210321834663e-05,6.351584359155631e-07,8.444559528238695e-07,1.1240145936348828e-05,3.1165628886663344e-05
463,463,0.02,5130,100000.0,17.15,2.43,0.81,2.13793358651488,,0.513,18164.0,10.61858001583366,5130.0,0.1680735513727995,0.0163916950888882,0.0060831011872227,8.078431984633326e-05,3.712602483555335e-05,33926363150588.55,684155110420.1628,15046527882.436298,19098986055.199776,260075770082.18817,727138843412.2124,3.05223514235222,32.41040308620649,103551237860429.77,2088202270844.285,45925541173.1546,58294596420.97575,793812405119.1709,2219398731232.1025,0.0068398346605826,0.0001379313136717,3.0335041358515067e-06,3.850513131115653e-06,5.243342054348687e-05,0.0001465971888042,0.0014080717828601,2.839501251007142e-05,6.244875481417229e-07,7.926798173502243e-07,1.0794123485410936e-05,3.01789992368376e-05
464,464,0.02,5140,100000.0,17.15,2.43,0.81,2.13630921024577,,0.514,18025.0,10.275159890107672,5140.0,0.1524973753657832,0.0151033619328934,0.0069331757980197,0.0001222951582184,1.3307827262038293e-05,32829135848894.008,662028551719.6372,14559901564.28257,17604912012.22508,245668311832.92496,692826463887.8165,3.370549812854873,34.63293824465631,110652237691676.9,2231400211103.206,49074873492.67799,59338232888.13175,828037282472.8378,2335206108197.9834,0.0066223343339515,0.0001335452272727,2.937041549674277e-06,3.551284864803456e-06,4.955651905378736e-05,0.0001397578206259,0.0013587656077519,2.740070989278744e-05,6.026199894161074e-07,7.28649973603124e-07,1.0167969530769629e-05,2.867540515242815e-05
465,465,0.02,5150,100000.0,17.15,2.43,0.81,2.1578694906072515,,0.515,18147.0,10.562254792086618,5150.0,0.1533343005085043,0.0153728629314046,0.006468587608845,4.995462314751908e-05,2.173705915385572e-05,33746404060716.742,680526076254.1407,14966715040.386736,17195932927.24471,246368677047.7277,701087199527.3594,3.358674466783357,35.475175481841475,113343185664483.52,2285665556295.0464,50268323657.76937,57755540855.256,827472185015.398,2354723676041.191,0.0068111434595135,0.0001373527302336,3.020779431026826e-06,3.4707095273590166e-06,4.972536926552161e-05,0.0001415026467714,0.0013928564260125,2.8088181385911485e-05,6.177394540406111e-07,7.097486782858283e-07,1.0168674397921749e-05,2.893682566296132e-05
466,466,0.02,5160,100000.0,17.15,2.43,0.81,2.156227905515004,,0.516,18019.0,10.7289225089033,5160.0,0.1514999331511717,0.0154830584632012,0.0064667204765327,-1.8183669266488863e-05,5.7812520866089016e-06,34278907415946.04,691264477248.6395,15202883195.115974,16552189582.18846,243995231148.78976,700877632075.2384,3.405942096919065,36.54208882765626,116751973804361.77,2354406783165.8926,51780139868.78892,56375799294.16088,831033629217.1611,2387148631874.007,0.0069218523938679,0.000139585273783,3.0698794497999844e-06,3.342341449013949e-06,4.926933505570177e-05,0.0001415264336322,0.0014109217142317,2.8452483896072488e-05,6.257515083149886e-07,6.812890334050257e-07,1.0042857131341314e-05,2.8848161877361083e-05
467,467,0.02,5170,100000.0,17.15,2.43,0.81,2.15459142370749,,0.517,18059.0,10.857262164484352,5170.0,0.1713553410609165,0.0162403263496479,0.0063850273819323,9.514048790173724e-05,-3.124231258961372e-05,34688952615527.504,699533401257.7268,15384740487.074327,15824153437.3868,240577979071.9848,697854294090.338,3.017122178970817,32.757686479366434,104660808301575.77,2110577739865.58,46417641741.26224,47743404299.37701,725853156430.0624,2105511668389.982,0.0070081698579977,0.0001413259417686,3.108161717928892e-06,3.1969358192321203e-06,4.860369697860532e-05,0.0001409867136469,0.0014237965750492,2.871211684833284e-05,6.314615796071339e-07,6.494971386688721e-07,9.874443498811134e-06,2.8643198450577623e-05
468,468,0.02,5180,100000.0,17.15,2.43,0.81,2.152960020016001,,0.518,17866.0,10.7397894267863,5180.0,0.1701376364926545,0.0161373407913527,0.0059939362817799,7.131661819699229e-05,-3.175187915591449e-05,34313627218582.227,691964632767.8412,15218281617.756186,14736925803.694029,231707611841.96725,679019861808.2726,3.0445938398959944,32.698296730573695,104471058054182.95,2106751258350.863,46333486467.22293,44867953520.93116,705455567671.0656,2067339688428.496,0.0069360696051828,0.00013987197642,3.076184860890187e-06,2.9788848170934026e-06,4.683678917267747e-05,0.0001372553532391,0.001404454290217,2.832206257235761e-05,6.228831703403809e-07,6.031813115460881e-07,9.483775861246205e-06,2.7792234029480705e-05
469,469,0.02,5190,100000.0,17.15,2.43,0.81,2.1513336694430585,,0.519,17995.0,10.727773123336997,5190.0,0.1549258120739978,0.0157895388938182,0.006428725628385,0.0001697477094946,-1.7071910844730396e-05,34275235129061.7,691190422336.6025,15201254515.768522,13805447729.973124,225187999742.30496,666988928459.128,3.349990508696563,35.937938142629015,114821712365699.7,2315481354529.5874,50924058348.10532,46248118863.71647,754377661809.0857,2234406579743.77,0.0069311388990408,0.0001397725443709,3.0739980657092056e-06,2.7917379828201246e-06,4.553752290054161e-05,0.0001348785176779,0.0013989492189636,2.821104794298132e-05,6.204416410865208e-07,5.634715632603607e-07,9.191084325848034e-06,2.722326008885983e-05
470,470,0.02,5200,100000.0,17.15,2.43,0.81,2.149712347160856,,0.52,18143.0,10.644580562247128,5200.0,0.1718057856051018,0.0161651699980828,0.0071350309269465,0.0002130012736384,-2.6518242260929087e-06,34009434896379.58,685830325625.5825,15083370656.704182,12790494271.478613,217229878759.8878,650632711891.3967,3.026673392683223,32.217668764026406,102935451701064.38,2075784398466.2207,45652436638.62542,38712648690.7515,657483894138.3547,1969252717491.0195,0.0068807229640935,0.0001387558624652,3.051638322416464e-06,2.587748015337916e-06,4.394952811843221e-05,0.0001316347494611,0.0013842191871343,2.791400382693849e-05,6.139087912893348e-07,5.205863501542004e-07,8.841480815969774e-06,2.6481424531791448e-05
471,471,0.02,5210,100000.0,17.15,2.43,0.81,2.148096028510085,,0.521,18118.0,10.377537308797468,5210.0,0.1719326844904571,0.0148591058348674,0.0064990104753063,4.838251386314495e-05,-1.3831958408016742e-05,33156231701607.902,668624728805.8208,14704970366.566011,11584498596.46102,205724200121.78748,623406897713.7565,3.030255716323194,31.44659175134074,100471860645533.66,2026103906538.884,44559820511.64983,35103993092.66403,623396933405.0632,1889082315392.42,0.0067113179104546,0.0001353396597717,2.976506253243888e-06,2.344876028547452e-06,4.164165944178604e-05,0.0001261868934859,0.001345738249392,2.71380016927472e-05,5.968422846286323e-07,4.701892242033538e-07,8.349891128189946e-06,2.530270975116665e-05
