,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,0.02,600,500000.0,17.15,2.43,0.81,1.1937004579368051,,0.06,38550.9,0.0456147529989864,600.0,0.0180702424845889,0.0173251273162848,0.0064489818529603,0.0001814584451342,-3.799934415773296e-06,864478172787.049,638564025523.3834,539635255766.8763,471656546009.5207,420613637403.6548,3.323155018422097,0.1515833939360127,2872766523970.3315,2122026227708.123,1793273846259.539,1567372293298.3723,1397750475483.974,2.25042752709369e-05,1.6623231286645492e-05,1.404789701344112e-05,1.227826112777082e-05,1.0949501533769318e-05,1.2843903230550524e-05,9.48740501323622e-06,8.017580111384134e-06,7.00759281807137e-06,6.249227599171771e-06
11,11,0.02,610,500000.0,17.15,2.43,0.81,1.1960764897163916,,0.0609999999999999,39550.3,0.0468611023741436,610.0,0.018231497062436,0.0172270545551549,0.0064192615409509,0.0001438538299754,-2.5735834382366408e-06,881573748738.2737,654423458499.3514,553578525714.0686,484543798548.6458,432106224991.9791,3.345881060452777,0.1567910692771426,2949629515920.213,2189614597602.2625,1852200750263.7004,1621219656325.6548,1445770449804.5325,2.3337830482637165e-05,1.73244992380703e-05,1.4654839496336558e-05,1.2827288752785476e-05,1.143911311309815e-05,1.3298623767747973e-05,9.872040055443023e-06,8.350784661989312e-06,7.3093892429491635e-06,6.51836346317546e-06
12,12,0.02,620,500000.0,17.15,2.43,0.81,1.198607556732719,,0.062,40172.1,0.0504670749474783,620.0,0.0188736162340887,0.0174438317746573,0.006565609103519,0.0001354695380351,-5.796292947307944e-06,942384066467.6304,703070977326.7902,595316884302.0396,521829554956.92645,465356898090.69806,3.2899437459413137,0.1660325845461853,3100367167179.813,2313046508173.1885,1958544279166.4856,1716776924207.5571,1530986462100.3755,2.536506015052179e-05,1.892374697805093e-05,1.6023454890895194e-05,1.4045481583125956e-05,1.2525472502708365e-05,1.4428360942753016e-05,1.076436050884089e-05,9.11459264609712e-06,7.989465693893203e-06,7.124841698586965e-06
13,13,0.02,630,500000.0,17.15,2.43,0.81,1.2012994108941464,,0.0629999999999999,40641.4,0.0555115667002343,630.0,0.0187718756003845,0.0171087945590564,0.0063292684456752,0.0001355249672842,-3.3162214045716077e-06,1028851723711.3376,771448216832.217,653624160173.7478,573989599680.424,511872156542.8615,3.356127682469192,0.1863037495855215,3452954857679.055,2589076546569.5195,2193644299712.091,1926380770714.2932,1717906874928.0945,2.814944662953793e-05,2.110687080236982e-05,1.7883197343750253e-05,1.5704390856079467e-05,1.400485377987512e-05,1.5981765481733083e-05,1.1983363781750156e-05,1.0153132662702718e-05,8.916121691428626e-06,7.951214518052548e-06
14,14,0.02,640,500000.0,17.15,2.43,0.81,1.2041583707096004,,0.064,41182.7,0.059624905808542,640.0,0.0190967078982111,0.0173726682202214,0.0065911444461632,0.0001468965484051,5.271473051349943e-06,1096704467278.3011,826346917988.9836,700616694842.8094,616521526060.3256,549801256460.5669,3.3513941803481613,0.1998252382019946,3675464613978.173,2769395900680.423,2348027154706.2397,2066192963008.625,1842588521460.593,3.0497929805183117e-05,2.29796367676892e-05,1.9483242219923592e-05,1.7144664571153612e-05,1.5289260349188336e-05,1.7292613532527405e-05,1.3029670547473426e-05,1.1047181897982502e-05,9.721186338470355e-06,8.669154664123324e-06
15,15,0.02,650,500000.0,17.15,2.43,0.81,1.2071913574109248,,0.0649999999999999,41546.8,0.0642693883488958,650.0,0.0195856589563959,0.0167540195685955,0.0063532183430537,0.0001587381611144,-6.371534574177717e-07,1172377531459.9382,888274144949.4631,753690164580.988,664545475527.5836,592628029965.1691,3.3217598876884544,0.2134777724963045,3894179645558.7935,2950499307702.353,2503463960379.9287,2207360167611.7896,1968478540188.425,3.311781523911691e-05,2.5092342888461537e-05,2.1290557818051903e-05,1.877236102359204e-05,1.6740806672973132e-05,1.8804344320814585e-05,1.4247469287565111e-05,1.2088810119333657e-05,1.0658974266675596e-05,9.505454711123372e-06
16,16,0.02,660,500000.0,17.15,2.43,0.81,1.2097180783032273,,0.066,41900.5,0.0703924198187976,660.0,0.0196659158263173,0.0169780789669275,0.0064184918538719,0.0001412037341199,-2.9728352272454428e-06,1273387436264.4658,970227585470.8644,824156935141.5056,727857620926.3677,649088503149.1333,3.3560824148112176,0.2362435056876298,4273606630033.293,3256173984308.3657,2765947300800.257,2442757848810.093,2178401365945.6348,3.653401421159854e-05,2.783623223114302e-05,2.364540462985522e-05,2.088253732497288e-05,1.8622618633808015e-05,2.0764606811661587e-05,1.582110342570252e-05,1.3439189222346968e-05,1.1868875789872756e-05,1.0584420083019022e-05
17,17,0.02,670,500000.0,17.15,2.43,0.81,1.2123951833932685,,0.0669999999999999,42324.8,0.0775276240177471,670.0,0.0201696926393423,0.0171197488363062,0.0063682686053082,0.0001538922669643,-5.479050313323452e-06,1390695060331.3315,1065600048704.4768,906222192433.1168,801635632343.5059,714882221067.6469,3.325241272739418,0.2577975080589946,4624386798456.518,3543369742385.921,3013401041460.2256,2665626233330.0044,2377150821811.9893,4.051610116937e-05,3.104487864443124e-05,2.6401611020176303e-05,2.335461691599253e-05,2.0827168528275352e-05,2.3044095960207182e-05,1.7657206441573916e-05,1.5016283410629732e-05,1.3283263142132648e-05,1.1845741724720036e-05
18,18,0.02,680,500000.0,17.15,2.43,0.81,1.2152282360391085,,0.068,42484.0,0.0813503543039546,680.0,0.0204818671264092,0.0170821333099314,0.0063030028607593,0.0001286320377224,-6.3735871453969015e-06,1446920149680.1084,1115020422259.3906,949252010334.6746,841162663502.8918,750131617036.7665,3.323380381815716,0.2703604672443386,4808706871406.281,3705668462397.512,3154752296318.3247,2795527231306.462,2492993868460.047,4.279119472857884e-05,3.29755971853681e-05,2.8073164666140255e-05,2.487653194982464e-05,2.2184381151773026e-05,2.435109501288489e-05,1.8765353602787493e-05,1.5975536659671294e-05,1.415643561586917e-05,1.262441903422917e-05
19,19,0.02,690,500000.0,17.15,2.43,0.81,1.2182232968231954,,0.0689999999999999,42886.6,0.0811642828780321,690.0,0.0205953841491122,0.0173210496334885,0.006360594151181,0.0001378314730423,-3.4661858554500286e-06,1430639276125.7932,1109354985495.5378,945333516051.5364,839238684958.853,748415852418.335,3.3502878648054675,0.2719239514086015,4793057625964.19,3716661818155.796,3167142195662.7134,2811693657564.9404,2507410755938.716,4.294930330101457e-05,3.330400928846794e-05,2.837991139979158e-05,2.519483242474119e-05,2.246823498922036e-05,2.4442336328757885e-05,1.895322469888773e-05,1.615093345175798e-05,1.4338313326206417e-05,1.2786613847287172e-05
20,20,0.02,700,500000.0,17.15,2.43,0.81,1.2213869551635184,,0.07,43031.0,0.091525503465358,700.0,0.020824588944265,0.0168294297015801,0.0062368317149973,0.0001167377523377,5.801968750657983e-07,1598210204895.0154,1247319727369.4604,1064041987831.744,946373705831.8029,843956667454.0668,3.3615206289876847,0.3076655229565267,5372428010402.521,4192899920625.594,3576806706754.29,3181261507370.488,2836983787182.134,4.868249117906698e-05,3.799414585087622e-05,3.2411390271518416e-05,2.8827140162882427e-05,2.570745255724748e-05,2.7708653652623137e-05,2.1625159327546037e-05,1.84476177303693e-05,1.6407567140121857e-05,1.4631931972830138e-05
21,21,0.02,710,500000.0,17.15,2.43,0.81,1.223941831892816,,0.0709999999999999,43351.2,0.1057096325132095,710.0,0.021156836733553,0.0172141645017549,0.0064216032350881,0.0001272981091218,-1.7023992638940951e-06,1828497423196.7449,1436260935341.8071,1226498013581.7676,1093037600186.5868,974748521404.3052,3.355928809552352,0.3547541078499161,6136309025489.932,4819990900008.085,4116041256065.508,3668157475168.134,3271187628484.076,5.650741922935458e-05,4.438584258664921e-05,3.7903382612521336e-05,3.3778955946904434e-05,3.012338034684776e-05,3.2141323995843585e-05,2.524659180798159e-05,2.1559379594787903e-05,1.9213412718852e-05,1.7134127531966564e-05
22,22,0.02,720,500000.0,17.15,2.43,0.81,1.2266374169211949,,0.0719999999999999,43548.2,0.1158373892315654,720.0,0.0214741187770755,0.0164408885291245,0.0063486952952344,0.0001299826248787,2.8629289686982103e-06,1984619533527.828,1569085689242.4883,1341262769270.7754,1197758604654.3872,1068136566104.2654,3.352917277334148,0.3883866404317176,6654153018082.65,5260925884440.708,4497067348883.813,4015917862063.962,3581313211420.8696,6.22028788810587e-05,4.917902168808035e-05,4.20384885743409e-05,3.754071355008055e-05,3.3478038650415164e-05,3.5338729832635536e-05,2.79396097436514e-05,2.3882926594790506e-05,2.132764845831968e-05,1.9019559616457034e-05
23,23,0.02,730,500000.0,17.15,2.43,0.81,1.229478621587225,,0.0729999999999999,43902.3,0.1254428844308276,730.0,0.0217514295673253,0.0169158169277578,0.006377270084387,0.0001292881140062,-1.674140321582926e-06,2128546682961.184,1694021890739.4617,1449513108612.8772,1297079425014.7583,1156708837336.6626,3.3561560843192964,0.4210062792428906,7143741338971.151,5685406999465.959,4864796623099.116,4353204927371.489,3882098900898.6943,6.76628991535552e-05,5.3850090897494014e-05,4.607757023838691e-05,4.123196123978338e-05,3.676981765880488e-05,3.838006125098375e-05,3.05450965428854e-05,2.613633158154258e-05,2.338778293093469e-05,2.085674530040124e-05
24,24,0.02,740,500000.0,17.15,2.43,0.81,1.2324707631906469,,0.0739999999999999,44199.9,0.135768718161051,740.0,0.02204748017989,0.0174814396823807,0.006507516867438,0.000145519529497,-5.017149164730054e-06,2279932618196.297,1827900030186.8228,1565423354272.6245,1403848545785.2688,1251923350163.0522,3.356415502371669,0.4556957182515643,7652392584142.283,6135185103242.721,5254205309258.655,4711893726721.176,4201970217997.675,7.346801299005193e-05,5.890182108474907e-05,5.044383435227028e-05,4.5237285687597325e-05,4.034168388059332e-05,4.161425400040332e-05,3.336357203561451e-05,2.8572741388471865e-05,2.5623612512119938e-05,2.285061227990889e-05
25,25,0.02,750,500000.0,17.15,2.43,0.81,1.2347562230259803,,0.0749999999999999,44618.2,0.148591245807436,750.0,0.022317955200026,0.0169070062658298,0.0064203044958221,0.0001369516178865,-8.398359543330746e-07,2468846001666.05,1994447823779.1985,1709481316677.7144,1536433481648.889,1370159877590.3677,3.360623252454812,0.4993584066075311,8296848167953.357,6702577139940.757,5744913583454.244,5163365924321.873,4604583867328.045,8.065728783031385e-05,6.515868226553796e-05,5.584881621080108e-05,5.019533720526017e-05,4.476317256960386e-05,4.560005026968414e-05,3.683782664581749e-05,3.157444163102316e-05,2.8378215551693236e-05,2.5307110793245963e-05
26,26,0.02,760,500000.0,17.15,2.43,0.81,1.2380444696053936,,0.0759999999999999,44842.6,0.161257113121371,760.0,0.0229102058392981,0.0165364936363328,0.0063833428941363,0.0001421169214892,-6.452348781336906e-06,2650625864736.3306,2157848871924.7192,1851087414885.364,1664997192048.8804,1486951840092.1624,3.3206168977662083,0.5354188609288228,8800821580983.143,7164663701953.388,6146129593747.836,5528257840914.771,4937097316624.675,8.776033905966388e-05,7.144484295540683e-05,6.12881890728762e-05,5.512687401551984e-05,4.923191891695369e-05,4.952533911683223e-05,4.031809942199302e-05,3.458644736578745e-05,3.1109464244587695e-05,2.7782794663964195e-05
27,27,0.02,770,500000.0,17.15,2.43,0.81,1.240594508554498,,0.0769999999999999,45249.7,0.1750278749213926,770.0,0.0229766357172365,0.0165907778582319,0.0063158825034501,0.0001529193322525,-5.02387387381818e-06,2845868014364.793,2334952144811.299,2004872436888.6692,1804047573157.6177,1613932034650.162,3.3512701800320324,0.5865630315203909,9537229258839.053,7825019924001.581,6718838670247.477,6045823352386.482,5408697713649.525,9.547148794188048e-05,7.833158614981542e-05,6.725826837972602e-05,6.052111526533309e-05,5.414323222558505e-05,5.377466151881337e-05,4.412054972896577e-05,3.788346337142081e-05,3.408873746804487e-05,3.049637173600749e-05
28,28,0.02,780,500000.0,17.15,2.43,0.81,1.2432735686752114,,0.0779999999999999,45447.2,0.1865523492100068,780.0,0.0232006805182208,0.0168328704228932,0.0064277367156526,0.0001242817569038,-5.622446041136456e-06,3000090350847.8096,2480706357614.3047,2132407416568.205,1919498925194.479,1720199212065.4731,3.3620792238393995,0.6271997573603231,10086476788306.557,8340277847835.555,7169276720066.034,6453466092673.569,5783408962619.539,0.0001019710743762,8.431755811170773e-05,7.247910890881871e-05,6.524249098393681e-05,5.846842637454771e-05,5.733536837529472e-05,4.740930979113936e-05,4.075289423220134e-05,3.668395451520543e-05,3.287509506998475e-05
29,29,0.02,790,500000.0,17.15,2.43,0.81,1.2460858129743697,,0.0789999999999999,45776.3,0.1995197325947287,790.0,0.023559874824798,0.0164078340438526,0.0063542519209447,0.0001264858463908,-2.2932643117103336e-06,3171449163278.3647,2644595000596.544,2275848465163.947,2049538346939.1523,1839771454255.994,3.353191634441273,0.6690270635493932,10634463535564.908,8867822768790.418,7631346513604.217,6872486265154.532,6169098552988.956,0.0001092095526413,9.10672131456237e-05,7.836934472668782e-05,7.057630580438034e-05,6.335293650867975e-05,6.132124928513852e-05,5.113431145848e-05,4.400444840277863e-05,3.9628650948385154e-05,3.5572723435205015e-05
30,30,0.02,800,500000.0,17.15,2.43,0.81,1.2490357206608476,,0.0799999999999999,46030.4,0.2130452605668843,800.0,0.0238679546079196,0.0165656227370258,0.0063394465468756,0.000122965539292,-4.431565531059747e-06,3345990929037.6567,2814746843750.425,2424747223775.128,2184861588252.9255,1964490347687.24,3.3518107228603484,0.7140894132604838,11215160069431.738,9434525399824.691,8127316785753.975,7323263260865.12,6584618479674.921,0.000116686994526,9.816056185291677e-05,8.45598425185305e-05,7.619414923581648e-05,6.850899458747541e-05,6.543253701441547e-05,5.5043791494342094e-05,4.741715259697336e-05,4.272606823409748e-05,3.841659768828998e-05
31,31,0.02,810,500000.0,17.15,2.43,0.81,1.2511385861979998,,0.0809999999999999,46301.9,0.2277885029303361,810.0,0.024181479015226,0.017027757991001,0.0064197647339401,0.0001180546168454,-8.035047776679338e-06,3534290003260.052,2999776117729.6494,2586128600875.8843,2332143903603.447,2100437785520.6296,3.349710942775398,0.763028430034958,11838893174079.582,10048419617857.652,8662814939340.081,7812036509701.953,7035885153352.348,0.0001248035192166,0.0001059286634682,9.132186386474756e-05,8.23531080417823e-05,7.417105763445853e-05,6.987607609540747e-05,5.9308258257900425e-05,5.113007668884732e-05,4.610857194042331e-05,4.152753463901568e-05
32,32,0.02,820,500000.0,17.15,2.43,0.81,1.2543539389756433,,0.0819999999999998,46585.2,0.2442416701010226,820.0,0.0244612624625005,0.0169955753136749,0.0064444890428709,0.0001216519636867,4.035634235111749e-06,3743196255527.823,3205725438521.835,2766044275959.1846,2495883697068.565,2252152440001.53,3.3522983706604217,0.81877038649663,12548302030540.451,10746540732443.225,9272599306896.115,8366941064783.154,7549881733885.425,0.0001338369027347,0.0001146197886568,9.889911547520109e-05,8.923960188000194e-05,8.052506106549174e-05,7.479511360603893e-05,6.40555776390088e-05,5.5270037085065424e-05,4.98717918928299e-05,4.500164728452883e-05
33,33,0.02,830,500000.0,17.15,2.43,0.81,1.2566873064569206,,0.0829999999999999,46730.6,0.2566829161830377,830.0,0.024736638575905,0.0170307693949114,0.0065063473647822,0.0001181069295038,3.7392957138505968e-06,3885130304030.44,3357674167491.11,2899710850792.263,2618068706101.6616,2366873170123.7905,3.3554628541455616,0.861284801333832,13036331875226.035,11266483065157.049,9729813425795.928,8784779364923.32,7941907153099.264,0.0001406419243618,0.0001215479840678,0.000104969687561,9.477422689160958e-05,8.56809350824825e-05,7.843376564394165e-05,6.77853786495937e-05,5.853992620795583e-05,5.285407985443629e-05,4.778289555483802e-05
34,34,0.02,840,500000.0,17.15,2.43,0.81,1.2601856033545715,,0.0839999999999999,47058.9,0.2723039821580048,840.0,0.025028457726114,0.0170105308158761,0.0064896852979449,0.0001051801957207,3.390954337416372e-06,4068814854019.085,3549977831092.684,3068863286029.621,2772145402654.175,2510915019478.9624,3.356221215155045,0.9139084573346568,13655783793346.21,11914459485589.168,10299739611883.045,9303893054993.877,8427149885082.869,0.0001490768609005,0.0001300672481577,0.0001124397451415,0.0001015683311761,9.199713983601144e-05,8.296389415900847e-05,7.238471044084978e-05,6.25746950857534e-05,5.652456207291071e-05,5.119802581150828e-05
35,35,0.02,850,500000.0,17.15,2.43,0.81,1.262764156886772,,0.0849999999999999,47283.4,0.2885898680745034,850.0,0.0253590838134641,0.0169760678832051,0.0065037860976521,0.0001005950248679,3.6104635468598936e-06,4253447388671.5234,3749538349006.599,3244771826201.823,2932669094800.6694,2661087173514.9966,3.3519194936301964,0.9673258364188534,14257151785550.775,12568096530336.287,10876167073054.334,9830028351291.275,8919711537618.246,0.0001577026416907,0.0001390194937719,0.0001203045534401,0.0001087328985627,9.866361063977644e-05,8.756994541446767e-05,7.719546959167006e-05,6.680333991192092e-05,6.037777103682511e-05,5.478644432008146e-05
36,36,0.02,860,500000.0,17.15,2.43,0.81,1.2654602043467365,,0.0859999999999999,47582.3,0.3061039468634725,860.0,0.0256559660212928,0.0168250671627431,0.0064563540765194,0.0001099516119738,-1.062151048045788e-06,4449305264216.711,3963325564602.892,3433595589090.3994,3105061789689.8203,2822584494028.0806,3.3520557063654786,1.0260794366660917,14914347514438.217,13285313385605.793,11509625615394.088,10408359920296.502,9461478485498.031,0.0001669296317971,0.0001486965802306,0.0001288220999437,0.0001164961247835,0.0001058981037092,9.245886006850735e-05,8.235995105363225e-05,7.135188872221437e-05,6.452478678545823e-05,5.865476277021072e-05
37,37,0.02,870,500000.0,17.15,2.43,0.81,1.2682772400742597,,0.0869999999999999,47879.2,0.3247567772632859,870.0,0.0259449512477885,0.0166893717192849,0.006346640032612,0.000112814888119,-6.732821134188186e-06,4654356990584.236,4189522747808.293,3634236212149.919,3288345709789.1265,2994582243144.76,3.353288812231374,1.08900740534621,15607462521904.23,14048733133999.545,12186689931954.95,11026814773431.482,10041737284697.402,0.0001766597752225,0.0001590166264459,0.0001379402898494,0.0001248117441615,0.0001136617210561,9.759669258947398e-05,8.784963520022759e-05,7.620589377056092e-05,6.895295440711782e-05,6.279306104137285e-05
38,38,0.02,880,500000.0,17.15,2.43,0.81,1.2712189973769052,,0.0879999999999999,47932.4,0.3403207919453602,880.0,0.0262639170003694,0.0164256912128464,0.0063103873995616,0.0001206180991552,-5.370308080019835e-06,4808178879540.183,4374259276884.76,3799127105262.987,3439284800507.956,3138098022528.167,3.3506610380630937,1.140303447255469,16110631736661.244,14656709347989.955,12729629917494.488,11523916278210.309,10514738087142.678,0.0001846433403155,0.0001679799908707,0.0001458938064854,0.0001320751681191,0.0001205090150831,0.0001017055108785,9.252698071696248e-05,8.036143679628955e-05,7.274983449160675e-05,6.637894940356352e-05
39,39,0.02,890,500000.0,17.15,2.43,0.81,1.273117706303165,,0.0889999999999999,48364.5,0.3571811860881341,890.0,0.0264975891735275,0.0165364632005878,0.0064316560046611,0.0001269656347746,-6.645216564451886e-06,4973719700384.166,4574129724723.153,3977598505217.452,3602486448853.2627,3293567716918.6846,3.358850540306844,1.1997074540181187,16705831189202.926,15363680227665.035,13360038998871.65,12100104971996.168,11062502433501.072,0.0001931708864371,0.0001776514855742,0.0001544832188843,0.0001399144991321,0.000127916616485,0.0001060978719582,9.757394044880083e-05,8.484891838104066e-05,7.684714238166801e-05,7.025738219397944e-05
