,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
629,629,0.02,6790,100000.0,17.15,2.43,0.81,1.79601748694475,,997.0,0.6544173648358811,6790.0,0.8328238294579933,0.0003567252398899,0.0004477897569339,9.346720362311516e-06,-1.1349782113492478e-05,5019381188291.208,521164373688.4152,2436756251448.952,8.1529847728048,5.335454810565982,40922938397041.07,4249045202810.0,19866836613100.21,0.0009594068242464,9.961559760337996e-05,0.000465762708383,0.0001327738119852,1.3785958461761065e-05,6.445763018328622e-05
630,630,0.02,6800,100000.0,17.15,2.43,0.81,1.79717806739436,,980.0,0.6401771978521839,6800.0,0.914230484624568,0.0003650937500222,0.0004006819615725,-7.290412584363198e-07,-2.976156339931597e-06,4910159107526.25,501449977456.66656,2370675985738.166,7.43794930749049,4.761605545435853,36521514533492.99,3729759512564.935,17632967806405.527,0.0009376119919725,9.575362059389972e-05,0.0004526888405515,0.0001295741110217,1.3232755523390311e-05,6.255973108934165e-05
631,631,0.02,6810,100000.0,17.15,2.43,0.81,1.79833578017,,981.0,0.6361453139790566,6810.0,0.9938077718306886,0.0003762666102897,0.0005062656455887,4.355708565077346e-06,2.3312061892657563e-06,4879234558219.364,490123020154.6938,2342771238852.842,6.852431821352464,4.359142392514342,33434622150585.004,3358534579685.399,16053680187264.549,0.0009308410635714,9.350373053763202e-05,0.0004469446274118,0.0001284551648319,1.290342421350844e-05,6.167792551466718e-05
632,632,0.02,6820,100000.0,17.15,2.43,0.81,1.79949454191591,,1033.0,0.6633164600486379,6820.0,0.8575001246590546,0.0003787156855145,0.0005024367041534,5.05742142255487e-06,-1.0861344801752443e-06,5087637248573.053,502539542868.9334,2429307877479.7256,7.9533516134608835,5.275589037762996,40463767919642.18,3996873684104.526,19321139726946.61,0.0009696896999597,9.578265798709784e-05,0.0004630194158366,0.0001336274304715,1.3199264126538371e-05,6.380607610792144e-05
633,633,0.02,6830,100000.0,17.15,2.43,0.81,1.8006543413666,,1015.0,0.6437176443562754,6830.0,0.9809446324888996,0.0004164244829871,0.0004327073287001,-2.2708791944496044e-08,-1.3008821818833424e-05,4937314332212.633,479599776893.4461,2344975573581.3467,6.962676356840445,4.481997622840465,34376921767186.367,3339298027321.949,16327305983543.203,0.0009400411343684,9.13135133755482e-05,0.0004464721810142,0.0001293713255776,1.2566843978038043e-05,6.144486212314115e-05
634,634,0.02,6840,100000.0,17.15,2.43,0.81,1.80181516717552,,1003.0,0.6264768784813056,6840.0,1.042189516372673,0.0003287635776723,0.0005118587639135,1.1435530825441116e-05,-1.3160365640437957e-05,4805077657951.614,458946571434.9674,2270812597969.824,6.563105742808208,4.111633998897217,31536232771541.65,3012114878626.972,14903583202576.98,0.0009139917274996,8.729793762265981e-05,0.0004319397264707,0.0001256081678744,1.1997191740447984e-05,5.936066601235996e-05
635,635,0.02,6850,100000.0,17.15,2.43,0.81,1.80297700791476,,953.0,0.6055053626300277,6850.0,0.9821519725774124,0.0003634676848754,0.0003930715962754,-9.176398604957584e-07,9.617903763240572e-06,4644226131372.3125,436052681328.85657,2183819382107.947,6.97448072320609,4.223085479461042,32391065627466.188,3041241020230.4385,15231006183475.71,0.0008825463312941,8.286347031169399e-05,0.0004149930966688,0.0001211178111022,1.1371915318906046e-05,5.695231367328334e-05
636,636,0.02,6860,100000.0,17.15,2.43,0.81,1.8041398520748,,998.0,0.6459717018719002,6860.0,1.0868926090060995,0.0002749857227337,0.0003805586989499,7.763605176937908e-07,-2.072843800103052e-06,4954602953357.475,457387348722.0048,2318054898045.9883,6.311571118579115,4.077096336954083,31271328904437.82,2886832780197.28,14630568345787.914,0.0009406148582811,8.683346380080865e-05,0.0004400749969149,0.0001289089591323,1.1900313223710864e-05,6.031119888554382e-05
637,637,0.02,6870,100000.0,17.15,2.43,0.81,1.80530368806424,,1035.0,0.6776169276305346,6870.0,1.130119482118971,0.0002932976337377,0.000433173703781,-2.487801372927004e-07,-1.1741946278629445e-06,5197321834926.2,471604609815.1459,2419328757394.948,6.0790032458504015,4.119235502509197,31594536304245.53,2866885953824.284,14707107368983.11,0.0009856726676462,8.94398670305439e-05,0.0004588259695964,0.000134905843912,1.2241346582077242e-05,6.279803292606979e-05
638,638,0.02,6880,100000.0,17.15,2.43,0.81,1.80646850420952,,1013.0,0.6673373031090882,6880.0,1.0110745139563733,0.000348581589091,0.0003685848285752,4.46313679062599e-06,6.748047320951848e-06,5118477114846.707,456384995427.738,2370529083191.4272,6.804641898328835,4.540991373053871,34829403831323.195,3105536461656.2,16130601520691.426,0.0009697630619487,8.6468162436382e-05,0.0004491280297974,0.0001325474053595,1.1818485387680249e-05,6.138690713201784e-05
