,Simulation Number,ExitSlit.openingHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,M1.slopeErrorMer,M1.slopeErrorSag,PremirrorM2.slopeErrorMer,PremirrorM2.slopeErrorSag,PG.slopeErrorMer,PG.slopeErrorSag,M3.slopeErrorSag,M3.slopeErrorMer,KB_ver.slopeErrorMer,KB_ver.slopeErrorSag,KB_hor.slopeErrorMer,KB_hor.slopeErrorSag,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
28,28,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3991950000000.0,155.0,0.0775,50.0,0.0007745834086989,0.0299447256806415,0.0015442756458207,0.0161540428037335,-5.928670238370152e-05,3093761250.0,64.55082750091857,5.002689131321189,199704848777.7762,6.379350015854139e-09,1.8068607897303518e-09
29,29,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3991950000000.0,157.0,0.0785,50.0,0.0010867515520942,0.0191224971827363,0.0016770703839636,0.0173759630582748,4.057056056612025e-06,3133680750.0,46.00867595141323,3.611681062185939,144176502161.93158,6.461664209607096e-09,1.830175122501066e-09
30,30,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3991950000000.0,141.0,0.0705,50.0,0.0005924532436125,0.0398003737661061,0.0016589565776522,0.0189607867698161,-4.2650146205604216e-05,2814324750.0000005,84.39484556640781,5.949836612431751,237514502649.9693,5.803150659583443e-09,1.6436604603353523e-09
31,31,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3991950000000.0,168.0,0.084,50.0,0.0005135675891025,0.0126389196826047,0.0017051808811793,0.0180341679996605,7.040683983751091e-05,3353238000.0,97.35816874146974,8.178086174283457,326465111034.3085,6.9143922752483565e-09,1.9584039527399942e-09
32,32,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3991950000000.0,179.0,0.0895,50.0,0.0004640595141012,0.0343725820948244,0.0014555851955911,0.0166475658354721,-5.431604144841188e-05,3572795250.0,107.74480100217014,9.643159689694226,384950113232.7487,7.367120340889619e-09,2.086632782978922e-09
33,33,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3991950000000.0,146.0,0.073,50.0,0.0003791071982774,0.1465418755005688,0.0008024113270295,0.0258424420405324,4.8352523948085256e-05,2914123500.0,131.88881727168234,9.62788366083281,384340301798.61536,6.008936143965834e-09,1.7019462922621379e-09
34,34,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3991950000000.0,161.0,0.0805,50.0,0.0002779860788706,0.0286484999015636,0.0019932513012051,0.0175365334772254,-6.434382250444434e-06,3213519750.0,179.86512203464454,14.479142323788889,578000121994.4905,6.626292597113009e-09,1.876803788042494e-09
35,35,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,3991950000000.0,170.0,0.0849999999999999,50.0,0.0002920014520242,0.0228011293111378,0.0010119113733057,0.0169406291842491,0.0001002503211796,3393157499.9999995,171.23202522927784,14.554722144488617,581017230646.9132,6.996706469001313e-09,1.981718285510708e-09
36,36,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3991950000000.0,159.0,0.0795,50.0,0.0006502498784044,0.0212232967675877,0.0021856557228223,0.0181454707307236,-5.307559250502168e-05,3173600250.0,76.89351687798437,6.113034591799757,244029284387.3504,6.543978403360052e-09,1.8534894552717798e-09
37,37,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3991950000000.0,146.0,0.073,50.0,0.0015013720340704,0.0283751174015204,0.0039875288178824,0.0179310926885545,-0.0003842314405397,2914123500.0,33.3028715503935,2.4311096231787253,97048680602.48312,6.008936143965834e-09,1.7019462922621379e-09
38,38,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,3991950000000.0,156.0,0.078,50.0,0.0003578938209045,0.0241457296308428,0.0016696152204861,0.0159708086156073,-3.1134437528859745e-05,3113721000.0,139.70623989435384,10.8970867117596,435006252990.0873,6.4205071127306174e-09,1.8185179561157086e-09
39,39,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3991950000000.0,166.0,0.083,50.0,0.0008755398666266,0.0224387835774126,0.0011533040149678,0.016564830619815,-4.417266022393754e-05,3313318500.0,57.1076222863973,4.739932649770976,189215741412.53247,6.832078081495401e-09,1.9350896199692803e-09
40,40,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,3991950000000.0,149.0,0.0745,50.0,0.0003214809486919,0.0290630741345023,0.0019309719107466,0.0177305122117985,8.59723511136081e-05,2974002750.0,155.53021167641094,11.587000769892615,462547277233.7283,6.132407434595269e-09,1.736917791418209e-09
41,41,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3991950000000.0,160.0,0.08,50.0,0.0006070296620066,0.0187212873983442,0.0014297579767548,0.0160014392242227,0.0001011809734503,3193560000.0,82.36829784349487,6.58946382747959,263048101261.07144,6.585135500236531e-09,1.865146621657137e-09
42,42,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,3991950000000.0,161.0,0.0805,50.0,0.0001577474929064,0.0193884285051035,0.0018247069041957,0.0153032418109098,7.904085433218218e-06,3213519750.0,316.96224820295646,25.515460980337995,1018564444604.6024,6.626292597113009e-09,1.876803788042494e-09
43,43,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,3991950000000.0,153.0,0.0765,50.0,0.0004936697889448,0.0235763316227968,0.0015775717594025,0.0209633466306553,-9.557263986509808e-05,3053841750.0,101.28227637115528,7.748094142393381,309300044117.2725,6.297035822101183e-09,1.7835464569596375e-09
44,44,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,3991950000000.0,180.0,0.09,50.0,0.0006970672590469,0.0285358624525434,0.0017312253441318,0.0166429188411275,-1.3239898276104107e-05,3592755000.0,71.7290897701345,6.455618079312105,257705045917.0996,7.408277437766097e-09,2.0982899493642796e-09
45,45,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,3991950000000.0,163.0,0.0815,50.0,0.0006289720082008,0.0130835807952173,0.0013416731766184,0.0181691306483991,-8.638378529990704e-05,3253439250.0,79.49479364434659,6.478825682014247,258631481813.1677,6.708606790865965e-09,1.900118120813208e-09
46,46,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3991950000000.0,188.0,0.094,50.0,0.0004916414910383,0.0216465113708849,0.0015594758076527,0.0163199398887965,-5.993001440392451e-06,3752433000.0,101.70012277524408,9.55981154087294,381622896805.87744,7.737534212777924e-09,2.191547280447136e-09
47,47,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,3991950000000.0,176.0,0.088,50.0,0.0003653461371726,0.0323086173299551,0.0018071508377307,0.0175817917929438,-0.0001087245846982,3512916000.0000005,136.85651745750258,12.043373536260226,480765449880.7402,7.243649050260185e-09,2.051661283822851e-09
48,48,0.02,50,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3991950000000.0,159.0,0.0795,50.0,0.0016393588705767,0.0143722550870047,0.0019394956696797,0.0155393618696382,-3.53860664525751e-05,3173600250.0,30.499728215341324,2.4247283931196355,96793945089.13928,6.543978403360052e-09,1.8534894552717798e-09
49,49,0.02,300,2.25,200000.0,0.01715,0.00243,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6613990000000.0,1557.0,0.7785,300.0,0.0092533267282988,0.0258486461866082,0.0018614263352126,0.0139938489578592,-1.889028757565541e-05,51489912150.0,32.420772421504424,25.23957133014119,1669342723818.4055,6.581206174463728e-07,3.587172277220825e-07
50,50,0.02,300,2.25,200000.0,0.01715,0.00243,0.81,0.5,1.5,0.05,0.5,0.05,0.5,1.0,0.3,0.05,0.1,0.05,0.1,6613990000000.0,1568.0,0.784,300.0,0.014637354571505,0.0367347646283754,0.0018494787969251,0.0124937935121536,1.4493926212864492e-05,51853681600.0,20.49550678945896,16.068477322935824,1062767483291.2428,6.62770152958197e-07,3.612515177059893e-07
