,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
14,14,2.5,0.012,1200,1,100000.0,800,,25000.0,25.0,,0.19977792265000005,0.013147434484400757,0.00927111582043208
15,15,2.5,0.012,1200,1,100000.0,850,,25000.0,25.0,,0.21236494553576793,0.012554789047912835,0.008944146047578937
16,16,2.5,0.012,1200,1,100000.0,900,,25000.0,25.0,,0.2245782243393677,0.012810119441729332,0.008623973905053827
17,17,2.5,0.012,1200,1,100000.0,950,,25000.0,25.0,,0.2373295759332734,0.012893332639121813,0.008511504709896364
18,18,2.5,0.012,1200,1,100000.0,1000,,25000.0,25.0,,0.2494381405909536,0.01208667237833497,0.00874421121356572
19,19,2.5,0.012,1200,1,100000.0,1050,,25000.0,25.0,,0.2408601091896665,0.01182024631572724,0.007839257210217096
20,20,2.5,0.012,1200,1,100000.0,1100,,25000.0,25.0,,0.2738776052910197,0.011970571293456567,0.008306476678891998
21,21,2.5,0.012,1200,1,100000.0,1150,,25000.0,25.0,,0.28652584996555674,0.012435801641102385,0.008079989357222284
22,22,2.5,0.012,1200,1,100000.0,1200,,25000.0,25.0,,0.29895376354102154,0.011472787105389607,0.007918994654573838
23,23,2.5,0.012,1200,1,100000.0,1250,,25000.0,25.0,,0.3122848394057769,0.012131270425863871,0.007607921086511398
24,24,2.5,0.012,1200,1,100000.0,1300,,25000.0,25.0,,0.32435751720414885,0.011752458808717864,0.007257887742338374
25,25,2.5,0.012,1200,1,100000.0,1350,,25000.0,25.0,,0.33721774573675134,0.011038768154416827,0.007239621742357791
26,26,2.5,0.012,1200,1,100000.0,1400,,25000.0,25.0,,0.3497741924510649,0.011173336249643916,0.007474627682372061
27,27,2.5,0.012,1200,1,100000.0,1450,,25000.0,25.0,,0.36228687830355,0.011171073979041515,0.007405849550358118
28,28,2.5,0.012,1200,1,100000.0,1500,,25000.0,25.0,,0.37458784823061814,0.01117077763807144,0.0067449084300427965
29,29,2.5,0.012,1200,1,100000.0,1550,,25000.0,25.0,,0.3872576223613464,0.010973243346453405,0.006646785482789158
30,30,2.5,0.012,1200,1,100000.0,1600,,25000.0,25.0,,0.39946446348277215,0.010732570044444827,0.0065731748629546645
31,31,2.5,0.012,1200,1,100000.0,1650,,25000.0,25.0,,0.4116712026469145,0.010840373292318232,0.006507587863820299
32,32,2.5,0.012,1200,1,100000.0,1700,,25000.0,25.0,,0.42451146241030807,0.010777266828723308,0.006640974174528319
33,33,2.5,0.012,1200,1,100000.0,1750,,25000.0,25.0,,0.43697161684136177,0.0111164030520965,0.006483947529607213
34,34,2.5,0.012,1200,1,100000.0,1800,,25000.0,25.0,,0.4489340686005363,0.010998898042141918,0.006495390005315897
35,35,2.5,0.012,1200,1,100000.0,1850,,25000.0,25.0,,0.46211594409831486,0.011096671183104407,0.006087006258126656
