,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.cFactor,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
10,10,0.02,86,2.25,100000.0,17.15,2.43,0.81,,0.086,235.0,0.235,86.0,0.0029184093240814,0.0189309921413899,0.002453000532513,0.0008451145382229,-7.390485947064314e-05,3443820400076.286,2272215000000.0,1868720000000.0,1643355000000.0,1491310000000.0,1378745000000.0,29.46810760586732,6.925005287378821,101482870124729.05,66957876123665.81,55067642045236.38,48426561974640.086,43946083553705.99,40629006021051.54,1.2697074966696171e-05,8.377464804730367e-06,6.889812816963065e-06,6.058911095199034e-06,5.49833402118305e-06,5.083316372877554e-06,5.447109196313813e-06,3.5939746515898503e-06,2.955764446110507e-06,2.5993034169580954e-06,2.3588130250273235e-06,2.1807683608312806e-06
11,11,0.02,86,5.0,100000.0,17.15,2.43,0.81,,0.086,195.0,0.1949999999999999,86.0,0.0014148603272587,0.0184704412129429,0.0038371447046241,0.003013218440384,-0.0005447223161817,2857638204318.62,1885455000000.0,1550639999999.9998,1363634999999.9998,1237469999999.9998,1144064999999.9998,60.78338500494944,11.852760075965138,173696923177951.03,114604337174506.92,94253148124074.78,82886351211224.22,75217615442074.77,69540143365687.46,1.0535870717045756e-05,6.951513348606049e-06,5.717078720458713e-06,5.027607078994941e-06,4.562447379279552e-06,4.218071032813288e-06,4.519941673536992e-06,2.982234285361791e-06,2.4526556042193567e-06,2.156868792795015e-06,1.95731293566097e-06,1.8095737462217008e-06
12,12,0.02,96,2.25,100000.0,17.15,2.43,0.81,,0.096,295.0,0.295,96.0,0.0013424201231089,0.0254251719859229,0.0051791718835225,0.0007134534886215,0.0002385172887695,4314298321299.639,2852355000000.0,2345840000000.0,2062935000000.0,1872070000000.0,1730765000000.0,71.51263479101665,21.09622726334992,308526840230597.3,203979421409330.3,167757199198158.5,147525917252605.94,133876658213218.56,123771565354073.95,1.78097910492167e-05,1.1774764461092149e-05,9.68382738593492e-06,8.515971442384671e-06,7.728064460656818e-06,7.1447453814487154e-06,8.133746040492543e-06,5.377544494962101e-06,4.422611834102661e-06,3.8892510759406325e-06,3.529413317305771e-06,3.263011019954768e-06
13,13,0.02,96,5.0,100000.0,17.15,2.43,0.81,,0.096,224.0,0.2239999999999999,96.0,0.0008651185680719,0.0114078420132423,0.0069902890295281,0.0006612147080061,6.274157963878086e-05,3275941776173.2847,2165856000000.0,1781247999999.9998,1566431999999.9998,1421503999999.9998,1314208000000.0,110.96744832786796,24.856708425442424,363522899772613.0,240339513765602.8,197660545399118.16,173822962019118.88,157740671667857.62,145834308332070.72,1.352336676279505e-05,8.940838099269969e-06,7.35314350660821e-06,6.4663647562514105e-06,5.868089624363141e-06,5.425162594727161e-06,6.176132586679083e-06,4.083288023293257e-06,3.3581866130135457e-06,2.953194037324412e-06,2.679961298564381e-06,2.477676164304637e-06
14,14,0.02,106,2.25,100000.0,17.15,2.43,0.81,,0.106,351.0,0.351,106.0,0.0033918030168109,0.025046866410734,0.0059270451792109,0.0006176058394392,0.0002029896785595,5124660054817.276,3393819000000.0005,2791152000000.0005,2454543000000.0005,2227446000000.0005,2059317000000.0,31.251814882711862,10.969387023831866,160154927369977.56,106063003133430.31,87228565613511.0,76708923457656.23,69611730053237.02,64357393668821.56,2.253013217049872e-05,1.4920636650010174e-05,1.227106243053893e-05,1.0791189584602456e-05,9.792776934632805e-06,9.053612082491436e-06,1.163620176177486e-05,7.706103859478945e-06,6.337670688858887e-06,5.57335653007925e-06,5.057703494906753e-06,4.675944910907329e-06
15,15,0.02,106,5.0,100000.0,17.15,2.43,0.81,,0.106,257.0,0.257,106.0,0.0014452275815983,0.015603570733586,0.0062641111940064,0.0011447128087064,0.0001602283375433,3752243971760.798,2484933000000.0,2043664000000.0,1797201000000.0002,1630922000000.0002,1507819000000.0002,73.34484986978141,18.849626416533823,275207770783588.1,182257037821465.6,149892229264277.0,131815437530821.06,119619729239323.66,110590758185803.95,1.6496421560735527e-05,1.0924796635477532e-05,8.984794998998589e-06,7.901241376760203e-06,7.170209892309488e-06,6.6289980205136725e-06,8.519953996513215e-06,5.642360945544412e-06,4.640402755090409e-06,4.080776718605034e-06,3.703218798265058e-06,3.4236975558495263e-06
16,16,0.02,116,2.25,100000.0,17.15,2.43,0.81,,0.116,404.0,0.404,116.0,0.0034293258893711,0.015859038932684,0.0043895387944685,0.0006463622012827,3.536203157947711e-05,5880606700251.89,3901924380032.207,3212608000000.0,2825172000000.0,2563784000000.0,2370268000000.0,33.825889910180194,13.6656595237128,198916754847788.47,131986064516817.52,108669324532564.2,95563957049323.6,86722275337481.42,80176424425623.0,2.7804066555314293e-05,1.8448668766025777e-05,1.518951550429466e-05,1.3357681328160534e-05,1.2121814058130524e-05,1.1206852045233495e-05,1.633940301828738e-05,1.084158799286755e-05,8.926306336644779e-06,7.849806364707864e-06,7.123533703766067e-06,6.585844979513949e-06
17,17,0.02,116,5.0,100000.0,17.15,2.43,0.81,,0.116,278.0,0.2779999999999999,116.0,0.0022131761060109,0.0181111834071466,0.004632908290648,-2.4484459611238084e-05,-5.393296208694055e-05,4046556095717.8833,2684987568438.003,2210655999999.9995,1944054000000.0,1764187999999.9998,1631025999999.9998,52.41336181289336,14.57091458398435,212093608741030.53,140729224887661.84,115867912771843.56,101894405685802.58,92467023949964.69,85487555864236.19,1.9132501243508345e-05,1.269487603206724e-05,1.0452191361866126e-05,9.191671805021356e-06,8.341248287525458e-06,7.711645714294337e-06,1.1243450591791808e-05,7.4603006485573724e-06,6.142359310859525e-06,5.401599429180164e-06,4.901837548631105e-06,4.531843822536825e-06
18,18,0.02,126,2.25,100000.0,17.15,2.43,0.81,,0.126,428.0,0.428,126.0,0.0035470753026629,0.0162357100391148,0.0052082311271742,-0.000374001488479,5.179407970299305e-05,6212927253169.419,4129057170470.903,3403456000000.0,2993004000000.0,2716088000000.0,2511076000000.0,35.52222302847806,15.203511456188608,220696987546793.7,146673289706803.94,120898323099611.8,106318155613126.94,96481483700972.9,89199001713458.56,3.165430906993142e-05,2.1037177246011825e-05,1.7340304133603657e-05,1.5249087878054625e-05,1.3838225607626865e-05,1.279370779072594e-05,1.977063897865274e-05,1.3139393930285175e-05,1.0830402017246132e-05,9.524270788053597e-06,8.64307484927615e-06,7.990690220722214e-06
19,19,0.02,126,5.0,100000.0,17.15,2.43,0.81,,0.126,354.0,0.354,126.0,0.0022072438325722,0.0170650174611336,0.0064192883218897,0.0006444831329066,-8.58165197339599e-05,5138729550518.632,3415154762492.289,2815008000000.0,2475522000000.0,2246484000000.0,2076918000000.0,57.08476704776489,20.208007534908774,293343179312821.7,194953314048937.2,160694075917594.56,141314596691617.06,128240015816531.06,118560380207309.78,2.6181367782139537e-05,1.7399908282916324e-05,1.4342214166578726e-05,1.2612563338390976e-05,1.1445635198831564e-05,1.0581711583918182e-05,1.635235093094175e-05,1.0867629559161106e-05,8.957855874077408e-06,7.877551072362087e-06,7.148711440756443e-06,6.609122285363701e-06
20,20,0.02,136,2.25,100000.0,17.15,2.43,0.81,,0.136,498.0,0.498,136.0,0.0035836696058879,0.019054265638075,0.0061691814684509,0.0007439688791405,1.4469954395663694e-05,7211319578947.369,4798574095935.555,3960096000000.0,3482514000000.0,3160308000000.0,2921766000000.0,37.94992701797963,18.899063654953856,273669051724380.28,182105536731121.9,150285354184193.1,132161152139092.31,119933457954337.16,110880806463614.28,3.980311619348791e-05,2.6485887944999925e-05,2.185788044750264e-05,1.922185085128093e-05,1.7443424210242927e-05,1.6126783775842304e-05,2.5276446308587404e-05,1.6819515369668046e-05,1.3880559975884865e-05,1.2206583992877622e-05,1.1077217505906104e-05,1.0241102286030747e-05
21,21,0.02,136,5.0,100000.0,17.15,2.43,0.81,,0.136,411.0,0.411,136.0,0.0021799112034841,0.0159654597074252,0.0054455757408181,0.00059559209982,2.445743354483339e-05,5951510736842.105,3960268982790.1865,3268272000000.0,2874123000000.0,2608206000000.0,2411337000000.0,62.387862304955895,25.64141140733687,371302032356571.8,247072715988901.9,203900503511142.8,179310389971506.75,162720396790959.78,150438160726845.4,3.284955975004724e-05,2.1858835231716807e-05,1.803933506811965e-05,1.58638166664186e-05,1.4396079016887237e-05,1.3309454080062624e-05,2.086068159202695e-05,1.3881166299063389e-05,1.1455642871664016e-05,1.0074108476049604e-05,9.142040953669495e-06,8.451994055338628e-06
22,22,0.02,146,2.25,100000.0,17.15,2.43,0.81,,0.146,503.0,0.503,146.0,0.0039510217796987,0.0171474024945681,0.0069314092094294,0.0001655937678697,-6.447959097772917e-05,7257175744062.046,4839505688088.282,3999856000000.0,3517479000000.0,3192038000000.0,2951101000000.0,36.95246651136709,18.587090655217647,268170543649558.28,178831671870652.78,147804544890290.72,129979524951936.98,117953677298011.2,109050460874161.94,4.309489834943823e-05,2.873817763891671e-05,2.3752130830430784e-05,2.0887657305986223e-05,1.8955108431830203e-05,1.752436513859877e-05,2.7771222042178347e-05,1.851946153408955e-05,1.5306352364916578e-05,1.3460427827950402e-05,1.2215054339507116e-05,1.1293054492576152e-05
23,23,0.02,146,5.0,100000.0,17.15,2.43,0.81,,0.146,405.0,0.4049999999999999,146.0,0.0025153859453439,0.0221301141444306,0.005835142726031,0.0017415449030459,1.0753852429313709e-05,5843252835676.2,3896619888023.3687,3220560000000.0,2832165000000.0,2570130000000.0,2376135000000.0,58.04278276669633,23.50732702051201,339158654992036.0,226170661684928.97,186930264467111.5,164386737854440.5,149177497272169.25,137917487629343.95,3.469867560938864e-05,2.313908935141405e-05,1.9124479098060573e-05,1.681809385472052e-05,1.5262065437159506e-05,1.4110075310402588e-05,2.236052669400046e-05,1.4911296066215249e-05,1.2324200214296649e-05,1.0837919026480942e-05,9.83518291749579e-06,9.092817235573244e-06
24,24,0.02,156,2.25,100000.0,17.15,2.43,0.81,,0.156,547.0,0.547,156.0,0.0048020660286738,0.0131108459129902,0.0052915264844892,0.0008002688377797,4.459085889821867e-05,7865449966566.955,5255099096109.84,4349744000000.0,3825171000000.0,3471262000000.0,3209249000000.0,32.4860172826657,17.769851453618138,255517143549836.4,170717240058345.12,141305858759171.44,124264571215151.62,112767477324660.7,104255718478377.6,5.012626857751405e-05,3.3490583477454604e-05,2.772078354248269e-05,2.437769609061637e-05,2.2122245015165382e-05,2.045244429624572e-05,3.2203985804717666e-05,2.1516268924582868e-05,1.780941899390104e-05,1.5661628146925297e-05,1.4212597200112678e-05,1.313982158415712e-05
25,25,0.02,156,5.0,100000.0,17.15,2.43,0.81,,0.156,442.0,0.442,156.0,0.0029029443773538,0.0179424908709216,0.0063642647707438,0.0007637557188618,0.000297557147231,6355628674995.602,4246350640732.2656,3514784000000.0005,3090906000000.0,2804932000000.0,2593214000000.0,53.73854256973438,23.7524358158226,341542222108675.6,228192694673009.7,188879369607421.3,166100783660047.4,150732957687210.2,139355540931431.16,4.050422433502963e-05,2.7061860872093115e-05,2.239960937070813e-05,1.969824802934632e-05,1.787574460091974e-05,1.6526472356381366e-05,2.6022233502166745e-05,1.7386089332112663e-05,1.4390791947539784e-05,1.2655282707387536e-05,1.1484402125136751e-05,1.061755235867906e-05
26,26,0.02,166,2.25,100000.0,17.15,2.43,0.81,,0.166,591.0,0.5910000000000001,166.0,0.0055112402623649,0.0178330752803721,0.0063460805360818,0.0004414873102958,0.0001151205886194,8466938673235.969,5669228171344.166,4699632000000.001,4132863000000.001,3750486000000.001,3467397000000.0005,30.1202618825345,17.80107477257789,255026410181226.6,170758637192728.44,141554146591539.4,124482915884637.2,112965620506779.31,104438905690714.48,5.728787300469049e-05,3.835837674615538e-05,3.179802424172776e-05,2.7963227304125032e-05,2.537603896353174e-05,2.346063986748199e-05,3.650341830554264e-05,2.4441680209908742e-05,2.026147104624634e-05,1.7817966175352193e-05,1.6169428478304738e-05,1.4948950028713186e-05
27,27,0.02,166,5.0,100000.0,17.15,2.43,0.81,,0.166,410.0,0.41,166.0,0.0034124269139965,0.0181879594141836,0.0058907783014055,0.0009193067368247,3.5271111774273175e-05,5873849164173.853,3932967090103.3975,3260320000000.0005,2867130000000.0,2601860000000.0,2405470000000.0,48.64573049729701,19.94474950389177,285737683422174.5,191322057119908.3,158600648054947.4,139473633280715.16,126569380351697.2,117015845339333.05,3.974285606078359e-05,2.661071821645297e-05,2.205954304417662e-05,1.9399193222827853e-05,1.7604358671824045e-05,1.6275570804852138e-05,2.5323860415012653e-05,1.695615716761859e-05,1.4056181267277491e-05,1.236102560388223e-05,1.1217370010329848e-05,1.0370675992846708e-05
28,28,0.02,176,2.25,100000.0,17.15,2.43,0.81,,0.176,580.0,0.58,176.0,0.005896290350023,0.0207484103339525,0.0065416307227776,0.0002251284815151,0.0001308207398943,8277204590372.968,5554760362173.038,4612160000000.0,4055940000000.0,3680680000000.0,3402860000000.0,29.84927633343436,17.312580273391927,247068567086414.1,165805577016510.9,137669638334012.6,121066873851829.72,109865634414945.16,101572908463990.44,5.982599646255713e-05,4.014870843765656e-05,3.333577958984753e-05,2.931553152311416e-05,2.660322651875911e-05,2.459519854799239e-05,3.731963788795534e-05,2.504488598865532e-05,2.079496032773019e-05,1.8287117400882445e-05,1.659517331989132e-05,1.5342559386669143e-05
29,29,0.02,176,5.0,100000.0,17.15,2.43,0.81,,0.176,471.0,0.471,176.0,0.0024407654142635,0.0211502377626893,0.00529239324339,0.0004502600219688,-8.021430806565118e-06,6721660969078.737,4510848501006.036,3745392000000.0,3293703000000.0,2988966000000.0,2763357000000.0,72.1085275018559,33.96311645337413,484689074846965.5,325270643191499.25,270074702037231.03,237504073358445.28,215529937013112.25,199261604231946.0,4.85828350583869e-05,3.26035201278211e-05,2.707095204623825e-05,2.3806233357563394e-05,2.1603654638509555e-05,1.997299744155933e-05,3.0306119733149936e-05,2.0338174656304577e-05,1.6886941921311927e-05,1.4850400510026951e-05,1.347642523046347e-05,1.2459216329519254e-05
30,30,0.02,186,2.25,100000.0,17.15,2.43,0.81,,0.186,473.0,0.473,186.0,0.0066294615195943,0.0162379450636904,0.0066560880715698,0.0003545023611951,2.400821973390961e-06,6723272295223.688,4521543398447.606,3757446989214.4,3307689000000.0,3001658000000.0,2775091000000.0,28.056577363070986,13.270761092732574,188632009283935.2,126859032159028.16,105421102140531.95,92802432321478.88,84216249894480.92,77859555331062.02,5.167209570026298e-05,3.475058170163012e-05,2.8878074825748496e-05,2.5421433946105065e-05,2.3069415103958635e-05,2.132812140165857e-05,3.152327880971123e-05,2.1200074448975e-05,1.7617470162239613e-05,1.5508698440919806e-05,1.407381671758574e-05,1.3011516338177678e-05
31,31,0.02,186,5.0,100000.0,17.15,2.43,0.81,,0.186,409.0,0.409,186.0,0.0033533241081897,0.0157473148613975,0.0059269391673383,0.0011587879623582,-0.0002844232116046,5813569489950.292,3909748942843.702,3249039785599.7666,2860137000000.0,2595514000000.0,2399603000000.0,55.4673494118074,22.68614590942922,322463290228895.75,216863410725156.2,180215625040726.03,158644218344638.56,143966281941237.88,133099618050621.28,4.46805224976904e-05,3.004860024517277e-05,2.4970682037486543e-05,2.1981747323376263e-05,1.9947972045494888e-05,1.844228679340033e-05,2.725797258598709e-05,1.83315654326232e-05,1.5233710985953491e-05,1.341026989923087e-05,1.2169537077151309e-05,1.1250972901299514e-05
32,32,0.02,196,2.25,100000.0,17.15,2.43,0.81,,0.196,295.0,0.295,196.0,0.0051709160058805,0.0162974029209712,0.0055714015116406,-0.0003799355161399,-0.0002908147785877,4175199714007.15,2814722460735.8594,2340513389456.252,2062935000000.0,1872070000000.0,1730765000000.0,37.90430936745056,11.181771263397914,158258061630618.1,106690110935243.72,88715543592610.06,78194126444941.61,70959520437523.17,65603452002355.56,3.396340670041875e-05,2.289652477270977e-05,1.9039043298263204e-05,1.678106562578874e-05,1.5228463100422614e-05,1.407900929879916e-05,2.0296118177584e-05,1.3682684329695564e-05,1.1377500383815273e-05,1.0028160428400178e-05,9.100344069587807e-06,8.41344447782409e-06
33,33,0.02,196,5.0,100000.0,17.15,2.43,0.81,,0.196,316.0,0.316,196.0,0.0041482947597728,0.0170773253245248,0.0049351780049244,0.000591485688462,0.0001227314702664,4472417320766.981,3015092534211.972,2507126207010.7646,2209788000000.0,2005336000000.0,1853972000000.0,47.24833006098447,14.930472299271091,211314249742062.2,142458087220857.34,118457526533388.69,104408792788802.72,94748777211174.34,87597080979823.5,3.638114073671975e-05,2.4526446875173857e-05,2.039436502458025e-05,1.797564995847201e-05,1.6312523185537444e-05,1.508124385905266e-05,2.1740926590225573e-05,1.4656705926046776e-05,1.2187424139951276e-05,1.0742029475845614e-05,9.7481651728466e-06,9.012367644042072e-06
34,34,0.02,206,2.25,100000.0,17.15,2.43,0.81,,0.206,359.0,0.359,206.0,0.0056430591237131,0.0191425132370827,0.0055187422427308,-0.0001212655162672,6.293342062260255e-05,5055337895352.616,3418797599877.074,2844585245157.31,2510487000000.0,2278214000000.0,2106253000000.0,36.5050224503856,13.105303059688428,184545223364132.3,124803283136836.98,103841648236503.22,91645384296401.16,83166253216782.77,76888813051192.02,4.337288590507471e-05,2.9331989532950623e-05,2.440546484516664e-05,2.153902834413372e-05,1.9546213909891684e-05,1.8070853610043257e-05,2.542573513613108e-05,1.719478382215082e-05,1.4306792644267246e-05,1.2626451257270116e-05,1.1458238192283164e-05,1.0593363295639037e-05
35,35,0.02,206,5.0,100000.0,17.15,2.43,0.81,,0.206,351.0,0.351,206.0,0.003761431352359,0.0222689166475473,0.0059790515553784,0.0004054225588143,0.0001556843964144,4942684126096.848,3342612695144.438,2781196158914.251,2454543000000.0005,2227446000000.0005,2059317000000.0,54.766385639552446,19.22300135948291,270692944944314.25,183062815905944.03,152316061378339.88,134426448506864.02,121989166627278.58,112781348976086.23,4.240635919966914e-05,2.8678351883191285e-05,2.3861610475357915e-05,2.105904999663213e-05,1.911064368348742e-05,1.7668160493384917e-05,2.4859144938111447e-05,1.6811613152019326e-05,1.3987978323503631e-05,1.234508186992148e-05,1.1202901408054014e-05,1.0357299489608083e-05
36,36,0.02,216,2.25,100000.0,17.15,2.43,0.81,,0.216,445.0,0.445,216.0,0.0060935515850815,0.0140181941031159,0.0060833745514923,0.0002330200511834,0.0001200552110717,6234934834026.11,4229328010588.572,3521022851153.04,3111885000000.0,2823970000000.0,2610815000000.0,35.44730802457145,15.774052070934296,221011655574853.8,149918292728281.1,124810781566376.6,110307946132043.52,100102134442149.05,92546363500171.52,5.622392644313408e-05,3.813823773642711e-05,3.175105034096876e-05,2.806162341660164e-05,2.5465331360182177e-05,2.354319241887627e-05,3.2509752162174575e-05,2.2052260223543104e-05,1.8359066020008902e-05,1.6225768640770523e-05,1.4724542799131953e-05,1.3613125213127506e-05
