Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaXs,SU.electronSigmaY
358,2.25,0.02,1890,1,100000.0,0.01715,5.72,0.0024300000000000003
359,2.25,0.02,1895,1,100000.0,0.01715,5.72,0.0024300000000000003
360,2.25,0.02,1900,1,100000.0,0.01715,5.72,0.0024300000000000003
361,2.25,0.02,1905,1,100000.0,0.01715,5.72,0.0024300000000000003
362,2.25,0.02,1910,1,100000.0,0.01715,5.72,0.0024300000000000003
363,2.25,0.02,1915,1,100000.0,0.01715,5.72,0.0024300000000000003
364,2.25,0.02,1920,1,100000.0,0.01715,5.72,0.0024300000000000003
365,2.25,0.02,1925,1,100000.0,0.01715,5.72,0.0024300000000000003
366,2.25,0.02,1930,1,100000.0,0.01715,5.72,0.0024300000000000003
367,2.25,0.02,1935,1,100000.0,0.01715,5.72,0.0024300000000000003
368,2.25,0.02,1940,1,100000.0,0.01715,5.72,0.0024300000000000003
369,2.25,0.02,1945,1,100000.0,0.01715,5.72,0.0024300000000000003
370,2.25,0.02,1950,1,100000.0,0.01715,5.72,0.0024300000000000003
371,2.25,0.02,1955,1,100000.0,0.01715,5.72,0.0024300000000000003
372,2.25,0.02,1960,1,100000.0,0.01715,5.72,0.0024300000000000003
373,2.25,0.02,1965,1,100000.0,0.01715,5.72,0.0024300000000000003
374,2.25,0.02,1970,1,100000.0,0.01715,5.72,0.0024300000000000003
375,2.25,0.02,1975,1,100000.0,0.01715,5.72,0.0024300000000000003
376,2.25,0.02,1980,1,100000.0,0.01715,5.72,0.0024300000000000003
377,2.25,0.02,1985,1,100000.0,0.01715,5.72,0.0024300000000000003
378,2.25,0.02,1990,1,100000.0,0.01715,5.72,0.0024300000000000003
379,2.25,0.02,1995,1,100000.0,0.01715,5.72,0.0024300000000000003
380,2.25,0.02,2000,1,100000.0,0.01715,5.72,0.0024300000000000003
381,2.25,0.02,2005,1,100000.0,0.01715,5.72,0.0024300000000000003
382,2.25,0.02,2010,1,100000.0,0.01715,5.72,0.0024300000000000003
383,2.25,0.02,2015,1,100000.0,0.01715,5.72,0.0024300000000000003
384,2.25,0.02,2020,1,100000.0,0.01715,5.72,0.0024300000000000003
385,2.25,0.02,2025,1,100000.0,0.01715,5.72,0.0024300000000000003
386,2.25,0.02,2030,1,100000.0,0.01715,5.72,0.0024300000000000003
387,2.25,0.02,2035,1,100000.0,0.01715,5.72,0.0024300000000000003
388,2.25,0.02,2040,1,100000.0,0.01715,5.72,0.0024300000000000003
389,2.25,0.02,2045,1,100000.0,0.01715,5.72,0.0024300000000000003
390,2.25,0.02,2050,1,100000.0,0.01715,5.72,0.0024300000000000003
391,2.25,0.02,2055,1,100000.0,0.01715,5.72,0.0024300000000000003
392,2.25,0.02,2060,1,100000.0,0.01715,5.72,0.0024300000000000003
393,2.25,0.02,2065,1,100000.0,0.01715,5.72,0.0024300000000000003
394,2.25,0.02,2070,1,100000.0,0.01715,5.72,0.0024300000000000003
395,2.25,0.02,2075,1,100000.0,0.01715,5.72,0.0024300000000000003
396,2.25,0.02,2080,1,100000.0,0.01715,5.72,0.0024300000000000003
397,2.25,0.02,2085,1,100000.0,0.01715,5.72,0.0024300000000000003
398,2.25,0.02,2090,1,100000.0,0.01715,5.72,0.0024300000000000003
399,2.25,0.02,2095,1,100000.0,0.01715,5.72,0.0024300000000000003
400,2.25,0.02,2100,1,100000.0,0.01715,5.72,0.0024300000000000003
