,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
54,54,2.5,0.012,2400,1,100000.0,850,,252.3125,0.2523125,,0.00272077522794234,0.0017332953140912445,0.00036496134003795343
55,55,2.5,0.012,2400,1,100000.0,900,,266.5,0.26649999999999996,,0.002824480079823388,0.0015490215213147124,0.0003712925412096632
56,56,2.5,0.012,2400,1,100000.0,950,,278.25,0.27825,,0.0030529083184944734,0.0016441871557634964,0.0003613110928973824
57,57,2.5,0.012,2400,1,100000.0,1000,,292.0,0.292,,0.0031752444803743174,0.001721900933677193,0.0003653249996502158
58,58,2.5,0.012,2400,1,100000.0,1050,,291.3125,0.2913125,,0.003706089478754393,0.001516356083489886,0.00036176877340355864
59,59,2.5,0.012,2400,1,100000.0,1100,,296.6875,0.2966875,,0.003592948441294652,0.0015858429444540463,0.0003646181666297006
60,60,2.5,0.012,2400,1,100000.0,1150,,305.375,0.30537499999999995,,0.004030014094610124,0.0014678643114486051,0.0003707228681595378
61,61,2.5,0.012,2400,1,100000.0,1200,,300.375,0.300375,,0.004212740846398333,0.0016159431890002973,0.0003663222312368544
62,62,2.5,0.012,2400,1,100000.0,1250,,315.0625,0.3150625,,0.004950870296227095,0.0015224619292697654,0.0003685087908501316
63,63,2.5,0.012,2400,1,100000.0,1300,,321.3125,0.3213125,,0.004862666701100693,0.0013798355015243484,0.00037096187305238446
64,64,2.5,0.012,2400,1,100000.0,1350,,318.8125,0.3188125,,0.005115090687681345,0.0013940180708091527,0.0003705138080891197
65,65,2.5,0.012,2400,1,100000.0,1400,,328.375,0.328375,,0.004967630464804529,0.0013642284252543754,0.00037125376976061874
66,66,2.5,0.012,2400,1,100000.0,1450,,331.375,0.331375,,0.005338109996529283,0.0013843822524449829,0.0003758098181195809
67,67,2.5,0.012,2400,1,100000.0,1500,,346.375,0.346375,,0.005649019043417525,0.0014126498930901667,0.00035883191596126646
