,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
15,15,0.1,125,2.25,100000.0,1048480000000.0,348.0,0.348,125.0,0.0,0.0361726026390807,0.0057544643716698,3648710400.0,,,,1.8459121790628956e-08,1.1492146042784789e-08
16,16,0.1,130,2.25,100000.0,1060220000000.0,372.0,0.372,130.0,0.0,0.035805645833575,0.007465964128559,3944018400.0,,,,2.072248170549932e-08,1.3091438491437829e-08
17,17,0.1,135,2.25,100000.0,1071590000000.0,420.0,0.42,135.0,0.0030986976962352,0.0404833207355129,0.0062908143707381,4500678000.0,,,,2.4585971210518693e-08,1.5629552072426854e-08
18,18,0.1,140,2.25,100000.0,1082600000000.0,423.0,0.423,140.0,0.0027664999384053,0.0331881025265018,0.0068832068517931,4579398000.0,,,,2.6089402482085816e-08,1.6673455864148084e-08
19,19,0.1,145,2.25,100000.0,1093290000000.0,456.0,0.4559999999999999,145.0,0.0031944535505068,0.019953569534305,0.0058242856392428,4985402400.0,,,,2.9429573924834458e-08,1.891691798650689e-08
20,20,0.1,150,2.25,100000.0,1103660000000.0,430.0,0.43,150.0,0.0029492187490058,0.0315544674999312,0.0069640849302536,4745738000.0,,,,2.8961437803053244e-08,1.8800064967991383e-08
21,21,0.1,155,2.25,100000.0,1113740000000.0,470.0,0.47,155.0,0.0029150570643573,0.0356490817781209,0.0078932198316469,5234578000.0,,,,3.3131658898563486e-08,2.131308122017557e-08
22,22,0.1,160,2.25,100000.0,1123530000000.0,419.0,0.419,160.0,0.003681295592451,0.030408699668414,0.0085678234225672,4707590700.0,,,,3.074645862328428e-08,1.9715510352799283e-08
23,23,0.1,165,2.25,100000.0,1133070000000.0,411.0,0.411,165.0,0.0027038120435984,0.0312103881460127,0.006834845840121,4656917700.0,,,,3.1292118864340727e-08,1.9979311158494472e-08
24,24,0.1,170,2.25,100000.0,1142350000000.0,373.0,0.373,170.0,0.0035756854145341,0.0262033313095045,0.0033073828237772,4260965500.0,,,,2.9550207977108293e-08,1.873791985857396e-08
25,25,0.1,175,2.25,100000.0,1151390000000.0,341.0,0.3409999999999999,175.0,0.0077154006160341,0.0233065332572465,0.0065350273460386,3926239900.0,,,,2.8199232241707453e-08,1.7628077036185633e-08
26,26,0.1,180,2.25,100000.0,1160210000000.0,367.0,0.367,180.0,0.006636707835516,0.0362254263269391,0.0065261170847108,4257970700.0,,,,3.161520683820318e-08,1.9527049138978697e-08
27,27,0.1,185,2.25,100000.0,1168800000000.0,270.0,0.27,185.0,0.0102567581104658,0.0271678725655021,0.0069501737629836,3155760000.0,,,,2.4122442866870248e-08,1.4741341255771912e-08
28,28,0.1,190,2.25,100000.0,1177190000000.0,106.0,0.106,190.0,0.0043251393982881,0.0347517677839011,0.0091126292757122,1247821400.0,,,,9.810878491137e-09,5.939291561952631e-09
29,29,0.1,195,2.25,100000.0,1185380000000.0,181.0,0.181,195.0,0.0102110703376175,0.0378629422102342,0.0049683736917177,2145537800.0,,,,1.7357253813482957e-08,1.0392806783421212e-08
30,30,0.1,200,2.25,100000.0,1193380000000.0,190.0,0.19,200.0,0.0068154575395952,0.0257418418907518,0.0035028091987105,2267422000.0,,,,1.88455981597047e-08,1.1180967784884094e-08
31,31,0.1,205,2.25,100000.0,1201200000000.0,191.0,0.191,205.0,0.0092103737806775,0.0291175623463935,0.005869739545979,2294292000.0,,,,1.9569764086571363e-08,1.1500873483935164e-08
32,32,0.1,210,2.25,100000.0,1208850000000.0,177.0,0.177,210.0,0.009087545247207,0.0237271360571559,0.0061028647400059,2139664500.0,,,,1.873412555237698e-08,1.0906416935122133e-08
33,33,0.1,215,2.25,100000.0,1216320000000.0,204.0,0.204,215.0,0.0117328840893384,0.0323985797179442,0.0053666680960491,2481292800.0,,,,2.2276757031277363e-08,1.2888527136212176e-08
34,34,0.1,220,2.25,100000.0,1223640000000.0,213.0,0.213,220.0,0.0079336240250288,0.0311626055828084,0.0062079406253703,2606353200.0,,,,2.398780684736573e-08,1.380081649943078e-08
35,35,0.1,225,2.25,100000.0,1230800000000.0,247.0,0.247,225.0,0.0116072362778159,0.0088921767064997,0.0027395290742867,3040076000.0,,,,2.865606304980705e-08,1.6404600727935958e-08
36,36,0.1,230,2.25,100000.0,1237810000000.0,198.0,0.198,230.0,0.0144018068720843,0.0265760481019115,0.0057354810015145,2450863800.0,,,,2.3641660421803133e-08,1.3482433904346964e-08
37,37,0.1,235,2.25,100000.0,1244670000000.0,232.0,0.232,235.0,0.0135604242629901,0.0337514689082082,0.0050776581465762,2887634400.0,,,,2.8514763518188987e-08,1.6173870962321538e-08
38,38,0.1,240,2.25,100000.0,1251400000000.0,257.0,0.257,240.0,0.0126937031766337,0.0366637376402188,0.0049548505092339,3216098000.0,,,,3.2473551458268405e-08,1.8347089427925976e-08
39,39,0.1,245,2.25,100000.0,1257990000000.0,232.0,0.232,245.0,0.0131116763779868,0.0251389911550232,0.0090279088833856,2918536800.0,,,,3.011045248710536e-08,1.693908622370804e-08
40,40,0.1,250,2.25,100000.0,1264450000000.0,253.0,0.253,250.0,0.0143175106993107,0.0241578683543615,0.0070285953861948,3199058500.0,,,,3.37345291496272e-08,1.889579740106321e-08
41,41,0.1,255,2.25,100000.0,1270790000000.0,242.0,0.242,255.0,0.020606899425151,0.0410225792983385,0.0036784935699592,3075311800.0,,,,3.312342626167128e-08,1.8466625633881472e-08
42,42,0.1,260,2.25,100000.0,1277010000000.0,265.0,0.265,260.0,0.0172213152367189,0.0273955583757452,0.0061912285190452,3384076500.0,,,,3.718629726904806e-08,2.06639707633406e-08
43,43,0.1,265,2.25,100000.0,1283110000000.0,279.0,0.2789999999999999,265.0,0.017118829968449,0.031983717936206,0.0071559423201044,3579876899.9999995,,,,4.0155166460592884e-08,2.2206984274681303e-08
44,44,0.1,270,2.25,100000.0,1289090000000.0,271.0,0.271,270.0,0.0196879368496987,0.0335733144384624,0.0057349753644123,3493433900.0000005,,,,3.997325175221858e-08,2.2020725150179968e-08
45,45,0.1,275,2.25,100000.0,1294970000000.0,289.0,0.289,275.0,0.0197821174409382,0.0350174551853552,0.008139132542195,3742463300.000001,,,,4.3675119744099664e-08,2.39697904023826e-08
46,46,0.1,280,2.25,100000.0,1300730000000.0,281.0,0.281,280.0,0.02042616030438,0.0319454544195215,0.0060083082850869,3655051300.000001,,,,4.3466627176205046e-08,2.3792499121219625e-08
47,47,0.1,285,2.25,100000.0,1306400000000.0,256.0,0.256,285.0,0.0192199322746091,0.028534855716365,0.0076388286614675,3344384000.0,,,,4.0508284469333074e-08,2.2146405098915653e-08
48,48,0.1,290,2.25,100000.0,1311960000000.0,319.0,0.319,290.0,0.0194913672382391,0.0319256464495825,0.0089243291645486,4185152400.0,,,,5.164545201729599e-08,2.820126547306996e-08
49,49,0.1,295,2.25,100000.0,1317430000000.0,305.0,0.305,295.0,0.0204554486571628,0.0329475396902049,0.0070718934599345,4018161500.0,,,,5.047575108608604e-08,2.752712182556809e-08
50,50,0.1,300,2.25,100000.0,1322800000000.0,304.0,0.304,300.0,0.0180662336630499,0.028259859417633,0.0041412031974238,4021312000.0,,,,5.139857936977485e-08,2.8015466179923227e-08
51,51,0.1,305,2.25,100000.0,1328080000000.0,311.0,0.311,305.0,0.0237294680796899,0.0319477964965216,0.0087147974876207,4130328800.0,,,,5.3732399225528523e-08,2.9238885329689973e-08
52,52,0.1,310,2.25,100000.0,1333270000000.0,339.0,0.3389999999999999,310.0,0.0223245929242832,0.029706879449645,0.0055830314611487,4519785300.0,,,,5.98167222539406e-08,3.25201843377655e-08
53,53,0.1,315,2.25,100000.0,1338370000000.0,333.0,0.333,315.0,0.0265422435686815,0.0383837525820362,0.0071636510130787,4456772100.0,,,,5.99948448117519e-08,3.257017232307287e-08
54,54,0.1,320,2.25,100000.0,1343380000000.0,378.0,0.378,320.0,0.0225961092826305,0.0290256439088288,0.0040583865063428,5077976400.0,,,,6.948387766039734e-08,3.770177298645759e-08
55,55,0.1,325,2.25,100000.0,1348320000000.0,393.0,0.393,325.0,0.0255810637894451,0.0358473439138013,0.0064709368030259,5298897600.0,,,,7.367009639359334e-08,3.9940887249045554e-08
56,56,0.1,330,2.25,100000.0,1353170000000.0,351.0,0.351,330.0,0.0264024898649642,0.0339325874393843,0.0075911080458588,4749626700.0,,,,6.711231501092089e-08,3.635409915116074e-08
57,57,0.1,335,2.25,100000.0,1357950000000.0,399.0,0.3989999999999999,335.0,0.024002081797625,0.0372730634729179,0.0083519131001495,5418220500.0,,,,7.775735692256488e-08,4.208408318608129e-08
58,58,0.1,340,2.25,100000.0,1362640000000.0,352.0,0.352,340.0,0.0282922316909183,0.0301867418850652,0.0073182216304671,4796492800.000001,,,,6.988840310016976e-08,3.7813512448165497e-08
59,59,0.1,345,2.25,100000.0,1367270000000.0,429.0,0.429,345.0,0.0287835473715302,0.037458899734009,0.0055093489313556,5865588300.000001,,,,8.679408559427578e-08,4.690538138287026e-08
60,60,0.1,350,2.25,100000.0,1371820000000.0,414.0,0.414,350.0,0.026866076562847,0.0298281599201079,0.0071788530046679,5679334800.0,,,,8.531333016604696e-08,4.6077178578092926e-08
61,61,0.1,355,2.25,100000.0,1376300000000.0,416.0,0.416,355.0,0.0289566459811724,0.0468778753903948,0.007164769483326,5725408000.0,,,,8.724059039529418e-08,4.70971159699258e-08
62,62,0.1,360,2.25,100000.0,1380710000000.0,438.0,0.438,360.0,0.0265610884143928,0.0321538453044206,0.0084364750427164,6047509800.0,,,,9.351622869736378e-08,5.044846548488008e-08
63,63,0.1,365,2.25,100000.0,1385050000000.0,419.0,0.419,365.0,0.0327892903722199,0.0263475217257147,0.0082203005499787,5803359500.000001,,,,9.104148816794233e-08,4.9065417913728686e-08
64,64,0.1,370,2.25,100000.0,1389320000000.0,454.0,0.4539999999999999,370.0,0.0311324668327328,0.0296677487507576,0.0085251070261507,6307512799.999999,,,,1.0038077381474229e-07,5.405775404735988e-08
65,65,0.1,375,2.25,100000.0,1393540000000.0,486.0,0.486,375.0,0.033957802776808,0.0301851426878042,0.0059113413357962,6772604400.0,,,,1.0928374371128117e-07,5.8806814452056586e-08
66,66,0.1,380,2.25,100000.0,1397680000000.0,480.0,0.48,380.0,0.0355985441413745,0.0319507900249536,0.0082739455582593,6708864000.0,,,,1.0973538304059377e-07,5.9029361301505465e-08
67,67,0.1,385,2.25,100000.0,1401770000000.0,486.0,0.486,385.0,0.0307385301580483,0.0400436560421959,0.0077934514976022,6812602200.0,,,,1.1297405974640785e-07,6.070593550341732e-08
68,68,0.1,390,2.25,100000.0,1405790000000.0,494.0,0.494,390.0,0.0354200112374312,0.0377366317817339,0.0079589536489718,6944602600.0,,,,1.1670205268535069e-07,6.268087875587809e-08
69,69,0.1,395,2.25,100000.0,1409760000000.0,536.0,0.536,395.0,0.0365922749868697,0.0294672765258124,0.0088487281910066,7556313600.0,,,,1.2864312532276508e-07,6.91511002310737e-08
70,70,0.1,400,2.25,100000.0,1413670000000.0,488.0,0.488,400.0,0.0313236815511875,0.0322078141938649,0.0065676303594772,6898709600.0,,,,1.1900952798730456e-07,6.402395872002377e-08
71,71,0.1,405,2.25,100000.0,1417520000000.0,507.0,0.507,405.0,0.0349089156851671,0.0356427517459075,0.0054253798613972,7186826400.0,,,,1.255948617729567e-07,6.770348417120815e-08
72,72,0.1,410,2.25,100000.0,1421310000000.0,535.0,0.5349999999999999,410.0,0.0367515584765999,0.0210840414249886,0.007817235641578,7604008499.999999,,,,1.3460089931090644e-07,7.273013648841236e-08
73,73,0.1,415,2.25,100000.0,1425050000000.0,522.0,0.522,415.0,0.0347409481710192,0.0371191579840334,0.0074638199089935,7438761000.0,,,,1.3332117334110472e-07,7.219049236487503e-08
74,74,0.1,420,2.25,100000.0,1428740000000.0,580.0,0.58,420.0,0.0345830788662923,0.0295552568460775,0.005943938266635,8286691999.999999,,,,1.5034104785662114e-07,8.16133391112512e-08
75,75,0.1,425,2.25,100000.0,1432380000000.0,553.0,0.553,425.0,0.0373337764695144,0.0418135554065139,0.0071387391812036,7921061400.000001,,,,1.454885286345337e-07,7.911950788666851e-08
76,76,0.1,430,2.25,100000.0,1435960000000.0,548.0,0.5479999999999999,430.0,0.040802881057297,0.0332580259186157,0.0075300312277246,7869060799.999999,,,,1.462717600635038e-07,7.973166434130442e-08
77,77,0.1,435,2.25,100000.0,1439490000000.0,589.0,0.5890000000000001,435.0,0.0400400123075756,0.0420394533087461,0.0070428406069131,8478596100.000001,,,,1.594640569311594e-07,8.709046170723516e-08
78,78,0.1,440,2.25,100000.0,1442980000000.0,571.0,0.571,440.0,0.0404433946636416,0.0329384719483134,0.0046414372739141,8239415799.999999,,,,1.5682231628404708e-07,8.581518015695709e-08
79,79,0.1,445,2.25,100000.0,1446410000000.0,574.0,0.5740000000000001,445.0,0.0407959514929931,0.034946164713636,0.0064512286871677,8302393400.000001,,,,1.5988178639618713e-07,8.762975386304147e-08
80,80,0.1,450,2.25,100000.0,1449800000000.0,605.0,0.605,450.0,0.0419904544559584,0.0245623429593491,0.0070768731218879,8771290000.0,,,,1.70803032686426e-07,9.383617992072705e-08
81,81,0.1,455,2.25,100000.0,1453150000000.0,618.0,0.618,455.0,0.0406598655693959,0.0335750766246537,0.0065554079154025,8980467000.0,,,,1.768914131674393e-07,9.734823327022649e-08
82,82,0.1,460,2.25,100000.0,1456440000000.0,585.0,0.585,460.0,0.0445606452091346,0.0328503296704002,0.0054320204652084,8520173999.999999,,,,1.6973816276623893e-07,9.3600102826182e-08
83,83,0.1,465,2.25,100000.0,1459690000000.0,597.0,0.597,465.0,0.0452475619914029,0.0270557041268465,0.0070394288458499,8714349300.0,,,,1.7556494875547286e-07,9.69752836446734e-08
84,84,0.1,470,2.25,100000.0,1462900000000.0,623.0,0.623,470.0,0.0443401967774759,0.0340510437770391,0.0076853469692453,9113867000.0,,,,1.856156869606334e-07,1.0275432743639209e-07
85,85,0.1,475,2.25,100000.0,1466070000000.0,531.0,0.5309999999999999,475.0,0.0474682434248099,0.0406939418981319,0.0067047331016787,7784831699.999999,,,,1.602644696995824e-07,8.88754495242749e-08
86,86,0.1,480,2.25,100000.0,1469190000000.0,597.0,0.597,480.0,0.0489825659015338,0.0361011892946631,0.0089923659415738,8771064300.0,,,,1.8253597178703944e-07,1.0141189739795005e-07
87,87,0.1,485,2.25,100000.0,1472270000000.0,588.0,0.588,485.0,0.0472664158149423,0.0354795766553022,0.0079631260592111,8656947600.0,,,,1.820579301961787e-07,1.0131738679846473e-07
88,88,0.1,490,2.25,100000.0,1475310000000.0,656.0,0.656,490.0,0.0501614417813307,0.0354475876864582,0.0064910663078316,9678033600.0,,,,2.0566789659621522e-07,1.1467109014173289e-07
89,89,0.1,495,2.25,100000.0,1478310000000.0,633.0,0.633,495.0,0.0478216364314168,0.0368762960920535,0.0081567426146766,9357702300.0,,,,2.009490962868766e-07,1.1219419036691473e-07
90,90,0.1,500,2.25,100000.0,1481270000000.0,617.0,0.617,500.0,0.0468684326677628,0.0291366940404151,0.0071250089540773,9139435900.0,,,,1.983176612283748e-07,1.1089610432157486e-07
91,91,0.1,505,2.25,100000.0,1484190000000.0,597.0,0.597,505.0,0.0522964982465198,0.0418044780584801,0.0075322217159125,8860614300.0,,,,1.942475073671475e-07,1.0875482274561117e-07
92,92,0.1,510,2.25,100000.0,1487070000000.0,635.0,0.635,510.0,0.0536921653442809,0.0284573890946601,0.0089348709983265,9442894500.0,,,,2.090853677181533e-07,1.1725613481315549e-07
93,93,0.1,515,2.25,100000.0,1489920000000.0,618.0,0.618,515.0,0.05252797232668,0.0357776937850841,0.0095033594782622,9207705600.0,,,,2.0590698707290569e-07,1.1560730428493945e-07
94,94,0.1,520,2.25,100000.0,1492730000000.0,604.0,0.604,520.0,0.0493236987047981,0.0415901748298783,0.0080193799081371,9016089200.0,,,,2.036320482802345e-07,1.1447461294098828e-07
95,95,0.1,525,2.25,100000.0,1495500000000.0,605.0,0.605,525.0,0.0529349282832183,0.0306947031017956,0.0080929129302908,9047775000.0,,,,2.0632778753506369e-07,1.161665249000947e-07
96,96,0.1,530,2.25,100000.0,1498240000000.0,623.0,0.623,530.0,0.0543104382965097,0.0296282189931345,0.0078986558911683,9334035200.0,,,,2.1491464042287e-07,1.2120250506739868e-07
97,97,0.1,535,2.25,100000.0,1500940000000.0,563.0,0.563,535.0,0.056674526597871,0.0334774923105341,0.0084706377332095,8450292199.999999,,,,1.9645283885976458e-07,1.1096277163600741e-07
98,98,0.1,540,2.25,100000.0,1503600000000.0,546.0,0.5459999999999999,540.0,0.0600795049008983,0.0335147984796238,0.0084344909657916,8209655999.999999,,,,1.926990626631349e-07,1.0903075433584737e-07
99,99,0.1,545,2.25,100000.0,1506240000000.0,537.0,0.5369999999999999,545.0,0.05837428378716,0.0365724870259573,0.0053283046041645,8088508799.999999,,,,1.907093501795234e-07,1.0859587836898929e-07
100,100,0.1,550,2.25,100000.0,1508840000000.0,498.0,0.498,550.0,0.0565382711192051,0.0456420600295701,0.0090675211230826,7514023200.0,,,,1.788624307457588e-07,1.0199763807103705e-07
101,101,0.1,555,2.25,100000.0,1511400000000.0,450.0,0.4499999999999999,555.0,0.0615980875335389,0.0351239676746969,0.0073299214272909,6801299999.999999,,,,1.634352139207764e-07,9.329636028556944e-08
102,102,0.1,560,2.25,100000.0,1513930000000.0,427.0,0.427,560.0,0.0615352640504564,0.032487681011477,0.0071751031948347,6464481100.000001,,,,1.567873300933288e-07,8.962102582374088e-08
103,103,0.1,565,2.25,100000.0,1516440000000.0,323.0,0.3229999999999999,565.0,0.0610240637793125,0.028621604902529,0.0081047295524211,4898101199.999999,,,,1.1987530585880612e-07,6.859283543171069e-08
104,104,0.1,570,2.25,100000.0,1518910000000.0,197.0,0.197,570.0,0.0618411058862462,0.0293547980530161,0.0079906169580598,2992252700.0,,,,7.38936229417779e-08,4.233197661751932e-08
105,105,0.1,575,2.25,100000.0,1521350000000.0,47.0,0.047,575.0,0.0555647264620337,0.0455609403040291,0.0062071489270508,715034500.0,,,,1.7817925722495695e-08,1.0203525540404012e-08
106,106,0.1,580,2.25,100000.0,1523750000000.0,64.0,0.064,580.0,0.0633063216006034,0.0456499371204946,0.0067751475308799,975200000.0,,,,2.4515014459462308e-08,1.4037916192834212e-08
107,107,0.1,585,2.25,100000.0,1526130000000.0,80.0,0.08,585.0,0.0596256593618154,0.0382555386439255,0.0069520886213751,1220904000.0,,,,3.0961936323929985e-08,1.771553234572236e-08
108,108,0.1,590,2.25,100000.0,1528480000000.0,141.0,0.141,590.0,0.0629391255264608,0.0438048921467955,0.0081648868662362,2155156800.0,,,,5.513583527859278e-08,3.15241328568733e-08
109,109,0.1,595,2.25,100000.0,1530800000000.0,136.0,0.136,595.0,0.0576102449783195,0.0170808652210908,0.0051098314390707,2081888000.0,,,,5.3732598196945946e-08,3.069006234162148e-08
110,110,0.1,600,2.25,100000.0,1533090000000.0,171.0,0.1709999999999999,600.0,0.072475121983936,0.0217195654044229,0.0071464895333626,2621583900.0,,,,6.824561635981213e-08,3.894993648458915e-08
111,111,0.1,605,2.25,100000.0,1535350000000.0,169.0,0.169,605.0,0.0750125868781023,0.0219198857749724,0.0051022033595873,2594741500.0,,,,6.811728523425175e-08,3.884427880545312e-08
112,112,0.1,610,2.25,100000.0,1537590000000.0,211.0,0.211,610.0,0.0718341094782279,0.0456726970401079,0.0088890274770756,3244314900.0,,,,8.588648570452463e-08,4.894079854459004e-08
113,113,0.1,615,2.25,100000.0,1539800000000.0,222.0,0.222,615.0,0.0686176671471018,0.0333844774803542,0.0075611080039802,3418356000.0000005,,,,9.125919232499208e-08,5.1948606933003474e-08
114,114,0.1,620,2.25,100000.0,1541970000000.0,244.0,0.244,620.0,0.0673887970434487,0.0153678673219754,0.0077553918302476,3762406800.0,,,,1.0126834502884733e-07,5.760428816177675e-08
115,115,0.1,625,2.25,100000.0,1544130000000.0,268.0,0.268,625.0,0.0721290288598937,0.0325974243186117,0.0075633618360734,4138268400.000001,,,,1.1229981783110826e-07,6.38172090186466e-08
116,116,0.1,630,2.25,100000.0,1546250000000.0,269.0,0.269,630.0,0.0668067355452766,0.0290452978732116,0.0079437344117689,4159412500.000001,,,,1.1380178258984305e-07,6.461062715334456e-08
117,117,0.1,635,2.25,100000.0,1548350000000.0,268.0,0.268,635.0,0.0736221528767641,0.0315846619787258,0.007315371809885,4149578000.000001,,,,1.1446753702480245e-07,6.494014726480279e-08
118,118,0.1,640,2.25,100000.0,1550430000000.0,282.0,0.282,640.0,0.0695166393866186,0.0314009334895776,0.0081128031266521,4372212600.0,,,,1.2158556561646592e-07,6.894016120995769e-08
119,119,0.1,645,2.25,100000.0,1552480000000.0,267.0,0.267,645.0,0.0850708787806423,0.0355045669393319,0.008866043958442,4145121600.0,,,,1.161581589246638e-07,6.59177380303976e-08
120,120,0.1,650,2.25,100000.0,1554500000000.0,307.0,0.307,650.0,0.078607828091158,0.0369024107057759,0.0077821235527982,4772315000.0,,,,1.3481036798449338e-07,7.65455257024898e-08
121,121,0.1,655,2.25,100000.0,1556500000000.0,302.0,0.302,655.0,0.0800528840480182,0.0382866122326202,0.0076160463657337,4700630000.0,,,,1.338314707020949e-07,7.60183066361556e-08
122,122,0.1,660,2.25,100000.0,1558480000000.0,292.0,0.292,660.0,0.0765909400374388,0.0278684399126,0.0086739846977598,4550761600.0,,,,1.3056323961835244e-07,7.420740351798373e-08
123,123,0.1,665,2.25,100000.0,1560430000000.0,335.0,0.335,665.0,0.0807132222871839,0.0368672489957797,0.0085872742043866,5227440500.0,,,,1.5113033962231785e-07,8.592520846654426e-08
124,124,0.1,670,2.25,100000.0,1562350000000.0,340.0,0.3399999999999999,670.0,0.0854384692537845,0.0447004352396914,0.0082671910145524,5311989999.999999,,,,1.547579554927056e-07,8.802073926292433e-08
125,125,0.1,675,2.25,100000.0,1564260000000.0,298.0,0.298,675.0,0.0786547470587867,0.0364389989438858,0.0083319771004883,4661494800.0,,,,1.368251430196155e-07,7.784181470237559e-08
126,126,0.1,680,2.25,100000.0,1566140000000.0,377.0,0.377,680.0,0.0814818717940329,0.0326623566895421,0.0080360913557887,5904347800.0,,,,1.746150929689617e-07,9.936784299997813e-08
127,127,0.1,685,2.25,100000.0,1567990000000.0,321.0,0.321,685.0,0.0848629302813924,0.0328199322139326,0.008992090970528,5033247900.0,,,,1.499698022560579e-07,8.534523269546583e-08
128,128,0.1,690,2.25,100000.0,1569830000000.0,356.0,0.356,690.0,0.0816760272445985,0.0415682278765366,0.0089577602222926,5588594800.0,,,,1.6777552322040956e-07,9.54806120496419e-08
129,129,0.1,695,2.25,100000.0,1571640000000.0,393.0,0.393,695.0,0.0807330719392684,0.0356148737183271,0.0089892978824424,6176545200.0,,,,1.8679759608157014e-07,1.0629944505779609e-07
130,130,0.1,700,2.25,100000.0,1573430000000.0,381.0,0.381,700.0,0.0901292269531505,0.033445766303947,0.009304329401593,5994768300.0,,,,1.826044246191452e-07,1.039331109535343e-07
131,131,0.1,705,2.25,100000.0,1575200000000.0,380.0,0.38,705.0,0.0872570861505471,0.0393718390200135,0.007283083362594,5985760000.0,,,,1.836526668473013e-07,1.0449233820145869e-07
132,132,0.1,710,2.25,100000.0,1576950000000.0,368.0,0.368,710.0,0.0817131535057555,0.0315072987649339,0.007685750412398,5803176000.0,,,,1.793398748795747e-07,1.0200821595625189e-07
133,133,0.1,715,2.25,100000.0,1578680000000.0,364.0,0.364,715.0,0.0832224391041147,0.0324520591826547,0.0066453772168664,5746395200.0,,,,1.788357350260335e-07,1.016618463465465e-07
134,134,0.1,720,2.25,100000.0,1580380000000.0,393.0,0.393,720.0,0.0880154963624022,0.0242520106157573,0.0091325914683464,6210893400.0,,,,1.9466474222221477e-07,1.1059302812148881e-07
135,135,0.1,725,2.25,100000.0,1582070000000.0,383.0,0.383,725.0,0.091058637763071,0.0366813923380201,0.0066100287415629,6059328100.0,,,,1.912542758667869e-07,1.0857104128665577e-07
136,136,0.1,730,2.25,100000.0,1583730000000.0,419.0,0.419,730.0,0.0902568700310457,0.0308950541225401,0.0090766551131249,6635828700.000001,,,,2.1094177154890025e-07,1.196513630618269e-07
