
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.4122E+03          0.1076E+20        0.105372E+16     0.946     56.565  0.028696
     0.4141E+03          0.1071E+20        0.104477E+16     0.939     55.708  0.028805
     0.4161E+03          0.1065E+20        0.103577E+16     0.932     54.860  0.028915
     0.4180E+03          0.1060E+20        0.102672E+16     0.925     54.020  0.029026
     0.4200E+03          0.1054E+20        0.101763E+16     0.918     53.187  0.029138
     0.4219E+03          0.1048E+20        0.100849E+16     0.910     52.362  0.029251
     0.4238E+03          0.1042E+20        0.999311E+15     0.903     51.545  0.029365
     0.4258E+03          0.1036E+20        0.990084E+15     0.896     50.735  0.029480
     0.4277E+03          0.1030E+20        0.980810E+15     0.889     49.932  0.029597
     0.4296E+03          0.1024E+20        0.971492E+15     0.882     49.137  0.029714
     0.4316E+03          0.1017E+20        0.962128E+15     0.875     48.348  0.029832
     0.4335E+03          0.1011E+20        0.952719E+15     0.868     47.567  0.029952
     0.4355E+03          0.1004E+20        0.943265E+15     0.861     46.793  0.030073
     0.4374E+03          0.9973E+19        0.933765E+15     0.854     46.025  0.030196
     0.4393E+03          0.9904E+19        0.924220E+15     0.846     45.265  0.030319
     0.4413E+03          0.9834E+19        0.914629E+15     0.839     44.511  0.030444
     0.4432E+03          0.9762E+19        0.904994E+15     0.832     43.763  0.030571
     0.4452E+03          0.9689E+19        0.895313E+15     0.825     43.022  0.030698
     0.4471E+03          0.9615E+19        0.885587E+15     0.818     42.288  0.030828
     0.4490E+03          0.9540E+19        0.875815E+15     0.811     41.560  0.030959
     0.4510E+03          0.9464E+19        0.865999E+15     0.804     40.838  0.031091
     0.4529E+03          0.9386E+19        0.856136E+15     0.797     40.122  0.031226
     0.4548E+03          0.9307E+19        0.846229E+15     0.790     39.413  0.031362
     0.4568E+03          0.9226E+19        0.836277E+15     0.783     38.709  0.031499
     0.4587E+03          0.9145E+19        0.826279E+15     0.776     38.012  0.031639
     0.4607E+03          0.9062E+19        0.816237E+15     0.769     37.320  0.031780
     0.4626E+03          0.8978E+19        0.806149E+15     0.761     36.634  0.031924
     0.4645E+03          0.8893E+19        0.796015E+15     0.754     35.954  0.032069
     0.4665E+03          0.8806E+19        0.785837E+15     0.747     35.279  0.032217
     0.4684E+03          0.8718E+19        0.775614E+15     0.740     34.611  0.032366
     0.4704E+03          0.8629E+19        0.765346E+15     0.733     33.947  0.032518
     0.4723E+03          0.8539E+19        0.755032E+15     0.726     33.289  0.032673
     0.4742E+03          0.8447E+19        0.744673E+15     0.719     32.637  0.032829
     0.4762E+03          0.8354E+19        0.734270E+15     0.712     31.989  0.032989
     0.4781E+03          0.8260E+19        0.723821E+15     0.704     31.347  0.033150
