,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
66,66,2.25,0.02,430,1,100000.0,,58.470000000000006,0.05847,43.0,0.0016695550534313,0.0021310220058041,0.0006830997457542,1301497327945.5803,902290188613.8224,736722000000.0,2.601423714422805,1.5206539907072822,33848590826668.56,23466242108630.664,19160240282911.76,2.419250654112501e-05,1.6771960127253e-05,1.3694343754144998e-05,1.3187158001476998e-05,9.14227253867571e-06,7.464686410461394e-06
67,67,2.25,0.02,435,1,100000.0,,58.870000000000005,0.05887,43.5,0.0018674170181145,0.0022081550162712,0.0006606316690215,1306914000000.0,906726726624.784,741762000000.0,2.3581656009372938,1.3918658830494235,30899422603697.2,21437778087958.523,17537510126422.734,2.4580226023515e-05,1.7053568851506e-05,1.3950939094424e-05,1.3424362044042006e-05,9.313717546238866e-06,7.619232511486442e-06
68,68,2.25,0.02,440,1,100000.0,,60.14,0.0601399999999999,44.0,0.0018033414259139,0.0021122591325427,0.0007284174400065,1334042739774.312,926156000000.0,757764000000.0,2.452069197962167,1.4743864946253382,32705264362757.395,22705552017230.21,18577269832279.258,2.5391080818288e-05,1.7627697483154003e-05,1.4422661577126e-05,1.3894324649907998e-05,9.64610185025978e-06,7.892265150213251e-06
69,69,2.25,0.02,445,1,100000.0,,60.75,0.06075,44.5,0.00195811190769,0.0021479230061026,0.0006497333680041,1342575000000.0,935550000000.0,765450000000.0,2.2859655715352623,1.3914726667425237,30751545935009.76,21428679067834.86,17532555600955.793,2.5854386684546003e-05,1.801617895665e-05,1.4740510055439e-05,1.417055433589e-05,9.874503926368084e-06,8.079139576120916e-06
70,70,2.25,0.02,450,1,100000.0,,60.92999999999999,0.06093,45.0,0.0020823537492293,0.002042572239139,0.0007232353778121,1346553000000.0,938322000000.0,767718000000.0,2.175067723517355,1.32262341985192,29229977578727.44,20368400665719.57,16665055090134.191,2.6221380899838995e-05,1.8271912482241003e-05,1.4949746576377e-05,1.4405565154126e-05,1.0038267120977137e-05,8.213127644437787e-06
71,71,2.25,0.02,455,1,100000.0,,62.27,0.0622699999999999,45.5,0.0019148005557292,0.0021013032975295,0.0006943390101357,1370990359226.8828,957975551580.6388,784602000000.0,2.4217765647085816,1.5059594690022249,33156510573124.887,23168015946290.23,18975089309428.035,2.700487870870501e-05,1.8869580958196e-05,1.5454581209860003e-05,1.4861531065279e-05,1.0384451884562673e-05,8.505083145485223e-06
72,72,2.25,0.02,460,1,100000.0,,62.7,0.0627,46.0,0.0019139718771498,0.0021028794161718,0.000655378839668,1374910396120.3853,962741683954.6628,790020000000.0,2.42665245478894,1.5250029588389835,33440867978023.387,23416011429481.44,19215037281371.19,2.7390844905942004e-05,1.9179655797275e-05,1.5738709485104e-05,1.5104357546409002e-05,1.0576394403818e-05,8.678925246683966e-06
73,73,2.25,0.02,465,1,100000.0,,62.09,0.06209,46.5,0.0019111294342889,0.0021343399893912,0.0006227111990557,1359771000000.0,951544203628.5566,782334000000.0,2.4667149104046544,1.5345812477349534,33607329325395.48,23517827206945.93,19335723721460.41,2.7394830952453e-05,1.9170428404629003e-05,1.5761409589081002e-05,1.5131844487430998e-05,1.0589002789605172e-05,8.705992718799087e-06
74,74,2.25,0.02,470,1,100000.0,,62.79,0.06279,47.0,0.0020355338072579,0.0021575933410574,0.0006684398391453,1372052522438.434,960687000000.0,791154000000.0,2.356313627546524,1.4761740190898214,32256542227269.805,22585462492074.27,18599792640531.758,2.7943623875402003e-05,1.9565633057745e-05,1.6112874282848e-05,1.5469211274482003e-05,1.0831269159604e-05,8.919868719678633e-06
75,75,2.25,0.02,475,1,100000.0,,62.74,0.0627399999999999,47.5,0.0019720451411222,0.0020058660278135,0.0006402695748813,1365409135532.966,959922000000.0,790524000000.0,2.496504621441077,1.5708986617819378,34187430407930.645,24034749525263.65,19793323138452.414,2.8109351552086e-05,1.9761684800832003e-05,1.6274328659508e-05,1.5588179087416003e-05,1.0958939453784004e-05,9.025008961944272e-06
