,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
23,23,2,25,3000,1000000.0,265,17.15,2.43,0.81,,9377.0,0.9377,265.0,0.0003027025870067,0.024575341284731,0.0014292406215971,-0.002146603660916,-3.179739041317051e-06,22129720000000.0,14628120000000.0,11815020000000.0,4.377439669681582,4.104850661463061,96874475610528.23,64035670318823.75,51721118334434.56,0.0002482271360577,0.0001640823441737,0.0001325280472172,0.0001372768834713,9.074234670140506e-05,7.32918954126733e-05
24,24,2,25,3000,1000000.0,270,17.15,2.43,0.81,,9637.0,0.9637,270.0,0.0003186876149498,0.025607188846343,0.0014649370892575,-0.0019651636075103,-4.34381076769749e-06,22734034632407.312,15033720000000.0,12142620000000.0,4.249773710167325,4.095692205990304,96618873565076.56,63892798413448.75,51605721795477.83,0.0002601318117697,0.00017202176756,0.0001389406584138,0.0001433031059195,9.476447117112008e-05,7.654053440744313e-05
25,25,2,25,3000,1000000.0,275,17.15,2.43,0.81,,9860.5,0.98605,275.0,0.0003133416874162,0.0250532829949992,0.0014720789588167,-0.0020874520769161,2.577297097141092e-06,23174040753086.06,15382380000000.0,12424230000000.0,4.389260572168551,4.328426769399759,101726219107366.42,67523457602636.24,54538177294436.97,0.0002704446039178,0.000179514729897,0.0001449926664552,0.0001484254767782,9.852132003266455e-05,7.957491233407522e-05
26,26,2,25,3000,1000000.0,280,17.15,2.43,0.81,,9904.25,0.990425,280.0,0.0003371259208648,0.0234797803265606,0.0013461855370656,-0.0019933652324393,-3.3468894826831607e-06,23274987500000.0,15450630000000.0,12479355000000.0,4.166982863429456,4.128461440097394,97018843842288.77,64403998465519.35,52018614145227.17,0.0002767909725899,0.0001837420924426,0.0001484070746652,0.000151508166148,0.0001005756336982,8.123416567939487e-05
27,27,2,25,3000,1000000.0,285,17.15,2.43,0.81,,10102.0,1.0102,285.0,0.0003247515092539,0.0226686711898355,0.0013816159745823,-0.0019850828604324,1.2450603451939864e-06,23739700000000.0,15759120000000.0,12728520000000.0,4.388110477419831,4.433015244491844,104175858245558.31,69155037814072.766,55855992080597.234,0.0002875430933817,0.0001908796705002,0.0001541720415578,0.000157203542753,0.0001043563943381,8.428785696548299e-05
28,28,2,25,3000,1000000.0,290,17.15,2.43,0.81,,10336.0,1.0336,290.0,0.0003349056732701,0.0228097066086729,0.0014731392320461,-0.0019964585669444,6.512021065446864e-06,24223938701605.9,16124160000000.0,13023360000000.0,4.329684977825867,4.475005293603832,104878341642435.31,69810082580219.78,56385066699408.3,0.0002989272896928,0.0001989747211114,0.0001607103516669,0.0001632307884719,0.0001086511728199,8.775671650842638e-05
29,29,2,25,3000,1000000.0,295,17.15,2.43,0.81,,10554.5,1.05545,295.0,0.0003626466554464,0.0235798513265574,0.001529960065774,-0.0017712654085364,4.5121720238602005e-06,24697530000000.0,16465020000000.0,13298670000000.0,4.079215949445352,4.305521540325911,100749204043626.31,67166136029084.21,54249571408106.47,0.0003102479521345,0.0002068319680896,0.0001670565896109,0.0001691947715641,0.000112796514376,9.110487699611568e-05
30,30,2,25,3000,1000000.0,300,17.15,2.43,0.81,,10737.0,1.0737,300.0,0.0003519948906926,0.0245148623785576,0.0014636608136883,-0.0018715981597506,-5.934408070094862e-06,25081124338521.164,16749720000000.0,13528620000000.0,4.2687650057051085,4.5838108579549735,107075654347240.44,71507449384097.6,57756016810232.66,0.0003205755136623,0.0002140872960967,0.0001729166622319,0.0001747338656289,0.0001166910735061,9.425048244727912e-05
31,31,2,25,3000,1000000.0,305,17.15,2.43,0.81,,10862.5,1.08625,305.0,0.0003463494126946,0.0230658470286592,0.00141980277733,-0.0019336999069657,9.52172124405919e-06,25309625000000.0,16945500000000.0,13686750000000.0,4.405036121803599,4.785377035724242,111499284932374.84,74651881757298.16,60295750650125.445,0.0003292587444244,0.0002204479147219,0.0001780540849677,0.0001791685986626,0.0001199583750702,9.688945678758898e-05
32,32,2,25,3000,1000000.0,310,17.15,2.43,0.81,,11112.5,1.11125,310.0,0.0003570238047813,0.0233830265793534,0.0014193835044274,-0.0018330166005486,-3.832679211182806e-06,25892125000000.0,17335500000000.0,14001750000000.0,4.341560041000895,4.8245054598004735,112410977213351.05,75262285172887.4,60788768793485.98,0.0003426671726396,0.0002294252314668,0.0001853049946463,0.0001862957246877,0.0001247301847694,0.0001007436107753
