"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"	"Harmonic Energy (eV)"	"Harmonic: 13"	"Harmonic Energy (eV)"	"Harmonic: 15"	"Harmonic Energy (eV)"	"Harmonic: 17"	"Harmonic Energy (eV)"	"Harmonic: 19"
3.48998e+3	3.78762e+12	1.04699e+4	9.15042e+5	1.74499e+4	2.36709e-1	2.44299e+4	6.19825e-8	3.14098e+4	1.62955e-14	3.83898e+4	4.29209e-21	4.53698e+4	1.13163e-27	5.23497e+4	2.98647e-34	5.93297e+4	0.00000e+0	6.63096e+4	0.00000e+0
3.48990e+3	4.03238e+12	1.04697e+4	1.10417e+6	1.74495e+4	3.23750e-1	2.44293e+4	9.60868e-8	3.14091e+4	2.86327e-14	3.83889e+4	8.54801e-21	4.53686e+4	2.55448e-27	5.23484e+4	7.64131e-34	5.93282e+4	0.00000e+0	6.63080e+4	0.00000e+0
3.48981e+3	4.28479e+12	1.04694e+4	1.32479e+6	1.74490e+4	4.38600e-1	2.44287e+4	1.46984e-7	3.14083e+4	4.94556e-14	3.83879e+4	1.66711e-20	4.53675e+4	5.62536e-27	5.23471e+4	1.90008e-33	5.93267e+4	0.00000e+0	6.63063e+4	0.00000e+0
3.48972e+3	4.54485e+12	1.04692e+4	1.58098e+6	1.74486e+4	5.88893e-1	2.44280e+4	2.22038e-7	3.14075e+4	8.40551e-14	3.83869e+4	3.18790e-20	4.53663e+4	1.21026e-26	5.23458e+4	4.59942e-33	5.93252e+4	0.00000e+0	6.63046e+4	0.00000e+0
3.48962e+3	4.81255e+12	1.04689e+4	1.87716e+6	1.74481e+4	7.84035e-1	2.44274e+4	3.31474e-7	3.14066e+4	1.40705e-13	3.83859e+4	5.98374e-20	4.53651e+4	2.54725e-26	5.23444e+4	1.08550e-32	5.93236e+4	0.00000e+0	6.63028e+4	0.00000e+0
3.48953e+3	5.08789e+12	1.04686e+4	2.21819e+6	1.74476e+4	1.03555e+0	2.44267e+4	4.89352e-7	3.14057e+4	2.32176e-13	3.83848e+4	1.10362e-19	4.53639e+4	5.25117e-26	5.23429e+4	2.50128e-32	5.93220e+4	0.00000e+0	6.63010e+4	0.00000e+0
3.48943e+3	5.37088e+12	1.04683e+4	2.60934e+6	1.74471e+4	1.35746e+0	2.44260e+4	7.14835e-7	3.14049e+4	3.77946e-13	3.83837e+4	2.00197e-19	4.53626e+4	1.06150e-25	5.23414e+4	5.63464e-32	5.93203e+4	0.00000e+0	6.62991e+4	0.00000e+0
3.48933e+3	5.66151e+12	1.04680e+4	3.05633e+6	1.74466e+4	1.76677e+0	2.44253e+4	1.03382e-6	3.14039e+4	6.07370e-13	3.83826e+4	3.57492e-19	4.53613e+4	2.10628e-25	5.23399e+4	1.24239e-31	5.93186e+4	0.00000e+0	6.62972e+4	0.00000e+0
3.48922e+3	5.95977e+12	1.04677e+4	3.56535e+6	1.74461e+4	2.28397e+0	2.44246e+4	1.48102e-6	3.14030e+4	9.64222e-13	3.83815e+4	6.28924e-19	4.53599e+4	4.10634e-25	5.23384e+4	2.68421e-31	5.93168e+4	0.00000e+0	6.62952e+4	0.00000e+0
3.48912e+3	6.26567e+12	1.04674e+4	4.14310e+6	1.74456e+4	2.93360e+0	2.44238e+4	2.10262e-6	3.14021e+4	1.51309e-12	3.83803e+4	1.09088e-18	4.53585e+4	7.87266e-25	5.23368e+4	5.68833e-31	5.93150e+4	0.00000e+0	6.62932e+4	0.00000e+0
3.48901e+3	6.57920e+12	1.04670e+4	4.79681e+6	1.74450e+4	3.74501e+0	2.44231e+4	2.95962e-6	3.14011e+4	2.34837e-12	3.83791e+4	1.86681e-18	4.53571e+4	1.48550e-24	5.23351e+4	1.18351e-30	5.93131e+4	0.00000e+0	6.62911e+4	0.00000e+0
3.48890e+3	6.90036e+12	1.04667e+4	5.53426e+6	1.74445e+4	4.75302e+0	2.44223e+4	4.13204e-6	3.14001e+4	3.60666e-12	3.83778e+4	3.15392e-18	4.53556e+4	2.76079e-24	5.23334e+4	2.41968e-30	5.93112e+4	0.00000e+0	6.62890e+4	0.00000e+0
