,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
24,24,2.25,0.02,220,1,100000.0,,100000.0,100.0,220.0,0.2196915350791527,0.0808736777562007,0.0755504467432817,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0014049019088442,100.1404901908844,2383343666543049.0,1562191646977797.0,1261770176405143.8,0.0219045447473237,0.01435760075875,0.0115965236897596,0.0126022609938841,0.008260305525403,0.0066717852320563
25,25,2.25,0.02,225,1,100000.0,,100000.0,100.0,225.0,0.2246043929191159,0.0800285491165996,0.071800281827916,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0017648764203926,100.17648764203923,2384200405880534.0,1562753207215812.0,1262223744289694.8,0.0224341200873072,0.0147047173681509,0.011876887105045,0.0128427545010347,0.0084179399250479,0.0067991053240771
26,26,2.25,0.02,230,1,100000.0,,100000.0,100.0,230.0,0.2297887545989055,0.0763225518851069,0.0685241797283237,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0009193414154764,100.09193414154768,2382188032568834.5,1561434172608143.5,1261158370183500.5,0.0229580900431478,0.0150481598602144,0.0121542829640194,0.0130926054284802,0.0085817077598442,0.0069313793444894
27,27,2.25,0.02,235,1,100000.0,,100000.0,100.0,235.0,0.234743951588399,0.0748188957455716,0.0693486336309603,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0010908269944037,100.10908269944038,2382596168246680.5,1561701690111269.5,1261374442012948.5,0.0235019838984082,0.015404661714923,0.0124422267697455,0.0133305701339218,0.0087376846255958,0.007057360659135
28,28,2.25,0.02,240,1,100000.0,,100000.0,100.0,240.0,0.224297612267368,0.0733732821029861,0.0683765362505087,2372120187336192.5,1560000000000000.0,1260000000000000.0,1.095685553870818,109.56855538708184,2599097821309605.0,1709269464038476.5,1380563797877231.0,0.0239517474183495,0.0157516158633532,0.0127224589665545,0.0135323927351858,0.0088994363690299,0.0071880062980626
29,29,2.25,0.02,245,1,100000.0,,100000.0,100.0,245.0,0.2431053412601613,0.0751077956925163,0.0688084799087188,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.0079639108478815,100.79639108478816,2388874468709479.0,1572423700922695.5,1270034527668330.8,0.0244512155524095,0.0160944709965227,0.0129993804202683,0.0137553976877002,0.009054185819752,0.0073129962390305
30,30,2.25,0.02,250,1,100000.0,,100000.0,100.0,250.0,0.2498313602903294,0.0746921041961324,0.0691846961715801,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.000675250660349,100.06752506603486,2371600344065025.0,1561053391030143.5,1260850815832039.2,0.0249919887631365,0.0164504229833303,0.0132868801019206,0.0139988186650915,0.009214412285883,0.0074424099232132
31,31,2.25,0.02,255,1,100000.0,,100000.0,100.0,255.0,0.2547163837219727,0.0754150743363971,0.069853545397144,2365578346463241.0,1560000000000000.0,1260000000000000.0,1.0011137696562082,100.1113769656208,2368213055844915.5,1561737480663684.8,1261403349766822.2,0.0254790619687023,0.0168023759308591,0.0135711497903093,0.0142048197297435,0.0093674846202115,0.0075660452701708
32,32,2.25,0.02,260,1,100000.0,,100000.0,100.0,260.0,0.2594106720538775,0.0738778922011927,0.0630159072349002,2360000000000000.0,1560000000000000.0,1260000000000000.0,1.0022757515185483,100.2275751518548,2365370773583773.0,1563550172368935.2,1262867446913370.5,0.0259331198792206,0.0171422317845695,0.0138456487490753,0.0144107176659522,0.0095257286266463,0.0076938577369066
33,33,2.25,0.02,265,1,100000.0,,100000.0,100.0,265.0,0.2645916736823664,0.0715216190512448,0.0647341223810299,2360000000000000.0,1560000000000000.0,1260000000000000.0,1.0015446442969271,100.15446442969272,2363645360540747.0,1562409645103206.2,1261946251814128.0,0.0264719138378749,0.0174983837233411,0.0141333099303909,0.0146397444248007,0.0096771191960547,0.0078161347352749
