,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
20,20,1000000.0,1150,1.6,17.15,2.43,0.81,0.02,,0.023,78857.0,7.8857,1150.0,0.0228317499654622,0.0170867986905915,0.0009511978629507,-0.0005408510047494,-3.912605370669904e-06,59808570820146.58,90320161341991.94,81656130195536.66,75079489487766.6,70187031771930.22,1.007369125660201,7.943810714218647,60249307694077.27,90985741960570.7,82257864479873.3,75632759680305.69,70704248828774.1,0.0030070736164987,0.0045411446969056,0.0041055318889792,0.0037748695359697,0.0035288850505459,0.0019170642611752,0.0028950625470219,0.0026173514390517,0.0024065481597463,0.0022497285650339
21,21,1000000.0,1200,1.6,17.15,2.43,0.81,0.02,,0.024,78827.0,7.8827,1200.0,0.0239523497471054,0.0188276937670105,0.0010474648401465,-0.000476452084335,8.876511513971099e-07,48656935762031.11,88041108724961.8,80276173053309.12,74108032740052.89,69420121509125.48,1.001989376967088,7.898381661818465,48753732749325.17,88216255678816.12,80435872622987.36,74255461553462.16,69558224299908.18,0.0025528465554297,0.0046191860959752,0.0042117891037054,0.003888169962765,0.0036422128787315,0.0016257291604558,0.0029416360798602,0.002682193471057,0.0024761031076588,0.0023194702685704
22,22,1000000.0,1250,1.6,17.15,2.43,0.81,0.02,,0.025,78928.0,7.892799999999999,1250.0,0.0249489046950657,0.017819624608005,0.0010423474861369,-0.0005150898315666,-7.689665661090052e-07,37064220517474.82,85885659598307.03,79013656884792.62,73232974846854.52,68749766369703.016,1.0020479979205013,7.908964437986931,37140127964019.61,86061553250565.25,79175476689783.88,73382955827053.0,68890565748263.12,0.0020260173497794,0.0046947118815403,0.0043190720722869,0.0040030864144501,0.0037580237089467,0.0012866259773555,0.0029813852599274,0.002742834520583,0.0025421672578427,0.0023865397440823
23,23,1000000.0,1300,1.6,17.15,2.43,0.81,0.02,,0.026,78730.0,7.872999999999999,1300.0,0.0258635741927264,0.0174653402231035,0.0010562244810057,-0.0004130545314147,-1.282227517026606e-06,24818724374815.54,83384819210370.53,77442003956732.83,72060853985721.39,67800006706125.52,1.0052748242086325,7.914528690994563,24949638782975.195,83824659473373.84,77850496913968.81,72440962322820.0,68157639822844.44,0.0014108123726726,0.0047399831215513,0.0044021657075005,0.0040962759750688,0.0038540694873646,0.0008922495542051,0.0029977393940289,0.0027840912556031,0.002590635355524,0.0024374550780713
24,24,1000000.0,1350,1.6,17.15,2.43,0.81,0.02,,0.027,77303.0,7.7303,1350.0,0.0269456717478533,0.0200068317472121,0.001028692080025,-0.0003994983172695,-5.556786500446926e-07,11946830058174.156,79539808565999.77,74664049106083.1,69764761201243.01,65790455757256.64,1.0020162144278697,7.745885942391761,11970917429304.756,79700177875620.53,74814587839133.95,69905421919333.84,65923103423370.56,0.0007050008916839,0.0046937669398783,0.0044060408443249,0.0041169262989008,0.0038823963969777,0.0004587805893217,0.0030544772187063,0.002867238948176,0.0026790971414126,0.0025264763888902
25,25,1000000.0,1400,1.6,17.15,2.43,0.81,0.02,,0.028,76510.0,7.651,1400.0,0.0279716016584643,0.0182312325912615,0.0010622445411159,-0.0004125083839648,2.107269334866372e-06,1794159499999.9998,76393065363348.27,72505709865685.48,68050136813480.52,64324685678321.68,1.0010152561831245,7.658767725057086,1795981031525.8865,76470623895306.23,72579321735938.45,68119225135642.88,64389991713184.14,0.0001097491680769,0.0046729821793856,0.004435191708757,0.0041626432336712,0.0039347564918319,7.171732534946095e-05,0.0030536339289265,0.0028982459943672,0.0027201448934321,0.0025712287066974
26,26,1000000.0,1450,1.6,17.15,2.43,0.81,0.02,,0.0289999999999999,74933.0,7.4933,1450.0,0.0289259030441826,0.0180332088258903,0.0010459025495431,-0.0003930531506666,-2.0751799782658402e-07,1757178850000.0,72509317458419.84,69632336000123.016,65640637478094.13,62207441407481.61,1.0025616125347647,7.512494931206751,1761680061367.9834,72695058234908.56,69810707064845.88,65808783357847.97,62366792769146.65,0.0001112156565404,0.0045892718014666,0.0044071814116698,0.0041545381637505,0.0039372437460393,7.246994885965274e-05,0.0029904448986851,0.002871791809301,0.0027071653185175,0.0025655727062103
27,27,1000000.0,1500,1.6,17.15,2.43,0.81,0.02,,0.03,73547.0,7.3547,1500.0,0.0299693178428697,0.0167662025894697,0.0010885662407137,-0.0003406465722392,-7.54168951634706e-07,1724677150000.0,68880869585872.85,66973685982900.73,63419594062452.52,60267742760382.08,1.001023785636068,7.362229636217589,1726442849693.025,68951388830754.734,67042252680604.54,63484522131898.92,60329444009738.4,0.0001127402676192,0.0045026674534193,0.0043779969376661,0.0041456698182079,0.003939636730049,7.324247372332519e-05,0.0029251882189562,0.0028441951792292,0.0026932623022593,0.0025594115197104
28,28,1000000.0,1550,1.6,17.15,2.43,0.81,0.02,,0.031,71777.0,7.1777,1550.0,0.0309923781974248,0.0188702274263748,0.0009940904463487,-0.0003915537769788,3.248504720684256e-08,1683170649999.9998,64977871164076.69,63998178056514.31,60897800793319.84,58031522025040.41,1.000245925063466,7.179465176328038,1683584583848.9248,64993850851166.586,64013916812514.55,60912777088844.87,58045793430777.44,0.0001134312639074,0.0043789511492231,0.0043129282373857,0.004103989404265,0.0039108268016513,7.403368565044511e-05,0.002858029450547,0.0028149379841177,0.0026785689500562,0.0025524966582673
29,29,1000000.0,1600,1.6,17.15,2.43,0.81,0.02,,0.032,69781.0,6.9781,1600.0,0.0318820652400972,0.0181800622437602,0.0010837694279441,-0.0003763124741808,-2.681040985175781e-07,1636364450000.0,60973403843872.41,60885425486713.805,58224362354655.87,55640492953321.39,1.0036990941149693,7.0039126486436665,1642417516106.94,61198950203200.92,61110646405819.1,58439739750789.81,55846312373359.01,0.0001134525210979,0.0042274118005979,0.0042213120797064,0.0040368150863058,0.0038576700934106,7.388150213332732e-05,0.0027529360382812,0.0027489638344228,0.0026288174077095,0.0025121562612963
