,Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
58,58,1000000.0,440,17.15,2.43,0.81,,0.0013199999999999,167.0,0.0167,440.0,0.0003751060347951,0.0060686125938474,0.0006755756851201,0.0004364953832808,-1.9483978209520804e-05,370444192787.3463,257180000000.0,210420000000.0,3.629504978762047,0.0597894519219291,1326266781701.6123,920757559597.71,753347094216.3083,7.050732452036921e-06,4.894954239587136e-06,4.004962559662203e-06,3.858251108306086e-06,2.678581657787707e-06,2.1915668109172147e-06
59,59,1000000.0,445,17.15,2.43,0.81,,0.0013349999999999,169.0,0.0169,445.0,0.0003369196533071,0.0097678969252278,0.0009089241607283,-0.0003919041396397,1.2463742302444627e-05,373490000000.0,260260000000.0,212940000000.0,4.367346063619703,0.0719462669779671,1590012500213.077,1107972511460.696,906522963922.3876,7.192413744344122e-06,5.011908220040701e-06,4.1006521800333e-06,3.942096597145993e-06,2.7469813391877058e-06,2.247530186608123e-06
60,60,1000000.0,450,17.15,2.43,0.81,,0.0013499999999999,159.0,0.0158999999999999,450.0,0.0005098891921022,0.0096888506967384,0.0011153346467124,-0.0003706254761165,1.913592888287148e-05,351390000000.0,244860000000.0,200340000000.0,2.7780249877715937,0.0453743069234537,1002772183008.3284,698764326621.188,571716267235.5175,6.84260555239688e-06,4.768150475425879e-06,3.901214025348447e-06,3.7592070564699454e-06,2.619537948852361e-06,2.1432583217882952e-06
61,61,1000000.0,455,17.15,2.43,0.81,,0.001365,155.5,0.01555,455.0,0.0004072143715347,0.0095585766307556,0.0010213180559184,6.334655945149987e-06,8.087585712303073e-06,342362294619.8495,239224663996.7711,195930000000.0,3.3899389035179635,0.053054049741131,1168084000530.5005,816195319806.4355,668481026738.2521,6.743630382534938e-06,4.712092241850527e-06,3.85930203650839e-06,3.711206167739731e-06,2.593194584953012e-06,2.1238805670835907e-06
62,62,1000000.0,460,17.15,2.43,0.81,,0.00138,170.0,0.017,460.0,0.0003502282258409,0.0103094596048807,0.0007761008019164,-8.286822508392056e-05,1.8954818171814375e-05,372782723031.0454,261030440625.6661,214200000000.0,4.5642501598729845,0.0779297683691779,1708874779872.9888,1196590692662.508,981915081451.6432,7.426544870830732e-06,5.200225654765078e-06,4.267273704096698e-06,4.095280355486869e-06,2.8676029484052726e-06,2.3531376266926225e-06
63,63,1000000.0,465,17.15,2.43,0.81,,0.0013949999999999,156.5,0.01565,465.0,0.0004030464463085,0.0094512893208684,0.0008797591749674,-0.0002347512032004,8.20654264831414e-06,342735000000.0,239840019113.9782,197190000000.0,3.4765665070943,0.0549293378859159,1202952499701.559,841805332171.0063,692109657362.5409,6.904962222676453e-06,4.831973015501825e-06,3.972717991128917e-06,3.814033922183626e-06,2.66899490509543e-06,2.1943756812563324e-06
64,64,1000000.0,470,17.15,2.43,0.81,,0.0014099999999999,189.5,0.0189499999999999,470.0,0.0004982132537065,0.0093066949331423,0.0009545782108372,0.0004308537411484,4.159991264754384e-05,414084970540.0276,289935000000.0,238770000000.0,2.834410151100589,0.0537396617470727,1174289511945.5227,822216824730.2128,677119738013.1165,8.433375894871062e-06,5.904901201535115e-06,4.862859813028919e-06,4.668602542626391e-06,3.268873237372274e-06,2.6920132543065787e-06
65,65,1000000.0,475,17.15,2.43,0.81,,0.0014249999999999,185.5,0.0185499999999999,475.0,0.0004653278330692,0.0084979315973616,0.0012668961911797,-0.0001862052515284,-6.453322679583718e-05,403703211095.5773,283815000000.0,233730000000.0,3.094738915843041,0.0572332962928935,1245566873047.2085,875669433281.271,721139533290.4585,8.310941525203593e-06,5.842831575637915e-06,4.8117436505253415e-06,4.608873478987691e-06,3.240170973347064e-06,2.668376095697582e-06
66,66,1000000.0,480,17.15,2.43,0.81,,0.0014399999999999,168.0,0.0168,480.0,0.0005409495073251,0.0072281807931471,0.000584790587092,0.0001080680344262,-1.1336304537248697e-05,364560000000.0,257040000000.0001,211680000000.0,2.832976366206028,0.0472460044803005,1025238297222.5216,722863868548.5981,595299656451.7866,7.586914381038468e-06,5.349299079718367e-06,4.405305124473949e-06,4.215078130871377e-06,2.9719214471120776e-06,2.4474647211511222e-06
67,67,1000000.0,485,17.15,2.43,0.81,,0.001455,177.0,0.0177,485.0,0.0004941114887628,0.010556800804956,0.000843147808639,-0.0002418680629109,2.470484837373127e-05,383842745247.7499,270810000000.0,223020000000.0,2.9731674006137667,0.0526541661052978,1141859868168.8442,805608741411.0569,663442492926.7528,8.072315895804245e-06,5.6952069429676505e-06,4.690170423620418e-06,4.4923390653364736e-06,3.169449878487451e-06,2.610135194048489e-06
68,68,1000000.0,490,17.15,2.43,0.81,,0.00147,202.5,0.0202499999999999,490.0,0.0004113542769914,0.0103001873445972,0.0009518535692561,-0.0004054066156853,-3.439340817066423e-05,437350541484.0664,309375166881.9999,255150000000.0,3.618259163371972,0.0735311466985756,1588093176521.7964,1123393124982.5508,926492448402.0532,9.294136563262571e-06,6.5745318172613054e-06,5.4221927702879965e-06,5.181988969955122e-06,3.665660723593629e-06,3.023168740565557e-06
69,69,1000000.0,495,17.15,2.43,0.81,,0.001485,182.5,0.01825,495.0,0.0004487702228174,0.0110701671215751,0.0007211904951029,0.0006005551294918,3.765840890396957e-05,392540798973.327,278281384727.6318,229950000000.0,3.3388153590205114,0.0605077465933508,1301466257086.5503,922639973081.9896,762397607076.2205,8.429496502514144e-06,5.975867898092701e-06,4.937990460667601e-06,4.706368691253863e-06,3.336455216543975e-06,2.7569859830732206e-06
70,70,1000000.0,500,17.15,2.43,0.81,,0.0015,190.0,0.0189999999999999,500.0,0.0004652089634191,0.0115337038983091,0.0006809570436973,0.0001816435423705,1.0340112335797188e-05,408500000000.0,289157277677.19714,239400000000.0,3.245547939633987,0.0617178606993097,1326934005035.1597,939272030730.152,777645044811.3027,8.86408805731556e-06,6.27445672397631e-06,5.194767884752374e-06,4.956658059756547e-06,3.508577113674275e-06,2.904832165252673e-06
71,71,1000000.0,505,17.15,2.43,0.81,,0.0015149999999999,191.5,0.01915,505.0,0.0005734983712102,0.0086042575950757,0.0005959978976728,6.621837332049105e-05,-1.851590611433573e-05,410425469505.3083,291080000000.0,241290000000.0,2.6704627946470154,0.0510977771847202,1095134683640.5452,776686213207.7478,643831992527.4751,8.99758433355996e-06,6.381223979519038e-06,5.289698825127624e-06,5.03754566840067e-06,3.572704186524911e-06,2.9615837335667022e-06
72,72,1000000.0,510,17.15,2.43,0.81,,0.00153,177.0,0.0177,510.0,0.0005302159000564,0.0119950505647686,0.0008604350318705,-3.543557702159999e-05,-2.3025382427618064e-05,377782894604.69104,269040000000.0,223020000000.0,2.886470263328701,0.0510458579004657,1089505760181.7902,775897040087.0793,643177809545.8684,8.364900765972782e-06,5.957106407457157e-06,4.938127679865801e-06,4.691078780968246e-06,3.3407754910458177e-06,2.7693270517879806e-06
73,73,1000000.0,515,17.15,2.43,0.81,,0.001545,173.5,0.0173499999999999,515.0,0.0006276132099287,0.0102324860765335,0.0010648364727061,-0.0001664544159554,-2.6891092530372857e-05,369555000000.0,263720000000.0,218610000000.0,2.46281733854348,0.0427324951603808,910202146916.112,649533926437.789,538429439020.7987,8.26416046661262e-06,5.897429065376142e-06,4.888658304193382e-06,4.639946061592238e-06,3.311135217662066e-06,2.744756825167239e-06
74,74,1000000.0,520,17.15,2.43,0.81,,0.00156,170.5,0.01705,520.0,0.0005839926922703,0.0107965990262443,0.0007909892375963,-4.24062936314e-05,-1.666284681801866e-05,362597593570.1561,259160000000.0001,214830000000.0,2.673315200010544,0.0456355309898107,970518106639.396,693660071045.1251,575007690471.617,8.18941439489916e-06,5.853234197406295e-06,4.85202308469206e-06,4.603794201290443e-06,3.290477726172731e-06,2.7276328519589745e-06
75,75,1000000.0,525,17.15,2.43,0.81,,0.0015749999999999,190.5,0.0190499999999999,525.0,0.0004099864306112,0.0078997895224828,0.0007986983958836,-0.0001197139190473,1.3632659050793647e-05,403445620900.5936,289014203581.7837,240030000000.0,4.10483177793289,0.0779371702875753,1650572706451.7656,1182412031500.3384,982008345623.4496,9.200277676128056e-06,6.5907542120839545e-06,5.4737058384013005e-06,5.179933825297707e-06,3.710721771580782e-06,3.08180198687188e-06
76,76,1000000.0,530,17.15,2.43,0.81,,0.0015899999999999,158.5,0.01585,530.0,0.0003972583174344,0.0116075648079976,0.0005997431258382,-7.149985085317474e-05,3.614390788579621e-05,334435000000.0,239998454147.3909,199710000000.0,4.05678109148088,0.0643704126493596,1358215706901.4912,974687667424.3534,811067199381.9333,7.70031141191995e-06,5.525925322751209e-06,4.598290227023287e-06,4.342640552953504e-06,3.1163814182923798e-06,2.5932355908632305e-06
77,77,1000000.0,535,17.15,2.43,0.81,,0.0016049999999999,177.5,0.01775,535.0,0.0008273758004406,0.0098935971686981,0.0012846078540291,-2.11075582367e-05,-2.700206367743437e-05,374525000000.0,268244520325.34903,223650000000.0,1.969049926248878,0.035274243009993,744286527510.8542,533077318087.6278,444455461925.9129,8.706976958022037e-06,6.236162759731628e-06,5.199426998629272e-06,4.9179757413566925e-06,3.522381800178704e-06,2.936800679672717e-06
78,78,1000000.0,540,17.15,2.43,0.81,,0.0016199999999999,174.5,0.01745,540.0,0.0005206905393038,0.0090045578659302,0.0007873489741653,0.0001981545109397,-4.808686225832815e-05,366673870735.1716,263196192790.9925,219870000000.00003,3.195077258830904,0.0550036969012537,1155783292121.8853,829613960678.4937,693046580955.7981,8.60665918203285e-06,6.177805701886902e-06,5.160842659880448e-06,4.869720329512073e-06,3.49545455233752e-06,2.9200482889688395e-06
79,79,1000000.0,545,17.15,2.43,0.81,,0.0016349999999999,162.0,0.0162,545.0,0.0006036751417468,0.0120374790691437,0.0009405524123531,0.0002612529288348,1.6081930225880236e-05,338974568116.2355,243864843681.0741,204120000000.0,2.8211231345131136,0.0458149736163176,958648820669.6312,689670455505.917,577268667565.6034,7.992279072853559e-06,5.749799749250282e-06,4.812703246195927e-06,4.551054079255174e-06,3.2741161019522548e-06,2.740503996568329e-06
80,80,1000000.0,550,17.15,2.43,0.81,,0.0016499999999999,180.5,0.01805,550.0,0.0004582968535373,0.0124181191766186,0.0009345111760694,0.0002804182885081,-5.694680837835715e-06,376087697796.1029,271181294770.4556,227430000000.0,3.669532483233077,0.0655545485867436,1365886939504.2217,984884618495.6172,825987312192.9705,8.952322612124398e-06,6.455149826450605e-06,5.413702026433446e-06,5.105128885252373e-06,3.6810974386706896e-06,3.087204046228651e-06
81,81,1000000.0,555,17.15,2.43,0.81,,0.0016649999999999,168.0,0.0168,555.0,0.0006282430146029,0.0099584266198539,0.0007770676065243,-0.0005518326517736,2.087225675956076e-05,349440000000.0,252000000000.0001,211680000000.0,2.700246113645276,0.0451804186768653,939752708478.8004,677706280152.981,569273275328.504,8.397041911469295e-06,6.055559070771126e-06,5.086669619447746e-06,4.793418925527384e-06,3.4567924943707097e-06,2.9037056952713964e-06
82,82,1000000.0,560,17.15,2.43,0.81,,0.0016799999999999,177.0,0.0177,560.0,0.0005583105399864,0.0122180507497867,0.001000589853325,-0.0001352658955399,-6.327288501462188e-05,367433193760.3746,265500000000.0,223020000000.0,3.021096794619119,0.0533400274576566,1107282296273.0442,800100411864.8507,672084345966.4746,8.911599948424922e-06,6.439346870358828e-06,5.409051371101416e-06,5.093949419466648e-06,3.680787674698779e-06,3.0918616467469738e-06
83,83,1000000.0,565,17.15,2.43,0.81,,0.001695,204.0,0.0204,565.0,0.0004681754705869,0.0087422893489375,0.0007108706573197,-9.205045395152892e-05,-2.03762261040078e-05,421677478158.411,306000000000.0,257040000000.0,3.633933036382483,0.0740657975819951,1530974448145.4438,1110986963729.9272,933229049533.1388,1.0320063756136678e-05,7.4889925901887615e-06,6.29075377575856e-06,5.905156444007051e-06,4.285213143841021e-06,3.5995790408264573e-06
84,84,1000000.0,570,17.15,2.43,0.81,,0.00171,207.5,0.0207499999999999,570.0,0.0006707458979348,0.0111303538551032,0.001137978310836,4.07372857352e-05,-5.715971215898311e-05,427076337361.106,311250000000.0,261450000000.00003,2.5610555243036632,0.0529432185765348,1089676909772.2872,794148278648.0223,667084554064.3387,1.054664194648971e-05,7.68631277051847e-06,6.456502727235514e-06,6.041931394051755e-06,4.403313838501304e-06,3.698783624341095e-06
85,85,1000000.0,575,17.15,2.43,0.81,,0.001725,218.5,0.02185,575.0,0.0005049063184969,0.0115878179727509,0.000847847547275,0.0002046284988172,-2.906104152315088e-05,447925000000.0,327235205870.2235,275310000000.0,3.4638439576843787,0.076150814871862,1561091704873.172,1140468081545.952,959500267385.4618,1.1161831183318964e-05,8.15436540751702e-06,6.8604425809667774e-06,6.391879241750526e-06,4.669638710882049e-06,3.928667241271055e-06
86,86,1000000.0,580,17.15,2.43,0.81,,0.0017399999999999,185.5,0.0185499999999999,580.0,0.0006695304683716,0.0074014239012306,0.000986419497534,-4.488346552320002e-05,7.010509886029737e-05,380275000000.0,277265897724.0998,233730000000.0,2.604861497404732,0.0483890849034197,991976240520.1056,723269167967.3516,609702469783.0894,9.559523301447938e-06,6.970034343541944e-06,5.875609443816782e-06,5.474024384977472e-06,3.9912176326721245e-06,3.364522304912983e-06
87,87,1000000.0,585,17.15,2.43,0.81,,0.0017549999999999,204.0,0.0204,585.0,0.0005214207766357,0.01114063634102,0.0011390659676629,-0.0001203118570077,2.6173665747996663e-05,416498098066.1737,304316137096.6477,256991750337.60345,3.383055668833756,0.0691109704092828,1411009202498.723,1030959977742.8284,870634767304.5067,1.0562327252071262e-05,7.717410098689783e-06,6.517270980951973e-06,6.043460852141647e-06,4.415680815249146e-06,3.728995617746866e-06
88,88,1000000.0,590,17.15,2.43,0.81,,0.0017699999999999,202.5,0.02025,590.0,0.0006102610661286,0.0093478375037148,0.000838507256601,-5.263824461023498e-05,-1.3254527846811964e-05,411644033145.251,301725000000.0,254743790156.71124,2.9750752837007166,0.0604102468463993,1228025563217.3848,900112678011.3513,759957296096.5085,1.0531176944949966e-05,7.71909491663595e-06,6.517164622232977e-06,6.021242255138952e-06,4.413423183983688e-06,3.726214763289435e-06
89,89,1000000.0,595,17.15,2.43,0.81,,0.001785,227.5,0.02275,595.0,0.0004920524538646,0.0108268046184296,0.001042561471836,0.0004613122473044,-8.07098335114051e-06,460451518527.7066,338975000000.0,285791089420.97473,3.82403596418081,0.0883399994047728,1787968653743.4883,1316265991131.1155,1109748776674.2107,1.1884047765404704e-05,8.74879315016454e-06,7.376140203567474e-06,6.787726241233721e-06,4.9969853720522616e-06,4.212977043438278e-06
90,90,1000000.0,600,17.15,2.43,0.81,,0.0018,208.0,0.0208,600.0,0.0005647271161137,0.0096616020024547,0.000850900391797,0.0002063951950417,-6.449156017680099e-06,419144013621.89685,309920000000.0,260926663358.72656,3.313100702857674,0.068783417146202,1386065266023.4795,1024872915478.4124,862857092806.2478,1.091124398236953e-05,8.067901783434424e-06,6.792497072333066e-06,6.2273928019121015e-06,4.604607281614703e-06,3.876693385612482e-06
91,91,1000000.0,605,17.15,2.43,0.81,,0.001815,214.5,0.02145,605.0,0.0006822881957759,0.0098634740195327,0.0011999265149317,0.0001873791626276,4.97729930921153e-06,430344534086.5036,319594143008.7685,268701073151.88312,2.6605136053508853,0.0570360950179285,1144297050657.529,849808946751.5879,714482980872.269,1.1297426497927268e-05,8.390001623870637e-06,7.053954177183495e-06,6.4424232874291965e-06,4.784447312236097e-06,4.022558470983025e-06
92,92,1000000.0,610,17.15,2.43,0.81,,0.00183,228.5,0.02285,610.0,0.0005008183877634,0.0114960850283756,0.0008354725166901,-4.01647245382e-05,-2.845279616558003e-05,457000000000.0,339779565836.95807,285834351503.0101,3.6606943265294927,0.0834983623060812,1669967246121.6255,1241620888072.5305,1044494540101.6246,1.2098124003612522e-05,8.99495693958237e-06,7.566869647648982e-06,6.893888424603187e-06,5.125607036849238e-06,4.31183835269269e-06
93,93,1000000.0,615,17.15,2.43,0.81,,0.001845,224.5,0.0224499999999999,615.0,0.0006217517351955,0.0098828498549265,0.0007318107462483,9.185173714268764e-05,4.095107820152991e-07,448679763821.5344,333169492513.57104,280625000000.0,2.9722446223965484,0.0667209057578274,1333466380284.2263,990172396943.482,834011321972.8433,1.197831731362135e-05,8.894561828585431e-06,7.491791623283501e-06,6.818566787531117e-06,5.063162236073638e-06,4.26464587672381e-06
94,94,1000000.0,620,17.15,2.43,0.81,,0.0018599999999999,229.5,0.0229499999999999,620.0,0.0006880552226675,0.0103965206615714,0.0007580695225678,0.0001609415811052,6.688602913429611e-06,456642193262.6959,339912930818.0292,286875000000.0,3.103032907246727,0.0718271761341799,1429164237288.7964,1063833810551.2808,897839701677.249,1.229090888897401e-05,9.149042564415652e-06,7.721482025853924e-06,6.9914153056309816e-06,5.204233209645443e-06,4.392196549934395e-06
95,95,1000000.0,625,17.15,2.43,0.81,,0.0018749999999999,227.5,0.02275,625.0,0.0007102165311607,0.0099452383927903,0.0010324039229986,-0.0001996910315593,3.4819400128244455e-05,450649996699.9848,336279807192.209,284375000000.0,2.744005245269112,0.063200589530171,1251927273108.0742,934201409302.8516,790007369127.1384,1.222924847866267e-05,9.12559491983779e-06,7.717058829659622e-06,6.949579450587429e-06,5.185849894205841e-06,4.385413670770515e-06
96,96,1000000.0,630,17.15,2.43,0.81,,0.0018899999999999,222.0,0.0221999999999999,630.0,0.0007775654373176,0.0112466479235588,0.0006583944109401,-5.661648573238505e-05,2.051170704975844e-05,437791039272.4452,327495266308.7093,277500000000.0,2.434184094009433,0.0540574012560298,1066029093524.5448,797456892806.318,675717515700.3735,1.197798984136924e-05,8.960290689049589e-06,7.592417118687181e-06,6.800468481908724e-06,5.087178669092641e-06,4.310572475091882e-06
97,97,1000000.0,635,17.15,2.43,0.81,,0.0019049999999999,251.5,0.02515,635.0,0.0006971229500436,0.008921617725277,0.0012880548530241,-0.0001019321768599,8.161007489287524e-06,493740886623.7045,370272083692.8773,314375000000.0,2.7351801079771167,0.0690014904126377,1354626523049.4175,1015877758767.4556,862518630157.9729,1.362001225673012e-05,1.0214082841523928e-05,8.672142553332473e-06,7.72695582249512e-06,5.794691325975999e-06,4.919912048013647e-06
98,98,1000000.0,640,17.15,2.43,0.81,,0.0019199999999999,219.5,0.0219499999999999,640.0,0.0008211936367387,0.0108696442734667,0.0005819455870389,-0.0001470246231058,6.113673559030494e-05,428977005164.8892,322665000000.0,274375000000.0,2.355962664698075,0.0516415000047259,1009249021150.3408,759130050069.4722,645518750059.0751,1.192929451999445e-05,8.972895446492462e-06,7.630013134772502e-06,6.764022383411161e-06,5.087716255337398e-06,4.326289332769897e-06
99,99,1000000.0,645,17.15,2.43,0.81,,0.0019349999999999,236.5,0.0236499999999999,645.0,0.0005541616178561,0.0103273082746458,0.0009163612405108,-0.0002814591731184,-1.1255195756923844e-05,460108356769.3399,347655000000.0,295277344986.6924,3.6039820411783214,0.0847572070385965,1648942886041.7502,1245930943467.3691,1058219156991.2976,1.2893551694159923e-05,9.742287111903784e-06,8.274515460732683e-06,7.31686668181654e-06,5.528578755073887e-06,4.695643831810417e-06
100,100,1000000.0,650,17.15,2.43,0.81,,0.0019499999999999,247.5,0.02475,650.0,0.0004680012448261,0.0099804901541716,0.0011972265862482,0.0001566625159061,-9.493038578128462e-05,480150000000.0,363825000000.0,308573233552.16724,6.479245470809769,0.1628774079459586,3159821714151.5977,2394297896805.592,2030691250201.2087,1.3563479818024268e-05,1.027748213015241e-05,8.716706915895676e-06,7.701363838315468e-06,5.835569506352443e-06,4.949359038531154e-06
101,101,1000000.0,655,17.15,2.43,0.81,,0.0019649999999999,230.5,0.0230499999999999,655.0,0.0005118963448466,0.0098088327154264,0.0009960655732864,0.0001663465201299,6.182225907366974e-05,446661816059.26575,338835000000.0,286970443770.744,3.967122797636624,0.0932625248665506,1807236821135.1816,1370959115538.2944,1161110114886.5117,1.2716892788770892e-05,9.64695931722861e-06,8.170325368699832e-06,7.2233881194340755e-06,5.479619312530828e-06,4.640868817600633e-06
102,102,1000000.0,660,17.15,2.43,0.81,,0.00198,246.0,0.0246,660.0,0.0006774209876425,0.0122454258689563,0.0006817453173938,-0.0003213479996672,4.684942322411815e-05,474521205232.8156,361007293706.71655,305832518255.9647,2.924657341182363,0.0721210551743426,1391177643251.686,1058383209258.6272,896624549725.4712,1.3614210382455874e-05,1.0357449133833548e-05,8.774461919547196e-06,7.737822731595415e-06,5.88679791906251e-06,4.98708547842662e-06
103,103,1000000.0,665,17.15,2.43,0.81,,0.001995,225.0,0.0225,665.0,0.0004861129864365,0.0096412702748042,0.0011903332564354,-5.4443948758e-05,6.717094942683775e-06,432022671635.7406,329526051183.3397,279326735682.2258,4.117113615992449,0.092867554598002,1783150624253.6382,1360101268877.0146,1152906261184.48,1.2490191536154373e-05,9.52691552007898e-06,8.07560495987438e-06,7.101302850328839e-06,5.416531215053639e-06,4.591388078692539e-06
104,104,1000000.0,670,17.15,2.43,0.81,,0.0020099999999999,240.5,0.02405,670.0,0.0005269379025207,0.0099207054561498,0.0009765170030142,2.633199511814998e-05,-4.928764512848823e-05,459656452919.5099,351517476993.95056,298220000000.0,3.8145024058840105,0.0917345360294046,1753279477816.7625,1340802189532.931,1137508246764.6182,1.3391496008624343e-05,1.024100686551329e-05,8.688253834633472e-06,7.616599578114576e-06,5.824715067017357e-06,4.941565187997209e-06
105,105,1000000.0,675,17.15,2.43,0.81,,0.002025,240.0,0.024,675.0,0.0008348336341441,0.0105780732044526,0.000947469591372,0.0002504868743837,1.2906710430901048e-05,456577469057.37805,350078888280.3265,297600000000.0,2.503391476638503,0.060037275155428,1142152797481.9475,875740939241.3464,744462211927.3076,1.3401554690849345e-05,1.027558669744814e-05,8.735215700044882e-06,7.624339459446365e-06,5.845930784419372e-06,4.969591311230675e-06
106,106,1000000.0,680,17.15,2.43,0.81,,0.0020399999999999,237.0,0.0237,680.0,0.0006075525931805,0.0092757657930784,0.0010367692214495,0.0001116928061544,4.774138386980021e-05,448773452264.801,345003966340.5477,293880000000.0,3.362910524327744,0.0793843232582088,1503188894695.837,1155607864529.209,984365608401.79,1.327201932264561e-05,1.020314210778966e-05,8.69120269671757e-06,7.552680068610952e-06,5.806280578813003e-06,4.945884404173069e-06
107,107,1000000.0,685,17.15,2.43,0.81,,0.002055,223.5,0.02235,685.0,0.0005971107098616,0.0118905235619401,0.0011350450598757,-3.764668242624999e-05,7.87053253284205e-06,421233039904.25085,324692718640.10565,277140000000.00006,3.894474691710833,0.0864438702555224,1629217639768.3394,1255825290516.2488,1071903991168.479,1.2550988338595176e-05,9.674489271318922e-06,8.257616517804318e-06,7.142551395024021e-06,5.505585295503372e-06,4.699267403304613e-06
108,108,1000000.0,690,17.15,2.43,0.81,,0.00207,238.0,0.0238,690.0,0.0008453012734435,0.0105775042147035,0.0010024210100654,-0.0002037830037054,-5.24240913104827e-05,446455695431.314,345100000000.0,295120000000.0,2.517564725430621,0.0592108701103483,1110715554294.4866,858557616600.0513,734214789368.3196,1.3403071894874274e-05,1.0360266781796975e-05,8.859814351329828e-06,7.627653207713391e-06,5.89600076540375e-06,5.04209720627631e-06
109,109,1000000.0,695,17.15,2.43,0.81,,0.002085,241.5,0.02415,695.0,0.0006348813031422,0.0091354237738627,0.0009857904990806,0.0001651248930867,-1.1506449441217266e-05,450884600016.916,350175000000.0,299460000000.0,3.314010354575436,0.0803010591422085,1499234407133.309,1164365357562.0244,995733133363.3864,1.363612774878749e-05,1.059036177827434e-05,9.05658524486909e-06,7.759804423823292e-06,6.026574236534972e-06,5.153760036760941e-06
110,110,1000000.0,700,17.15,2.43,0.81,,0.0021,236.0,0.0236,700.0,0.0005869520168175,0.0110034077972568,0.000954872593968,-0.0004123154489567,2.66154282856275e-07,438528056661.0775,342200000000.0,292419566425.80707,3.6052294303713577,0.0856494008128689,1591511241214.1162,1241916311786.6,1061252569929.208,1.3357841280696027e-05,1.0423627899792468e-05,8.907284485801459e-06,7.60289353788595e-06,5.932824888044369e-06,5.069766456581449e-06
111,111,1000000.0,705,17.15,2.43,0.81,,0.002115,224.5,0.02245,705.0,0.0009980565147315,0.011016829037126,0.0012342282986193,2.69773937872e-05,-5.517058417092568e-05,415172881115.5551,325525000000.0,277773064889.7241,2.1229135696627948,0.0476908252474645,881957118965.1818,691516966088.2366,590076912966.9698,1.2738166384811494e-05,9.98762636247824e-06,8.52252080693952e-06,7.247598484670381e-06,5.682631510957646e-06,4.849034548614174e-06
112,112,1000000.0,710,17.15,2.43,0.81,,0.00213,221.5,0.02215,710.0,0.0007571101552912,0.0115985284881652,0.000865689201838,-0.0002184264028435,1.6375321644650697e-05,407665232536.762,320736066716.821,273669240748.29892,3.145592054874104,0.0696237473879551,1281407727719.7073,1008164645024.7528,860220229603.2981,1.259838264355512e-05,9.911945816284324e-06,8.457404599513808e-06,7.1659386305818846e-06,5.6378979301348576e-06,4.81055735873528e-06
113,113,1000000.0,715,17.15,2.43,0.81,,0.0021449999999999,225.5,0.0225499999999999,715.0,0.0006499201456904,0.0091319231322769,0.0008450652520206,0.0001864999124396,-5.166375530362373e-05,413032082314.9439,325863118888.99274,278212336474.166,3.500433302518044,0.0790602864784576,1448090232931.857,1142475899429.1565,975412284855.3712,1.2854127406713368e-05,1.0141309178385215e-05,8.658351184524797e-06,7.307120834379083e-06,5.764978768341443e-06,4.9219691333360334e-06
114,114,1000000.0,720,17.15,2.43,0.81,,0.0021599999999999,224.5,0.0224499999999999,720.0,0.0009961639339053,0.0101625289518905,0.0007349399925205,0.0002107921887779,-2.272230705825851e-05,409214234741.2017,323755977454.7468,276581335881.85803,2.169049920229943,0.0486214491331888,886262320670.2083,701179723357.7655,599010483464.1072,1.2825785018232144e-05,1.0147312123265464e-05,8.668742318603905e-06,7.286591228638259e-06,5.764895903567257e-06,4.924890106318887e-06
115,115,1000000.0,725,17.15,2.43,0.81,,0.002175,222.0,0.0221999999999999,725.0,0.0009731124013683,0.0100007957287382,0.0010733389062336,-2.5910043785649996e-05,1.1381922913159556e-05,402693192533.8615,319495977618.95386,273108546187.9305,2.3227163188080118,0.051789866168245,939433628296.9392,745344771269.2909,637128606147.6086,1.2710451334455429e-05,1.0084446795654489e-05,8.62029194857489e-06,7.215456649797373e-06,5.724728947585439e-06,4.893558948212151e-06
116,116,1000000.0,730,17.15,2.43,0.81,,0.0021899999999999,234.0,0.0234,730.0,0.0008352031872504,0.0104328183768119,0.0011035258135633,-0.0001124236159464,7.985896122196207e-07,422390129055.85474,336075941916.0138,287457117466.0476,2.6698883815451406,0.0626182423348787,1130313139362.4033,899336956146.1365,769233309503.1917,1.3427067836728604e-05,1.0683285806146447e-05,9.137775603313627e-06,7.616163251078797e-06,6.0598225723545884e-06,5.183171157904705e-06
117,117,1000000.0,735,17.15,2.43,0.81,,0.002205,216.5,0.0216499999999999,735.0,0.0006444398580355,0.0106802452672763,0.0009087732941526,-0.0001715363958561,-1.2332177182282633e-05,388885678785.0787,310303578010.02765,265576168767.1237,3.4216647181365785,0.0740781703617212,1330620765093.519,1061742324049.8152,908701924893.498,1.244852119302634e-05,9.933049422641648e-06,8.501291627885806e-06,7.054807455714508e-06,5.629243027203056e-06,4.8178393746246815e-06
