,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.translationXerror,SU.translationYerror,M1.translationXerror,M1.translationYerror,M1.rotationXerror,M1.rotationYerror,M2.translationXerror,M2.translationYerror,M2.rotationXerror,M2.rotationYerror,PG.translationXerror,PG.translationYerror,PG.rotationXerror,PG.rotationYerror,M3.translationXerror,M3.translationYerror,M3.rotationXerror,M3.rotationYerror,M4.translationXerror,M4.translationYerror,M4.rotationXerror,M4.rotationYerror,M5.translationXerror,M5.translationYerror,M5.rotationXerror,M5.rotationYerror,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
3696,3696,2.25,0.01,1600,1,300000.0,0.0046194124334327,-0.0130101808173186,0.0247059496691317,0.0062946732529842,-0.0023877760556306,0.0006521130058395,-0.0120333787661448,-0.0091770670910677,0.001315091212234,0.0033246568409229,0.029637604018352,-0.0078597765013512,0.00306563931153,-0.0036296621950847,-0.0108511316030924,0.0254589395214142,0.0018428659053341,-0.001952112629182,0.0017479417474884,0.0203908623863524,0.0026917394428657,0.0022980691699963,0.0185285274216906,-0.0232878608065863,-0.0004481834078981,0.0003877296954475,,1944.0,0.6479999999999999,1600.0,0.1120776809668768,0.0147625033458215,0.0042136203820334,0.0345917346936741,0.0013247808812572,3531599999999.9995,6015949040540.651,6004862427586.597,14.275812866549762,9.250726737524245,50416460719507.125,85882562717457.92,85724292305601.97,0.0002448531092871,0.000417098150382,0.000416329492648,0.0001594509786215,0.0002716188022006,0.0002711182440159
3697,3697,2.25,0.01,1600,1,300000.0,-0.0076651187024435,0.012451195327485,0.0053892261843886,0.0058963783383752,-0.0042231744504802,-0.0004950398374102,0.0092049607443066,-0.0021162089272351,-0.0035063985736764,-0.0004114621172866,0.0237163695852571,-0.0120817534708429,-0.0024299890987851,0.0040390154092858,-0.0262685459195538,-0.0256863761652215,0.002988122636089,-0.0007144111257827,-0.01889685956384,-0.0152369385506528,-0.0036705053359426,0.0024522700205212,0.0035963589412984,-0.0198254028807772,-0.0021202401569493,-0.0031109605476518,,1944.0,0.6479999999999999,1600.0,0.0980554139973719,0.0165997077998321,0.0049412699203961,0.0182468889911046,0.0054403458173891,3531599999999.9995,6015949040540.651,6004862427586.597,16.317304009780457,10.573612998337737,57626190840940.66,98164069401848.88,97983165767838.8,0.0002448531092871,0.000417098150382,0.000416329492648,0.0001594509786215,0.0002716188022006,0.0002711182440159
3698,3698,2.25,0.01,1600,1,300000.0,0.0005755204697496,-0.0172690883165168,0.0059555186353723,0.0175325187748766,-0.0015802281425431,-0.0013711514685976,0.003900393840825,-0.0048173587319106,0.0039905564487599,-0.0041508812080131,0.0175783859421078,0.0179302154726723,-0.0028279717422862,0.0015103349525979,-0.0014132167960424,0.0255473464868329,-0.0034805577678828,0.0023327548521316,-0.0197320468935448,0.0218417398812448,-3.1760695419361454e-06,0.004647054772183,0.0196068461018428,-0.010921426714429,-0.0023823326494064,0.0045082165504479,,2008.0,0.6693333333333333,1600.0,0.1054861021711985,0.0189991717427552,0.0044123857145969,0.0490093080956287,0.0131251478438529,3647866666666.6665,6214004976031.703,6202553371704.675,15.167874886525636,10.15236425738116,55330385202727.305,94253250020696.6,94079553519014.23,0.0002529141170002,0.000430829776732,0.0004300358133937,0.0001647003935556,0.0002805609849891,0.0002800439475226
3699,3699,2.25,0.01,1600,1,300000.0,-0.0195339729154014,0.0278768950629274,0.0170538585045971,-0.0128641623834711,0.0015734007462242,-0.0033267613327723,0.0049455858019927,0.0028023728111884,0.0009543084850696,0.0045271602045579,0.0088597034335772,-0.0265734443685674,0.0044840526121443,9.363599180673211e-05,0.0033666549711231,0.0122262114714102,-0.0038395247622959,6.878053738263237e-05,0.0216024184291113,0.0079145902872953,-0.0030787619017005,-0.0022369117860442,0.0281599643713635,0.0212372082115524,-0.0011227960557574,0.0035848643076964,,1983.0,0.661,1600.0,0.1118193614570373,0.016772678590636,0.0041750914523203,-0.000603639216491,0.0170238104724475,3602450000000.0,6136639376230.512,6125330346658.551,14.308792137171562,9.458111602670405,51546708234553.69,87807897255264.55,87646078701846.23,0.0002497652858623,0.0004254658601891,0.0004246817818524,0.000162649840847,0.0002770679448373,0.0002765573445903
3700,3700,2.25,0.01,1600,1,300000.0,-0.0189527241130203,0.0105642045511456,-0.0290433602418233,-0.0223545945750688,0.0049308498455331,0.0039193859118999,-0.0083308503819587,0.0286434271807706,-0.0010447296496247,-0.0049614775748566,0.010734459339228,-0.0261478295562964,0.0011632261264929,-0.003409671120539,-0.0193762656405149,-0.0026496296459827,0.0029178355850234,0.0021337091362627,-0.0050545470352711,-0.0158626176428603,0.0014125783320744,-0.0049568794650164,0.0060055226670492,0.0241900127538104,0.0048142442887703,0.0003112803417282,,1978.0,0.6593333333333333,1600.0,0.1107282752968785,0.0170487562561982,0.0051176620168477,-0.0627392133819057,-0.0151797206493726,3593366666666.6665,6121166256270.272,6109885741649.325,14.44978706396508,9.527226270840975,51923383176083.32,88449548986233.75,88286547951989.12,0.0002491355196347,0.0004243930768805,0.0004236109755442,0.0001622397303052,0.000276369336807,0.0002758600240038
3701,3701,2.25,0.01,1600,1,300000.0,-0.0016163532447005,0.000956562545522,0.003908776976147,-0.0096143728120018,0.0006959945279522,0.0007391745226501,0.014415789295654,-0.0136114244734878,-0.0035544026161564,-0.0046736920500781,-0.0060733069793485,-0.0001398202579673,0.0024228674582237,0.0001739685436544,-0.0213964405532343,0.0234373929296803,2.2682657040128465e-05,0.0012821906051256,0.0181336306204402,-0.0011557691769412,0.0005268269521045,-0.0003314080446597,-0.0072993334700993,0.0149188011994596,-0.0015282033173229,-0.0040567445892684,,1965.0,0.655,1600.0,0.1144606062402999,0.0185365455994748,0.0047466966977465,-0.0141727409050964,-0.0028035842622716,3569750000000.0,6080936144373.653,6069729768625.342,13.97860847111836,9.155988548582526,49900137589774.766,85003025500071.38,84846375961105.48,0.000247498127443,0.0004216038402781,0.0004208268791427,0.0001611734428968,0.0002745529559281,0.000274046990479
3702,3702,2.25,0.01,1600,1,300000.0,-0.0204880730086334,-0.024600523933963,-0.0256311811984045,0.0167190145085886,-0.0046209770257823,-0.0010916917126765,0.0022056846429572,-0.0079713074212513,0.0023298632862881,-0.0022351002830072,-0.0166004843546878,-0.0187957063857962,0.0027076003517499,-0.0038829188379573,0.0286591033602035,0.0290952814591405,-0.0020655026842055,-0.0046440561934368,0.0085989404840327,-0.0257791110491262,-0.0022282510096834,0.0048556887946131,0.0193471491101395,-0.0284697342383761,0.000413431791666,0.0037567681699252,,1888.0,0.6293333333333333,1600.0,0.1012620627959677,0.0157344336188933,0.0047188278983487,0.0934700429569199,-0.006498552080755,3429866666666.6665,5842650096985.983,5831882851483.279,15.80058667404228,9.943835880197277,54193905547075.15,92317299263528.56,92147170467722.4,0.0002377997275381,0.0004050829773257,0.0004043364619956,0.0001548577405542,0.0002637943922606,0.0002633082534475
3703,3703,2.25,0.01,1600,1,300000.0,0.0257751278702891,0.0132545076766232,0.0273889032050946,-0.021653677212853,-0.00234729566801,-0.0021055311928472,-0.0016674891877904,-0.0095952210558644,0.0040936508647585,-0.0039263199917367,0.0253677156771645,0.0202943048872962,0.0019725771695913,0.0003473539684996,-0.0028587685146353,-0.0022472870506865,-0.0032598438271823,0.0044534367498313,0.0291809219421997,0.0049334716414817,-0.0035879578504545,-0.0029739733777511,-0.0113482776651775,-0.0265921023632522,-0.0018572835505623,-0.0020998945861357,,1974.0,0.658,1600.0,0.0967189618622796,0.0154745803619984,0.0044586984152574,0.053184435122362,0.0172752412180116,3586100000000.0,6108787760302.082,6097530057641.946,16.542774748536655,10.88514578453712,59324044525727.29,101056299905295.06,100870066266002.44,0.0002486317066526,0.0004235348502336,0.0004227543304976,0.0001619116418719,0.0002758104503827,0.0002753021675346
3704,3704,2.25,0.01,1600,1,300000.0,0.0025644074033757,0.0170702530643617,-0.0066641246306855,-0.0182837430220393,-0.0024260859382357,0.0021067967157534,-0.0141156532497512,0.0150872789205093,-0.0040262046626969,-0.0014420241301462,0.0209780775263731,-0.0140553000868231,0.0006674272806978,-0.0010529601739666,-0.0206710063694971,-0.0108574220826083,0.0036407712154609,0.0009453984471336,-0.0071051461877184,0.007270484319653,0.0019249835835998,-0.0048915865559718,-0.0273181886974361,0.0099338418231603,-0.0012390671611275,0.0024964716889573,,2003.0,0.6676666666666666,1600.0,0.0842951778906808,0.0177129947046775,0.0053853749492651,-0.0197205632349636,-0.0032833756368589,3638783333333.3335,6198531856071.465,6187108766695.45,18.98091966867877,12.672927365454523,69067454141727.17,117653835223838.78,117437014482024.5,0.0002522843507726,0.0004297569934234,0.0004289650070854,0.0001642902830138,0.0002798623769587,0.0002793466269361
3705,3705,2.25,0.01,1600,1,300000.0,0.0099414884058298,-0.0137816918939527,0.0246403740979866,-0.005571993568292,-3.702890642678924e-05,-0.0022735579362246,0.011094766288819,0.0003555832522082,0.0046132027865623,-2.284621839454895e-06,-0.0093191075602821,0.0165883499985076,0.0012338942594992,0.0029849208289935,-0.0285378733520185,-0.0118611439969517,-0.0033595609198829,0.0004983695311524,-0.0151069331234583,0.0012095089305528,-0.0025198637187408,0.0013857936301527,-0.0294195663464699,-0.0293329061830749,-0.0015547169876405,-0.0010470522203804,,1922.0,0.6406666666666666,1600.0,0.109043503000521,0.0167614479398483,0.0048938210168325,0.036283437259056,0.0107676526216191,3491633333333.333,5947867312715.604,5936906165546.008,14.673042922991526,9.400529499329904,51232885771347.97,87273312379734.31,87112478996829.61,0.0002420821378857,0.0004123779038242,0.0004116179448917,0.0001576464922379,0.000268544926867,0.0002680500334354
3706,3706,2.25,0.01,1600,1,300000.0,-0.0030552852064413,0.0110001719186828,-0.0025692775206479,-0.0050897792269774,0.0035517104875419,0.0048524395332133,-0.0154394723459453,-0.0076265445811614,0.0032801278979936,-2.6996691164409177e-05,0.0168132359199669,0.0239848782109461,0.0048561961144754,-6.029512070497741e-05,-0.0240588303463449,0.0001034673155802,-0.0012647145587107,0.0036810764634375,0.0113189602610025,0.021556467896639,-0.0015002024862847,-0.0009966100650411,-0.0045143554362542,0.0107039985416162,0.000327212955975,0.002912685027112,,49.0,0.0163333333333333,1600.0,0.0435190038351817,0.017170306856458,0.005019670511749,-0.0286699270102093,0.0195310317436081,89016666666.66669,151636575610.33542,151357129090.40295,36.765547438990886,0.6005039415035179,3272746481194.1733,5575001714087.916,5564727709802.678,6.171709030385326e-06,1.0513276424239066e-05,1.0493901820862428e-05,4.019083308877201e-06,6.846358697443864e-06,6.83374174731485e-06
3707,3707,2.25,0.01,1600,1,300000.0,0.0211770717774889,-0.0275521899550489,-0.0162451779181319,-0.0225111085649266,0.0021751896347667,-0.0036900046711704,0.0164586614372305,0.0177895802535008,-0.0023842707073637,0.0010394591326404,-0.0098843407077681,0.0107713879420162,0.00476529677229,-0.001436925666737,0.0262893841542488,0.0012296974306367,0.0042490798701347,0.0028182026048937,-0.0017262456907504,0.0192946860224722,-0.0003955532017206,0.0030479550200339,-0.0183885938968765,-0.0236902107835341,0.0038902673565346,0.0017210687651276,,1959.0,0.653,1600.0,0.1079844609989777,0.0148104131215046,0.0044062858880478,-0.0167517318223368,0.0130896817298122,3558850000000.0,6062368400421.368,6051196242614.271,14.816946671754438,9.675466176655648,52731290662773.28,89825789293572.67,89660252027136.5,0.0002467424079698,0.0004203165003078,0.0004195419115728,0.0001606813102467,0.0002737146262916,0.0002732102057753
