,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
26,26,0.1,554,2,100000.0,0.01715,0.00243,5.72,1.20181115118366,6974130000000.0,3460.4,3.4604,241332794520.0,554.0,0.121482768323267,0.10419788263265484,0.029582490728900273,4.577201234444964,15.83586178758306,1104413587686.3662
27,27,0.1,556,2,100000.0,0.01715,0.00243,5.72,1.20295231364558,6979770000000.0,3404.0,3.404,237591370800.0,556.0,0.11788587886908317,0.10434484703086158,0.03003026718846128,4.7217294556290925,16.075121360361557,1122006498174.1074
28,28,0.1,558,2,100000.0,0.01715,0.00243,5.72,1.20410472404016,6985390000000.0,3459.8,3.4598,241680523220.0,558.0,0.11483002862594276,0.10437604132580172,0.02948231315531141,4.917458922216292,17.025345054574856,1189286750907.7666
29,29,0.1,560,2,100000.0,0.01715,0.00243,5.72,1.20514112000624,6990990000000.0,3477.0,3.4770000000000003,243076722300.0,560.0,0.11317793889302266,0.10806490772602348,0.029490124157523036,4.979684230576895,17.304157431174225,1209731915597.6465
30,30,0.1,562,2,100000.0,0.01715,0.00243,5.72,1.20653239223348,6996560000000.0,3576.4,3.5763999999999996,250224971840.0,562.0,0.119485469787719,0.11102827908412348,0.02938737331645257,4.726622264784848,16.90793744005854,1182973987756.1597
31,31,0.1,564,2,100000.0,0.01715,0.00243,5.72,1.20811897847302,7002110000000.0,3575.0,3.575,250325432500.0,564.0,0.1083845557468976,0.10706569516178999,0.02985612486572,5.271522708195971,18.836390532345128,1318944785104.3916
32,32,0.1,566,2,100000.0,0.01715,0.00243,5.72,1.2098506842126,7007640000000.0,3594.8,3.5948,251910642720.0,566.0,0.113455698391067,0.11129227404211668,0.02968115983408272,5.010981825279837,18.011462880248246,1262178477381.4282
33,33,0.1,568,2,100000.0,0.01715,0.00243,5.72,1.21147483348648,7013140000000.0,3614.2,3.6142,253468905880.0,568.0,0.11384375837551489,0.10536040728686907,0.030124121709738355,5.0155717461897735,18.11126854967397,1270168619164.6047
34,34,0.1,570,2,100000.0,0.01715,0.00243,5.72,1.21322571296527,7018630000000.0,3593.2,3.5932000000000004,252193413160.0,570.0,0.1089449555183819,0.1105619649282006,0.029878900104572132,5.294053455353806,19.041111075748766,1336425134295.8257
35,35,0.1,572,2,100000.0,0.01715,0.00243,5.72,1.22040172983306,7024090000000.0,3714.8,3.7148,260930895320.0,572.0,0.10361288445340051,0.11256550673210104,0.029667131615464946,5.556825723412606,20.653140589804362,1450695182854.3894
36,36,0.1,574,2,100000.0,0.01715,0.00243,5.72,1.22372713714585,7029530000000.0,3744.4,3.7444,263213721320.0,574.0,0.09925137391585395,0.10627791603107076,0.029813836762137537,5.825596815310652,21.82081779190299,1533900932927.1582
37,37,0.1,576,2,100000.0,0.01715,0.00243,5.72,1.22027554950736,7034950000000.0,3742.6,3.7426,263290038700.0,576.0,0.09984628359750333,0.10764749806645904,0.02958290761797769,5.922976296413899,22.190568798796896,1561095419710.9624
38,38,0.1,578,2,100000.0,0.01715,0.00243,5.72,1.21702969464689,7040340000000.0,3739.8,3.7398,263294635320.0,578.0,0.10006444088617172,0.10985368690239052,0.030217773938866616,5.784391578174081,21.630889658644804,1522888176993.4336
39,39,0.1,580,2,100000.0,0.01715,0.00243,5.72,1.21534946177801,7045720000000.0,3716.0,3.716,261818955200.0,580.0,0.10740743393525916,0.10503421111612649,0.029806079857428912,5.452158219328169,20.26830231933964,1428047830174.1772
40,40,0.1,582,2,100000.0,0.01715,0.00243,5.72,1.21559007975785,7051070000000.0,3785.0,3.7849999999999993,266882999500.0,582.0,0.10796783392622727,0.10386865863881516,0.029464333118268012,5.4061851077857455,20.47234823350332,1443519604588.0823
41,41,0.1,584,2,100000.0,0.01715,0.00243,5.72,1.21587072513883,7056400000000.0,3764.6,3.7646,265645234400.0,584.0,0.10575083803448707,0.10369645530632146,0.029898621521986864,5.585787929584649,21.047765474854263,1485214522967.6162
42,42,0.1,586,2,100000.0,0.01715,0.00243,5.72,1.21614745395122,7061710000000.0,3820.6,3.8206,269799692260.0,586.0,0.10480284017492066,0.11239782994293183,0.02911779398044547,5.646043781539047,21.564435097810847,1522817869745.6187
43,43,0.1,588,2,100000.0,0.01715,0.00243,5.72,1.21641984515278,7067000000000.0,3786.4,3.7864,267584888000.0,588.0,0.10777210856163036,0.10679214376467268,0.029581296169857874,5.5218437402311675,20.909176291411484,1477651488514.0493
44,44,0.1,590,2,100000.0,0.01715,0.00243,5.72,1.21696884226858,7072270000000.0,3831.4,3.8314,270966952780.0,590.0,0.10168064788292668,0.10868940528940192,0.029304946303481454,5.843994468557884,22.38258434354035,1582956797752.9011
45,45,0.1,592,2,100000.0,0.01715,0.00243,5.72,1.21747564218327,7077510000000.0,3844.4,3.8444,272087794440.0,592.0,0.10730344334642725,0.10771917390176992,0.02942854708841636,5.546953747320616,21.306882341840023,1507996728431.9617
46,46,0.1,594,2,100000.0,0.01715,0.00243,5.72,1.21811891168984,7082740000000.0,3866.2,3.8662,273832893880.0,594.0,0.10902429263828708,0.1089706267564138,0.02982803897810893,5.495055615589384,21.248667165821345,1504987848820.4946
47,47,0.1,596,2,100000.0,0.01715,0.00243,5.72,1.21860384648691,7087950000000.0,3909.8,3.9098000000000006,277124669100.0,596.0,0.10360932710179896,0.11578705447249224,0.030095650599348607,5.768628170187633,22.563692361027744,1599303232703.4658
48,48,0.1,598,2,100000.0,0.01715,0.00243,5.72,1.21910049382016,7093130000000.0,3868.2,3.8682,274376454660.0,598.0,0.10215020113041647,0.11198160467421885,0.02957880202597792,5.8772387501489565,22.74449471190025,1613296577758.2104
49,49,0.1,600,2,100000.0,0.01715,0.00243,5.72,1.21985929056978,7098300000000.0,3932.4,3.9324,279133549200.0,600.0,0.1041436952858703,0.11179045146615917,0.029671652879589512,5.8033069304418925,22.83538160753149,1620923892647.4082
50,50,0.1,602,2,100000.0,0.01715,0.00243,5.72,1.22050059246538,7103440000000.0,3947.6,3.9476,280415397440.0,602.0,0.11333185767273334,0.1108929543208024,0.02976896264291684,5.394048699502517,21.28151656509773,1511719760291.778
