,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
92,92,2.25,0.02,560,100000.0,226.5,18.76,5.23,,492.6,0.4926,560.0,0.0424384861807879,0.1322004377183812,0.0065455892265957,0.0009795797154983,2.8947658632531038e-05,1550694948000.0,3355182395983.561,2617302024000.0,1897120824000.0,13.459481006956144,6.621349369517908,20843875388254.98,45099136910806.62,35180818324097.324,25500405545862.14,3.761002885229773e-05,8.137545484391631e-05,6.347915479106674e-05,4.601212444714487e-05,2.1498225430568974e-05,4.651493035594204e-05,3.628524682072831e-05,2.6300937651199965e-05
93,93,2.25,0.02,565,100000.0,226.5,18.76,5.23,,484.1,0.4841,565.0,0.0393935523088202,0.1201627012706062,0.0068228803093765,0.0005636821658217,-3.274340854606436e-05,1523937118000.0,3276564847097.5605,2572139484000.0,1864385284000.0,14.79943571445103,7.16377918838258,22551433609444.598,48487062716429.37,38062878134881.86,27589432961466.53,3.729658099547587e-05,8.019009758557713e-05,6.295010959675798e-05,4.562865221285284e-05,2.1341161334773877e-05,4.588489787395396e-05,3.602015008048777e-05,2.6108785373139127e-05
94,94,2.25,0.02,570,100000.0,226.5,18.76,5.23,,508.7,0.5086999999999999,570.0,0.0427838353729498,0.121503453794853,0.006904398850399,-0.0008170499856484,7.218409099179055e-06,1601377426000.0,3421213353024.1284,2702845188000.0,1959125788000.0,14.2591254819956,7.213913308016376,22709254815369.39,48516486213768.61,38329252744684.94,27782511488364.992,3.954598477071098e-05,8.448679802736601e-05,6.674670999279934e-05,4.838057369753079e-05,2.265499560022296e-05,4.8400565789033216e-05,3.823767267356484e-05,2.771613074269934e-05
95,95,2.25,0.02,575,100000.0,226.5,18.76,5.23,,505.8,0.5057999999999999,575.0,0.0475917955217027,0.1253820122138671,0.0063873981682812,0.0017529462594705,-1.0608623860643017e-05,1592248284000.0,3379884183214.854,2687436792000.0,1947957192000.0,12.32603970694189,6.235610064704089,19629575771487.18,41667931653595.7,33131292820188.35,24014830905590.973,3.967719271739088e-05,8.422324423109694e-05,6.696816607276726e-05,4.854109355234927e-05,2.2721345658787737e-05,4.823086800292898e-05,3.834965997499901e-05,2.779730343107316e-05
96,96,2.25,0.02,580,100000.0,226.5,18.76,5.23,,521.5,0.5215000000000001,580.0,0.0472226421344543,0.1144623707610918,0.0062931674988087,0.0017989280016116,-1.1507755590279698e-07,1641671570000.0,3462212247526.1787,2770854660000.0,2008421660000.0,12.437371713468549,6.51620350302328,20512878303447.223,43260747028840.23,34622153100403.406,25095463578983.37,4.126907534478895e-05,8.703464244240335e-05,6.965498570033687e-05,5.048860339991518e-05,2.363171443377622e-05,4.983823356498839e-05,3.988620334249809e-05,2.8911048957088774e-05
97,97,2.25,0.02,585,100000.0,226.5,18.76,5.23,,512.7,0.5126999999999999,585.0,0.0495912515307054,0.123947639438465,0.0067619179859766,0.0012238311957252,-1.8471919070347926e-05,1613969346000.0,3381515692430.052,2724098148000.0,1974530748000.0,12.253529314165236,6.271211314673787,19741647794366.78,41361808993786.42,33320450805577.344,24151939863524.266,4.093001261329876e-05,8.575471416867277e-05,6.90827070748491e-05,5.00737939176363e-05,2.34189798330314e-05,4.906638902551908e-05,3.952714452063094e-05,2.8650789360848497e-05
98,98,2.25,0.02,590,100000.0,226.5,18.76,5.23,,520.8,0.5208,590.0,0.0446071366308728,0.1164974110205439,0.0064446957128347,0.0011281211465156,-2.4520926223575084e-05,1639467984000.0,3412122929600.001,2767135392000.0,2005725792000.0,13.44102415182795,7.02883915035496,22126645068534.4,46050812660131.21,37345909327231.984,27069746489413.027,4.1942858501223926e-05,8.729306739849974e-05,7.079221389686181e-05,5.131290998489624e-05,2.3980995973103314e-05,4.991015807141928e-05,4.047572952945427e-05,2.9338360132991444e-05
99,99,2.25,0.02,595,100000.0,226.5,18.76,5.23,,542.7,0.5427000000000002,595.0,0.0469216703997744,0.1123608110794843,0.0066995032457374,0.0002893948488695,9.810075261938932e-05,1708408746000.0,3531975732274.112,2883495348000.0,2090067948000.0,12.984815227398348,7.063965887388345,22237223334180.76,45973385089124.375,37532546111507.25,27205027984145.49,4.4093265682383625e-05,9.115871404400658e-05,7.442172534586242e-05,5.394371899650667e-05,2.5184433994389408e-05,5.206646823104155e-05,4.250692255870417e-05,3.081064669297525e-05
100,100,2.25,0.02,600,100000.0,226.5,18.76,5.23,,536.5,0.5365,600.0,0.0488509007984247,0.1157956382188209,0.006617701618218,0.0018592572424113,-4.862040579165181e-05,1688891270000.0,3468074411608.04,2850553260000.0,2066190260000.0,12.56140200911068,6.75583229024719,21267224933052.35,43671442860990.914,35895358357832.984,26018331549491.59,4.3965568176496605e-05,9.0281633100464e-05,7.42061942763578e-05,5.378749381636821e-05,2.5092543365053892e-05,5.152658972919464e-05,4.235182723808251e-05,3.069822766003283e-05
101,101,2.25,0.02,605,100000.0,226.5,18.76,5.23,,546.3,0.5463,605.0,0.0468478920928304,0.1252241385358319,0.0068066280473448,-0.0006099753687996,2.6051907129799152e-05,1719741474000.0,3505435790104.477,2902623012000.0,2103932412000.0,13.209987939364458,7.20731489041089,22688483128715.68,46247079566903.3,38294193768326.766,27757099398546.04,4.514674024893445e-05,9.202487784810216e-05,7.619980627584941e-05,5.52325402055624e-05,2.574519168455004e-05,5.24777227964451e-05,4.345338352404356e-05,3.149667787698984e-05
102,102,2.25,0.02,610,100000.0,226.5,18.76,5.23,,550.4,0.5504,610.0,0.0495122413186777,0.1169013045525575,0.0064040868109306,0.0010019509324282,-5.1916615254344896e-05,1732648192000.0,3508055834798.0303,2924407296000.0,2119722496000.0,12.507364979942183,6.8831426075488,21667995265711.465,43870727809154.24,36571788628132.58,26508634135896.234,4.586825532046178e-05,9.286847812031292e-05,7.741759760191944e-05,5.611524203469376e-05,2.6137162614307308e-05,5.291935560694925e-05,4.411496194030525e-05,3.197621527033999e-05
103,103,2.25,0.02,615,100000.0,226.5,18.76,5.23,,533.4,0.5334,615.0,0.0495496573425839,0.1232387449274704,0.0064758191459272,0.0008876190534488,-2.4364293836008323e-05,1679132532000.0,3375547652277.372,2834082216000.0,2054251416000.0,12.90126546901513,6.8997503539579,21720276119252.39,43664109689918.56,36660029570663.27,26572594553176.824,4.482747808506162e-05,9.011634610361124e-05,7.566094754752977e-05,5.484195474568221e-05,2.55177038006828e-05,5.129805034109374e-05,4.3069423739013554e-05,3.1218369108235e-05
104,104,2.25,0.02,620,100000.0,226.5,18.76,5.23,,558.1,0.5581,620.0,0.0499712023642018,0.1127687808748545,0.0068071103728121,0.0013642402419184,-2.600440588423441e-06,1756887638000.0,3507099458626.506,2965319244000.0,2149377044000.0,12.70253499356257,7.079449646068779,22285965896831.6,44487249634655.84,37614815037478.48,27264659654925.93,4.728810917041205e-05,9.439653309861992e-05,7.98140627223172e-05,5.785229180663717e-05,2.6898808966434817e-05,5.369540790398649e-05,4.5400487853423504e-05,3.29080137243224e-05
105,105,2.25,0.02,625,100000.0,226.5,18.76,5.23,,552.5,0.5525,625.0,0.0545319498830735,0.1287707648331942,0.0072599502548752,0.0014202337042442,1.2086128326831358e-06,1739258950000.0,3447349041050.12,2935565100000.0,2127810100000.0,11.63820938066466,6.430124682284358,20241903897337.51,40121057298290.84,34164795666900.54,24763953381400.81,4.71981138889214e-05,9.355040125241129e-05,7.966216641756705e-05,5.77421915430116e-05,2.682152079592078e-05,5.31623792968398e-05,4.527003893090748e-05,3.281345934538401e-05
106,106,2.25,0.02,630,100000.0,226.5,18.76,5.23,,567.1,0.5670999999999999,630.0,0.0465066401825196,0.1187343708453171,0.0068878748786515,0.0013709085282852,7.3539120287855155e-06,1785219458000.0,3513151452683.216,3013138404000.0,2184038204000.0,14.412026470670533,8.13617255241412,25612508471548.598,50403114833001.17,43229437452388.79,31334353180759.344,4.884371449921676e-05,9.612004046806782e-05,8.243965261082295e-05,5.975541999249154e-05,2.7730875162714403e-05,5.457187010005523e-05,4.680487015468354e-05,3.3925963844005434e-05
107,107,2.25,0.02,635,100000.0,226.5,18.76,5.23,,567.9,0.5679000000000001,635.0,0.0469079853826883,0.1228433962176824,0.006657082617589,0.0004348869034324,-2.4954804572773296e-05,1787737842000.0,3492730472838.407,3017388996000.0,2187119196000.0,13.663034734571472,7.762799744190393,24437138338716.48,47743206939735.84,41245618112822.17,29896404886815.81,4.931536354293746e-05,9.634817196285303e-05,8.323571375640158e-05,6.033243562255875e-05,2.7977774783445625e-05,5.466060193648375e-05,4.722159355853423e-05,3.4228020939458675e-05
108,108,2.25,0.02,640,100000.0,226.5,18.76,5.23,,582.8,0.5828000000000001,640.0,0.0557337557741902,0.1149317702511018,0.0064604720767678,0.0008798140551974,-2.55511031003123e-05,1834642744000.0,3558263167259.26,3096556272000.0,2244502672000.0,11.600572335158711,6.763811089704798,21292342034168.914,41296190581325.15,35937751634263.125,26049059821114.707,5.101903684495697e-05,9.895068684521412e-05,8.611121650267762e-05,6.241671022648557e-05,2.892827456149756e-05,5.6105971694585016e-05,4.88258710446481e-05,3.539086275078681e-05
109,109,2.25,0.02,645,100000.0,226.5,18.76,5.23,,589.1,0.5891,645.0,0.0497489602682207,0.1171216347396998,0.0064919223563089,0.0016244689927355,1.0456887126342293e-07,1854475018000.0,3570283290220.69,3130029684000.0,2268765484000.0,13.37105891077675,7.868492772565739,24769857878181.5,47687571320851.68,41807190538907.2,30303454105416.08,5.196769230187669e-05,0.0001000495459123,8.771238109709188e-05,6.357729569459766e-05,2.949076292971499e-05,5.677637988209404e-05,4.977525309203961e-05,3.607901124703319e-05
110,110,2.25,0.02,650,100000.0,226.5,18.76,5.23,,568.0,0.568,650.0,0.0516801497315781,0.1171532453397238,0.0069302688062028,0.0018500817207956,3.884786605336852e-05,1788052640000.0,3416849440000.0,3017920320000.0,2187504320000.0,12.804251449759104,7.269596321525685,22884543828236.43,43730838239843.5,38625109959383.14,27996960137312.586,5.050966551328754e-05,9.65206048540363e-05,8.525148672857512e-05,6.179354513414745e-05,2.8679462548579623e-05,5.480454174358941e-05,4.840591985705602e-05,3.508646603396203e-05
111,111,2.25,0.02,655,100000.0,226.5,18.76,5.23,,590.3,0.5903,655.0,0.0507649243684908,0.1124540458665479,0.0070475736582357,0.0005978529929285,-1.6484555968469525e-05,1858252594000.0,3524389128090.09,3136405572000.0,2273386972000.0,12.992925890992854,7.664487444895185,24127653186781.15,45760860957431.11,40723261271714.89,29517780627278.133,5.290624396963872e-05,0.0001003427583831,8.929649226146394e-05,6.472552018298446e-05,3.005154957912526e-05,5.69962097515196e-05,5.0721762935530566e-05,3.6765077859805454e-05
112,112,2.25,0.02,660,100000.0,226.5,18.76,5.23,,607.4,0.6074,660.0,0.0525155253801471,0.1210517087314739,0.0067816611500122,0.0015693591341838,-1.5543408367210822e-05,1912083052000.0,3599056139290.1787,3227261976000.0,2339243176000.0,12.85300834492673,7.79064170711578,24524784281166.336,46162260232145.484,41393549143915.84,30003630968112.57,5.485845659075322e-05,0.0001032584148362,9.259148593582348e-05,6.711385789000325e-05,3.1179554340895785e-05,5.868833278635887e-05,5.262563780780727e-05,3.814507933971355e-05
113,113,2.25,0.02,665,100000.0,226.5,18.76,5.23,,614.9,0.6149000000000001,665.0,0.0569136447526943,0.1224910078912538,0.0070150512067202,0.0006848178206633,-5.086190580164769e-05,1935692902000.0,3615677598402.655,3267111276000.0,2368127476000.0,12.129120171361327,7.475902467744992,23533991450411.883,43959104050201.16,39721264027721.4,28791494619878.227,5.596274614388629e-05,0.0001045327217805,9.445533368113596e-05,6.846484617411186e-05,3.1817639269458926e-05,5.943211623175095e-05,5.37026136354297e-05,3.892571269833704e-05
114,114,2.25,0.02,670,100000.0,226.5,18.76,5.23,,613.1,0.6131,670.0,0.0506929195779661,0.123001914529887,0.0066822248114842,0.0013696598421318,-1.6082732500833474e-05,1930026538000.0,3577310676717.1045,3257547444000.0,2361195244000.0,13.623837226239804,8.342208961812817,26261106967607.52,48675050051375.16,44324158344262.336,32127848842091.992,5.6228825932945007e-05,0.0001042203179017,9.4904429856594e-05,6.87903682952227e-05,3.19809266718918e-05,5.927675510266243e-05,5.397821422949397e-05,3.912547857224525e-05
115,115,2.25,0.02,675,100000.0,226.5,18.76,5.23,,582.4,0.5824,675.0,0.0585806458289311,0.0995838445576664,0.0064308589632122,0.0018787068092608,-9.791480347249649e-06,1833383552000.0,3371743799930.4346,3094430976000.0,2242962176000.0,11.624437130075128,6.7511175443337965,21252383007211.9,39084887916739.45,35870307781256.09,26000173931440.09,5.381384673264264e-05,9.896810946799384e-05,9.082836708420038e-05,6.583588176882402e-05,3.061548041052565e-05,5.6304397485988536e-05,5.1673579608644695e-05,3.745499106609089e-05
116,116,2.25,0.02,680,100000.0,226.5,18.76,5.23,,628.0,0.628,680.0,0.0571222514078271,0.1184045333314149,0.0071820502071382,0.0016817182549398,-4.651462076818188e-05,1976931440000.0,3607153432327.587,3336714720000.0,2418578720000.0,12.29724963429812,7.705443224644656,24256581162316.883,44259101871627.89,40940869158910.97,29675511164480.48,5.8465740651128864e-05,0.0001066779013151,9.867995090727167e-05,7.152701066247357e-05,3.327097583100384e-05,6.070696850554092e-05,5.615559172050738e-05,4.070372523313211e-05
117,117,2.25,0.02,685,100000.0,226.5,18.76,5.23,,600.5,0.6004999999999999,685.0,0.06084384753658,0.1210643214985361,0.0063707945810897,0.0008493752688012,-3.5663039477323524e-05,1890361990000.0,3421903783571.4287,3190600620000.0,2312669620000.0,11.416772990543484,6.86714416630767,21617632492653.223,39131901090788.81,36486785070192.57,26447020299050.75,5.6324905799427866e-05,0.0001019584657774,9.506659587727131e-05,6.89079124425786e-05,3.2053534242812444e-05,5.802280763290012e-05,5.4100763118025145e-05,3.921430670375574e-05
118,118,2.25,0.02,690,100000.0,226.5,18.76,5.23,,606.8,0.6068,690.0,0.0539830014596645,0.1158032832182568,0.0064018888902833,0.0006119748607135,2.0828032563273832e-05,1910194264000.0,3430151252997.8857,3224074032000.0,2336932432000.0,13.11090853203857,7.950139938677106,25026881524156.75,44940973091894.87,42241001527776.734,30617896937430.81,5.734605094204093e-05,0.0001029767663951,9.679011039056334e-05,7.015718182136664e-05,3.2635487808211686e-05,5.860380878912248e-05,5.5082999015909466e-05,3.99262689300749e-05
119,119,2.25,0.02,695,100000.0,226.5,18.76,5.23,,615.4,0.6154000000000001,695.0,0.0597602043524374,0.119743976190183,0.0064732382606942,0.0004862800983973,1.2711445416835437e-05,1937266892000.0,3450693909119.497,3269767896000.0,2370053096000.0,11.81259136471317,7.267251868047532,22877163535576.277,40749206625136.34,38612653315384.87,27987931084299.383,5.85888691293014e-05,0.000104359525619,9.88877702566452e-05,7.167764609226575e-05,3.334070890446028e-05,5.93870579306567e-05,5.6273288959756576e-05,4.078903670328705e-05
120,120,2.25,0.02,700,100000.0,226.5,18.76,5.23,,617.5,0.6174999999999999,700.0,0.0572347091179039,0.1213083486329476,0.0067386794662458,0.0008385520434602,-1.537725563321398e-05,1943877650000.0,3434296152027.027,3280925700000.0,2378140700000.0,12.615734377179844,7.773259029632065,24470063960101.15,43231860039149.39,41301190806602.266,29936686105280.195,5.92117396444273e-05,0.0001046108275464,9.993906681373664e-05,7.243966613136174e-05,3.3701594685076575e-05,5.954143098673569e-05,5.688240107768672e-05,4.12305445126571e-05
121,121,2.25,0.02,705,100000.0,226.5,18.76,5.23,,618.5,0.6184999999999998,705.0,0.0635983508803064,0.1170040352121536,0.0071738569757136,0.0012320182543649,-4.6715523910929314e-06,1947025630000.0,3411553084721.6504,3286238940000.0,2381991940000.0,11.250742932875164,6.96246056429699,21917686607195.64,38403886524462.79,36993223968645.336,26814106623643.133,5.973785273207527e-05,0.0001046718916394,0.0001008270537455,7.308331309470758e-05,3.398887703764738e-05,5.955487001165504e-05,5.7367283474326255e-05,4.158200585850897e-05
122,122,2.25,0.02,710,100000.0,226.5,18.76,5.23,,597.1,0.5971,710.0,0.0586828482581153,0.1190139134098595,0.0064911428341002,0.0014767180385294,4.506242696382603e-05,1879658858000.0,3266196697789.366,3172535604000.0,2299575404000.0,12.46986526819622,7.411382256835198,23330883116872.07,40541001931552.2,39378452662307.05,28543011802813.99,5.808849919595827e-05,0.0001009377118862,9.804323326955932e-05,7.106549331426575e-05,3.3040639593034184e-05,5.741319892825832e-05,5.576682441162047e-05,4.042193178682107e-05
123,123,2.25,0.02,715,100000.0,226.5,18.76,5.23,,604.1,0.6041,715.0,0.0647540671683031,0.12083966826946,0.0067829966423213,0.0016285250879166,-4.997167478810896e-05,1901694718000.0,3276864274463.415,3209728284000.0,2326534084000.0,11.283999972395492,6.833820355198407,21512729801757.48,37069196788694.83,36309727664054.38,26318682304754.31,5.9183359454402894e-05,0.0001019805305252,9.989116601358398e-05,7.240494579545443e-05,3.36436652006383e-05,5.7972356716605066e-05,5.678462623353372e-05,4.115967355806144e-05
124,124,2.25,0.02,720,100000.0,226.5,18.76,5.23,,606.2,0.6061999999999999,720.0,0.0632091491752589,0.1275625671563047,0.0063800481821034,0.0013588175225276,7.682967124292883e-06,1908305476000.0,3260455579549.296,3220886088000.0,2334621688000.0,11.507720458227668,6.978912458808099,21969476842078.72,37536182886022.7,37080636832637.55,26877466817860.105,5.9811007795880193e-05,0.0001021907323219,0.0001009505267064,7.317281102923322e-05,3.397985886727005e-05,5.805664859711816e-05,5.735206237902846e-05,4.157097302523687e-05
125,125,2.25,0.02,725,100000.0,226.5,18.76,5.23,,614.6,0.6146,725.0,0.0615249352402656,0.1196505118743108,0.006978992832561,0.0014527674141206,7.739636377943556e-05,1934748508000.0,3277466600095.8086,3265517304000.0,2366972104000.0,11.84118223327138,7.280374741774233,22918474079610.45,38823926215987.95,38682378292984.52,28038470420510.6,6.106764954383085e-05,0.0001034486812619,0.0001030715183267,7.471018704984882e-05,3.466682389114456e-05,5.872564675192903e-05,5.851153926371355e-05,4.2411406312153056e-05
126,126,2.25,0.02,730,100000.0,226.5,18.76,5.23,,605.3,0.6053,730.0,0.0591341389019589,0.1149483510220595,0.0064365083808238,0.0011531915924227,1.7068837972722692e-05,1905472294000.0,3200109676855.4463,3216104172000.0,2331155572000.0,12.683753603291525,7.694503825947133,24222144154005.05,40679425329612.88,40882745508175.35,29633380914640.645,6.05717416023272e-05,0.0001017260744519,0.0001022345124019,7.410349307446257e-05,3.435778220942414e-05,5.770153240741377e-05,5.798993092281423e-05,4.2033324594254926e-05
127,127,2.25,0.02,735,100000.0,226.5,18.76,5.23,,604.7,0.6047,735.0,0.0645918619850135,0.1196013171002073,0.0071432644265002,0.0002175804161804,4.436843072675168e-05,1903583506000.0,3169204231672.5483,3212916228000.0,2328844828000.0,11.505229914907131,6.971090478231146,21944853403662.08,36535157008404.76,37039076772556.85,26847342493382.914,6.0935130579166016e-05,0.000101448595809,0.0001028478494775,7.45480632950995e-05,3.453306676825673e-05,5.749279765748816e-05,5.828578061988081e-05,4.224776779413499e-05
128,128,2.25,0.02,740,100000.0,226.5,18.76,5.23,,609.9,0.6098999999999999,740.0,0.0612602904179538,0.1220497663445246,0.0068184809267551,0.0011448163723136,-3.03385628892769e-05,1919953002000.0,3168486663111.112,3240545076000.0,2348871276000.0,12.47530878524442,7.6167890772248255,23977499679322.203,39569920654069.92,40469828396674.03,29334082765771.33,6.186811441945899e-05,0.0001021005697564,0.0001044225631223,7.568947610111793e-05,3.504376017799745e-05,5.783250247979204e-05,5.914774183067973e-05,4.287255031731807e-05
129,129,2.25,0.02,745,100000.0,226.5,18.76,5.23,,615.7,0.6157,745.0,0.0668323326808944,0.1159433399136948,0.0067855736194575,0.0013045422316445,-6.400523559491301e-05,1938211286000.0,3170356556380.3096,3260936323424.78,2371208468000.0,11.567626937911824,7.120301074240243,22414565375686.8,36663786249990.766,37711301618824.89,27421988309156.992,6.289234918271319e-05,0.0001028738058733,0.0001058129974769,7.694252532304282e-05,3.558682083493224e-05,5.820981002932765e-05,5.987291351260879e-05,4.353693094375582e-05
130,130,2.25,0.02,750,100000.0,226.5,18.76,5.23,,621.9,0.6219,750.0,0.0612553005087874,0.1174466582670956,0.006989845514503,0.0020982375502847,4.925820589655608e-06,1957728762000.0,3173748405603.448,3276133658960.5264,2395086156000.0,12.579245985718762,7.825755604087925,24635322126556.703,39937255782467.12,41225633287267.11,30138863012687.57,6.395906919417374e-05,0.0001036864747654,0.0001070314046817,7.824755101473632e-05,3.615961866449458e-05,5.861973032792799e-05,6.051080522559536e-05,4.423769203916419e-05
131,131,2.25,0.02,755,100000.0,226.5,18.76,5.23,,617.9,0.6178999999999999,755.0,0.0665670518034289,0.1231568512405034,0.0064897652455082,0.0020719054727123,-5.4039870151684446e-05,1945136842000.0,3124987453646.388,3237505694460.87,2379681196000.0,11.689684948321764,7.208829712412805,22693251758081.26,36458168646647.21,37770880796787.78,27762933341632.69,6.397134198549685e-05,0.0001027740757262,0.0001064745572076,7.826256555258446e-05,3.613417266461023e-05,5.80518726429013e-05,6.0142087302209415e-05,4.420656139265608e-05
132,132,2.25,0.02,760,100000.0,226.5,18.76,5.23,,626.5,0.6265000000000001,760.0,0.0649706696614202,0.1214062641926232,0.0065729551287037,0.0004719022178466,-3.6002383760874334e-05,1972209470000.0,3139745004697.542,3264741943354.839,2412801860000.0,12.059419732797132,7.574478218178777,23844305941262.42,37959984275685.8,39471215862595.17,29171133492978.832,6.529845425812187e-05,0.0001039547262549,0.0001080932860811,7.988615524147206e-05,3.6849539616521496e-05,5.86642340462839e-05,6.099972614946093e-05,4.508174160977269e-05
133,133,2.25,0.02,765,100000.0,226.5,18.76,5.23,,613.7,0.6136999999999999,765.0,0.0650403292301461,0.1300023733159339,0.007104359330358,0.000150398230695,-6.009883846355941e-06,1931915326000.0,3047452887919.324,3180559574333.333,2363505988000.0,11.870960616940952,7.284169276911538,22930419200331.98,36171032587611.67,37750911413957.484,28053084086012.79,6.438989760130602e-05,0.0001015702793787,0.0001060066673471,7.877462666155877e-05,3.629963024237454e-05,5.725996969109811e-05,5.976097138335149e-05,4.440898225993891e-05
134,134,2.25,0.02,770,100000.0,226.5,18.76,5.23,,615.8,0.6157999999999999,770.0,0.0683354037725507,0.1234610122549026,0.0070551792075181,0.0002587212027204,-3.4730265585872984e-05,1938526084000.0,3029650269631.2847,3173873279186.4404,2371593592000.0,11.499617283527698,7.066684266683103,22245780737833.08,34767102783299.168,36422150643833.61,27215497115220.637,6.503252038374517e-05,0.0001016369057613,0.0001064752135282,7.956081163244199e-05,3.662980274781235e-05,5.724735544566986e-05,5.997254982675368e-05,4.481291543608436e-05
135,135,2.25,0.02,775,100000.0,226.5,18.76,5.23,,628.2,0.6282,775.0,0.0661079464550993,0.1272811603003413,0.0067864020545172,0.0005912550613315,8.87008995774968e-05,1977561036000.0,3061879301512.014,3219842689714.285,2419348968000.0,11.908760839354771,7.4912439524087375,23582286137303.656,36512710602447.26,38396413685179.27,28850578359274.625,6.678020076804399e-05,0.0001033965125526,0.0001087307735873,8.16989245185553e-05,3.757928530300986e-05,5.818441693594359e-05,6.118617067432138e-05,4.597451277656266e-05
136,136,2.25,0.02,780,100000.0,226.5,18.76,5.23,,636.6,0.6365999999999999,780.0,0.0736546463315903,0.1202032020775175,0.0073104930810653,0.0007786437403405,2.9816384973141592e-05,2004004068000.0,3073673411394.495,3244693183933.472,2451699384000.0,10.770124785786097,6.864211142973562,21608399393857.914,33142229469613.023,34986269413582.324,26435724522265.496,6.811476454721944e-05,0.0001044721136325,0.0001102849618823,8.333163038355814e-05,3.82989503739109e-05,5.874162998386048e-05,6.201002543575426e-05,4.6854951314182617e-05
137,137,2.25,0.02,785,100000.0,226.5,18.76,5.23,,635.7,0.6356999999999999,785.0,0.0713770220052196,0.1192267810808714,0.0066893691564662,0.0007648694623234,-1.5836835982182244e-05,2001170886000.0,3040242058590.164,3221916212845.361,2448233268000.0,11.21243446111227,7.118087934292769,22407598455394.957,34042331783199.71,36076581595024.11,27413464976065.684,6.846958375185692e-05,0.0001040211556708,0.0001102370934536,8.37657163414321e-05,3.846781764236058e-05,5.8441524367890165e-05,6.193378396706316e-05,4.706154359842336e-05
138,138,2.25,0.02,790,100000.0,226.5,18.76,5.23,,654.3,0.6543,790.0,0.0667823555077916,0.1155198441237607,0.006761734643586,0.0002438792396858,-4.385582562889391e-05,2059723314000.0,3099278218443.038,3297437803417.1777,2519866332000.0,12.067714350356535,7.899503547480835,24867479177398.72,37418247411311.11,39810670373974.33,30422884042200.09,7.092702739539981e-05,0.0001067243302103,0.0001135479993005,8.677215388479582e-05,3.982558139624816e-05,5.9925794945010846e-05,6.375729047996615e-05,4.872263232183392e-05
139,139,2.25,0.02,795,100000.0,226.5,18.76,5.23,,656.2,0.6561999999999999,795.0,0.0676330472778544,0.1273602585273408,0.0070249292224956,0.000274190217961,-8.008476630428587e-06,2065704476000.0,3078302777023.339,3288195173103.448,2527183688000.0,12.444091502985309,8.13138527802666,25597438227522.355,38145178120079.484,40746086287491.15,31315916238147.383,7.15831988280156e-05,0.0001066729352143,0.0001139463711272,8.75749142797625e-05,4.016727368890799e-05,5.985707615904975e-05,6.393839825353238e-05,4.914065881030693e-05
140,140,2.25,0.02,800,100000.0,226.5,18.76,5.23,,654.9,0.6548999999999999,800.0,0.0683875934339766,0.1193888308257471,0.0068088071656316,0.0001385940195884,5.777538640535902e-06,2061612102000.0,3042322972518.7163,3262880901241.448,2522177076000.0,11.821512619952198,7.745194961381857,24381718834530.85,35980126061457.08,38588561178629.35,29828604643072.26,7.18959869177621e-05,0.0001060969774185,0.0001137886425687,8.79575793547488e-05,4.031586248570004e-05,5.949415725594666e-05,6.380727858264543e-05,4.932244240415358e-05
141,141,2.25,0.02,805,100000.0,226.5,18.76,5.23,,659.4,0.6594000000000001,805.0,0.0744018698456101,0.1230320450000742,0.0071587843031938,0.0003918556386862,-5.187290529457398e-05,2075778012000.0,3033161805663.718,3266358155820.3594,2539507656000.0,11.13953098964397,7.354278823397098,23151122650477.6,33828810487306.008,36429646064573.96,28323092775819.844,7.285047349214505e-05,0.0001064503393153,0.0001146344825269,8.912529861431417e-05,4.081521201700029e-05,5.963987548974579e-05,6.422512421008632e-05,4.9933346821883297e-05
142,142,2.25,0.02,810,100000.0,226.5,18.76,5.23,,684.4,0.6843999999999999,810.0,0.0687855218751792,0.1156813356610522,0.0067018491192182,0.0007755222258727,-1.3914201763148752e-06,2154477512000.0,3116998453373.2397,3370524950482.213,2635788656000.0,11.894759481250803,8.150560544819555,25657801583881.062,37120521058339.42,40139783279851.27,31389764792630.863,7.607931870978396e-05,0.0001100680408271,0.000119020616599,9.307546915414596e-05,4.259594839005603e-05,6.162584873235427e-05,6.663829445351692e-05,5.211190041795673e-05
