,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2.25,0.02,150,1,100000.0,,639.5,0.6395,150.0,0.0046408242817818,0.0336771834520723,0.006546867575496,0.0003671123098155,-9.666814366182223e-06,15411950000000.0,9976200000000.0,8057700000000.0,32.842679321531705,21.024185012850065,506682858809686.6,327977286200461.06,264904731161910.84,9.405328135450513e-05,6.088096220457593e-05,4.9173084857542086e-05,6.105386797236484e-05,3.952034607339799e-05,3.192027952082145e-05
11,11,2.25,0.02,155,1,100000.0,,586.3,0.5863,155.0,0.0046561795125654,0.0332747686424904,0.0068839396998145,0.0003974464511229,-1.5408616167519526e-05,14129830000000.0,9146280000000.0,7387380000000.0,33.66728602967142,19.69218318691887,474581614804744.8,307198057715934.4,248121508155177.72,8.943313249982888e-05,5.789032643142452e-05,4.675757134845826e-05,5.753094412143125e-05,3.723994723212977e-05,3.007841891825866e-05
12,12,2.25,0.02,160,1,100000.0,,561.0,0.561,160.0,0.005124509873218,0.0323180176818118,0.0067923152031562,0.0003290371418192,-8.522606980236796e-05,13520100000000.0,8751600000000.0,7068600000000.0,31.936228699256,17.981511947592452,433354437936978.0,280511586382442.2,226567050539664.84,8.830317283800094e-05,5.715890026028276e-05,4.616680405638223e-05,5.6622524876872056e-05,3.665192481656448e-05,2.960347773645593e-05
13,13,2.25,0.02,165,1,100000.0,,522.8,0.5227999999999999,165.0,0.0052099098102047,0.031728240614398,0.0071402609941545,0.0003482101304092,-1.640615792915349e-05,12599480000000.0,8155680000000.0,6587280000000.0,32.17523764505497,16.896990597366834,407217473396540.7,263593053318922.62,212902081526822.16,8.466209866429112e-05,5.480202237190629e-05,4.4263171915770464e-05,5.405483789314719e-05,3.49898535739874e-05,2.8261035578989823e-05
14,14,2.25,0.02,170,1,100000.0,,488.0,0.4880000000000001,170.0,0.0050707527385071,0.0307890676050205,0.0066043403796795,0.00031504775137,-2.1375321240362075e-05,11741193249955.451,7612800000000.0,6148800000000.0,35.68517349555144,17.38373341137845,418249535632585.7,271186241217503.84,219035040983368.53,8.14263111108512e-05,5.279550451373756e-05,4.264252287648033e-05,5.1632790305787456e-05,3.347786699970977e-05,2.7039815653611733e-05
15,15,2.25,0.02,175,1,100000.0,,456.3,0.4563,175.0,0.0051241727834877,0.0313142718982685,0.0074212925047179,0.000486230887041,3.302363508402692e-05,10951200000000.0,7118280000000.0,5749380000000.0,35.128549293066186,16.041430775400137,384994338609603.3,250246320096242.16,202122027770041.72,7.865424426189208e-05,5.112525877022984e-05,4.129347823749333e-05,4.916882364693918e-05,3.195973537051047e-05,2.581363241464307e-05
16,16,2.25,0.02,180,1,100000.0,,438.1,0.4381,180.0,0.005945162798784,0.029697215797835,0.0069696397482843,0.0001547758169375,-3.542114021577338e-05,10514400000000.0,6834360000000.0,5520060000000.0,32.673142644579364,14.166658837129065,339999812091097.6,220999877859213.38,178499901347826.2,7.806886289273986e-05,5.07447608802809e-05,4.0986153018688415e-05,4.821902730962372e-05,3.134236775125542e-05,2.531498933755245e-05
17,17,2.25,0.02,185,1,100000.0,,430.5,0.4305,185.0,0.0054582719126244,0.030460181201147,0.0065100191179269,-4.11000585663e-06,-7.114840823239891e-06,10332000000000.0,6715800000000.0,5424300000000.0,35.61764073088889,15.272356657437246,366536559778493.94,238248763856021.03,192431693883709.28,7.897719715710427e-05,5.133517815211778e-05,4.146302850747974e-05,4.8263346342762245e-05,3.1371175122795465e-05,2.5338256829950184e-05
18,18,2.25,0.02,190,1,100000.0,,407.7,0.4077,190.0,0.0060735817178283,0.0266458360737182,0.0069075796669951,0.0002368771405245,5.126038404412218e-06,9784800000000.0,6360120000000.0,5137020000000.0,33.17689300194344,13.506742053280677,324161809278736.1,210705176031178.53,170184949871336.5,7.693207045501651e-05,5.000584579576072e-05,4.038933698888366e-05,4.6572995202193286e-05,3.027244688142564e-05,2.445082248115148e-05
19,19,2.25,0.02,195,1,100000.0,,398.8,0.3987999999999999,195.0,0.0064185744457432,0.0288433261330622,0.0062886986471556,0.000467925814873,7.082220150287061e-06,9571200000000.0,6221280000000.0,5024880000000.0,30.957557920859237,12.34769831700473,296344759608113.5,192624093745273.8,155580998794259.56,7.743035228724848e-05,5.032972898671151e-05,4.065093495080544e-05,4.63620973191342e-05,3.0135363257437235e-05,2.434010109254545e-05
20,20,2.25,0.02,200,1,100000.0,,396.7,0.3967,200.0,0.0066816787155146,0.0252864196870986,0.0064904202381297,0.0002998684826794,2.769452699352801e-05,9492628316539.057,6188520000000.0,4998420000000.0,30.4529192298893,12.096066504604805,289446592942654.75,188698637471834.88,152410437958020.47,7.889764619595699e-05,5.143566619857078e-05,4.154419192961487e-05,4.68094476463145e-05,3.0516437944110495e-05,2.4647892185627707e-05
21,21,2.25,0.02,205,1,100000.0,,385.0,0.3849999999999999,205.0,0.0067573054932636,0.0307890303553605,0.0064537762500797,0.0004141511000051,-3.693820196305979e-05,9201500000000.0,6006000000000.0,4851000000000.0,31.031912054645492,11.925930694329816,285029743594482.6,186044518831545.2,150266726748555.7,7.84866025085675e-05,5.122974891772607e-05,4.137787412585568e-05,4.612546587898551e-05,3.0106998649044928e-05,2.431719121653629e-05
22,22,2.25,0.02,210,1,100000.0,,380.4,0.3804,210.0,0.0067908422530592,0.0276295149963678,0.0067071355759855,0.0004730152388197,6.410012772520323e-06,9091560000000.0,5934240000000.0,4793040000000.0,31.30564684725377,11.88625184910248,284081419193549.25,185425528845998.62,149766773298691.25,7.960239865033441e-05,5.195805100189191e-05,4.19661181169127e-05,4.634200546425805e-05,3.024833829466216e-05,2.4431350161073277e-05
23,23,2.25,0.02,215,1,100000.0,,380.9,0.3808999999999999,215.0,0.0072353479264932,0.0267856958721161,0.0065803778945158,0.0004856897322689,5.452841552828614e-05,9089632462901.951,5942040000000.0,4799340000000.0,30.42821403760554,11.564795405290573,275977263698473.44,180410808322532.9,145716422106661.22,8.160565890477658e-05,5.3346941300168725e-05,4.308791412705936e-05,4.721408721143548e-05,3.08646137144549e-05,2.492911107705973e-05
24,24,2.25,0.02,220,1,100000.0,,376.9,0.3768999999999999,220.0,0.0067475097265031,0.0290340083597675,0.0067722132356109,8.86152051462e-05,2.8277047820680792e-06,8970220000000.0,5879640000000.0,4748940000000.0,33.811598436761614,12.75885281690687,303660697042383.5,199038103943747.2,160761545493026.6,8.255822915266317e-05,5.411379725972881e-05,4.3707297786704034e-05,4.749792168594954e-05,3.113309152524424e-05,2.5145958539620345e-05
25,25,2.25,0.02,225,1,100000.0,,377.4,0.3773999999999999,225.0,0.0069547310233871,0.0302031428551806,0.0061370738832564,0.0001063413436368,-4.764451182712075e-05,8982120000000.0,5887440000000.0,4755240000000.0,33.82506333788972,12.78880695601186,304373605553082.3,199505388513785.03,161138967645749.44,8.46663692094977e-05,5.549560334740185e-05,4.482337193443997e-05,4.846855548690497e-05,3.1769305277130994e-05,2.5659823493067342e-05
26,26,2.25,0.02,230,1,100000.0,,381.7,0.3816999999999999,230.0,0.0082038694111786,0.026977611600912,0.0070922058456268,0.0004361852780974,-5.705990427581196e-05,9084460000000.0,5954520000000.0,4809420000000.0,28.915936516218448,11.081214333115952,263732901128159.6,172866943596608.8,139623300597260.95,8.763102969469526e-05,5.743882618643891e-05,4.639289807366219e-05,4.997447492050918e-05,3.275637851932534e-05,2.6457074957916624e-05
27,27,2.25,0.02,235,1,100000.0,,382.8,0.3828,235.0,0.0071529828085402,0.0244303285220265,0.0068830487034651,0.0001735330506225,-4.818271798834772e-05,9110640000000.0,5971680000000.0,4823280000000.0,35.14461547091037,13.481833318044036,320867632969448.1,210316599761486.9,169871099807354.84,8.996559436310681e-05,5.896904504472546e-05,4.762884407458596e-05,5.102942247265273e-05,3.344785674678078e-05,2.701557660316909e-05
28,28,2.25,0.02,240,1,100000.0,,388.8,0.3888,240.0,0.0082408090011795,0.0278240970117879,0.0068319875578047,-8.988187000442572e-05,-6.749899639404167e-05,9222803288363.115,6065280000000.0,4898880000000.0,29.950824492700274,11.637843728476286,276063640453825.0,181550362164230.1,146636830978801.2,9.312439396254303e-05,6.12422824767175e-05,4.9464920461964135e-05,5.261394295440246e-05,3.460100860278849e-05,2.7946968486867627e-05
29,29,2.25,0.02,245,1,100000.0,,414.8,0.4147999999999999,245.0,0.0084026668393846,0.0259372989500651,0.0067789669761208,0.000374891939427,-3.063610250372499e-05,9830760000000.0,6470880000000.0,5226480000000.0,30.54292697384272,12.67164371879966,300317956135551.94,197677642013274.7,159662710856875.72,0.0001014236421113,6.675986569357642e-05,5.392142998327327e-05,5.705738960858057e-05,3.755676278033152e-05,3.0334308399498543e-05
30,30,2.25,0.02,250,1,100000.0,,408.2,0.4082,250.0,0.0081338098066367,0.0238596624201115,0.0068733961991813,0.0002612246041891,-2.304776325078675e-06,9674340000000.0,6367920000000.0,5143320000000.0,31.949496816945107,13.0654750250538,309651758093775.06,203821410390839.3,164624985315677.88,0.000102017298131,6.715062661795463e-05,5.423704457604028e-05,5.714317779090373e-05,3.7613230950974606e-05,3.037991730655641e-05
31,31,2.25,0.02,255,1,100000.0,,417.7,0.4176999999999999,255.0,0.0085941765991833,0.0255041023021162,0.0058194753636599,0.0002394487074357,-0.000156849195407,9881020753176.965,6516120000000.0,5263020000000.0,30.16329045536663,12.607683196408615,298244623684926.9,196679857863974.4,158856808274748.56,0.0001064260418432,7.018352426319877e-05,5.6686692674122086e-05,5.933353201113867e-05,3.912798325862364e-05,3.160337109350371e-05
32,32,2.25,0.02,260,1,100000.0,,418.3,0.4183,260.0,0.0082692783866775,0.0260255867899097,0.0065944140408881,0.0001354540455066,-0.0001048254703316,9871880000000.0,6525480000000.0,5270580000000.0,31.79727286356696,13.265535277682378,313066632553304.1,206942350331845.1,167145744498797.94,0.0001084782404547,7.170595555485455e-05,5.791634871738252e-05,6.028003199667821e-05,3.9846122845261874e-05,3.2183406913480734e-05
33,33,2.25,0.02,265,1,100000.0,,423.5,0.4234999999999999,265.0,0.0096120253369519,0.0283831488641427,0.007235973408954,0.0002055618021749,6.115109498077606e-05,9994600000000.0,6606600000000.0,5336100000000.0,27.98651932606453,11.79458236541213,278352143823726.25,183995484900429.2,148611737804192.8,0.0001121085551033,7.410565506834967e-05,5.985456755520552e-05,6.199931763903105e-05,4.098259979529171e-05,3.310133060388945e-05
34,34,2.25,0.02,270,1,100000.0,,434.0,0.434,270.0,0.0097526303350945,0.0259935218882883,0.006710735422637,9.340471796331456e-06,6.471850552652021e-05,10238218356817.238,6770400000000.0,5468400000000.0,28.16176737985022,12.254555561098249,289089437097402.9,191171066753132.7,154407400069837.94,0.0001171497419404,7.746959336005202e-05,6.25715946369651e-05,6.453621248222259e-05,4.267695391539495e-05,3.4469847393203606e-05
35,35,2.25,0.02,275,1,100000.0,,439.9,0.4399,275.0,0.0098672211722145,0.0256222958445773,0.0066118019717326,0.0001161197728488,-7.157853576905702e-06,10338482356150.86,6862440000000.0,5542740000000.0,28.4284387606733,12.484324735561012,293405253482735.4,194755465874751.75,157302491668068.75,0.000120651672089,8.008572555319359e-05,6.468462448527175e-05,6.621608157270819e-05,4.39526684066418e-05,3.55002321745953e-05
36,36,2.25,0.02,280,1,100000.0,,437.6,0.4376,280.0,0.0092741575521983,0.0263790509201896,0.0070596478409227,0.0006206531119071,3.642188577999881e-05,10283600000000.0,6826560000000.0,5513760000000.0,32.24003241601669,14.0956509396614,331247797082042.9,219892154658717.84,177605201839733.66,0.0001222947013709,8.118286559096838e-05,6.557077605424366e-05,6.694093293929254e-05,4.443738527033889e-05,3.589173425681218e-05
37,37,2.25,0.02,285,1,100000.0,,433.5,0.4335,285.0,0.0089693650680657,0.027004528705299,0.0069885149042076,0.0003476999637682,-2.08464400658926e-05,10187250000000.0,6762600000000.0,5462100000000.0,32.30845860411015,13.99657980992884,328919625533327.75,218346645034889.97,176356905605103.38,0.0001233913393199,8.19108465272863e-05,6.615876065665431e-05,6.745964738018377e-05,4.4781723367270926e-05,3.616985348894959e-05
38,38,2.25,0.02,290,1,100000.0,,432.8,0.4327999999999999,290.0,0.0111715343522462,0.0235150344820561,0.0068596737091089,0.0001671322288449,1.5317082453568024e-05,10143305601833.43,6751680000000.0,5453280000000.0,26.48041962910913,11.493328133041118,269363076792018.7,179295918875441.4,144815934476318.03,0.000125170018362,8.331681433539599e-05,6.729435004012752e-05,6.834973418214881e-05,4.549557623498177e-05,3.674642695902374e-05
39,39,2.25,0.02,295,1,100000.0,,451.9,0.4519,295.0,0.0099756557750253,0.0254023863834654,0.006720223389949,0.0003198115622596,3.531064133951185e-05,10574460000000.0,7049640000000.0,5693940000000.0,30.09225639976704,13.644662360846286,319285099243803.1,212856732829202.03,171922745746663.16,0.0001328353304936,8.855688699583516e-05,7.152671641971302e-05,7.244219742277575e-05,4.82947982818505e-05,3.900733707380233e-05
40,40,2.25,0.02,300,1,100000.0,,453.3,0.4533,300.0,0.0104502668886879,0.0256524917415235,0.0070618974376478,0.0001558106858463,-7.331623474366334e-06,10588873672954.871,7071480000000.0,5711580000000.0,29.360116097341923,13.283609720878454,310298842389625.6,207224311645703.88,167373482483068.5,0.0001353421629348,9.038443822358854e-05,7.300281548828307e-05,7.377001144605208e-05,4.926521711869249e-05,3.979113690355931e-05
41,41,2.25,0.02,305,1,100000.0,,444.7,0.4447,305.0,0.0118038412430848,0.0211121923561039,0.006276249582958,0.0003176896038659,-2.248821900590511e-05,10361510000000.0,6937320000000.0,5603220000000.0,26.8003184353189,11.916173781325732,277646849104889.6,185892310988681.44,150143789644704.22,0.0001347952714803,9.024919463923636e-05,7.289358028553706e-05,7.334985116256023e-05,4.910977159381714e-05,3.966558474885231e-05
42,42,2.25,0.02,310,1,100000.0,,453.9,0.4538999999999999,310.0,0.0100138724152429,0.0253661797975911,0.0065480223156644,0.0003141704891425,0.0001297030780951,10575870000000.0,7080840000000.0,5719140000000.0,32.195614099858695,14.638922439980472,341086892851544.94,228367190063695.4,184450422743754.0,0.0001399654710111,9.371078745809844e-05,7.568948217770473e-05,7.60941547228458e-05,5.094715938525298e-05,4.114962873424279e-05
43,43,2.25,0.02,315,1,100000.0,,456.8,0.4568,315.0,0.0104254646369667,0.0232290314425708,0.0066541434335253,5.448079949957185e-05,-7.014565738768671e-05,10640748833177.416,7126080000000.0,5755680000000.0,31.927260193113625,14.685373407961745,342082683790594.56,229091825164203.25,185035704940318.0,0.0001432404575784,9.59277374124863e-05,7.74800956023989e-05,7.776278781298353e-05,5.2077523458738936e-05,4.2062615101289135e-05
44,44,2.25,0.02,320,1,100000.0,,455.5,0.4554999999999999,320.0,0.0121833515043476,0.02545440192599,0.0071330513178056,0.0001826295100722,4.638844502617896e-05,10570167163912.896,7105800000000.0,5739300000000.0,27.03355839323901,12.31350180461811,285742639841836.44,192090628152042.5,155150122738188.2,0.0001446356076146,9.723135733344666e-05,7.853301938471366e-05,7.847890802382466e-05,5.2757483962936576e-05,4.261181397006415e-05
45,45,2.25,0.02,325,1,100000.0,,474.6,0.4745999999999999,325.0,0.0114872369894726,0.0247670843470466,0.0073832253018036,0.0003865246224317,2.8207863163549733e-05,11010720000000.0,7403760000000.0,5979960000000.0,29.061570376543123,13.763237059519833,319307099780860.1,214706498128509.44,173416786949949.9,0.0001530810491153,0.0001029338088878,8.313884564023888e-05,8.299422997923395e-05,5.580646498603662e-05,4.507445248872189e-05
46,46,2.25,0.02,330,1,100000.0,,464.5,0.4644999999999999,330.0,0.0115290854423335,0.0252133824708122,0.0066587566457346,0.0002348752603983,-1.7862284085923737e-05,10743276540398.283,7246200000000.0,5852700000000.0,29.618951537982376,13.796635266691233,319098101177773.06,215227510160383.2,173837604360309.53,0.0001518027005003,0.0001023889429103,8.26987615814979e-05,8.223007095651927e-05,5.546311108389655e-05,4.4797128183147214e-05
47,47,2.25,0.02,335,1,100000.0,,467.8,0.4677999999999999,335.0,0.012641647357725,0.0232740699963276,0.007037651623537,0.0003642507680791,-2.5178091471684155e-05,10806180000000.0,7297680000000.0,5894280000000.0,27.868800130238952,12.987331456481574,300007356644724.4,202602370721112.53,163640376351667.8,0.0001550804355838,0.0001047296448098,8.458932850029555e-05,8.39331249150469e-05,5.668211033223946e-05,4.578170449911649e-05
48,48,2.25,0.02,340,1,100000.0,,483.7,0.4836999999999999,340.0,0.0132260117534428,0.0219098949640531,0.0064026314115418,0.0001152189420043,-8.020886931562192e-07,11150128791671.104,7545720000000.0,6094620000000.0,25.93557906821083,12.568025176775038,289714904647522.6,196061192757690.56,158357117227365.44,0.0001624655197253,0.0001099466512366,8.880306446042334e-05,8.790288059277476e-05,5.948725225864434e-05,4.804739605505889e-05
49,49,2.25,0.02,345,1,100000.0,,488.4,0.4884,345.0,0.0116763833366916,0.0232369469650574,0.0065794250681143,0.0001515055935129,1.2712246938993355e-05,11233200000000.0,7619040000000.0,6153840000000.0,30.27925671390533,14.800323252695064,340407434811986.6,230885042742043.03,186484072983957.9,0.0001662195286186,0.0001127402020196,9.105939393896397e-05,8.982859062066427e-05,6.092721798618968e-05,4.921044529653783e-05
50,50,2.25,0.02,350,1,100000.0,,486.0,0.4859999999999999,350.0,0.0142874536754163,0.0236497518817668,0.0067773718359252,-9.816022389186322e-05,-8.609549950850103e-07,11178000000000.0,7581600000000.0,6123600000000.0,25.66710137128107,12.474028760018676,286902661480429.6,194594848656291.3,157172762376235.3,0.000167912693683,0.0001138886096284,9.198695393072668e-05,9.068856129874976e-05,6.151050244610855e-05,4.968155966801074e-05
51,51,2.25,0.02,355,1,100000.0,,483.7,0.4836999999999999,355.0,0.0129815803526184,0.0199980798134444,0.006448053936314,0.0002414862176487,-5.358885751323441e-05,11118485745010.27,7545720000000.0,6094620000000.0,27.838828223008623,13.473946979790096,309716533851189.5,210193572884725.47,169771731945355.2,0.0001694173167564,0.0001149774946619,9.286643799620356e-05,9.14604885001585e-05,6.207097379201421e-05,5.013424806278072e-05
52,52,2.25,0.02,360,1,100000.0,,478.1,0.4780999999999999,360.0,0.0138852393615877,0.0210897151249421,0.006557114984391,2.496159896818037e-05,7.893697392375525e-05,10948490000000.0,7458360000000.0,6024060000000.0,26.41322284810255,12.61121178315194,288796749834179.44,196734903817170.28,158901268467714.44,0.0001693029905847,0.000115333041621,9.31536105400945e-05,9.133255474452552e-05,6.221781021897811e-05,5.025284671532846e-05
53,53,2.25,0.02,365,1,100000.0,,493.6,0.4936,365.0,0.0127450904680471,0.0246458642841578,0.0065829139967997,0.0002227764752034,4.804506267586509e-05,11303440000000.0,7700160000000.0,6219360000000.0,29.09928455368019,14.377521650931463,329245245806330.56,224289337754530.84,181156772801736.47,0.0001773252198173,0.0001207979663384,9.756758819648185e-05,9.556671570368116e-05,6.510221681124132e-05,5.258255973215644e-05
54,54,2.25,0.02,370,1,100000.0,,493.8,0.4937999999999999,370.0,0.0150924091419369,0.0230771283655446,0.0069141317656477,0.0004135334857592,-8.596593503747017e-05,11268964077437.988,7696154049460.479,6221880000000.0,24.82954414753608,12.259105757090456,279763917371740.75,191065140573503.38,154464732539339.75,0.0001793396811154,0.0001224802744565,9.901797250135943e-05,9.657925521239952e-05,6.595893118383008e-05,5.332384878429222e-05
55,55,2.25,0.02,375,1,100000.0,,508.2,0.5082000000000001,375.0,0.0143477386995243,0.0228514974983529,0.0065717343720122,0.000177560687084,-2.691710422225204e-05,11586960000000.0,7905598936750.432,6403320000000.0,26.397002982714497,13.432368858901134,306258009982945.8,208954980261645.84,169247847622154.25,0.0001869688958995,0.0001275659106986,0.000103324916155,0.0001006100705931,6.86446546037531e-05,5.5600302169892416e-05
56,56,2.25,0.02,380,1,100000.0,,525.9,0.5258999999999999,380.0,0.0153320992322732,0.0240321899920295,0.0069651190907919,0.0001602165575979,-7.27073651714103e-05,11961049360775.684,8165432222085.253,6626340000000.0,25.19837484572502,13.197053198909185,300153270068331.25,204905197617315.7,166282870306255.72,0.0001956442004446,0.0001335601426086,0.0001083855564901,0.0001052418269713,7.184528540456699e-05,5.8303256403262575e-05
57,57,2.25,0.02,385,1,100000.0,,511.9,0.5119,385.0,0.0142407987988178,0.023325173925575,0.0068089572817075,-6.690111545517496e-05,-2.1389012416612306e-05,11620130000000.0,7934450000000.0,6449940000000.0,28.868235623140045,14.798418183432856,335924092763925.75,229375481843209.25,186460069111253.97,0.0001926977713274,0.0001315777733733,0.0001069599964196,0.0001035449952326,7.070252978444704e-05,5.7474314534453725e-05
58,58,2.25,0.02,390,1,100000.0,,524.9,0.5248999999999999,390.0,0.0158004923797875,0.0250111433285352,0.0069928723471817,0.0003771009253068,3.0677539454132804e-05,11897916440536.86,8135950000000.0,6613740000000.0,25.23268084079075,13.21952210047716,299647112469627.7,204902592557395.97,166565978466012.22,0.0001999410695277,0.00013672230367,0.000111142001693,0.000107388701818,7.343379094347116e-05,5.9694565541144285e-05
59,59,2.25,0.02,395,1,100000.0,,532.1,0.5321,395.0,0.0154695706179438,0.0221043337474586,0.0065651832722263,0.0002515337347782,-2.953202606235364e-05,12025460000000.0,8247550000000.0,6704460000000.0,26.096214473767525,13.919211340575316,314574176297002.1,215747775778917.38,175382062891248.94,0.0002047285011891,0.0001404111401961,0.0001141406688045,0.0001100501956118,7.547690407009997e-05,6.135541879246837e-05
60,60,2.25,0.02,400,1,100000.0,,552.3,0.5523,400.0,0.0152666007626805,0.0205235140526847,0.0074781466180878,0.0002549404872747,3.3016867660743394e-05,12476495649276.607,8560650000000.0,6958980000000.0,26.988585423031804,14.965676286975436,338075674602446.4,231967982448119.2,188567521215890.47,0.0002152318251163,0.0001476796350094,0.000120049251685,0.000115788993701,7.944771326750315e-05,6.458330239809933e-05
61,61,2.25,0.02,405,1,100000.0,,541.2,0.5412,405.0,0.0161159725117101,0.0206144995420163,0.0069033196500696,0.0003442987887128,-1.2111855841208209e-05,12177864168985.254,8388600000000.0,6819120000000.0,25.346843622204247,13.737234475719152,309109710832980.75,212927134373646.8,173089154394061.3,0.0002128167680512,0.0001465967033054,0.0001191689330095,0.0001147215457999,7.902479004064946e-05,6.42395067427215e-05
