,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2.25,0.02,150,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,150.0,0.1498369912878757,0.0860361778992096,0.0850256106298164,4.330755427521075e-05,5.107321370297607e-05,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0010885952633348,100.10885952633348,2412623514584637.0,1561698208610802.0,1261371630031801.8,0.0147073153017208,0.009520087913147,0.0076893017760034,0.0095471255625276,0.0061798821068644,0.0049914432401597
11,11,2.25,0.02,155,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,155.0,0.1548538459566572,0.0840462253538666,0.0826674927550137,-1.4336673512086042e-05,1.968840390769216e-05,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0009440265277203,100.09440265277205,2412275103931806.0,1561472681383243.5,1261189473424927.5,0.0152538175848249,0.0098738404283514,0.0079750249613606,0.0098125437696453,0.0063516880832558,0.0051302096057067
12,12,2.25,0.02,160,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,160.0,0.1597080813369331,0.0829234788910025,0.0830567755049296,2.068295371401191e-05,-3.3190856520543367e-05,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0018300303709309,100.18300303709309,2414410373193943.0,1562854847378652.2,1262305838267372.8,0.0157403160139039,0.0101887522745602,0.0082293768371446,0.0100931416892819,0.0065333199316513,0.0052769122524876
13,13,2.25,0.02,165,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,165.0,0.1647364648026069,0.0849979932910801,0.0789527610877035,6.278321406826024e-06,-3.727269005335879e-05,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.001602605644511,100.16026056445112,2413862279603271.5,1562500064805437.2,1262019283112084.0,0.0161939744958475,0.0104824067276025,0.0084665592799867,0.0103394869726753,0.0066927799491176,0.0054057068819795
14,14,2.25,0.02,170,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,170.0,0.1694761254922696,0.0816958471723694,0.0790774974855616,2.7074350737141786e-05,2.506324066872275e-05,2405982223351527.5,1560000000000000.0,1260000000000000.0,1.0031001774336732,100.3100177433673,2413441195146180.5,1564836276796530.2,1263906223566428.0,0.0166857194899285,0.0108187509249462,0.008738221900918,0.0105804898167597,0.0068602186474815,0.0055409458306581
15,15,2.25,0.02,175,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,175.0,0.1744581654682065,0.079708362267663,0.0787672583694659,5.366470824652689e-05,-4.076529461234138e-05,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0031474737021933,100.31474737021932,2407553936885264.0,1564910058975421.5,1263965816864763.5,0.0172373973837151,0.0112043082994147,0.0090496336264503,0.0107755475886344,0.0070041059326123,0.005657162484033
16,16,2.25,0.02,180,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,180.0,0.1740848035094363,0.0770561052839819,0.0774510185352423,-3.3003753708545225e-07,-4.189291291580062e-06,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0479534053897643,104.79534053897642,2515088172935434.0,1634807312408032.0,1320421290791102.5,0.0178198728355945,0.0115829173431364,0.009355433238687,0.0110063974685284,0.0071541583545435,0.0057783586709775
17,17,2.25,0.02,185,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,185.0,0.1847937947874555,0.0768061044475107,0.0777808285789047,4.674378460971117e-05,-1.145391801090467e-05,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.001116105546327,100.11161055463268,2402678653311184.5,1561741124652269.8,1261406292988372.0,0.0183454581085026,0.0119245477705267,0.0096313655069639,0.0112109979890271,0.0072871486928676,0.0058857739442391
18,18,2.25,0.02,190,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,190.0,0.1896037137365311,0.0771212194562804,0.0749923260760961,4.032755662444885e-05,4.287443268488211e-06,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0020982287309057,100.20982287309056,2405035748954173.0,1563273236820212.5,1262643768200941.0,0.0188697744554859,0.0122653533960658,0.0099066315891301,0.0114233493260223,0.0074251770619145,0.0059972583961617
19,19,2.25,0.02,195,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,195.0,0.1948325078189356,0.0736774099632322,0.0756384576709138,4.510509139235036e-05,-9.560028420175796e-06,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0008602601472618,100.08602601472616,2402064624353429.0,1561342005829728.5,1261083927785550.0,0.0194158355785477,0.012620293126056,0.0101933136787374,0.0116254005313776,0.0075565103453954,0.0061033352789732
20,20,2.25,0.02,200,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,200.0,0.1985123522696596,0.0734142943192631,0.0745474771362614,-1.2398349524745529e-05,4.6416185003427736e-05,2392898491691216.5,1560000000000000.0,1260000000000000.0,1.0076951322206928,100.76951322206928,2411312161975477.0,1572004406264281.2,1269695866598073.0,0.0198884916047281,0.0129658851017319,0.0104724456590911,0.011799709515078,0.0076925732150518,0.0062132322121572
21,21,2.25,0.02,205,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,205.0,0.2047000811256168,0.0733067163601792,0.0754114798574138,5.097530012578819e-05,5.730161870527797e-05,2390000000000000.0,1560000000000000.0,1260000000000000.0,1.0014667291460024,100.14667291460026,2393505482658945.0,1562288097467764.0,1261848078723963.0,0.0203861305217057,0.0133064282903184,0.0107474997729495,0.0119806404880481,0.0078199996491025,0.0063161535627366
22,22,2.25,0.02,210,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,210.0,0.2097003193893101,0.0703196101964655,0.0710208807007375,4.436656131370616e-05,2.7806180609530533e-05,2390000000000000.0,1560000000000000.0,1260000000000000.0,1.0014298216780682,100.14298216780682,2393417273810583.0,1562230521817786.8,1261801575314366.0,0.0209259723055557,0.0136587936387727,0.0110321025543933,0.0121824409737797,0.0079517187946008,0.0064225421033315
23,23,2.25,0.02,215,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,215.0,0.2147079835380054,0.0718471205680388,0.0741201616764563,2.296393485934472e-05,-8.49308321981531e-06,2386356645550526.5,1560000000000000.0,1260000000000000.0,1.0013611237557212,100.13611237557213,2389604772270408.0,1562123353058924.8,1261715015932208.5,0.0214244313218106,0.0140054978472481,0.0113121328766235,0.0123954022608125,0.0081030752728944,0.0065447915665685
24,24,2.25,0.02,220,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,220.0,0.2197439441183319,0.0689160036859592,0.0708856845190799,-1.8548137244233843e-05,4.2380446941621615e-05,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0011658785104802,100.11658785104804,2382774790854943.0,1561818770476349.5,1261469006923205.5,0.0219045447473237,0.01435760075875,0.0115965236897595,0.0126022609938841,0.0082603055254029,0.0066717852320562
25,25,2.25,0.02,225,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,225.0,0.2247892238488788,0.0696874856887759,0.0700870117051273,2.725373769465434e-06,5.544766287340925e-05,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.00093778962912,100.09377896291198,2382231939317305.0,1561462951821426.8,1261181614932691.0,0.0224341200873071,0.0147047173681509,0.011876887105045,0.0128427545010347,0.0084179399250479,0.0067991053240771
26,26,2.25,0.02,230,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,230.0,0.2296638044140763,0.0678957521304511,0.0693237439905867,3.65883208012377e-06,2.893191717322855e-05,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0014649358530978,100.14649358530976,2383486547330372.0,1562285299930832.2,1261845819174903.2,0.0229580900431478,0.0150481598602144,0.0121542829640193,0.0130926054284802,0.0085817077598441,0.0069313793444894
27,27,2.25,0.02,235,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,235.0,0.2346874243274271,0.0684752911251728,0.0693409173662875,1.778353163874133e-05,-5.257678365055013e-07,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0013326911501308,100.13326911501308,2383171804937311.5,1562078998194203.5,1261679190849164.5,0.0235019838984081,0.015404661714923,0.0124422267697455,0.0133305701339218,0.0087376846255957,0.007057360659135
28,28,2.25,0.02,240,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,240.0,0.2389384492986294,0.069430192393875,0.0660238258846088,2.410203624112401e-05,-4.7761896649386926e-05,2372120187336192.5,1560000000000000.0,1260000000000000.0,1.0045323594964986,100.45323594964984,2382871488794101.0,1567070480814537.5,1265710772965588.0,0.0239517474183494,0.0157516158633531,0.0127224589665544,0.0135323927351858,0.0088994363690299,0.0071880062980626
29,29,2.25,0.02,245,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,245.0,0.244613163846472,0.0668860437532386,0.0676442272221295,5.1276473111802375e-05,-4.711218821755443e-05,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.001582972750696,100.1582972750696,2373751645419149.0,1562469437491085.8,1261994545665877.0,0.0244512155524095,0.0160944709965227,0.0129993804202683,0.0137553976877002,0.0090541858197519,0.0073129962390305
30,30,2.25,0.02,250,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,250.0,0.2497031504933346,0.0666933399734268,0.0646223366543118,-3.59263965246755e-05,-9.201782404224497e-06,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.0011892631291022,100.1189263129102,2372818553615972.0,1561855250481399.2,1261498471542668.5,0.0249919887631364,0.0164504229833303,0.0132868801019206,0.0139988186650915,0.009214412285883,0.0074424099232131
31,31,2.25,0.02,255,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,255.0,0.2542463380050633,0.064864618219261,0.0658931832144252,-5.0793619102705975e-06,-1.889801200466045e-05,2365578346463240.5,1560000000000000.0,1260000000000000.0,1.002979432262703,100.29794322627028,2372626426908645.0,1564647914329816.5,1263754084651005.5,0.0254790619687023,0.016802375930859,0.0135711497903092,0.0142048197297434,0.0093674846202115,0.0075660452701708
32,32,2.25,0.02,260,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,260.0,0.2584494217133681,0.0645937409362835,0.0664206796514646,-3.310491538574289e-05,1.1944072892301247e-05,2360000000000000.0,1560000000000000.0,1260000000000000.0,1.0060811042494846,100.60811042494846,2374351406028783.5,1569486522629196.0,1267662191354350.5,0.0259331198792205,0.0171422317845695,0.0138456487490753,0.0144107176659522,0.0095257286266463,0.0076938577369066
33,33,2.25,0.02,265,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,265.0,0.2640205238104386,0.0645969125270056,0.0647492811094314,-5.934286630876641e-05,1.893036048333396e-05,2360000000000000.0,1560000000000000.0,1260000000000000.0,1.0037911400766415,100.37911400766411,2368947090580873.0,1565914178519560.5,1264776836496568.5,0.0264719138378749,0.0174983837233411,0.0141333099303909,0.0146397444248007,0.0096771191960547,0.0078161347352749
34,34,2.25,0.02,270,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,270.0,0.2695136611276609,0.0637978662384239,0.0630713498046774,2.4389971973674228e-05,4.2732592146097845e-05,2359036487745907.5,1560000000000000.0,1260000000000000.0,1.001805448564072,100.18054485640718,2363295606785302.0,1562816499759952.5,1262274865190731.0,0.0269930280968924,0.0178501367189059,0.0144174181191162,0.0148700950419867,0.0098333995196762,0.0079423611505077
35,35,2.25,0.02,275,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,275.0,0.2743297596415459,0.0662173614083109,0.0629323919940569,1.4698099981005012e-05,-1.531968731481175e-05,2350189214855844.5,1560000000000000.0,1260000000000000.0,1.002452998378799,100.2452998378799,2355954225189757.0,1563826677470926.5,1263090777957287.0,0.0274270679902513,0.0182054388618307,0.0147043929268633,0.0150525304779968,0.0099915136182408,0.0080700686916561
36,36,2.25,0.02,280,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,280.0,0.2790707323953313,0.064547516157766,0.0629276287288345,-1.0995803169802722e-05,-2.401912370468414e-05,2350000000000000.0,1560000000000000.0,1260000000000000.0,1.0033386277804772,100.33386277804776,2357845775284121.0,1565208259337544.5,1264206671003401.2,0.0279466867849656,0.0185518431423601,0.0149841809995986,0.0152972881488328,0.0101547955370975,0.0082019502415018
37,37,2.25,0.02,285,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,285.0,0.2845495273671474,0.0626158918988243,0.061793402559014,6.8971270452452425e-06,2.687162221124869e-05,2350000000000000.0,1560000000000000.0,1260000000000000.0,1.0015841774075174,100.15841774075172,2353722816907665.0,1562471316755727.2,1261996063533472.0,0.028463976775075,0.0188952356464328,0.0152615364836572,0.0155616256932373,0.0103302706729575,0.0083436801589271
38,38,2.25,0.02,290,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,290.0,0.2893886272981262,0.0617426650342903,0.0607003418584541,-4.005736974899748e-05,3.3977858161354685e-05,2343647320201808.5,1560000000000000.0,1260000000000000.0,1.0021162078300447,100.21162078300446,2348606965011683.0,1563301284214869.5,1262666421865856.2,0.0289209839099161,0.0192506502623373,0.0155486021349647,0.0157924524450436,0.0105119168749956,0.008490394399035
39,39,2.25,0.02,295,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,295.0,0.2941024368243631,0.0620719582354198,0.0600288601976756,-4.538961351559014e-05,1.1685756239085672e-05,2340000000000000.0,1560000000000000.0,1260000000000000.0,1.0030843810708536,100.30843810708538,2347217451705797.0,1564811634470531.5,1263886320149275.5,0.0293948507399319,0.0195965671599546,0.0158279965522709,0.0160305814168567,0.0106870542779045,0.0086318515321535
40,40,2.25,0.02,300,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,300.0,0.299698343942083,0.0607654478671414,0.0599350782090655,-2.4050000620708605e-06,-9.127072760463498e-06,2335952718498758.5,1560000000000000.0,1260000000000000.0,1.0010066075327406,100.1006607532741,2338304106101325.0,1561570307751075.5,1261268325491253.5,0.0298570842565311,0.0199392098441623,0.0161047464125926,0.0162739932596628,0.0108681264325374,0.0087781021185879
41,41,2.25,0.02,305,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,305.0,0.3041005653106765,0.0595540697033412,0.0578502433316486,-1.1840965073695282e-06,-2.519308337793436e-05,2330000000000000.0,1560000000000000.0,1260000000000000.0,1.0029626011099622,100.2962601109962,2336902860586211.0,1564621657731540.5,1263732877398552.0,0.0303115069665836,0.0202943995141075,0.0163916303767791,0.0164942323279874,0.011043348683116,0.0089196277825168
42,42,2.25,0.02,310,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,310.0,0.3085409729098842,0.0605786465033379,0.0606615466686168,-7.068870521437183e-07,-1.9231655110628647e-05,2330000000000000.0,1560000000000000.0,1260000000000000.0,1.0048002151530038,100.48002151530036,2341184501306498.0,1567488335638685.5,1266048271092784.5,0.0308361910136929,0.0206456901207557,0.0166753650975335,0.0167645196569389,0.0112243135900535,0.0090657917458124
43,43,2.25,0.02,315,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,315.0,0.3142771469101035,0.060755974511022,0.0581415679965423,-1.1674443535295989e-05,-7.332424911353692e-07,2329410865406615.0,1560000000000000.0,1260000000000000.0,1.002308634872818,100.2308634872818,2334788624563613.0,1563601470401596.5,1262908879939750.8,0.0313573681213985,0.0209999425158699,0.0169614920320486,0.0170233773671154,0.0114005086380775,0.009208103130755
44,44,2.25,0.02,320,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,320.0,0.3193676268431943,0.0612104993808474,0.0606375174758644,1.320799088163884e-05,-2.833461729290526e-05,2320563592516552.0,1560000000000000.0,1260000000000000.0,1.0019855083061044,100.19855083061044,2325171090804337.0,1563097392957522.5,1262501740465691.5,0.0317531520559237,0.0213460718624489,0.0172410580427472,0.0172291784904115,0.0115823235923022,0.0093549536707056
45,45,2.25,0.02,325,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,325.0,0.3246921163273839,0.0579612436912214,0.058308006558825,3.701886506517039e-05,2.088085706172953e-05,2320000000000000.0,1560000000000000.0,1260000000000000.0,1.0009492250579215,100.0949225057922,2322202202134378.5,1561480791090358.2,1261196023572981.2,0.0322547511831775,0.0216885395886883,0.0175176665908636,0.017487195528705,0.0117586314761981,0.0094973561923139
46,46,2.25,0.02,330,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,330.0,0.3295049487004405,0.0569479983118136,0.0578610353126414,-1.6339428926031886e-05,2.525223199512101e-05,2312869007620728.5,1560000000000000.0,1260000000000000.0,1.0015057213358085,100.15057213358084,2316351543832433.0,1562348925283861.2,1261897208883118.5,0.0326808827772587,0.0220428294747956,0.0178038238065657,0.017702921626807,0.0119403898996548,0.0096441610727981
47,47,2.25,0.02,335,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,335.0,0.333540475883666,0.0570080691414917,0.0571491147804893,6.960253839464918e-06,4.963219576253025e-06,2310000000000000.0,1560000000000000.0,1260000000000000.0,1.0044018865364284,100.44018865364283,2320168357899149.0,1566866942996828.0,1265546377035899.8,0.0331510123095072,0.0223876966246023,0.0180823703506403,0.0179420959630284,0.0121167401308762,0.0097865977980154
48,48,2.25,0.02,340,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,340.0,0.3392642245095487,0.0570011958955813,0.0588971495001963,-2.2307816337158863e-05,-2.48647065337885e-05,2305174445249350.5,1560000000000000.0,1260000000000000.0,1.0021791207641633,100.21791207641635,2310197698748012.0,1563399428392094.5,1262745692162846.0,0.0335880751964845,0.0227303393088101,0.018359120210962,0.0181730164549875,0.0122983775601911,0.009933304952462
49,49,2.25,0.02,345,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,345.0,0.3331854717951853,0.0558222038813319,0.0568060245732704,1.2679033786700388e-05,6.776939860360406e-05,2300000000000000.0,1560000000000000.0,1260000000000000.0,1.0493841173981522,104.9384117398152,2413583470015750.0,1637039223141117.2,1322223987921671.5,0.0340334825181702,0.0230835794471067,0.0186444295534324,0.0183924223220033,0.0124748603575326,0.0100758487503147
50,50,2.25,0.02,350,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,350.0,0.3490306516742521,0.0549338452185128,0.0570335612157093,1.0254579730712777e-05,2.5957898003662183e-05,2300000000000000.0,1560000000000000.0,1260000000000000.0,1.0027831681526778,100.27831681526776,2306401286751158.5,1564341742318177.2,1263506791872374.0,0.0345499369718276,0.0234338702939352,0.0189273567758707,0.0186601977980966,0.0126564819847958,0.0102225431415659
51,51,2.25,0.02,355,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,355.0,0.3515837659072417,0.0555255658741579,0.0535106295278972,-2.648676844851823e-05,-2.995334488987493e-05,2298632570810475.5,1560000000000000.0,1260000000000000.0,1.0099747948706348,100.99747948706346,2321560959187269.0,1575560679998190.2,1272568241537000.0,0.0350252877313473,0.0237704144432429,0.0191991808964654,0.0189085152987716,0.0128325354128621,0.0103647401411578
52,52,2.25,0.02,360,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,360.0,0.3479970392782552,0.0556347496706092,0.0549582289429508,-2.8864640613609463e-06,4.505417789548878e-06,2290000000000000.0,1560000000000000.0,1260000000000000.0,1.048447239636846,104.8447239636846,2400944178768377.0,1635577693833480.0,1321043521942426.0,0.0354116273969432,0.0241232046896207,0.0194841268646935,0.0191032325338894,0.0130135557872784,0.0105109489051093
53,53,2.25,0.02,365,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,365.0,0.3639304486489607,0.0565110092945369,0.0549164400043719,-3.0430372235475708e-05,-4.906729765540332e-05,2290000000000000.0,1560000000000000.0,1260000000000000.0,1.0029505010674589,100.29505010674588,2296756647444481.0,1564602781665236.0,1263717631344998.2,0.0359248824589598,0.0244728456925665,0.0197665292132268,0.0193611660663859,0.013189265966621,0.0106528686653477
54,54,2.25,0.02,370,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,370.0,0.3691362290298968,0.0540511408134581,0.0542313324749163,-9.019486595773445e-06,6.403604501801198e-05,2282090740671928.5,1558556915646107.5,1260000000000000.0,1.0023436328411923,100.23436328411924,2287439123478349.0,1562209600818483.0,1262952977379902.5,0.0363182829314443,0.0248036197765423,0.0200522423048551,0.0195583748911299,0.0133574182227278,0.0107986733058508
55,55,2.25,0.02,375,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,375.0,0.374012625029411,0.0537986038135204,0.0532800782365713,-1.1756312562208689e-05,9.00955071748434e-07,2280000000000000.0,1555607819116574.2,1260000000000000.0,1.0026608189152415,100.26608189152418,2286066667126751.0,1559747009826378.0,1263352631833204.5,0.0367904163517539,0.0251015172567292,0.0203315458786008,0.0197973377790512,0.0135074094064842,0.0109406340357915
56,56,2.25,0.02,380,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,380.0,0.3794875200762931,0.0538257873313782,0.0533035398602766,4.1063913976582405e-06,-1.14945823365091e-05,2274396151507071.5,1552658722587041.8,1260000000000000.0,1.0013509307969155,100.13509307969156,2277468703312527.5,1554756257072484.0,1261702172804113.5,0.0372017874966135,0.0253964903230126,0.0206095372675833,0.0200117564121234,0.0136613967302846,0.0110863769544138
57,57,2.25,0.02,385,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,385.0,0.3845047559270426,0.0534623142465872,0.0535449999351821,1.3782575538436008e-05,-1.5278161459975e-05,2270000000000000.0,1550000000000000.0,1260000000000000.0,1.001289806385554,100.12898063855542,2272927860495208.0,1551999199897609.2,1261625156045798.5,0.0376436357350126,0.0257038041362421,0.0208947052978484,0.0202275825811107,0.013811785462873,0.011227644956916
58,58,2.25,0.02,390,1,100000.0,0.01715,0.00243,0.81,,100000.0,100.0,390.0,0.3895919279727025,0.0520887602005778,0.0545079615057264,-8.35597519777581e-06,7.087407820500094e-06,2266701550873854.5,1550000000000000.0,1260000000000000.0,1.001047921336041,100.10479213360412,2269076875791452.0,1551624278070863.5,1261320380883411.8,0.0380912687231442,0.0260473049476284,0.0211739382154914,0.0204588877535029,0.013990053523237,0.0113725596382442
