,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
49,49,1999,500000.0,0.01715,0.00243,0.81,1498870000000.0,1.999,93.0,0.0186,1999.0,0.1894268962066694,0.0644480260827776,0.0208269646118821,-0.0059674289869576,0.0010926787022802,278789820.0,10.552883671910257,0.1962836362975307,2942036539.3727994,2.3750136164115523e-08,1.4697259662298624e-08
50,50,2000,500000.0,0.01715,0.00243,0.81,1499000000000.0,2.0,99.0,0.0197999999999999,2000.0,0.1766787659762443,0.0612575498782002,0.0179930920562373,-0.0045428219381155,-0.0004814485315479,296802000.0,11.319979449420162,0.2241355930985191,3359792540.5468025,2.5296293369146032e-08,1.5651389789751786e-08
51,51,2001,500000.0,0.01715,0.00243,0.81,1499120000000.0,2.0010000000000003,91.0,0.0182,2001.0,0.2541518896378534,0.0623093955574147,0.0167805165377987,-0.004994092904424,-0.0006764309906658,272839840.0,7.873244628836988,0.1432930522448331,2148134804.812743,2.3266281227020965e-08,1.4391858182829033e-08
52,52,2002,500000.0,0.01715,0.00243,0.81,1499250000000.0,2.002,116.0,0.0232,2002.0,0.1314662803815736,0.0542102192846319,0.0174791067176831,-0.0013550285000203,-5.043953777784015e-05,347826000.0,15.228239470906958,0.3532951557250414,5296777622.207684,2.9676349101619316e-08,1.8352454760728893e-08
53,53,2003,500000.0,0.01715,0.00243,0.81,1499380000000.0,2.003,112.0,0.0224,2003.0,0.0455314080766129,0.0388661095493713,0.0077644214770272,-0.0084314119363215,-0.0002235959736574,335861120.0,43.99161116716781,0.985412090144559,14775071797.209488,2.8670648987848912e-08,1.7726170476994214e-08
54,54,2004,500000.0,0.01715,0.00243,0.81,1499510000000.0,2.004,97.0,0.0194,2004.0,0.2003064534844024,0.0535510565868817,0.0172328922803387,-0.0060854888939194,0.0018241779692654,290904940.0,10.004670169830792,0.1940906012947173,2910407975.4744167,2.4846108204202254e-08,1.5357813557514536e-08
55,55,2005,500000.0,0.01715,0.00243,0.81,1499630000000.0,2.005,82.0,0.0164,2005.0,0.2206899511654908,0.0730399308571582,0.021160759509388,-0.0073015657048212,0.001284870466264,245939320.00000003,9.085144064835522,0.1489963626633025,2234394153.4076843,2.101671569443564e-08,1.2987614890858637e-08
56,56,2006,500000.0,0.01715,0.00243,0.81,1499760000000.0,2.006,90.0,0.018,2006.0,0.2036581250166889,0.0631566803106983,0.0165783863253285,-0.0080206739439211,0.0003089299202526,269956800.00000006,9.849840264588591,0.1772971247625946,2659031358.33949,2.3081332631198235e-08,1.4259978828466208e-08
57,57,2007,500000.0,0.01715,0.00243,0.81,1499890000000.0,2.007,93.0,0.0186,2007.0,0.220843060351052,0.0628268272657921,0.0195837545810915,-0.0053879269376411,0.000861313537801,278979540.0,9.087901593147976,0.1690349696325523,2535338606.0216894,2.386540509861022e-08,1.4740770095283084e-08
58,58,2008,500000.0,0.01715,0.00243,0.81,1500010000000.0,2.008,96.0,0.0192,2008.0,0.1938445320921939,0.0525943099822358,0.0171978635415312,-0.0043341962239967,-0.000150178237545,288001920.0,10.358816822570883,0.1988892829933609,2983359133.828714,2.4650277346669973e-08,1.522181525279144e-08
