,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
10,10,0.1,100,2.25,100000.0,983168000000.0,598.0,0.598,100.0,0.0068758774912298,0.0355917887916842,0.0068590363112347,5879344640.0,,,,2.4327481683858186e-08,1.1705779158204914e-08
11,11,0.1,105,2.25,100000.0,997225000000.0,620.0,0.62,105.0,0.0084198795924049,0.0388113138844534,0.0057581559103115,6182795000.0,,,,2.7031789946179092e-08,1.3717733248579202e-08
12,12,0.1,110,2.25,100000.0,1010750000000.0,635.0,0.635,110.0,0.0089012938586724,0.038338531508873,0.0089795296145676,6418262500.0,,,,2.9070625245798703e-08,1.6078979935917188e-08
13,13,0.1,115,2.25,100000.0,1023780000000.0,740.0,0.74,115.0,0.0099033741627782,0.037675874338118,0.0062842209727115,7575972000.0,,,,3.559906249666038e-08,2.067407108239096e-08
14,14,0.1,120,2.25,100000.0,1036340000000.0,715.0,0.715,120.0,0.0090904502019074,0.0312099763057642,0.0066734596462916,7409831000.0,,,,3.600312934031656e-08,2.2203404000299648e-08
15,15,0.1,125,2.25,100000.0,1048480000000.0,755.0,0.755,125.0,0.0104412630288785,0.0362751263033248,0.0069367292946377,7916024000.0,,,,4.0047807333117415e-08,2.493267316753597e-08
16,16,0.1,130,2.25,100000.0,1060220000000.0,793.0,0.7929999999999999,130.0,0.0114499887103711,0.0314716032420139,0.007058613056739,8407544599.999999,,,,4.417453761414236e-08,2.790728689169408e-08
17,17,0.1,135,2.25,100000.0,1071590000000.0,767.0,0.767,135.0,0.0119278931937436,0.0340234566233972,0.0078216014867332,8219095300.0,,,,4.489866647254247e-08,2.8542539141789035e-08
18,18,0.1,140,2.25,100000.0,1082600000000.0,857.0,0.857,140.0,0.0123303305273625,0.0370739767673164,0.0077253159431545,9277882000.0,,,,5.285725278285471e-08,3.3780500415070704e-08
19,19,0.1,145,2.25,100000.0,1093290000000.0,865.0,0.865,145.0,0.0138324207958408,0.03392688204703,0.0083047569936802,9456958500.0,,,,5.5825836502153094e-08,3.5884065917386984e-08
20,20,0.1,150,2.25,100000.0,1103660000000.0,817.0,0.8170000000000001,150.0,0.0140875677016806,0.0305163156081627,0.0069475540592423,9016902200.0,,,,5.502673182580117e-08,3.5720123439183626e-08
21,21,0.1,155,2.25,100000.0,1113740000000.0,827.0,0.827,155.0,0.0149099508084811,0.0361686860384766,0.0082457492299536,9210629800.0,,,,5.829762108321704e-08,3.7501953551245094e-08
22,22,0.1,160,2.25,100000.0,1123530000000.0,816.0,0.8160000000000001,160.0,0.0155993492691519,0.0367308259113822,0.0086537686441015,9168004800.0,,,,5.987854471742239e-08,3.839583877776661e-08
23,23,0.1,165,2.25,100000.0,1133070000000.0,737.0,0.737,165.0,0.015928725442341,0.0313831727240307,0.0075934608634,8350725900.0,,,,5.61126316375161e-08,3.582664798980638e-08
24,24,0.1,170,2.25,100000.0,1142350000000.0,752.0,0.752,170.0,0.0170799743848177,0.0345188415319214,0.0066803006123028,8590472000.0,,,,5.9575754420336286e-08,3.777725397760754e-08
25,25,0.1,175,2.25,100000.0,1151390000000.0,659.0,0.659,175.0,0.01792924973306,0.0341403840683452,0.0070991509763298,7587660100.0,,,,5.4496463481774817e-08,3.406716353913881e-08
26,26,0.1,180,2.25,100000.0,1160210000000.0,643.0,0.643,180.0,0.0183871592215264,0.0333323171828871,0.0079843016303573,7460150300.0,,,,5.539122070017614e-08,3.4212241406984485e-08
27,27,0.1,185,2.25,100000.0,1168800000000.0,568.0,0.5680000000000001,185.0,0.0186354368865065,0.0371488828572098,0.008766960090136,6638784000.000001,,,,5.0746472401415936e-08,3.101141419732758e-08
28,28,0.1,190,2.25,100000.0,1177190000000.0,302.0,0.302,190.0,0.0199426780740838,0.0281563902825707,0.0077955600975147,3555113800.0,,,,2.7951748153994097e-08,1.6921377846317874e-08
29,29,0.1,195,2.25,100000.0,1185380000000.0,373.0,0.373,195.0,0.0217018151499176,0.0320027330422124,0.0079516477911689,4421467400.0,,,,3.5769368355962114e-08,2.1417220608928796e-08
30,30,0.1,200,2.25,100000.0,1193380000000.0,381.0,0.381,200.0,0.023755498997646,0.0249202779693688,0.0080032076966776,4546777800.0,,,,3.779038367814469e-08,2.2420782768636e-08
31,31,0.1,205,2.25,100000.0,1201200000000.0,397.0,0.3969999999999999,205.0,0.0236066383651496,0.0326238835556692,0.0069531161321772,4768764000.0,,,,4.06764206406745e-08,2.3904956927341683e-08
32,32,0.1,210,2.25,100000.0,1208850000000.0,402.0,0.402,210.0,0.0246986675771473,0.0345183545359868,0.0076355992142469,4859577000.0,,,,4.25486919325172e-08,2.477050625942992e-08
33,33,0.1,215,2.25,100000.0,1216320000000.0,427.0,0.427,215.0,0.0239953492855526,0.0242521730716507,0.0076762231925751,5193686400.000001,,,,4.662831006056585e-08,2.6977456309620592e-08
34,34,0.1,220,2.25,100000.0,1223640000000.0,411.0,0.411,220.0,0.0267585816132956,0.0308984759486792,0.0077870072766409,5029160400.0,,,,4.628633152238176e-08,2.662974451298616e-08
35,35,0.1,225,2.25,100000.0,1230800000000.0,403.0,0.4029999999999999,225.0,0.0259191120489223,0.035039650362918,0.0047770310847008,4960124000.0,,,,4.67546291865273e-08,2.6765401187684985e-08
36,36,0.1,230,2.25,100000.0,1237810000000.0,426.0,0.426,230.0,0.027093558977666,0.0352319829449612,0.0091412993393714,5273070600.0,,,,5.0865390604485524e-08,2.9007660824504083e-08
37,37,0.1,235,2.25,100000.0,1244670000000.0,458.0,0.4579999999999999,235.0,0.0280222372943382,0.0352730490832521,0.0075167604885935,5700588600.0,,,,5.629207625573515e-08,3.1929452158376135e-08
38,38,0.1,240,2.25,100000.0,1251400000000.0,485.0,0.485,240.0,0.0307728839223234,0.0360535681106731,0.0101302498032014,6069290000.0,,,,6.128277220723806e-08,3.462388471807042e-08
39,39,0.1,245,2.25,100000.0,1257990000000.0,486.0,0.486,245.0,0.0304740549567686,0.0332611496891567,0.0076536997909955,6113831400.0,,,,6.307620650316037e-08,3.54844651065608e-08
40,40,0.1,250,2.25,100000.0,1264450000000.0,478.0,0.478,250.0,0.0301034994591024,0.0419193509083968,0.0073072432546298,6044071000.0,,,,6.373559262261581e-08,3.570036030714708e-08
41,41,0.1,255,2.25,100000.0,1270790000000.0,518.0,0.518,255.0,0.0336505182583438,0.0323708630340899,0.0086966696919096,6582692200.0,,,,7.090055703944516e-08,3.95277358609529e-08
42,42,0.1,260,2.25,100000.0,1277010000000.0,530.0,0.53,260.0,0.0361679278670744,0.0395486191223437,0.0094685405286641,6768153000.0,,,,7.437259453809615e-08,4.13279415266812e-08
43,43,0.1,265,2.25,100000.0,1283110000000.0,510.0,0.51,265.0,0.0362321076946545,0.0426969505997131,0.0093927135911218,6543861000.0,,,,7.340191718603002e-08,4.059341211500884e-08
44,44,0.1,270,2.25,100000.0,1289090000000.0,546.0,0.5459999999999999,270.0,0.0361955866221865,0.0372466962891951,0.0077319031691308,7038431399.999999,,,,8.053651460041083e-08,4.436647945386813e-08
45,45,0.1,275,2.25,100000.0,1294970000000.0,578.0,0.5780000000000001,275.0,0.0377578951373563,0.0333304081628467,0.0099707857377084,7484926600.000001,,,,8.735023948819934e-08,4.793958080476519e-08
46,46,0.1,280,2.25,100000.0,1300730000000.0,569.0,0.569,280.0,0.0370782762127701,0.0410193297769423,0.0081410955180424,7401153699.999999,,,,8.801605289416607e-08,4.817769395008527e-08
47,47,0.1,285,2.25,100000.0,1306400000000.0,504.0,0.504,285.0,0.0377675555142667,0.0394100376365368,0.0079031303472144,6584256000.0,,,,7.97506850489995e-08,4.36007350384902e-08
48,48,0.1,290,2.25,100000.0,1311960000000.0,531.0,0.5309999999999999,290.0,0.0381398624751913,0.0280105957587021,0.0071025998127273,6966507599.999999,,,,8.596782138302245e-08,4.694317230783744e-08
49,49,0.1,295,2.25,100000.0,1317430000000.0,548.0,0.5479999999999999,295.0,0.0423834958082254,0.0303902156063016,0.0071246728790902,7219516399.999999,,,,9.069085768909882e-08,4.945856642757808e-08
50,50,0.1,300,2.25,100000.0,1322800000000.0,578.0,0.5780000000000001,300.0,0.04104510860566,0.0436176671115021,0.0093988700421341,7645784000.000001,,,,9.77249305122693e-08,5.3266248197354046e-08
51,51,0.1,305,2.25,100000.0,1328080000000.0,629.0,0.629,305.0,0.0428214478012425,0.0347182898756784,0.0101656636210172,8353623200.0,,,,1.086742093661011e-07,5.913588061856911e-08
52,52,0.1,310,2.25,100000.0,1333270000000.0,639.0,0.639,310.0,0.0432208195754241,0.0302772282904398,0.0092173949712447,8519595300.0,,,,1.127518746910562e-07,6.129910853047833e-08
53,53,0.1,315,2.25,100000.0,1338370000000.0,647.0,0.647,315.0,0.0433509486938912,0.0427950644319154,0.0091756993162533,8659253900.0,,,,1.1656656033995037e-07,6.328198646554999e-08
54,54,0.1,320,2.25,100000.0,1343380000000.0,667.0,0.6669999999999999,320.0,0.0452715006524755,0.0353538379940631,0.0103054113445525,8960344599.999998,,,,1.2260779470763234e-07,6.652667349726775e-08
55,55,0.1,325,2.25,100000.0,1348320000000.0,701.0,0.701,325.0,0.04638278886436,0.0407436878239525,0.0088190003653117,9451723200.0,,,,1.3140645692597689e-07,7.124316020758507e-08
56,56,0.1,330,2.25,100000.0,1353170000000.0,711.0,0.711,330.0,0.0472338446903315,0.0318985492251985,0.0098625566993536,9621038700.0,,,,1.359454586118654e-07,7.364035469081278e-08
57,57,0.1,335,2.25,100000.0,1357950000000.0,724.0,0.724,335.0,0.0499602654645944,0.0365005567217047,0.009985607156879,9831558000.0,,,,1.410935499046039e-07,7.63630983125886e-08
58,58,0.1,340,2.25,100000.0,1362640000000.0,695.0,0.695,340.0,0.0483652734099419,0.0384175602334556,0.0089212510286029,9470348000.0,,,,1.3798988680289193e-07,7.466020213487222e-08
59,59,0.1,345,2.25,100000.0,1367270000000.0,752.0,0.752,345.0,0.0502689674146199,0.0437704441892085,0.0098188747489693,10281870400.0,,,,1.521425463097795e-07,8.222108811169796e-08
60,60,0.1,350,2.25,100000.0,1371820000000.0,761.0,0.761,350.0,0.0521585119913773,0.0396018505949645,0.0093920888773201,10439550200.0,,,,1.568199136627095e-07,8.469742245876502e-08
61,61,0.1,355,2.25,100000.0,1376300000000.0,760.0,0.76,355.0,0.0532157020630153,0.0316932656059822,0.009724420221566,10459880000.0,,,,1.593818478375567e-07,8.604280802197983e-08
62,62,0.1,360,2.25,100000.0,1380710000000.0,810.0,0.8099999999999999,360.0,0.0526740955393343,0.0350560227998991,0.0095791591162826,11183751000.0,,,,1.729409708786865e-07,9.329510740354536e-08
63,63,0.1,365,2.25,100000.0,1385050000000.0,814.0,0.814,365.0,0.0550240668941366,0.0378809511907667,0.0097288181214228,11274307000.0,,,,1.76868189424117e-07,9.532040616175453e-08
64,64,0.1,370,2.25,100000.0,1389320000000.0,828.0,0.828,370.0,0.055249430139136,0.0331534819915787,0.009585873516531,11503569600.0,,,,1.830733055475917e-07,9.858991266787225e-08
65,65,0.1,375,2.25,100000.0,1393540000000.0,858.0,0.8580000000000001,375.0,0.0575037139265225,0.033143104993826,0.0096462987703253,11956573200.000002,,,,1.929330290211508e-07,1.038194378598036e-07
66,66,0.1,380,2.25,100000.0,1397680000000.0,831.0,0.831,380.0,0.0563301875427209,0.0359398783125146,0.0096823192712067,11614720800.0,,,,1.89979381889028e-07,1.0219458175323137e-07
67,67,0.1,385,2.25,100000.0,1401770000000.0,852.0,0.852,385.0,0.0585722048965715,0.038774465377288,0.0086236043864794,11943080400.0,,,,1.980532899258014e-07,1.0642275112944765e-07
68,68,0.1,390,2.25,100000.0,1405790000000.0,903.0,0.903,390.0,0.0595411168785385,0.0331203893678202,0.0100999303696781,12694283700.0,,,,2.133237926616835e-07,1.145765860659067e-07
69,69,0.1,395,2.25,100000.0,1409760000000.0,905.0,0.905,395.0,0.0586650053198576,0.0321206140020255,0.0093509940836881,12758328000.0,,,,2.172052768975791e-07,1.1675698826328677e-07
70,70,0.1,400,2.25,100000.0,1413670000000.0,969.0,0.969,400.0,0.06042786115643,0.0290646568579679,0.010003596301128,13698462300.000002,,,,2.3631195208954538e-07,1.2712954098299801e-07
71,71,0.1,405,2.25,100000.0,1417520000000.0,964.0,0.964,405.0,0.0614464166655852,0.0330776776141757,0.0102139061996823,13664892800.0,,,,2.388036425032155e-07,1.2873009613618277e-07
72,72,0.1,410,2.25,100000.0,1421310000000.0,932.0,0.932,410.0,0.0623291709888489,0.0368924329419212,0.0102233658723292,13246609200.0,,,,2.344823143135791e-07,1.266999760882249e-07
73,73,0.1,415,2.25,100000.0,1425050000000.0,1035.0,1.035,415.0,0.0648712268847292,0.0347597219366973,0.0106127468732466,14749267499.999998,,,,2.643437057625352e-07,1.4313632106828665e-07
74,74,0.1,420,2.25,100000.0,1428740000000.0,976.0,0.976,420.0,0.0659710742714914,0.0312936295770478,0.0098522950694876,13944502400.0,,,,2.529876943242453e-07,1.3733554995272613e-07
75,75,0.1,425,2.25,100000.0,1432380000000.0,1006.0,1.006,425.0,0.0665510478511078,0.0334324014297311,0.0095876438684565,14409742800.0,,,,2.6466810091562545e-07,1.439316906582071e-07
76,76,0.1,430,2.25,100000.0,1435960000000.0,1011.0,1.011,430.0,0.0702252556332145,0.0303658305079819,0.0096771520064811,14517555599.999998,,,,2.698553821609532e-07,1.470961909654357e-07
77,77,0.1,435,2.25,100000.0,1439490000000.0,1050.0,1.05,435.0,0.0681089921771997,0.0328884433666174,0.0096917207066456,15114645000.0,,,,2.842737857007086e-07,1.5525464311136998e-07
78,78,0.1,440,2.25,100000.0,1442980000000.0,1073.0,1.073,440.0,0.0691571661258136,0.0349924783677549,0.0095833547539222,15483175400.0,,,,2.946941249961165e-07,1.612603998396059e-07
79,79,0.1,445,2.25,100000.0,1446410000000.0,1075.0,1.075,445.0,0.0718930923621566,0.0323309816652124,0.0098719101694809,15548907500.0,,,,2.994301748709079e-07,1.6411495714768217e-07
80,80,0.1,450,2.25,100000.0,1449800000000.0,1076.0,1.076,450.0,0.0712314707370621,0.0381093870941691,0.0097798781057719,15599848000.000002,,,,3.037753110257758e-07,1.6688880924744188e-07
81,81,0.1,455,2.25,100000.0,1453150000000.0,1016.0,1.016,455.0,0.0744211924759477,0.0385074160854558,0.0092437993209713,14764004000.0,,,,2.9081177310375134e-07,1.600417556675568e-07
82,82,0.1,460,2.25,100000.0,1456440000000.0,1095.0,1.095,460.0,0.0741418979946907,0.0392875444152605,0.0094863635985643,15948018000.0,,,,3.177150226137293e-07,1.7520019246952017e-07
83,83,0.1,465,2.25,100000.0,1459690000000.0,1103.0,1.103,465.0,0.0756881438235221,0.0331015291417577,0.0097944592752315,16100380700.0,,,,3.243687411679842e-07,1.7916874013412858e-07
84,84,0.1,470,2.25,100000.0,1462900000000.0,1154.0,1.154,470.0,0.0772352360387679,0.0389588285598052,0.0101688374085275,16881865999.999998,,,,3.438210317055713e-07,1.9033466109405528e-07
85,85,0.1,475,2.25,100000.0,1466070000000.0,1209.0,1.209,475.0,0.0761892466682189,0.0320520471443648,0.0091959062406061,17724786300.0,,,,3.6489593948548993e-07,2.023548370524451e-07
86,86,0.1,480,2.25,100000.0,1469190000000.0,1183.0,1.183,480.0,0.0787006394626877,0.0365606018192834,0.0099660015855344,17380517700.0,,,,3.617086342111686e-07,2.0095523387231973e-07
87,87,0.1,485,2.25,100000.0,1472270000000.0,1193.0,1.193,485.0,0.0784315533119335,0.0303780599649702,0.0102907823480186,17564181100.0,,,,3.693794400068727e-07,2.0556401777307562e-07
88,88,0.1,490,2.25,100000.0,1475310000000.0,1139.0,1.139,490.0,0.0834117034814007,0.0379071370496527,0.0098160762041391,16803780900.0,,,,3.570971558278799e-07,1.991011763284051e-07
89,89,0.1,495,2.25,100000.0,1478310000000.0,1184.0,1.184,495.0,0.0834507701334324,0.0395707536654879,0.0095946634903945,17503190400.0,,,,3.758668720436997e-07,2.0985453616813126e-07
90,90,0.1,500,2.25,100000.0,1481270000000.0,1196.0,1.196,500.0,0.081822730933596,0.0315150922752826,0.0094933795103316,17715989200.0,,,,3.844212687668334e-07,2.1496230270438175e-07
91,91,0.1,505,2.25,100000.0,1484190000000.0,1247.0,1.247,505.0,0.0471333333333063,0.0346149384159781,0.0095336987676949,18507849300.0,,,,4.057397683196531e-07,2.2716459625423297e-07
92,92,0.1,510,2.25,100000.0,1487070000000.0,1178.0,1.1780000000000002,510.0,0.0839771972891821,0.0368031996714423,0.010052639457332,17517684600.000004,,,,3.878780522393458e-07,2.1752397922818455e-07
93,93,0.1,515,2.25,100000.0,1489920000000.0,1263.0,1.263,515.0,0.0859121818105546,0.035869140543435,0.0100780811611332,18817689600.0,,,,4.208099104742392e-07,2.36265413126017e-07
94,94,0.1,520,2.25,100000.0,1492730000000.0,1230.0,1.23,520.0,0.0870418157631141,0.0287492474900805,0.009650574791831,18360579000.0,,,,4.146811579216695e-07,2.331188309890986e-07
95,95,0.1,525,2.25,100000.0,1495500000000.0,1262.0,1.262,525.0,0.0872768911586768,0.0340233395732465,0.0098478129461786,18873210000.0,,,,4.303895336681825e-07,2.423176106180488e-07
96,96,0.1,530,2.25,100000.0,1498240000000.0,1234.0,1.234,530.0,0.0902927839632134,0.0299677789374152,0.0102648493873149,18488281600.0,,,,4.256896730045289e-07,2.40070451449711e-07
97,97,0.1,535,2.25,100000.0,1500940000000.0,1263.0,1.263,535.0,0.0895404127897534,0.0399955766447359,0.0094486670329077,18956872200.0,,,,4.407103649731486e-07,2.4892714134329906e-07
98,98,0.1,540,2.25,100000.0,1503600000000.0,1212.0,1.212,540.0,0.0503999999999678,0.0311017858729645,0.0095928026718759,18223632000.0,,,,4.27749567669816e-07,2.420243118224305e-07
99,99,0.1,545,2.25,100000.0,1506240000000.0,1189.0,1.189,545.0,0.0926742635939346,0.0390697020529652,0.009355579070862,17909193600.0,,,,4.222596226507511e-07,2.404478573197919e-07
100,100,0.1,550,2.25,100000.0,1508840000000.0,1200.0,1.2,550.0,0.0513333333332184,0.0392940191180891,0.0102036337374146,18106080000.0,,,,4.3099380902592484e-07,2.45777441135029e-07
101,101,0.1,555,2.25,100000.0,1511400000000.0,1179.0,1.179,555.0,0.0933816306751494,0.0350417733205597,0.0090227788215576,17819406000.0,,,,4.282002604724342e-07,2.44436463948192e-07
102,102,0.1,560,2.25,100000.0,1513930000000.0,1122.0,1.122,560.0,0.093437170648629,0.0312228105322785,0.0098425101884579,16986294600.000002,,,,4.119798228681848e-07,2.35491313756996e-07
103,103,0.1,565,2.25,100000.0,1516440000000.0,1070.0,1.0699999999999998,565.0,0.0527333333334354,0.0353760396008245,0.0094818280018398,16225907999.999998,,,,3.971101463434136e-07,2.272270399750169e-07
104,104,0.1,570,2.25,100000.0,1518910000000.0,916.0,0.916,570.0,0.0966565186096774,0.0325685457314399,0.01037884137433,13913215599.999998,,,,3.4358659195263216e-07,1.968329471149629e-07
105,105,0.1,575,2.25,100000.0,1521350000000.0,471.0,0.471,575.0,0.0969947638755698,0.019210818900533,0.0095508949925379,7165558500.0,,,,1.785583620275632e-07,1.0225235169213385e-07
106,106,0.1,580,2.25,100000.0,1523750000000.0,749.0,0.749,580.0,0.0996811616903898,0.0359236145447801,0.009795373029129,11412887500.0,,,,2.8690227859589484e-07,1.6428748794426297e-07
107,107,0.1,585,2.25,100000.0,1526130000000.0,849.0,0.849,585.0,0.0992679039003792,0.0288540634122672,0.0089081697520094,12956843700.0,,,,3.285835492377069e-07,1.880060870189786e-07
108,108,0.1,590,2.25,100000.0,1528480000000.0,838.0,0.8380000000000001,590.0,0.1024438647340729,0.0399221254414883,0.0096860822872479,12808662400.000002,,,,3.2768673732950885e-07,1.8735619385858037e-07
109,109,0.1,595,2.25,100000.0,1530800000000.0,889.0,0.889,595.0,0.1013268507508844,0.0364528652323646,0.0093113787378354,13608812000.0,,,,3.512373514491539e-07,2.0061371633604042e-07
110,110,0.1,600,2.25,100000.0,1533090000000.0,955.0,0.955,600.0,0.1027430673869654,0.0359937155672443,0.0094323574191899,14641009500.0,,,,3.811377989685414e-07,2.175274230572085e-07
111,111,0.1,605,2.25,100000.0,1535350000000.0,1009.0,1.009,605.0,0.103466792897824,0.0291227253685876,0.0092402856159935,15491681499.999998,,,,4.066884071086391e-07,2.3191643381480586e-07
112,112,0.1,610,2.25,100000.0,1537590000000.0,997.0,0.997,610.0,0.1037385029248192,0.0323671031629032,0.0100703555932098,15329772300.0,,,,4.0582382107777764e-07,2.3125107179600125e-07
113,113,0.1,615,2.25,100000.0,1539800000000.0,1047.0,1.047,615.0,0.1089702979828143,0.0421735691239487,0.0098326192291893,16121705999.999998,,,,4.30398082721922e-07,2.4500086242727305e-07
114,114,0.1,620,2.25,100000.0,1541970000000.0,1097.0,1.097,620.0,0.104218099882034,0.0345025198810322,0.0089288799267612,16915410900.0,,,,4.552925184288751e-07,2.5898321357979137e-07
115,115,0.1,625,2.25,100000.0,1544130000000.0,1041.0,1.041,625.0,0.1082139361325029,0.0369750796291918,0.0099426287691035,16074393300.000002,,,,4.362093670230733e-07,2.4788699473287724e-07
116,116,0.1,630,2.25,100000.0,1546250000000.0,1076.0,1.076,630.0,0.1079765794857354,0.0292235430039691,0.0095422709518336,16637650000.000002,,,,4.552071303593722e-07,2.584425086133782e-07
117,117,0.1,635,2.25,100000.0,1548350000000.0,1170.0,1.17,635.0,0.1099807363077215,0.0357432308958009,0.010298758055109,18115695000.0,,,,4.997276802948463e-07,2.835073593276837e-07
118,118,0.1,640,2.25,100000.0,1550430000000.0,1118.0,1.118,640.0,0.1086807364802231,0.0308454738245663,0.0095841653051034,17333807400.0,,,,4.820307175858471e-07,2.7331595827210173e-07
119,119,0.1,645,2.25,100000.0,1552480000000.0,1108.0,1.108,645.0,0.1125678161981045,0.0393091255783899,0.0097530431839302,17201478399.999996,,,,4.820346070731366e-07,2.735462686804514e-07
120,120,0.1,650,2.25,100000.0,1554500000000.0,1143.0,1.143,650.0,0.1144415749466463,0.0394219230229825,0.0098810091979871,17767935000.0,,,,5.019161257533417e-07,2.8498871621480736e-07
121,121,0.1,655,2.25,100000.0,1556500000000.0,1105.0,1.105,655.0,0.1148666454264363,0.0319523542142826,0.0099333014713624,17199325000.0,,,,4.89681374588791e-07,2.781464530892449e-07
122,122,0.1,660,2.25,100000.0,1558480000000.0,1155.0,1.155,660.0,0.1150339614192172,0.0325052704396597,0.0100377140860831,18000444000.0,,,,5.164402115040996e-07,2.9352585980572333e-07
123,123,0.1,665,2.25,100000.0,1560430000000.0,1133.0,1.133,665.0,0.1165801751503975,0.0282708157754667,0.0094373661615871,17679671900.0,,,,5.111363426629437e-07,2.906067498286408e-07
124,124,0.1,670,2.25,100000.0,1562350000000.0,1125.0,1.125,670.0,0.1178668897347738,0.0309134532372689,0.0093779311348567,17576437500.0,,,,5.120667644979228e-07,2.91245093149382e-07
125,125,0.1,675,2.25,100000.0,1564260000000.0,1148.0,1.148,675.0,0.1168762763836458,0.0345775358280645,0.0095009286377299,17957704800.000004,,,,5.270982019681834e-07,2.998738365044537e-07
126,126,0.1,680,2.25,100000.0,1566140000000.0,1157.0,1.157,680.0,0.1194643234625347,0.0339067318348691,0.0099222778453537,18120239800.0,,,,5.358876991116409e-07,3.0495648368958805e-07
127,127,0.1,685,2.25,100000.0,1567990000000.0,1145.0,1.145,685.0,0.119314166945479,0.0284931990024717,0.0095667630358182,17953485500.0,,,,5.34939014277839e-07,3.044245839137332e-07
128,128,0.1,690,2.25,100000.0,1569830000000.0,1142.0,1.142,690.0,0.1192349546942637,0.0321651851905607,0.0103917989022673,17927458600.0,,,,5.382012570722125e-07,3.0628892966486253e-07
129,129,0.1,695,2.25,100000.0,1571640000000.0,1213.0,1.213,695.0,0.1223552899377822,0.0309376915182591,0.0094151646845319,19063993200.0,,,,5.765533945214874e-07,3.280947248221543e-07
130,130,0.1,700,2.25,100000.0,1573430000000.0,1159.0,1.159,700.0,0.1248538809634094,0.0350659277444165,0.0095442784655875,18236053700.0,,,,5.554817011380294e-07,3.161639779400165e-07
131,131,0.1,705,2.25,100000.0,1575200000000.0,1142.0,1.142,705.0,0.1227846117631685,0.0298575988542424,0.0096097351747949,17988784000.0,,,,5.519245935253107e-07,3.1402697427912064e-07
132,132,0.1,710,2.25,100000.0,1576950000000.0,1142.0,1.142,710.0,0.125159065484651,0.0363201654201832,0.0092856553956333,18008769000.0,,,,5.565384160665063e-07,3.165581049511947e-07
133,133,0.1,715,2.25,100000.0,1578680000000.0,1166.0,1.166,715.0,0.1257020949997676,0.0352422121219182,0.0096011149743694,18407408800.0,,,,5.728639204405357e-07,3.2565305725294826e-07
134,134,0.1,720,2.25,100000.0,1580380000000.0,1168.0,1.168,720.0,0.1247099645388502,0.0335338938057627,0.0101050239199306,18458838400.0,,,,5.785455952049538e-07,3.2868360520584976e-07
135,135,0.1,725,2.25,100000.0,1582070000000.0,1151.0,1.151,725.0,0.1272061775558171,0.0331977599567326,0.0092720494974871,18209625700.0,,,,5.747615444456181e-07,3.262800744672083e-07
