Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv
60,0.1,630,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
61,0.1,640,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
62,0.1,650,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
63,0.1,660,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
64,0.1,670,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
65,0.1,680,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
66,0.1,690,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
67,0.1,700,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
68,0.1,710,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
69,0.1,720,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
70,0.1,730,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
71,0.1,740,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
72,0.1,750,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
73,0.1,760,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
74,0.1,770,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
75,0.1,780,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
76,0.1,790,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
77,0.1,800,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
78,0.1,810,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
79,0.1,820,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
80,0.1,830,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
81,0.1,840,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
82,0.1,850,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
83,0.1,860,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
84,0.1,870,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
85,0.1,880,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
86,0.1,890,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
87,0.1,900,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
88,0.1,910,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
89,0.1,920,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
90,0.1,930,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
91,0.1,940,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
92,0.1,950,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
93,0.1,960,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
94,0.1,970,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
95,0.1,980,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
96,0.1,990,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
97,0.1,1000,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
98,0.1,1010,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
99,0.1,1020,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
100,0.1,1030,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
101,0.1,1040,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
102,0.1,1050,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
103,0.1,1060,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
104,0.1,1070,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
105,0.1,1080,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
106,0.1,1090,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
107,0.1,1100,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
108,0.1,1110,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
109,0.1,1120,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
110,0.1,1130,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
111,0.1,1140,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
112,0.1,1150,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
113,0.1,1160,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
114,0.1,1170,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
115,0.1,1180,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
116,0.1,1190,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
117,0.1,1200,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
118,0.1,1210,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
119,0.1,1220,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
120,0.1,1230,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
121,0.1,1240,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
122,0.1,1250,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
123,0.1,1260,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
124,0.1,1270,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
125,0.1,1280,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
126,0.1,1290,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
127,0.1,1300,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
128,0.1,1310,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
129,0.1,1320,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
130,0.1,1330,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
131,0.1,1340,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
132,0.1,1350,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
133,0.1,1360,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
134,0.1,1370,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
135,0.1,1380,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
136,0.1,1390,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
137,0.1,1400,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
138,0.1,1410,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
139,0.1,1420,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
140,0.1,1430,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
141,0.1,1440,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
142,0.1,1450,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
143,0.1,1460,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
144,0.1,1470,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
145,0.1,1480,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
146,0.1,1490,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
147,0.1,1500,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
148,0.1,1510,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
149,0.1,1520,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
150,0.1,1530,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
151,0.1,1540,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
152,0.1,1550,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
153,0.1,1560,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
154,0.1,1570,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
155,0.1,1580,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
156,0.1,1590,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
157,0.1,1600,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
158,0.1,1610,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
159,0.1,1620,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
160,0.1,1630,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
161,0.1,1640,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
162,0.1,1650,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
163,0.1,1660,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
164,0.1,1670,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
165,0.1,1680,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
166,0.1,1690,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
167,0.1,1700,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
168,0.1,1710,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
169,0.1,1720,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
170,0.1,1730,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
171,0.1,1740,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
172,0.1,1750,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
173,0.1,1760,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
174,0.1,1770,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
175,0.1,1780,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
176,0.1,1790,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
177,0.1,1800,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
178,0.1,1810,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
179,0.1,1820,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
180,0.1,1830,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
181,0.1,1840,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
182,0.1,1850,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
183,0.1,1860,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
184,0.1,1870,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
185,0.1,1880,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
186,0.1,1890,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
187,0.1,1900,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
188,0.1,1910,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
189,0.1,1920,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
190,0.1,1930,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
191,0.1,1940,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
192,0.1,1950,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
193,0.1,1960,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
194,0.1,1970,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
195,0.1,1980,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
196,0.1,1990,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
197,0.1,2000,2.25,1,100000.0,0.01715,0.0024300000000000003,5.72
