,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,PhotonFlux13,PhotonFlux15,PhotonFlux17,PhotonFlux19,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,FluxPerMilPerBwAbs13,FluxPerMilPerBwAbs15,FluxPerMilPerBwAbs17,FluxPerMilPerBwAbs19,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,AXUVCurrentAmp13,AXUVCurrentAmp15,AXUVCurrentAmp17,AXUVCurrentAmp19,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11,GaAsPCurrentAmp13,GaAsPCurrentAmp15,GaAsPCurrentAmp17,GaAsPCurrentAmp19
35,35,0.02,1200,2,100000.0,1.48319437300648,,2621.7,0.1985754719897951,1200.0,0.0615321539482237,0.0170893209684979,0.0073005365608558,4626808497362.228,3475070759821.4155,2462335852673.46,1858666417824.483,1435700662486.2192,1121951416742.343,885646605074.4866,700971416123.977,557997076291.3245,444809057257.1413,19.580228832382623,3.887185228051956,90571415813610.56,68025741490909.23,48201096827844.26,36384053734566.3,28104349198815.64,21962596538493.547,17336846117111.72,13721763855023.402,10922990490825.996,8707294910836.38,0.0002427512532414,0.0001823239026491,0.0001291895081628,9.751724164551204e-05,7.532581806592436e-05,5.88645742838828e-05,4.6466548903737566e-05,3.677733579152323e-05,2.927600951109924e-05,2.33374595390969e-05,0.000154591270005,0.0001161093229651,8.227174884389079e-05,6.210190074022723e-05,4.796973743075245e-05,3.748672427161152e-05,2.9591290309980067e-05,2.3420909146688264e-05,1.864383985897848e-05,1.4861993339541558e-05
36,36,0.02,1220,2,100000.0,1.49333246877473,,2641.7,0.2113074073354293,1220.0,0.0620191904494503,0.0169687021705101,0.0073950959376787,4838939627981.333,3697879628370.014,2620211850959.324,1977837332659.6184,1527752555035.1543,1193886851445.176,942431036716.0148,745915147894.0657,593773814612.5565,473328592431.3617,19.84783786785636,4.195746528561019,96082595504047.34,73425564249817.84,52027256954156.64,39272187507331.14,30335247401496.168,23705967886369.76,18713029517382.15,14810985245820.396,11790047745256.465,9398472223976.684,0.0002581407014595,0.0001972690950018,0.0001397792444584,0.0001055107845266,8.150031753506416e-05,6.368973638632263e-05,5.0275437926194496e-05,3.979199459180865e-05,3.1675780397445414e-05,2.5250444160241176e-05,0.0001642328282399,0.0001255054364279,8.892956638324608e-05,6.712747914090189e-05,5.185167459281204e-05,4.052032661817261e-05,3.198595694107077e-05,2.531623946232731e-05,2.0152587220719475e-05,1.6064695862779935e-05
37,37,0.02,1240,2,100000.0,1.50355521895399,,2657.1,0.2240489678821654,1240.0,0.0661098693437452,0.0168656411317736,0.0072924846836476,5041101777348.724,3920856937937.896,2778207201738.852,2097098339377.069,1619874037788.0566,1265876668534.2349,999258396754.4584,790892856624.0442,629577599748.885,501869688056.0506,18.81882446750287,4.214838307781777,94833861925089.98,73759670386181.11,52263995016494.05,39450886560837.445,30473280965262.25,23813836438967.04,18798178852706.727,14878379226469.678,11843695644866.797,9441237809431.182,0.0002733239504562,0.0002125852947993,0.0001506318660292,0.0001137027633897,8.782809607996999e-05,6.863468089236935e-05,5.417888084601192e-05,4.28814908938166e-05,3.413512447921377e-05,2.721091773431988e-05,0.0001737065062764,0.0001351050604372,9.57315856812649e-05,7.22619066110193e-05,5.58176906835117e-05,4.361963379831828e-05,3.443248968858398e-05,2.725262076248912e-05,2.169401256164148e-05,1.7293447735970432e-05
38,38,0.02,1260,2,100000.0,1.5138667440428,,2645.6,0.2348857141188094,1260.0,0.0637163199816768,0.0170170167128517,0.0069926348157539,5214462853437.569,4110499997079.1655,2912582855073.2373,2198530284152.057,1698223713078.9924,1327104284771.2734,1047590284969.8904,829146570839.3975,660028856673.8546,526143999626.1332,19.96265508297197,4.685618034818162,104020720372963.22,81998315609317.84,58101663631745.21,43857384805898.0,33877018391735.32,26473741896722.617,20897856435289.004,16540231662908.115,13166586677839.035,10495784397992.684,0.0002873045389018,0.0002264788031883,0.0001604764091163,0.0001211338055909,9.356809983155818e-05,7.312029931511806e-05,5.77197406983056e-05,4.56840100145782e-05,3.6366024969111824e-05,2.898928680811761e-05,0.0001823277010509,0.0001437267913689,0.0001018406978842,7.687330098365898e-05,5.9379697234172485e-05,4.640322121342662e-05,3.662979940033323e-05,2.8991747059008134e-05,2.307841621411129e-05,1.839702929523463e-05
39,39,0.02,1280,2,100000.0,1.52426622902487,,2676.8,0.2498308336240739,1280.0,0.0679984490187962,0.0174045801005552,0.0071723106079195,5471295256367.22,4372039588421.294,3097902336938.5166,2338416602721.332,1806276927102.0547,1411544209976.0176,1114245517963.3696,881902842692.9808,702024642483.6477,559621067317.9255,18.903824376615752,4.721045380731466,103390893838019.12,82618294162800.67,58540962721070.19,44188984763646.52,34133158102688.508,26673906401132.79,21055862398062.34,16665290193982.078,13266137519855.422,10575141652838.486,0.0003062179606391,0.0002446947174057,0.000173383685476,0.0001308767174238,0.0001010938746767,7.90014373338582e-05,6.236219655026682e-05,4.935842013956096e-05,3.929098033772417e-05,3.13209238279367e-05,0.0001940320114748,0.0001550484109958,0.000109862874077,8.292875010980717e-05,6.405714351430618e-05,5.0058486978676345e-05,3.9515195030955135e-05,3.1275479475173006e-05,2.489634485134169e-05,1.984619660747522e-05
40,40,0.02,1300,2,100000.0,1.53429754702107,,2668.3,0.2613710047446935,1300.0,0.0649952668635705,0.0168108746301102,0.0070820935926331,5645613702485.381,4573992583032.138,3241000458834.2,2446432604410.3315,1889712364304.1345,1476746176807.5188,1165714681161.3335,922639646748.7684,734452523332.5889,585471050628.1136,20.060835752520468,5.246460529763127,113323547442883.5,91813059270854.72,65056110569062.766,49106870558582.86,37931909630187.39,29642501993161.656,23399213962743.54,18520005670063.84,14742554088634.385,11752071586669.402,0.0003209230878472,0.0002600071313577,0.0001842336245048,0.0001390666714004,0.0001074200891266,8.394515955264698e-05,6.626467462031957e-05,5.244715278245023e-05,4.1749716520874e-05,3.328091281379279e-05,0.0002029635461187,0.000164438058198,0.0001165161098088,8.795086998480481e-05,6.793640918698065e-05,5.309000164681059e-05,4.190821368934074e-05,3.316950545367104e-05,2.6404053916378367e-05,2.1048071449354997e-05
41,41,0.02,1320,2,100000.0,1.5451051452317,,2673.2,0.2742848980103952,1320.0,0.0667346527869994,0.0177619982396741,0.0075296083351774,5842268327621.42,4799985715181.917,3401132735328.9014,2567306645377.3,1983079812615.1584,1549709673758.7334,1223310645126.363,968225689976.6952,770740563409.2107,614398171543.2854,19.86139800174064,5.449869423034718,116082218710639.48,95372714903107.56,67578380845630.5,51010777799604.95,39402555928541.016,30791762240146.16,24306417626734.84,19238039063312.55,15314133078727.557,12207707507597.768,0.0003371740488119,0.0002770209321225,0.0001962891176182,0.0001481666242666,0.0001144492193854,8.943818665671269e-05,7.060076327237852e-05,5.587907945100811e-05,4.448164681510844e-05,3.545867931168786e-05,0.0002155341373725,0.0001770820377473,0.0001254752724609,9.471359276091271e-05,7.316017902365373e-05,5.717220075845693e-05,4.5130622191631485e-05,3.571997675705362e-05,2.8434315775444946e-05,2.2666500831671416e-05
42,42,0.02,1340,2,100000.0,1.55521345874571,,2685.9,0.2881898178135407,1340.0,0.0683728850398665,0.0180586518796123,0.007393082875213,6051986174084.355,5043321811736.963,3573553740887.905,2697456694734.7407,2083612382791.8992,1628272470646.505,1285326587448.3916,1017310056881.7988,809813388056.0494,645545191902.3313,19.678495130018653,5.671993851960829,119111870891177.38,99259892409314.48,70332723764314.266,53089862454353.34,41008515549676.77,32046765263578.68,25297092579745.29,20022138297421.72,15938302724009.926,12705266228392.254,0.0003545565564703,0.0002954637970585,0.0002093572047729,0.0001580309223124,0.000122068757299,9.539259733607407e-05,7.530105913608679e-05,5.9599268778113545e-05,4.744304398484393e-05,3.781936602350548e-05,0.0002307346840194,0.0001922789033495,0.0001362433372305,0.0001028417448772,7.943865549814328e-05,6.207861736715207e-05,4.900365193938022e-05,3.878540164708793e-05,3.087449819499068e-05,2.461169962874701e-05
43,43,0.02,1360,2,100000.0,1.56621058572968,,2715.6,0.3042569935532491,1360.0,0.0708021099399274,0.0173746931157261,0.0071086128333949,6298119766552.257,5324497387181.859,3772786720060.289,2847845459658.412,2199778063389.9907,1719052013575.8574,1356986191247.4907,1074027187242.9694,854962151884.6301,681535665559.278,19.32623763743728,5.880809745158054,121732761724771.72,102914170540265.9,72922040839959.88,55044379214679.39,42518254457492.73,33226575060142.992,26228411463404.914,20759258400407.93,16525075383894.129,13173013829154.035,0.0003744148240305,0.0003165342715233,0.0002242871409651,0.0001693006160833,0.0001307738733207,0.0001021953505203,8.067102005682866e-05,6.384948448444065e-05,5.082636017033376e-05,4.051638675499915e-05,0.000245031562739,0.0002071522873397,0.0001467821921721,0.0001107968805428,8.558348785525558e-05,6.688059562685948e-05,5.279424008775104e-05,4.1785575674834334e-05,3.32627387099956e-05,2.6515492779498277e-05
44,44,0.02,1380,2,100000.0,1.57645288509541,,2720.3,0.3178694552500495,1380.0,0.0697440600943991,0.017046116086077,0.0072621293421297,6452749941576.006,5562715466875.867,3941581245100.6143,2975258101140.4634,2298196161457.858,1795962422162.7798,1417697770415.221,1122079177032.6746,893213169252.639,712027579760.111,19.862461200480208,6.311390734306396,128121231906419.84,110449337850361.94,78261245105399.31,59074617273107.86,45631355009035.24,35659357648831.14,28148802675006.53,22279209292101.57,17735007963400.977,14137515244846.328,0.0003891345302054,0.0003354608019012,0.0002376979396328,0.0001794236060454,0.0001385932341568,0.0001083059160423,8.54945815131374e-05,6.766723604066706e-05,5.386542019101259e-05,4.293898264336946e-05,0.0002545282757664,0.0002194209273848,0.0001554753999755,0.000117358850304,9.065218885672254e-05,7.084161369854528e-05,5.592099063637378e-05,4.426033563820616e-05,3.5232731768657026e-05,2.8085878705263967e-05
45,45,0.02,1400,2,100000.0,1.58764002600254,,2755.2,0.3352505757956318,1400.0,0.0657909790917301,0.0171072189936817,0.0072113415684867,6705011515912.636,5866885076423.557,4157107139865.8345,3137945389447.1143,2423861663002.418,1894165753245.32,1495217568048.518,1183434532558.5806,942054117985.7252,750961289782.2152,21.4086120453177,7.169833558333762,143396671166675.28,125472087270840.84,88905936123338.67,67109642106004.016,51837896626753.11,40509559604585.766,31977457670168.586,25309512460918.184,20147232298917.875,16060427170667.63,0.0004101471668587,0.0003588787710013,0.0002542912434524,0.0001919488740898,0.0001482682008194,0.0001158665746375,9.146281820950925e-05,7.23909749505757e-05,5.762567694365941e-05,4.593648268818402e-05,0.0002680171369148,0.0002345149948004,0.0001661706248871,0.0001254320200761,9.688819499472028e-05,7.571484117844672e-05,5.976782153201282e-05,4.7305024665472025e-05,3.765640773653723e-05,3.0017919334463835e-05
46,46,0.02,1420,2,100000.0,1.59801278952994,,2735.2,0.3460485045670353,1420.0,0.072688569826937,0.0167094046094758,0.0073788113550839,6782550689513.895,6055848829923.119,4291001456631.2383,3239014002747.4507,2501930688019.665,1955174050803.7493,1543376330368.9778,1221551221121.6348,972396297833.3694,775148650230.1594,19.70855785449752,6.81452046601529,133564601133899.66,119254108155267.52,84500053778589.58,63783911561903.1,49268982969290.53,38502040632986.375,30392761278428.195,24055257245033.973,19148802509502.96,15264525843874.25,0.0004206320891004,0.0003755643652682,0.0002661141788186,0.0002008732833663,0.0001551617349079,0.0001212536379294,9.571526109124112e-05,7.575669767983884e-05,6.030490665165642e-05,4.807223875434533e-05,0.0002746238780088,0.0002451998910793,0.0001737416371076,0.0001311469131715,0.0001013025835716,7.916453626278463e-05,6.249094366938397e-05,4.946032088630615e-05,3.937209679618138e-05,3.1385586058165944e-05
47,47,0.02,1440,2,100000.0,1.6093916073593,,2726.5,0.358162999957236,1440.0,0.0690779587157066,0.0166728399650495,0.0073120729417661,6912545899174.654,6267852499251.631,4441221199469.726,3352405679599.729,2589518489690.8164,2023620949758.3835,1597406979809.2725,1264315389849.0432,1006438029879.8334,802285119904.2087,20.935356576553996,7.496444752965419,144681383732232.6,131187783176894.84,92955914936771.2,70166722887756.33,54199295563939.984,42354912854254.62,33434143598225.77,26462449977967.934,21065009755832.83,16792036246642.535,0.0004346043337523,0.0003940712870811,0.000279227654846,0.0002107718426902,0.0001628077374626,0.000127228729829,0.0001004318823075,7.948980819409347e-05,6.32765895256098e-05,5.04411247463936e-05,0.0002833765510965,0.0002569476499579,0.0001820657633987,0.0001374302859203,0.0001061560862397,8.295738412931246e-05,6.548494393216523e-05,5.183001167725186e-05,4.1258451221835046e-05,3.288929919463007e-05
48,48,0.02,1460,2,100000.0,1.61989146064109,,2723.3,0.3709343679548401,1460.0,0.0731445401825112,0.01671476263333,0.0071842140093645,7010659554346.479,6491351439209.701,4599586162640.019,3471945684057.304,2681855480313.4946,2095779178944.847,1654367281078.5872,1309398318880.5857,1042325573953.101,830892984218.8419,20.13953436563157,7.467940479633545,141144075065074.03,130688958393587.05,92602461947455.95,69899922889369.98,53993209667750.54,42193863709929.52,33307014539165.605,26361829893106.41,20984912747770.26,16728186674379.14,0.0004466323764923,0.0004135484967521,0.0002930286491272,0.0002211893674057,0.0001708546075153,0.0001335170860942,0.0001053957883151,8.341863963059192e-05,6.640407290707175e-05,5.293420758428496e-05,0.0002908516694122,0.0002693071013076,0.0001908233174979,0.0001440408267565,0.000111262305283,8.694772127933017e-05,6.863483839040932e-05,5.43230895780594e-05,4.324302598140139e-05,3.447130896738047e-05
49,49,0.02,1480,2,100000.0,1.63146370843972,,2733.4,0.3857617553157805,1480.0,0.0693366578547056,0.0171023554634044,0.0073419687131059,7175168648873.518,6750830718026.159,4783445765915.678,3610730029755.7056,2789057490933.093,2179553917534.1597,1720497428708.3809,1361738996264.705,1083990532437.3431,864106331907.3484,21.375921816736017,8.245645992111227,153369015453268.84,144298804861946.47,102246010302179.22,77179246486161.1,59616020522964.17,46587899855428.44,36775581124816.086,29107130352152.64,23170265237832.555,18470247022329.152,0.0004631194688644,0.0004357306830713,0.0003087463125762,0.0002330536682027,0.0001800190193488,0.0001406787633915,0.0001110490769427,8.789310349954735e-05,6.996589825318074e-05,5.577352743314052e-05,0.0003011221477529,0.0002833138486922,0.0002007480985019,0.0001515324356434,0.0001170490929168,9.146989972067264e-05,7.220455800959291e-05,5.714845062194239e-05,4.5492109418600026e-05,3.626417263262066e-05
50,50,0.02,1500,2,100000.0,1.642094071436,,2757.0,0.4029759572532869,1500.0,0.0715189687579367,0.0160560883258944,0.0071359830230244,7334162422009.822,7011781656207.192,4996901869940.758,3771854959890.7656,2913516170941.2646,2276814158481.072,1797272769349.6597,1422505129104.103,1132362439881.736,902666144247.3628,21.07315360539342,8.494726327998084,154604019169565.16,147808238107166.66,105334606467176.23,79510638430062.06,61416871351426.15,47995203753189.17,37886479422871.45,29986383937833.24,23870180981674.617,19028186974715.71,0.0004794262127382,0.0004583525330574,0.0003266420350524,0.0002465620522653,0.0001904533801152,0.0001488328627456,0.0001174857642204,9.298761159154668e-05,7.40212998788233e-05,5.90063031062506e-05,0.0003114624661645,0.0002977718083111,0.0002122051967274,0.0001601806968845,0.0001237293203499,9.66902710895454e-05,7.632541753263233e-05,6.041002777806998e-05,4.808843571002171e-05,3.83338419894835e-05
51,51,0.02,1520,2,100000.0,1.65386866368164,,2777.0,0.4207989937534498,1520.0,0.0754052615609907,0.0167175538862172,0.007671831697637,7532301988186.753,7279822591934.685,5217907522542.779,3938678581532.2905,3042376724837.4424,2377514314706.992,1876763512140.3867,1485420447949.678,1182445172447.1943,942589746007.7278,20.24073192678552,8.51366403279653,152394586187057.88,147286387767379.97,105569434006676.95,79687895346975.5,61553790957118.9,48102201785300.39,37970941586272.52,30053234035771.742,23923395932158.24,19070607433464.227,0.0004985398683527,0.0004818290347766,0.0003453572272387,0.0002606890037866,0.0002013655445916,0.0001573603495079,0.0001242171962487,9.831540420587772e-05,7.826240391460481e-05,6.238711201733623e-05,0.0003237137915879,0.0003128630499704,0.0002242486600944,0.0001692715692325,0.0001307514364905,0.0001021778168978,8.065717935656885e-05,6.383852984948163e-05,5.0817639908510856e-05,4.050943537190902e-05
