,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
15,15,2.25,0.02,850,1,100000.0,,100000.0,100.0,850.0,0.8483505614029809,0.0477618304370711,0.0356726878207498,1572751072339403.0,1380000000000000.0,1195982240742849.0,1.0019442889202446,100.19442889202443,1575808954823655.2,1382683118709937.5,1198307575762334.5,0.0583119940522727,0.051165472532433,0.0443427510782652,0.0323797881977147,0.0284114304537593,0.024622874099128
16,16,2.25,0.02,900,1,100000.0,,100000.0,100.0,900.0,0.8975615741188676,0.0492058493298435,0.0382754575541119,1458556370433035.5,1355952732470644.0,1178287657033624.2,1.0027167226755738,100.27167226755738,1462518863598193.5,1359636480005953.2,1181488737829836.2,0.0572927756468371,0.0532624568127537,0.0462836896470599,0.0313685576060819,0.029161904374667,0.0253409364186733
17,17,2.25,0.02,950,1,100000.0,,100000.0,100.0,950.0,0.949282993315137,0.0461086374848788,0.0342127494475699,1345805299120859.5,1326461732375978.0,1160593088799096.2,1.0007553139473817,100.07553139473816,1346821804633745.5,1327463627423109.5,1161469700946300.8,0.055825322972908,0.0550229328636653,0.0481425389427865,0.0300313812890561,0.0295997333911133,0.0258984071425022
18,18,2.25,0.02,1000,1,100000.0,,100000.0,100.0,1000.0,0.9976567423220786,0.0480754354077757,0.0365485102194986,1217332440589098.0,1306970803881931.5,1152898500615682.5,1.0023487614311786,100.23487614311786,1220191664074476.2,1310040566497766.0,1155606384147992.2,0.0531713880637327,0.0570866671125147,0.0503570031738141,0.028017050534045,0.0300800880991567,0.0265340957616665
19,19,2.25,0.02,1050,1,100000.0,,100000.0,100.0,1050.0,1.0492818835059552,0.0508708821860796,0.0311106490537875,1088859539696610.8,1277479873896669.5,1135203923247880.2,1.0006843885378498,100.06843885378498,1089604742684907.6,1278354166479698.2,1135980843801073.0,0.0499580134712821,0.058612111500813,0.0520843422155917,0.0257491519820799,0.0302096112747278,0.0268450955193978
20,20,2.25,0.02,1100,1,100000.0,,100000.0,100.0,1100.0,1.098765579532028,0.0468277003293229,0.0337870838345662,951618639374169.2,1247988911400319.0,1117509363985108.2,1.0011234611740367,100.11234611740366,952687745967995.8,1249390978487905.8,1118764842367168.0,0.0457521049686618,0.060001052219473,0.0537278313065974,0.0230305165156297,0.030203096120763,0.0270453065952509
21,21,2.25,0.02,1150,1,100000.0,,100000.0,100.0,1150.0,1.1461137447427063,0.045390563714777,0.0289770050930838,808061960651084.6,1218497887871392.0,1099814759568579.2,1.003390811143414,100.3390811143414,810801946151829.2,1222629584087812.8,1103544023711015.6,0.0406279864081222,0.061264009491149,0.0552968228664068,0.0259010821415181,0.0390569231319761,0.035252732853663
22,22,2.25,0.02,1200,1,100000.0,,100000.0,100.0,1200.0,1.1991674181253984,0.0534222143902231,0.0297921001514689,657193620307996.4,1189006985821919.2,1082120232916638.8,1.000694299946794,100.0694299946794,657649909803609.6,1189832513308913.0,1082871548936777.6,0.0344804793721278,0.0623827279831701,0.0567747817633376,0.0219582021733885,0.039727189938352,0.0361558817919777
23,23,2.25,0.02,1250,1,100000.0,,100000.0,100.0,1250.0,1.2477953468210217,0.0457600569135443,0.0289466949218667,545000000000000.0,1159516018013076.2,1064425619830323.6,1.0017668387565275,100.17668387565278,545962927122307.6,1161564695852516.5,1066306288268881.0,0.0297909800938402,0.0633818690112229,0.0581840044986032,0.0189188157168495,0.0402507703954579,0.0369498571483729
24,24,2.25,0.02,1300,1,100000.0,,100000.0,100.0,1300.0,1.2980306475819816,0.0503384486017216,0.0279078656789115,545000000000000.0,1130025055516725.8,1046731063506915.8,1.0015171848381907,100.15171848381908,545826865736814.06,1131739512397731.5,1048319148006132.0,0.0309803490096698,0.0642359093753757,0.0595010892967104,0.019593110415266,0.0406251480454245,0.0376306739493209
