,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
16,16,2.25,0.02,900,1,100000.0,,1018.0,1.018,900.0,0.0790535819354545,0.0360453778366448,0.0188355757565919,14848103851008.3,13803598816551.156,11994968348602.297,11.384683375066164,11.589607675817357,169040961063830.1,157149601962872.94,136558916742777.4,0.0005832404560848,0.0005422118103538,0.000471167960607,0.0003193319164299,0.0002968681865341,0.000257970732742
17,17,2.25,0.02,950,1,100000.0,,1073.0,1.073,950.0,0.1002866830010589,0.0461217231784447,0.0152869637586516,14440490859566.822,14232934388394.244,12453163842814.305,9.472842969489468,10.1643605062622,136792502315024.52,134826352456305.3,117966865556303.9,0.0005990057154993,0.0005903960696271,0.000516569442856,0.0003222367212315,0.0003176051392866,0.000277889908639
18,18,2.25,0.02,1000,1,100000.0,,1093.0,1.093,1000.0,0.0864890655965382,0.0335472252664384,0.0170924555897564,13305443575638.842,14285190886429.512,12601180611729.41,11.562155205432411,12.637435639537626,153839603698659.88,165167594168126.62,145696806004501.2,0.0005811632715365,0.0006239572715397,0.0005504020446897,0.0003062263623371,0.0003287753629237,0.000290017666675
19,19,2.25,0.02,1050,1,100000.0,,1135.0,1.135,1050.0,0.1160786717430255,0.0340216085617337,0.0133526305714022,12358555775556.535,14499396568727.2,12884564528863.44,9.045589376870932,10.266743942748509,111790420836841.12,131155587573117.6,116548480027895.2,0.000567023452899,0.0006652474655342,0.0005911572841469,0.0002922528749966,0.0003428790879681,0.0003046918341451
20,20,2.25,0.02,1100,1,100000.0,,1152.0,1.152,1100.0,0.1383159716399404,0.0344366014806984,0.0130850601759373,10962646725590.43,14376832259331.676,12873707873108.447,7.952805355432729,9.161631769458506,87183795588992.66,114336148586170.95,102382092917533.36,0.0005270642492389,0.0006912121215683,0.000618944616652,0.00026531155026,0.0003479396673111,0.0003115619319772
21,21,2.25,0.02,1150,1,100000.0,,1204.0,1.204,1150.0,0.1322954132865561,0.027763250027627,0.0160283509537487,9729066006239.06,14670714569971.56,13241769705205.695,8.692667201613881,10.465971310743113,84571532974770.81,127527639366630.69,115106297207765.86,0.0004891609563537,0.0007376186742734,0.0006657737473115,0.0003118490289838,0.0004702453545089,0.0004244429035581
22,22,2.25,0.02,1200,1,100000.0,,1226.0,1.226,1200.0,0.1455372438119866,0.0328712525889736,0.0142726022275378,8057193784976.035,14577225646176.73,13266794055557.992,8.245312117839946,10.108752656471774,66434077551047.59,120193775264908.23,109388857791179.28,0.0004227306771022,0.0007648122450736,0.0006960588244185,0.0002692075586457,0.0004870553486441,0.0004432711107696
23,23,2.25,0.02,1250,1,100000.0,,1246.0,1.246,1250.0,0.128415391004637,0.0299902786609429,0.0140186060442333,6790700000000.0,14447569584442.932,13262743223085.832,9.734035696350936,12.128608477653266,66100916203210.31,140633158060481.56,129100015965053.94,0.0003711956119692,0.0007897380878798,0.0007249726960525,0.0002357284438319,0.0005015245991274,0.0004603952200687
24,24,2.25,0.02,1300,1,100000.0,,1290.0,1.29,1300.0,0.1739584543533965,0.0313081876279097,0.0156977583270567,7030500000000.0,14577323216165.762,13502830719239.213,7.4730486933337,9.640232814400472,52539268838482.586,108937046212870.56,100907311462716.77,0.0003996465022247,0.0008286432309423,0.0007675640519275,0.0002527511243569,0.0005240644097859,0.0004854356939462
25,25,2.25,0.02,1350,1,100000.0,,1332.0,1.332,1350.0,0.1660737764696023,0.0283225506934908,0.0114543768087632,7259400000000.0,14525914119031.4,13706765867688.137,8.12891733239474,10.827717886749795,59011062482786.38,118079955051071.84,111421166632926.77,0.0004283884049718,0.0008571966250942,0.0008088574217402,0.0002787745195926,0.0005578222346442,0.0005263654117328
26,26,2.25,0.02,1400,1,100000.0,,1323.0,1.323,1400.0,0.1721579894999649,0.0263912297525118,0.0138119264400089,7210349999999.999,14037600449262.316,13380053507106.152,8.132065227215522,10.758722295606134,58635036511053.42,114154682486991.05,108807467863421.05,0.0004410588434549,0.0008586833952628,0.0008184610906833,0.0002882168596679,0.0005611202117456,0.0005348363122466
27,27,2.25,0.02,1450,1,100000.0,,1343.0,1.343,1450.0,0.1966709845833065,0.0263224007705987,0.0134561254630824,7319350000000.0,13853745549694.06,13255572106766.633,7.372719484128092,9.901562267184028,53963514356152.95,102139779742382.22,97729614744823.22,0.0004632575196881,0.0008768335715249,0.0008389738783126,0.0003018662102528,0.0005713591598834,0.0005466891618248
28,28,2.25,0.02,1500,1,100000.0,,1287.0,1.287,1500.0,0.1789878962640614,0.0313708338490786,0.0120121067864782,7014150000000.0,12798479347494.89,12452343058052.46,8.380454943093165,10.7856455117609,58781768039096.92,107257079511789.31,104356299933947.6,0.0004585073491127,0.0008366226610914,0.0008139961086932,0.0002978723856035,0.0005435175431572,0.0005288180510904
29,29,2.25,0.02,1550,1,100000.0,,1315.0,1.315,1550.0,0.2213831429567108,0.0298707021296684,0.0143598675097818,7166750000000.0,12648028217042.469,12454154662526.838,7.00143642058188,9.206888893065171,50177544467205.2,88554365407348.45,87196972041775.05,0.000482977475046,0.000852368609562,0.0008393031949964,0.0003152270488053,0.0005563191974138,0.0005477917353938
30,30,2.25,0.02,1600,1,100000.0,,1391.0,1.391,1600.0,0.2564785375350311,0.0194079067298272,0.011966563919064,7580950000000.0,12913865918814.889,12890067340699.008,6.238338752931575,8.67752920532782,47292534169036.62,80561070211505.23,80412606619380.27,0.0005256028935468,0.000895344949354,0.0008936949448665,0.0003422782581213,0.0005830582621312,0.00058198376146
31,31,2.25,0.02,1650,1,100000.0,,1274.0,1.274,1650.0,0.2655786157758939,0.0287521316123197,0.0135881903503376,6943300000000.0,11401626523729.898,11548081631519.885,6.212849612079977,7.915170405789891,43137678711554.91,70836590925036.08,71746494484656.23,0.0004941607906763,0.0008114638252651,0.0008218871645798,0.0003211130946324,0.0005273013663356,0.0005340746085817
32,32,2.25,0.02,1700,1,100000.0,,1264.0,1.264,1700.0,0.2183712560431558,0.0255180111131332,0.0101947256995496,6888800000000.0,10889448886608.24,11195145715895.418,7.784907367405696,9.8401229124008,53628669872584.36,84773350864344.25,87153172362854.56,0.0005022119703713,0.0007938699892,0.0008161561068072,0.0003256730882874,0.0005148067077937,0.0005292587503082
33,33,2.25,0.02,1750,1,100000.0,,1208.0,1.208,1750.0,0.1956954303918792,0.0296939338655354,0.0120265087354319,6583600000000.0,9996533503139.63,10448908666166.5,8.94246736623146,10.802500578407605,58873628152321.44,89393674627265.6,93439024759927.02,0.0004904606038166,0.0007447150279516,0.0007784157685206,0.0003176937813358,0.0004823860090015,0.0005042155211414
34,34,2.25,0.02,1800,1,100000.0,,1150.0,1.15,1800.0,0.2566424019400983,0.0227674611887587,0.0117208499008405,6267500000000.0,9132592739086.271,9703037113923.049,7.01365006870583,8.065697579011703,43958051805613.79,64052809691954.81,68053706920721.59,0.0004758601202216,0.0006933923699652,0.0007367033757553,0.0003087347172004,0.0004498681191238,0.0004779679967056
35,35,2.25,0.02,1850,1,100000.0,,1082.0,1.082,1850.0,0.2514104727031281,0.0315145655632193,0.0116667586400707,5896900000000.001,8225222208212.053,8899546131751.863,7.358484235398289,7.961879942700949,43392245687720.18,60525167951776.29,65487169912695.91,0.0004628332605055,0.0006455775768639,0.0006985036126062,0.000296082625374,0.0004129873977331,0.0004468451191857
36,36,2.25,0.02,1900,1,100000.0,,957.0,0.957,1900.0,0.2311073194055097,0.0273057544176769,0.0123760457412948,5215650000000.0,6960836974652.523,7668205187548.661,8.22128872805706,7.867773312750606,42879364554490.8,57227050557553.59,63042528872822.48,0.0004211260909536,0.0005620373424024,0.0006191522198121,0.0002665465695668,0.0003557346096666,0.000391884767474
37,37,2.25,0.02,1950,1,100000.0,,848.0,0.848,1950.0,0.2788536260818546,0.0242907553458344,0.0094015703491764,4621600000000.0,5887721019625.515,6614755643106.889,6.9929160592216855,5.929992818219989,32318460859298.938,41172338870356.336,46256430964509.43,0.0003835006685674,0.0004885634731186,0.0005488928534581,0.0002400756340062,0.0003058461045175,0.0003436129597574
38,38,2.25,0.02,2000,1,100000.0,,641.0,0.641,2000.0,0.3128119516120478,0.0185700018116269,0.0116339403395654,3493450000000.0,4242565770383.8574,4864598431758.985,6.393617602182983,4.098308882999292,22335783412346.14,27125343187945.234,31102382160845.98,0.0002977450828176,0.00036159186382,0.0004146074118532,0.0001842216280921,0.0002237250779338,0.0002565269985582
39,39,2.25,0.02,2050,1,100000.0,,364.0,0.364,2050.0,0.2797703190435641,0.0203986455449304,0.0097086639172522,1983800000000.0,2291112882170.0947,2688412599927.594,7.327439190147925,2.6671878652138448,14536173865415.455,16787990321865.916,19699179843996.93,0.0001735398553827,0.0002004231264428,0.0002351783112211,0.000106051534267,0.0001224801070335,0.0001437192665416
40,40,2.25,0.02,2100,1,100000.0,,26.0,0.026,2100.0,0.3011965460635433,0.0289539778717026,0.0146003447545151,141700000000.0,155264104034.71912,186508776430.31964,6.97219150566542,0.1812769791473009,987959536352.79,1082531067285.6208,1300374906759.5256,1.2713771294048247e-05,1.3930785524860496e-05,1.673415615997078e-05,7.668288353617949e-06,8.402328304194511e-06,1.0093176274863472e-05
